 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F277W
 -1.8571 -1.6580 -1.8276 -2.6396 -3.8104 -4.4531 -4.9173 -5.0848 -4.8404 -4.2457
 -4.6825 -5.4347 -5.0470 -3.9754 -3.2065 -3.3856
 -2.6264 -2.4534 -2.4157 -2.6627 -3.1106 -3.3510 -3.5615 -3.6933 -3.7141 -3.6360
 -3.9047 -4.2311 -4.0596 -3.5637 -3.2122 -3.3993 -3.5908 -3.7475 -3.9231
 -3.0060 -2.9076 -2.8165 -2.8028 -2.8664 -2.9007 -2.9643 -3.0474 -3.1523 -3.2740
 -3.3994 -3.4794 -3.4380 -3.3104 -3.2319 -3.4116 -3.6014 -3.7628 -3.9270 -4.0823
 -4.2309
 -2.9959 -3.0206 -3.0300 -3.0599 -3.0779 -3.1022 -3.1257 -3.1469 -3.1550 -3.1597
 -3.1667 -3.1796 -3.1823 -3.2157 -3.2656 -3.4225 -3.6045 -3.7744 -3.9360 -4.0914
 -4.2413 -4.3856 -4.5251
 -3.1355 -3.1236 -3.1104 -3.1127 -3.1203 -3.1372 -3.1590 -3.1815 -3.2011 -3.2146
 -3.2238 -3.2367 -3.2494 -3.2738 -3.3153 -3.4514 -3.6144 -3.7820 -3.9451 -4.1008
 -4.2496 -4.3925 -4.5302 -4.6635 -4.7930
 -3.2845 -3.2473 -3.2163 -3.1961 -3.1890 -3.1938 -3.2082 -3.2272 -3.2476 -3.2666
 -3.2822 -3.2954 -3.3114 -3.3281 -3.3633 -3.4826 -3.6293 -3.7904 -3.9522 -4.1079
 -4.2563 -4.3984 -4.5349 -4.6667 -4.7943 -4.9184
 -3.4428 -3.3917 -3.3477 -3.3101 -3.2839 -3.2720 -3.2733 -3.2840 -3.2999 -3.3178
 -3.3359 -3.3525 -3.3681 -3.3825 -3.4096 -3.5161 -3.6492 -3.7996 -3.9573 -4.1127
 -4.2614 -4.4033 -4.5391 -4.6698 -4.7960 -4.9184 -5.0375 -5.1535 -5.2666 -5.3763
 -3.6104 -3.5568 -3.5046 -3.4537 -3.4093 -3.3772 -3.3593 -3.3555 -3.3618 -3.3740
 -3.3892 -3.4058 -3.4224 -3.4376 -3.4575 -3.5473 -3.6719 -3.8118 -3.9621 -4.1153
 -4.2645 -4.4068 -4.5426 -4.6727 -4.7980 -4.9191 -5.0365 -5.1508 -5.2623 -5.3712
 -5.4772
