 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F360M
 -2.8313 -2.7204 -2.7945 -3.2738 -4.1347 -4.6399 -4.6974 -4.8476 -4.9745 -4.9861
 -5.1295 -5.0919 -4.8068 -4.4747 -4.3094 -4.4821
 -3.2208 -3.1527 -3.1528 -3.3398 -3.7172 -3.9751 -4.0827 -4.2501 -4.4048 -4.4965
 -4.5946 -4.5881 -4.4712 -4.3434 -4.2990 -4.4916 -4.6658 -4.8413 -5.0100
 -3.4582 -3.4525 -3.4504 -3.5003 -3.6122 -3.7231 -3.8324 -3.9705 -4.1017 -4.2059
 -4.2707 -4.2909 -4.2827 -4.2812 -4.3106 -4.5013 -4.6851 -4.8602 -5.0275 -5.1856
 -5.3367
 -3.5435 -3.6198 -3.6873 -3.7553 -3.8200 -3.8838 -3.9465 -4.0089 -4.0652 -4.1145
 -4.1580 -4.2004 -4.2414 -4.2880 -4.3442 -4.5112 -4.7056 -4.8778 -5.0423 -5.2009
 -5.3522 -5.4974 -5.6375
 -3.6386 -3.6938 -3.7470 -3.8029 -3.8607 -3.9202 -3.9803 -4.0404 -4.1000 -4.1570
 -4.2081 -4.2537 -4.2969 -4.3414 -4.3903 -4.5357 -4.7117 -4.8876 -5.0545 -5.2126
 -5.3631 -5.5072 -5.6455 -5.7789 -5.9082
 -3.7398 -3.7796 -3.8210 -3.8655 -3.9142 -3.9666 -4.0214 -4.0772 -4.1337 -4.1900
 -4.2446 -4.2954 -4.3415 -4.3844 -4.4310 -4.5621 -4.7213 -4.8947 -5.0628 -5.2214
 -5.3718 -5.5153 -5.6526 -5.7848 -5.9125 -6.0364
 -3.8470 -3.8772 -3.9093 -3.9431 -3.9806 -4.0230 -4.0698 -4.1193 -4.1707 -4.2233
 -4.2764 -4.3283 -4.3774 -4.4222 -4.4663 -4.5904 -4.7344 -4.8991 -5.0672 -5.2273
 -5.3783 -5.5217 -5.6587 -5.7900 -5.9165 -6.0388 -6.1577 -6.2734 -6.3861 -6.4961
 -3.9603 -3.9866 -4.0119 -4.0363 -4.0626 -4.0931 -4.1286 -4.1692 -4.2134 -4.2601
 -4.3089 -4.3587 -4.4080 -4.4547 -4.4989 -4.6150 -4.7513 -4.9042 -5.0681 -5.2297
 -5.3824 -5.5266 -5.6636 -5.7946 -5.9203 -6.0415 -6.1588 -6.2728 -6.3838 -6.4922
 -6.5983
 -4.0773 -4.1022 -4.1237 -4.1421 -4.1597 -4.1788 -4.2019 -4.2305 -4.2647 -4.3034
 -4.3453 -4.3901 -4.4369 -4.4838 -4.5286 -4.6396 -4.7672 -4.9123 -5.0682 -5.2282
 -5.3831 -5.5292 -5.6671 -5.7984 -5.9239 -6.0445 -6.1610 -6.2736 -6.3829 -6.4895
 -6.5938
 -4.1817 -4.2153 -4.2405 -4.2581 -4.2702 -4.2805 -4.2923 -4.3081 -4.3298 -4.3573
 -4.3901 -4.4272 -4.4683 -4.5122 -4.5559 -4.6654 -4.7846 -4.9226 -5.0723 -5.2275
