 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -0.9864  0.7870  2.0010  1.0320 -1.9934 -6.5267 -5.3926 -3.4535 -2.3406 -2.2497
 -2.0785 -1.9553 -2.3232 -2.7949 -2.9106 -2.3843
 -3.9969 -3.1120 -2.2850 -2.4042 -3.4169 -5.3777 -4.8527 -3.9355 -3.2548 -2.9655
 -2.7190 -2.5739 -2.6677 -2.8171 -2.8064 -2.3432 -2.0363 -1.8467 -1.7881
 -5.1012 -4.7428 -4.2616 -3.9914 -3.9449 -4.3495 -4.1644 -3.8620 -3.5346 -3.2451
 -3.0209 -2.8785 -2.8115 -2.7615 -2.6695 -2.2819 -1.9981 -1.8186 -1.7154 -1.6290
 -1.4998
 -4.2993 -4.1054 -3.9288 -3.7296 -3.5776 -3.4420 -3.3277 -3.2328 -3.1800 -3.0884
 -2.9843 -2.8690 -2.7546 -2.6280 -2.4999 -2.2004 -1.9701 -1.8019 -1.6783 -1.5859
 -1.5122 -1.4507 -1.3970
 -3.9590 -3.8168 -3.6801 -3.5323 -3.3977 -3.2691 -3.1512 -3.0464 -2.9537 -2.8679
 -2.7808 -2.6870 -2.5899 -2.4893 -2.3857 -2.1386 -1.9391 -1.7916 -1.6818 -1.5971
 -1.5287 -1.4711 -1.4206 -1.3760 -1.3368
 -3.6349 -3.5346 -3.4327 -3.3261 -3.2151 -3.1029 -2.9930 -2.8897 -2.7949 -2.7083
 -2.6274 -2.5478 -2.4652 -2.3823 -2.2955 -2.0884 -1.9138 -1.7825 -1.6843 -1.6074
 -1.5447 -1.4914 -1.4444 -1.4020 -1.3636 -1.3293
 -3.3271 -3.2588 -3.1866 -3.1110 -3.0299 -2.9434 -2.8531 -2.7627 -2.6755 -2.5932
 -2.5164 -2.4437 -2.3729 -2.3027 -2.2293 -2.0498 -1.8942 -1.7746 -1.6858 -1.6168
 -1.5602 -1.5116 -1.4685 -1.4292 -1.3928 -1.3594 -1.3296 -1.3055 -1.2898 -1.2853
 -3.0356 -2.9894 -2.9418 -2.8930 -2.8404 -2.7818 -2.7168 -2.6471 -2.5748 -2.5028
 -2.4332 -2.3666 -2.3029 -2.2409 -2.1789 -2.0221 -1.8809 -1.7679 -1.6847 -1.6222
 -1.5720 -1.5291 -1.4907 -1.4555 -1.4225 -1.3913 -1.3618 -1.3364 -1.3181 -1.3090
 -1.3109
 -2.7726 -2.7413 -2.7114 -2.6828 -2.6526 -2.6187 -2.5790 -2.5325 -2.4797 -2.4230
 -2.3641 -2.3056 -2.2484 -2.1928 -2.1378 -2.0007 -1.8713 -1.7636 -1.6819 -1.6227
 -1.5780 -1.5411 -1.5086 -1.4786 -1.4501 -1.4226 -1.3967 -1.3716 -1.3507 -1.3376
 -1.3347
 -2.5374 -2.5194 -2.5037 -2.4901 -2.4762 -2.4607 -2.4414 -2.4162 -2.3838 -2.3442
 -2.2992 -2.2510 -2.2015 -2.1519 -2.1026 -1.9802 -1.8616 -1.7589 -1.6785 -1.6194
 -1.5773 -1.5457 -1.5195 -1.4957 -1.4729 -1.4505 -1.4286 -1.4076 -1.3883 -1.3732
 -1.3627
 -2.3302 -2.3250 -2.3206 -2.3169 -2.3144 -2.3114 -2.3065 -2.2981 -2.2839 -2.2621
 -2.2327 -2.1973 -2.1577 -2.1155 -2.0719 -1.9611 -1.8532 -1.7552 -1.6761 -1.6162
 -1.5736 -1.5443 -1.5230 -1.5055 -1.4893 -1.4731 -1.4569 -1.4405 -1.4247 -1.4101
 -1.3966
