 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F300M
  1.4782  1.8044  1.7637  1.0265 -0.3160 -1.4404 -1.9515 -1.9482 -1.5709 -0.9320
 -1.5375 -2.4422 -2.0107 -0.7932  0.1098 -0.0593
  0.7698  0.9772  1.0651  0.8528  0.3435 -0.1103 -0.3474 -0.4193 -0.4013 -0.3287
 -0.6805 -1.0723 -0.8747 -0.3030  0.1131 -0.0729 -0.2465 -0.4185 -0.5868
  0.4375  0.5217  0.6124  0.6339  0.5608  0.4691  0.3897  0.3044  0.1874  0.0411
 -0.1136 -0.2089 -0.1551  0.0002  0.0987 -0.0846 -0.2629 -0.4356 -0.6016 -0.7570
 -0.9086
  0.4813  0.4379  0.4056  0.3698  0.3361  0.2978  0.2598  0.2230  0.1951  0.1775
  0.1632  0.1479  0.1480  0.1164  0.0666 -0.0944 -0.2820 -0.4528 -0.6151 -0.7713
 -0.9215 -1.0658 -1.2048
  0.3968  0.3778  0.3603  0.3372  0.3100  0.2772  0.2413  0.2048  0.1701  0.1404
  0.1175  0.0967  0.0816  0.0574  0.0161 -0.1217 -0.2898 -0.4610 -0.6256 -0.7820
 -0.9311 -1.0740 -1.2115 -1.3443 -1.4731
  0.2967  0.2958  0.2911  0.2805  0.2629  0.2384  0.2082  0.1751  0.1407  0.1070
  0.0759  0.0490  0.0247  0.0055 -0.0311 -0.1517 -0.3025 -0.4686 -0.6331 -0.7900
 -0.9389 -1.0811 -1.2175 -1.3489 -1.4759 -1.5992
  0.1809  0.1919  0.1980  0.1997  0.1947  0.1814  0.1605  0.1339  0.1037  0.0717
  0.0390  0.0075 -0.0215 -0.0440 -0.0750 -0.1844 -0.3201 -0.4756 -0.6376 -0.7953
 -0.9449 -1.0871 -1.2229 -1.3534 -1.4791 -1.6008 -1.7190 -1.8342 -1.9466 -2.0560
  0.0494  0.0661  0.0810  0.0943  0.1027  0.1033  0.0955  0.0793  0.0569  0.0303
  0.0009 -0.0304 -0.0617 -0.0897 -0.1183 -0.2144 -0.3414 -0.4852 -0.6406 -0.7974
 -0.9484 -1.0915 -1.2275 -1.3577 -1.4827 -1.6032 -1.7199 -1.8332 -1.9438 -2.0519
 -2.1575
 -0.0897 -0.0722 -0.0528 -0.0318 -0.0124  0.0024  0.0097  0.0078 -0.0031 -0.0209
 -0.0434 -0.0699 -0.0994 -0.1300 -0.1590 -0.2449 -0.3616 -0.4980 -0.6448 -0.7974
 -0.9486 -1.0934 -1.2305 -1.3612 -1.4861 -1.6061 -1.7219 -1.8339 -1.9428 -2.0491
 -2.1533
 -0.2205 -0.2114 -0.1953 -0.1729 -0.1468 -0.1208 -0.0993 -0.0855 -0.0812 -0.0860
 -0.0984 -0.1168 -0.1403 -0.1678 -0.1966 -0.2779 -0.3830 -0.5125 -0.6534 -0.8000
 -0.9488 -1.0946 -1.2337 -1.3657 -1.4914 -1.6118 -1.7275 -1.8391 -1.9470 -2.0520
 -2.1543
 -0.3453 -0.3420 -0.3308 -0.3125 -0.2854 -0.2551 -0.2244 -0.1973 -0.1774 -0.1670
 -0.1666 -0.1746 -0.1893 -0.2089 -0.2324 -0.3073 -0.4054 -0.5254 -0.6606 -0.8020
 -0.9460 -1.0901 -1.2302 -1.3640 -1.4911 -1.6124 -1.7286 -1.8404 -1.9481 -2.0521
 -2.1550
