 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F200W
  3.4726  2.8741  1.6575  1.0694  2.0624  3.5660  2.3468  1.0216  0.5139  0.7379
  0.7979  0.9452  1.4944  2.0853  2.4256  2.2715
  2.8968  2.7515  2.2847  2.0304  2.4185  3.1410  2.6872  2.1234  1.8068  1.7581
  1.7017  1.7446  1.9799  2.2404  2.3786  2.2297  2.0656  1.9001  1.7357
  2.5184  2.5731  2.5143  2.4584  2.5183  2.7430  2.7011  2.5878  2.4553  2.3358
  2.2574  2.2440  2.2864  2.3357  2.3442  2.2025  2.0514  1.8893  1.7290  1.5747
  1.4253
  2.3374  2.3389  2.3463  2.3534  2.3621  2.3720  2.3885  2.4149  2.4594  2.4712
  2.4650  2.4432  2.4139  2.3710  2.3224  2.1899  2.0342  1.8752  1.7189  1.5685
  1.4218  1.2788  1.1397
  2.1512  2.2004  2.2404  2.2673  2.2839  2.2948  2.3054  2.3201  2.3408  2.3621
  2.3716  2.3642  2.3443  2.3124  2.2705  2.1493  2.0122  1.8641  1.7120  1.5624
  1.4174  1.2770  1.1407  1.0081  0.8789
  1.9460  2.0321  2.1006  2.1503  2.1828  2.2031  2.2164  2.2279  2.2405  2.2560
  2.2713  2.2781  2.2698  2.2499  2.2173  2.1092  1.9857  1.8486  1.7030  1.5561
  1.4129  1.2744  1.1403  1.0101  0.8834  0.7598
  1.7218  1.8340  1.9269  2.0024  2.0588  2.0969  2.1215  2.1383  2.1518  2.1647
  2.1779  2.1894  2.1932  2.1853  2.1628  2.0696  1.9547  1.8287  1.6919  1.5496
  1.4083  1.2710  1.1384  1.0101  0.8855  0.7642  0.6459  0.5300  0.4167  0.3077
  1.4787  1.6061  1.7193  1.8196  1.9029  1.9662  2.0113  2.0415  2.0627  2.0791
  2.0936  2.1062  2.1155  2.1172  2.1070  2.0317  1.9240  1.8050  1.6775  1.5420
  1.4038  1.2676  1.1360  1.0088  0.8858  0.7664  0.6502  0.5366  0.4253  0.3163
  0.2110
  1.2392  1.3661  1.4885  1.6067  1.7136  1.8041  1.8756  1.9281  1.9647  1.9906
  2.0108  2.0271  2.0402  2.0483  2.0479  1.9953  1.8961  1.7814  1.6599  1.5320
  1.3988  1.2647  1.1336  1.0070  0.8848  0.7666  0.6518  0.5401  0.4311  0.3242
  0.2191
  1.0082  1.1282  1.2506  1.3750  1.4971  1.6107  1.7088  1.7881  1.8479  1.8913
  1.9229  1.9470  1.9657  1.9793  1.9849  1.9562  1.8696  1.7590  1.6403  1.5176
  1.3901  1.2594  1.1294  1.0027  0.8805  0.7627  0.6487  0.5381  0.4305  0.3254
  0.2225
  0.7886  0.9027  1.0213  1.1438  1.2725  1.3979  1.5158  1.6201  1.7062  1.7730
  1.8241  1.8622  1.8893  1.9070  1.9166  1.9056  1.8441  1.7403  1.6244  1.5044
  1.3818  1.2560  1.1288  1.0029  0.8806  0.7626  0.6487  0.5386  0.4320  0.3283
  0.2253
  0.5797  0.6896  0.8047  0.9243  1.0507  1.1789  1.3072  1.4279  1.5366  1.6263
  1.6978  1.7537  1.7963  1.8276  1.8492  1.8618  1.8164  1.7224  1.6106  1.4926
  1.3725  1.2506  1.1273  1.0037  0.8819  0.7635  0.6492  0.5389  0.4324  0.3291
  0.2288
  0.3814  0.4889  0.6008  0.7165  0.8317  0.9537  1.0963  1.2249  1.3462  1.4533
  1.5456  1.6242  1.6901  1.7411  1.7825  1.8247  1.7865  1.7053  1.5989
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F200W
  2.3185  2.2998  2.3025  2.3438  2.4702  2.6868  2.6103  2.5564  2.5279  2.4982
  2.4134  2.3417  2.3675  2.4215  2.4252  2.2511
  2.3838  2.3646  2.3568  2.3735  2.4458  2.5813  2.5772  2.5700  2.5633  2.5484
  2.5059  2.4616  2.4474  2.4389  2.4059  2.2352  2.0645  1.8991  1.7380
  2.4088  2.3947  2.3835  2.3848  2.4177  2.4912  2.5275  2.5504  2.5607  2.5587
  2.5451  2.5203  2.4848  2.4390  2.3834  2.2168  2.0520  1.8891  1.7301  1.5757
  1.4256
  2.3935  2.3901  2.3826  2.3777  2.3860  2.4165  2.4612  2.4978  2.5201  2.5292
  2.5311  2.5176  2.4796  2.4218  2.3577  2.1959  2.0370  1.8784  1.7221  1.5702
  1.4230  1.2800  1.1414
  2.3379  2.3508  2.3541  2.3522  2.3506  2.3572  2.3783  2.4121  2.4416  2.4599
  2.4639  2.4536  2.4319  2.3873  2.3288  2.1725  2.0195  1.8670  1.7141  1.5643
  1.4193  1.2787  1.1424  1.0096  0.8801
  2.2420  2.2768  2.2980  2.3083  2.3115  2.3136  2.3202  2.3358  2.3580  2.3788
  2.3884  2.3821  2.3671  2.3380  2.2918  2.1469  1.9989  1.8534  1.7056  1.5584
  1.4150  1.2763  1.1421  1.0117  0.8848  0.7610
  2.1051  2.1642  2.2084  2.2376  2.2542  2.2621  2.2670  2.2740  2.2856  2.2993
  2.3085  2.3073  2.2947  2.2758  2.2408  2.1170  1.9760  1.8367  1.6956  1.5523
  1.4106  1.2732  1.1405  1.0120  0.8872  0.7657  0.6472  0.5312  0.4178  0.3088
  1.9351  2.0150  2.0822  2.1344  2.1706  2.1924  2.2046  2.2118  2.2191  2.2281
  2.2357  2.2373  2.2285  2.2127  2.1857  2.0809  1.9511  1.8174  1.6830  1.5453
  1.4064  1.2701  1.1382  1.0109  0.8877  0.7680  0.6515  0.5379  0.4265  0.3174
  0.2121
  1.8091  1.8602  1.9234  1.9974  2.0557  2.0971  2.1238  2.1395  2.1490  2.1566
  2.1638  2.1681  2.1654  2.1535  2.1334  2.0432  1.9248  1.7969  1.6719  1.5364
  1.4031  1.2673  1.1360  1.0092  0.8869  0.7685  0.6535  0.5414  0.4319  0.3248
  0.2202
  1.5427  1.6638  1.7588  1.8304  1.9084  1.9715  2.0175  2.0484  2.0677  2.0798
  2.0885  2.0950  2.0977  2.0935  2.0812  2.0060  1.8977  1.7755  1.6500  1.5232
  1.3937  1.2622  1.1318  1.0050  0.8826  0.7646  0.6504  0.5396  0.4319  0.3268
  0.2236
  1.3577  1.4680  1.5627  1.6434  1.7358  1.8153  1.8818  1.9321  1.9675  1.9906
  2.0058  2.0162  2.0233  2.0261  2.0228  1.9698  1.8727  1.7573  1.6350  1.5111
  1.3861  1.2591  1.1314  1.0052  0.8827  0.7645  0.6505  0.5402  0.4334  0.3296
  0.2264
  1.1725  1.2728  1.3707  1.4662  1.5638  1.6577  1.7406  1.7869  1.8420  1.8820
  1.9097  1.9285  1.9416  1.9505  1.9547  1.9293  1.8468  1.7396  1.6216  1.4999
  1.3775  1.2543  1.1302  1.0061  0.8840  0.7655  0.6510  0.5405  0.4339  0.3305
  0.2300
  0.9871  1.0783  1.1827  1.2988  1.3922  1.4988  1.5572  1.6414  1.7119  1.7481
  1.7933  1.8262  1.8495  1.8661  1.8769  1.8845  1.8200  1.7224  1.6098
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F200W
  2.2479  2.3138  2.4735  2.5910  2.5864  2.5780  2.6736  2.7990  2.8470  2.7995
  2.7183  2.6273  2.5569  2.4992  2.4324  2.2545
  2.3256  2.3432  2.4131  2.4768  2.5019  2.5306  2.5981  2.6722  2.7102  2.7023
  2.6674  2.6114  2.5484  2.4838  2.4149  2.2393  2.0668  1.9007  1.7398
  2.3777  2.3658  2.3760  2.3993  2.4338  2.4781  2.5259  2.5693  2.6013  2.6172
  2.6124  2.5828  2.5305  2.4653  2.3964  2.2235  2.0547  1.8908  1.7317  1.5772
  1.4270
  2.4042  2.3816  2.3622  2.3585  2.3821  2.4205  2.4570  2.4903  2.5203  2.5442
  2.5533  2.5415  2.5032  2.4437  2.3769  2.2071  2.0417  1.8807  1.7239  1.5719
  1.4246  1.2815  1.1422
  2.4051  2.3906  2.3717  2.3544  2.3468  2.3578  2.3914  2.4352  2.4672  2.4833
  2.4901  2.4875  2.4665  2.4190  2.3564  2.1901  2.0278  1.8704  1.7163  1.5663
  1.4211  1.2805  1.1440  1.0111  0.8816
  2.3722  2.3726  2.3642  2.3510  2.3377  2.3313  2.3377  2.3588  2.3906  2.4206
  2.4333  2.4295  2.4172  2.3858  2.3326  2.1725  2.0128  1.8591  1.7086  1.5607
  1.4172  1.2784  1.1440  1.0134  0.8864  0.7624
  2.2990  2.3199  2.3285  2.3277  2.3209  2.3123  2.3076  2.3117  2.3246  2.3413
  2.3563  2.3612  2.3533  2.3349  2.2971  2.1532  1.9969  1.8463  1.7000  1.5551
  1.4131  1.2755  1.1426  1.0139  0.8889  0.7673  0.6486  0.5324  0.4190  0.3101
  2.1841  2.2278  2.2579  2.2755  2.2824  2.2816  2.2773  2.2745  2.2766  2.2831
  2.2890  2.2897  2.2823  2.2694  2.2435  2.1269  1.9796  1.8322  1.6898  1.5490
  1.4092  1.2726  1.1405  1.0130  0.8896  0.7698  0.6530  0.5391  0.4277  0.3186
  0.2134
  2.0351  2.0980  2.1498  2.1891  2.2147  2.2284  2.2330  2.2327  2.2314  2.2320
  2.2337  2.2322  2.2232  2.2074  2.1863  2.0893  1.9583  1.8167  1.6778  1.5415
  1.4052  1.2700  1.1385  1.0115  0.8890  0.7704  0.6552  0.5431  0.4337  0.3266
  0.2214
  1.8674  1.9418  2.0094  2.0686  2.1147  2.1471  2.1664  2.1755  2.1783  2.1783
  2.1781  2.1765  2.1701  2.1560  2.1360  2.0490  1.9306  1.7977  1.6628  1.5301
  1.3978  1.2653  1.1345  1.0074  0.8849  0.7667  0.6523  0.5413  0.4334  0.3281
  0.2249
  1.6943  1.7709  1.8463  1.9191  1.9834  2.0347  2.0723  2.0961  2.1091  2.1147
  2.1162  2.1156  2.1126  2.1043  2.0890  2.0131  1.9044  1.7797  1.6494  1.5198
  1.3914  1.2627  1.1342  1.0077  0.8851  0.7667  0.6525  0.5420  0.4350  0.3310
  0.2278
  1.5184  1.5958  1.6744  1.7518  1.8260  1.8934  1.9484  1.9898  2.0178  2.0345
  2.0430  2.0463  2.0464  2.0434  2.0352  1.9784  1.8786  1.7618  1.6365  1.5096
  1.3838  1.2586  1.1334  1.0088  0.8865  0.7677  0.6530  0.5424  0.4356  0.3320
  0.2314
