 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F250M
  3.7670  3.8338  3.5284  2.6915  1.7882  1.6350  1.1963  0.8900  1.0103  1.5358
  1.2412  0.6434  0.9682  1.8629  2.5148  2.3300
  2.9917  3.1284  3.1081  2.8396  2.4881  2.4585  2.2666  2.0924  2.0389  2.1145
  1.9176  1.6552  1.7922  2.2021  2.4971  2.3111  2.0805  1.9486  1.7616
  2.5959  2.7061  2.7900  2.7917  2.7393  2.7566  2.7075  2.6332  2.5427  2.4453
  2.3462  2.2793  2.3063  2.4063  2.4675  2.2923  2.0788  1.9322  1.7690  1.6137
  1.4709
  2.5796  2.5669  2.5741  2.5478  2.5419  2.5294  2.5190  2.5122  2.5219  2.5282
  2.5269  2.5159  2.5104  2.4755  2.4260  2.2736  2.0973  1.9285  1.7672  1.6123
  1.4626  1.3178  1.1774
  2.3714  2.4150  2.4578  2.4749  2.4845  2.4813  2.4717  2.4616  2.4558  2.4572
  2.4601  2.4539  2.4429  2.4184  2.3769  2.2431  2.0851  1.9209  1.7594  1.6044
  1.4559  1.3129  1.1747  1.0407  0.9105
  2.1600  2.2414  2.3113  2.3630  2.3942  2.4075  2.4072  2.4007  2.3929  2.3875
  2.3864  2.3857  2.3769  2.3624  2.3283  2.2107  2.0680  1.9115  1.7526  1.5982
  1.4504  1.3086  1.1720  1.0398  0.9115  0.7865
  1.9455  2.0461  2.1346  2.2121  2.2710  2.3080  2.3255  2.3295  2.3265  2.3214
  2.3169  2.3145  2.3113  2.3041  2.2802  2.1764  2.0460  1.9003  1.7468  1.5937
  1.4461  1.3049  1.1693  1.0386  0.9121  0.7891  0.6691  0.5520  0.4380  0.3277
  1.7277  1.8291  1.9277  2.0237  2.1086  2.1744  2.2185  2.2420  2.2509  2.2519
  2.2499  2.2468  2.2440  2.2409  2.2287  2.1443  2.0219  1.8858  1.7402  1.5905
  1.4433  1.3021  1.1670  1.0373  0.9121  0.7908  0.6728  0.5576  0.4452  0.3354
  0.2287
  1.5232  1.6118  1.7078  1.8102  1.9116  2.0029  2.0769  2.1286  2.1587  2.1730
  2.1788  2.1800  2.1787  2.1763  2.1717  2.1121  1.9997  1.8692  1.7312  1.5874
  1.4422  1.3007  1.1654  1.0359  0.9116  0.7915  0.6750  0.5618  0.4515  0.3435
  0.2376
  1.3273  1.4033  1.4910  1.5891  1.6939  1.8008  1.8988  1.9799  2.0392  2.0764
