 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -2.4806 -2.3353 -2.4416 -3.0730 -4.1123 -4.7189 -4.9959 -5.0968 -4.9701 -4.6290
 -4.9983 -5.4839 -5.1619 -4.3822 -3.8405 -4.0141
 -3.0449 -2.9329 -2.9100 -3.1212 -3.5416 -3.8028 -3.9647 -4.0833 -4.1383 -4.1281
 -4.3492 -4.5654 -4.4272 -4.0759 -3.8406 -4.0288 -4.2138 -4.3772 -4.5515
 -3.3423 -3.2960 -3.2509 -3.2681 -3.3558 -3.4293 -3.5131 -3.6114 -3.7188 -3.8304
 -3.9358 -3.9985 -3.9734 -3.8948 -3.8575 -4.0416 -4.2287 -4.3959 -4.5616 -4.7183
 -4.8684
 -3.3728 -3.4246 -3.4643 -3.5137 -3.5548 -3.5985 -3.6411 -3.6810 -3.7117 -3.7359
 -3.7583 -3.7831 -3.8005 -3.8390 -3.8912 -4.0525 -4.2396 -4.4104 -4.5734 -4.7302
 -4.8808 -5.0251 -5.1646
 -3.4851 -3.5096 -3.5317 -3.5617 -3.5945 -3.6323 -3.6725 -3.7126 -3.7507 -3.7838
 -3.8113 -3.8380 -3.8630 -3.8953 -3.9396 -4.0796 -4.2480 -4.4191 -4.5838 -4.7405
 -4.8900 -5.0333 -5.1712 -5.3044 -5.4337
 -3.6052 -3.6106 -3.6187 -3.6324 -3.6538 -3.6822 -3.7161 -3.7527 -3.7899 -3.8260
 -3.8591 -3.8889 -3.9176 -3.9449 -3.9847 -4.1088 -4.2607 -4.4270 -4.5914 -4.7483
 -4.8975 -5.0402 -5.1770 -5.3088 -5.4363 -5.5602
 -3.7330 -3.7276 -3.7253 -3.7258 -3.7327 -3.7482 -3.7719 -3.8013 -3.8340 -3.8680
 -3.9022 -3.9346 -3.9651 -3.9923 -4.0265 -4.1401 -4.2777 -4.4341 -4.5962 -4.7536
 -4.9033 -5.0458 -5.1820 -5.3129 -5.4391 -5.5614 -5.6803 -5.7960 -5.9088 -6.0185
 -3.8686 -3.8606 -3.8515 -3.8414 -3.8345 -3.8347 -3.8436 -3.8616 -3.8860 -3.9145
 -3.9452 -3.9770 -4.0084 -4.0375 -4.0679 -4.1686 -4.2980 -4.4433 -4.5993 -4.7561
 -4.9067 -5.0499 -5.1861 -5.3166 -5.4420 -5.5631 -5.6804 -5.7944 -5.9055 -6.0141
 -6.1201
 -4.0058 -4.0000 -3.9891 -3.9737 -3.9571 -3.9432 -3.9360 -3.9381 -3.9499 -3.9691
 -3.9929 -4.0201 -4.0496 -4.0796 -4.1086 -4.1973 -4.3171 -4.4553 -4.6033 -4.7563
 -4.9073 -5.0518 -5.1889 -5.3195 -5.4447 -5.5651 -5.6815 -5.7942 -5.9037 -6.0105
 -6.1151
 -4.1317 -4.1361 -4.1306 -4.1162 -4.0954 -4.0719 -4.0509 -4.0366 -4.0318 -4.0369
 -4.0502 -4.0693 -4.0931 -4.1201 -4.1480 -4.2286 -4.3371 -4.4688 -4.6113 -4.7589
 -4.9080 -5.0535 -5.1923 -5.3241 -5.4497 -5.5701 -5.6861 -5.7981 -5.9066 -6.0122
 -6.1150
 -4.2506 -4.2614 -4.2619 -4.2532 -4.2335 -4.2082 -4.1799 -4.1530 -4.1321 -4.1209
 -4.1204 -4.1287 -4.1436 -4.1633 -4.1864 -4.2595 -4.3578 -4.4807 -4.6177 -4.7602
 -4.9051 -5.0495 -5.1894 -5.3229 -5.4497 -5.5707 -5.6868 -5.7986 -5.9065 -6.0110
 -6.1146
