 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  Hp  
 -2.3767 -0.5290  0.9164  0.4158 -2.0937 -5.9393 -4.9617 -3.2199 -2.1840 -2.0962
 -1.9605 -1.8786 -2.2602 -2.7498 -2.9113 -2.4868
 -3.7396 -2.9769 -2.2440 -2.3143 -3.2154 -4.9144 -4.4897 -3.6912 -3.0858 -2.8358
 -2.6293 -2.5174 -2.6308 -2.8011 -2.8242 -2.4482 -2.1935 -2.0329 -1.9931
 -4.2782 -4.0829 -3.7869 -3.6381 -3.6637 -4.0461 -3.9179 -3.6755 -3.4026 -3.1580
 -2.9691 -2.8534 -2.8087 -2.7810 -2.7149 -2.3984 -2.1668 -2.0164 -1.9341 -1.8660
 -1.7577
 -3.9925 -3.8470 -3.7123 -3.5556 -3.4388 -3.3345 -3.2463 -3.1729 -3.1344 -3.0628
 -2.9798 -2.8866 -2.7939 -2.6896 -2.5834 -2.3374 -2.1461 -2.0074 -1.9075 -1.8329
 -1.7745 -1.7256 -1.6826
 -3.7075 -3.6058 -3.5055 -3.3933 -3.2910 -3.1925 -3.1017 -3.0203 -2.9479 -2.8807
 -2.8117 -2.7363 -2.6579 -2.5755 -2.4899 -2.2867 -2.1241 -2.0047 -1.9164 -1.8484
 -1.7938 -1.7477 -1.7072 -1.6717 -1.6410
 -3.4353 -3.3687 -3.2981 -3.2213 -3.1389 -3.0541 -2.9702 -2.8904 -2.8164 -2.7480
 -2.6837 -2.6201 -2.5535 -2.4864 -2.4153 -2.2454 -2.1050 -2.0007 -1.9229 -1.8620
 -1.8121 -1.7695 -1.7319 -1.6979 -1.6672 -1.6403
 -3.1758 -3.1357 -3.0901 -3.0396 -2.9825 -2.9193 -2.8518 -2.7832 -2.7159 -2.6515
 -2.5906 -2.5326 -2.4757 -2.4192 -2.3596 -2.2135 -2.0888 -1.9954 -1.9270 -1.8737
 -1.8294 -1.7910 -1.7568 -1.7254 -1.6962 -1.6696 -1.6462 -1.6288 -1.6201 -1.6213
 -2.9289 -2.9068 -2.8815 -2.8534 -2.8204 -2.7809 -2.7346 -2.6835 -2.6292 -2.5741
 -2.5198 -2.4671 -2.4163 -2.3665 -2.3167 -2.1899 -2.0770 -1.9892 -1.9266 -1.8803
 -1.8426 -1.8097 -1.7800 -1.7523 -1.7260 -1.7011 -1.6775 -1.6581 -1.6457 -1.6426
 -1.6499
 -2.7057 -2.6945 -2.6832 -2.6718 -2.6577 -2.6391 -2.6145 -2.5831 -2.5456 -2.5040
 -2.4596 -2.4143 -2.3694 -2.3252 -2.2812 -2.1710 -2.0677 -1.9839 -1.9229 -1.8806
 -1.8490 -1.8227 -1.7988 -1.7761 -1.7541 -1.7326 -1.7121 -1.6922 -1.6765 -1.6687
 -1.6713
 -2.5048 -2.5034 -2.5031 -2.5038 -2.5032 -2.5003 -2.4930 -2.4800 -2.4602 -2.4335
 -2.4015 -2.3658 -2.3280 -2.2894 -2.2504 -2.1525 -2.0581 -1.9779 -1.9176 -1.8758
 -1.8479 -1.8276 -1.8105 -1.7942 -1.7778 -1.7611 -1.7444 -1.7283 -1.7136 -1.7031
 -1.6972
 -2.3273 -2.3351 -2.3431 -2.3513 -2.3599 -2.3674 -2.3726 -2.3741 -2.3701 -2.3589
 -2.3405 -2.3164 -2.2880 -2.2565 -2.2230 -2.1353 -2.0493 -1.9726 -1.9129 -1.8702
 -1.8424 -1.8254 -1.8141 -1.8046 -1.7951 -1.7846 -1.7733 -1.7616 -1.7499 -1.7395
 -1.7300
