 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -2.5207 -1.5513 -0.3598 -0.0453 -1.0305 -3.0123 -2.2774 -1.0425 -0.2926 -0.2469
 -0.1752 -0.2059 -0.6135 -1.1094 -1.3777 -1.2672
 -2.3526 -1.9308 -1.3525 -1.1470 -1.4731 -2.3497 -2.0366 -1.4935 -1.0926 -0.9534
 -0.8471 -0.8323 -0.9955 -1.2094 -1.3247 -1.2414 -1.1930 -1.1669 -1.2254
 -2.0795 -1.9666 -1.7722 -1.6506 -1.6360 -1.8412 -1.7644 -1.6267 -1.4770 -1.3477
 -1.2580 -1.2240 -1.2431 -1.2814 -1.2969 -1.2343 -1.2107 -1.1952 -1.2152 -1.2396
 -1.2393
 -1.7014 -1.6587 -1.6189 -1.5561 -1.5190 -1.4866 -1.4608 -1.4421 -1.4460 -1.4298
 -1.4078 -1.3811 -1.3563 -1.3254 -1.2943 -1.2459 -1.2165 -1.2107 -1.2198 -1.2388
 -1.2633 -1.2911 -1.3213
 -1.5125 -1.5015 -1.4881 -1.4621 -1.4405 -1.4183 -1.3977 -1.3800 -1.3660 -1.3546
 -1.3424 -1.3273 -1.3117 -1.2940 -1.2741 -1.2399 -1.2278 -1.2300 -1.2416 -1.2599
 -1.2830 -1.3094 -1.3382 -1.3699 -1.4051
 -1.3382 -1.3514 -1.3594 -1.3608 -1.3560 -1.3469 -1.3354 -1.3232 -1.3117 -1.3015
 -1.2926 -1.2843 -1.2748 -1.2660 -1.2546 -1.2324 -1.2311 -1.2409 -1.2568 -1.2767
 -1.3000 -1.3261 -1.3544 -1.3848 -1.4173 -1.4527
 -1.1785 -1.2084 -1.2328 -1.2522 -1.2655 -1.2724 -1.2739 -1.2717 -1.2675 -1.2621
 -1.2564 -1.2509 -1.2458 -1.2417 -1.2358 -1.2234 -1.2264 -1.2434 -1.2654 -1.2892
 -1.3143 -1.3412 -1.3698 -1.3997 -1.4311 -1.4644 -1.5002 -1.5412 -1.5887 -1.6387
 -1.0333 -1.0725 -1.1083 -1.1410 -1.1693 -1.1917 -1.2077 -1.2180 -1.2236 -1.2260
 -1.2260 -1.2245 -1.2223 -1.2201 -1.2181 -1.2128 -1.2176 -1.2374 -1.2652 -1.2948
 -1.3241 -1.3535 -1.3834 -1.4142 -1.4456 -1.4780 -1.5114 -1.5482 -1.5907 -1.6398
 -1.6921
 -0.9099 -0.9516 -0.9929 -1.0337 -1.0720 -1.1065 -1.1358 -1.1588 -1.1757 -1.1874
 -1.1947 -1.1990 -1.2012 -1.2019 -1.2017 -1.2016 -1.2075 -1.2264 -1.2566 -1.2916
 -1.3267 -1.3607 -1.3938 -1.4266 -1.4593 -1.4921 -1.5259 -1.5605 -1.5981 -1.6415
 -1.6922
 -0.8056 -0.8487 -0.8926 -0.9372 -0.9809 -1.0229 -1.0615 -1.0953 -1.1231 -1.1445
 -1.1602 -1.1712 -1.1787 -1.1836 -1.1863 -1.1897 -1.1973 -1.2145 -1.2437 -1.2811
 -1.3214 -1.3613 -1.3994 -1.4359 -1.4713 -1.5059 -1.5405 -1.5755 -1.6118 -1.6514
 -1.6946
