 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.6986 -2.5086 -3.5017 -3.4994 -2.1292 -0.4320 -1.1559 -2.1484 -2.6315 -2.5867
 -2.5188 -2.4246 -2.2157 -2.0301 -1.9438 -2.0731
 -1.6926 -2.0165 -2.4732 -2.5200 -1.9870 -1.2125 -1.4693 -1.8558 -2.0894 -2.1368
 -2.1586 -2.1435 -2.0707 -2.0032 -1.9848 -2.1080 -2.2462 -2.3778 -2.5210
 -1.7675 -1.8227 -1.9493 -1.9975 -1.9219 -1.7134 -1.7282 -1.7817 -1.8483 -1.9115
 -1.9601 -1.9836 -1.9897 -1.9959 -2.0185 -2.1352 -2.2633 -2.3938 -2.5274 -2.6566
 -2.7777
 -1.9233 -1.9272 -1.9300 -1.9319 -1.9338 -1.9346 -1.9326 -1.9259 -1.9082 -1.9107
 -1.9232 -1.9450 -1.9728 -2.0082 -2.0449 -2.1547 -2.2799 -2.4099 -2.5389 -2.6644
 -2.7871 -2.9069 -3.0240
 -2.0092 -1.9980 -1.9900 -1.9859 -1.9856 -1.9872 -1.9889 -1.9892 -1.9879 -1.9871
 -1.9922 -2.0062 -2.0274 -2.0556 -2.0900 -2.1895 -2.3025 -2.4245 -2.5501 -2.6742
 -2.7952 -2.9129 -3.0275 -3.1394 -3.2494
 -2.1091 -2.0850 -2.0666 -2.0543 -2.0480 -2.0461 -2.0470 -2.0493 -2.0523 -2.0552
 -2.0591 -2.0672 -2.0827 -2.1046 -2.1333 -2.2230 -2.3265 -2.4407 -2.5615 -2.6833
 -2.8027 -2.9188 -3.0315 -3.1414 -3.2487 -3.3541
 -2.2229 -2.1882 -2.1598 -2.1371 -2.1209 -2.1113 -2.1069 -2.1062 -2.1081 -2.1118
 -2.1168 -2.1238 -2.1347 -2.1511 -2.1748 -2.2552 -2.3519 -2.4585 -2.5731 -2.6917
 -2.8096 -2.9246 -3.0361 -3.1445 -3.2500 -3.3531 -3.4543 -3.5548 -3.6548 -3.7518
 -2.3507 -2.3076 -2.2696 -2.2362 -2.2085 -2.1879 -2.1740 -2.1663 -2.1633 -2.1640
 -2.1674 -2.1734 -2.1823 -2.1952 -2.2135 -2.2846 -2.3759 -2.4771 -2.5856 -2.6997
 -2.8156 -2.9299 -3.0408 -3.1482 -3.2525 -3.3541 -3.4532 -3.5509 -3.6481 -3.7450
 -3.8397
 -2.4892 -2.4397 -2.3935 -2.3502 -2.3114 -2.2787 -2.2530 -2.2345 -2.2231 -2.2176
 -2.2166 -2.2195 -2.2257 -2.2357 -2.2502 -2.3108 -2.3969 -2.4946 -2.5987 -2.7079
 -2.8207 -2.9339 -3.0446 -3.1519 -3.2556 -3.3563 -3.4544 -3.5501 -3.6445 -3.7385
 -3.8328
 -2.6331 -2.5793 -2.5274 -2.4773 -2.4289 -2.3846 -2.3464 -2.3155 -2.2925 -2.2772
 -2.2688 -2.2661 -2.2681 -2.2745 -2.2859 -2.3369 -2.4160 -2.5105 -2.6122 -2.7180
 -2.8273 -2.9387 -3.0491 -3.1568 -3.2608 -3.3614 -3.4590 -3.5540 -3.6469 -3.7387
 -3.8295
 -2.7775 -2.7216 -2.6655 -2.6093 -2.5534 -2.5003 -2.4514 -2.4085 -2.3731 -2.3461
 -2.3274 -2.3163 -2.3122 -2.3143 -2.3221 -2.3640 -2.4333 -2.5233 -2.6226 -2.7261
 -2.8322 -2.9406 -3.0497 -3.1573 -3.2619 -3.3629 -3.4607 -3.5553 -3.6474 -3.7375
 -3.8275
 -2.9302 -2.8666 -2.8045 -2.7437 -2.6827 -2.6231 -2.5659 -2.5133 -2.4666 -2.4284
 -2.3988 -2.3775 -2.3641 -2.3582 -2.3594 -2.3892 -2.4507 -2.5353 -2.6314 -2.7330
 -2.8372 -2.9430 -3.0498 -3.1564 -3.2612 -3.3630 -3.4614 -3.5565 -3.6486 -3.7382
 -3.8258
 -3.0912 -3.0144 -2.9444 -2.8805 -2.8168 -2.7530 -2.6859 -2.6260 -2.5710 -2.5235
 -2.4835 -2.4506 -2.4241 -2.4062 -2.3976 -2.4124 -2.4682 -2.5465 -2.6386
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.8991 -1.9098 -1.9000 -1.8562 -1.7618 -1.6063 -1.7060 -1.7830 -1.8246 -1.8455
 -1.8842 -1.9203 -1.9248 -1.9265 -1.9502 -2.0820
 -1.8842 -1.8974 -1.8986 -1.8780 -1.8236 -1.7286 -1.7578 -1.7868 -1.8089 -1.8283
 -1.8585 -1.8912 -1.9154 -1.9410 -1.9775 -2.1056 -2.2411 -2.3764 -2.5094
 -1.8843 -1.8973 -1.9051 -1.9010 -1.8768 -1.8280 -1.8160 -1.8140 -1.8209 -1.8359
 -1.8580 -1.8865 -1.9209 -1.9605 -2.0047 -2.1293 -2.2594 -2.3920 -2.5232 -2.6518
 -2.7775
 -1.8994 -1.9095 -1.9195 -1.9252 -1.9213 -1.9045 -1.8806 -1.8646 -1.8607 -1.8681
 -1.8825 -1.9062 -1.9413 -1.9849 -2.0318 -2.1531 -2.2782 -2.4070 -2.5359 -2.6621
 -2.7851 -2.9052 -3.0220
 -1.9295 -1.9340 -1.9418 -1.9506 -1.9572 -1.9581 -1.9516 -1.9387 -1.9282 -1.9251
 -1.9321 -1.9502 -1.9766 -2.0143 -2.0588 -2.1770 -2.2975 -2.4214 -2.5474 -2.6716
 -2.7926 -2.9104 -3.0251 -3.1374 -3.2477
 -1.9746 -1.9708 -1.9720 -1.9772 -1.9845 -1.9911 -1.9947 -1.9941 -1.9911 -1.9887
 -1.9918 -2.0039 -2.0233 -2.0514 -2.0888 -2.2007 -2.3174 -2.4361 -2.5581 -2.6802
 -2.7997 -2.9159 -3.0288 -3.1389 -3.2466 -3.3522
 -2.0357 -2.0230 -2.0154 -2.0133 -2.0160 -2.0219 -2.0285 -2.0338 -2.0375 -2.0411
 -2.0471 -2.0581 -2.0750 -2.0966 -2.1267 -2.2253 -2.3374 -2.4515 -2.5688 -2.6881
 -2.8063 -2.9214 -3.0331 -3.1417 -3.2475 -3.3510 -3.4525 -3.5532 -3.6533 -3.7503
 -2.1105 -2.0901 -2.0740 -2.0631 -2.0581 -2.0587 -2.0633 -2.0698 -2.0764 -2.0830
 -2.0911 -2.1026 -2.1193 -2.1398 -2.1658 -2.2525 -2.3571 -2.4671 -2.5798 -2.6955
 -2.8119 -2.9264 -3.0375 -3.1452 -3.2498 -3.3517 -3.4515 -3.5493 -3.6465 -3.7436
 -3.8382
 -2.1786 -2.1638 -2.1467 -2.1276 -2.1140 -2.1067 -2.1054 -2.1087 -2.1150 -2.1225
 -2.1310 -2.1418 -2.1567 -2.1764 -2.2002 -2.2794 -2.3766 -2.4822 -2.5879 -2.7029
 -2.8151 -2.9302 -3.0412 -3.1487 -3.2528 -3.3537 -3.4522 -3.5491 -3.6446 -3.7387
 -3.8314
 -2.2910 -2.2538 -2.2258 -2.2061 -2.1847 -2.1687 -2.1594 -2.1563 -2.1583 -2.1639
 -2.1715 -2.1812 -2.1936 -2.2101 -2.2311 -2.3046 -2.3958 -2.4974 -2.6035 -2.7120
 -2.8228 -2.9348 -3.0456 -3.1535 -3.2578 -3.3587 -3.4566 -3.5519 -3.6450 -3.7368
 -3.8281
 -2.3898 -2.3494 -2.3184 -2.2956 -2.2676 -2.2447 -2.2269 -2.2155 -2.2104 -2.2109
 -2.2153 -2.2226 -2.2325 -2.2455 -2.2623 -2.3268 -2.4126 -2.5096 -2.6131 -2.7193
 -2.8272 -2.9365 -3.0461 -3.1540 -3.2589 -3.3602 -3.4582 -3.5531 -3.6455 -3.7358
 -3.8260
 -2.4859 -2.4508 -2.4167 -2.3835 -2.3510 -2.3211 -2.2955 -2.2886 -2.2749 -2.2676
 -2.2659 -2.2688 -2.2751 -2.2845 -2.2972 -2.3490 -2.4290 -2.5213 -2.6215 -2.7258
 -2.8317 -2.9386 -3.0461 -3.1531 -3.2582 -3.3603 -3.4590 -3.5543 -3.6466 -3.7364
