 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F435W
 -7.3175 -7.0800 -7.1796 -7.0942 -6.9000 -6.5304 -6.0029 -5.6878 -5.3701 -5.0406
 -4.7313 -4.4510 -4.1940 -3.9476 -3.7069 -3.1662 -2.5994 -2.0743 -1.6972
 -7.0751 -6.6794 -6.3722 -6.1632 -6.0315 -5.8633 -5.6011 -5.2851 -4.9615 -4.6444
 -4.3450 -4.0698 -3.8167 -3.5809 -3.3577 -2.8376 -2.3602 -1.9532 -1.6403 -1.4015
 -6.6882 -6.2945 -5.9564 -5.6767 -5.4475 -5.2783 -5.1325 -4.9239 -4.6494 -4.3492
 -4.0582 -3.7881 -3.5425 -3.3175 -3.1095 -2.6439 -2.2306 -1.8725 -1.5920 -1.3773
 -1.2061
 -6.3693 -6.0067 -5.6741 -5.3826 -5.1255 -4.8917 -4.6837 -4.5110 -4.3277 -4.0941
 -3.8337 -3.5780 -3.3401 -3.1232 -2.9255 -2.4982 -2.1338 -1.8195 -1.5633 -1.3674
 -1.2111 -1.0795
 -6.0828 -5.7611 -5.4526 -5.1687 -4.9124 -4.6737 -4.4442 -4.2253 -4.0297 -3.8415
 -3.6408 -3.4203 -3.1992 -2.9909 -2.8002 -2.3972 -2.0665 -1.7829 -1.5493 -1.3678
 -1.2234 -1.1019 -0.9952 -0.8995
 -5.8192 -5.5347 -5.2590 -4.9934 -4.7466 -4.5167 -4.2948 -4.0759 -3.8626 -3.6590
 -3.4713 -3.2892 -3.0999 -2.9084 -2.7247 -2.3342 -2.0242 -1.7621 -1.5452 -1.3743
 -1.2394 -1.1268 -1.0281 -0.9386 -0.8522 -0.7706 -0.6970 -0.6339 -0.5832 -0.5459
 -5.5780 -5.3251 -5.0797 -4.8383 -4.6051 -4.3864 -4.1774 -3.9721 -3.7681 -3.5653
 -3.3709 -3.1899 -3.0189 -2.8507 -2.6836 -2.3028 -2.0018 -1.7546 -1.5478 -1.3836
 -1.2556 -1.1511 -1.0602 -0.9778 -0.9015 -0.8302 -0.7638 -0.7024 -0.6461 -0.5981
 -0.5705
 -5.3586 -5.1324 -4.9120 -4.6949 -4.4801 -4.2714 -4.0732 -3.8827 -3.6945 -3.5051
 -3.3170 -3.1358 -2.9656 -2.8057 -2.6522 -2.2947 -1.9953 -1.7553 -1.5552 -1.3942
 -1.2699 -1.1717 -1.0885 -1.0137 -0.9446 -0.8793 -0.8167 -0.7582 -0.7059 -0.6611
 -0.6247
 -5.1604 -4.9568 -4.7568 -4.5575 -4.3628 -4.1688 -3.9789 -3.7969 -3.6223 -3.4490
 -3.2741 -3.1005 -2.9336 -2.7756 -2.6264 -2.2879 -1.9969 -1.7585 -1.5636 -1.4040
 -1.2806 -1.1860 -1.1095 -1.0428 -0.9815 -0.9236 -0.8687 -0.8166 -0.7687 -0.7252
 -0.6856
 -4.9828 -4.7982 -4.6152 -4.4337 -4.2540 -4.0759 -3.8994 -3.7250 -3.5569 -3.3951
 -3.2353 -3.0749 -2.9157 -2.7625 -2.6166 -2.2856 -2.0038 -1.7683 -1.5754 -1.4170
 -1.2923 -1.1978 -1.1250 -1.0651 -1.0119 -0.9622 -0.9150 -0.8696 -0.8263 -0.7858
 -0.7484
 -4.8228 -4.6509 -4.4808 -4.3127 -4.1465 -3.9822 -3.8198 -3.6589 -3.4989 -3.3430
 -3.1923 -3.0445 -2.8971 -2.7510 -2.6088 -2.2847 -2.0094 -1.7772 -1.5853 -1.4288
 -1.3035 -1.2076 -1.1353 -1.0793 -1.0329 -0.9914 -0.9526 -0.9152 -0.8790 -0.8444
 -0.8119
 -4.6705 -4.4909 -4.3252 -4.1694 -4.0201 -3.8740 -3.7287 -3.5827 -3.4367 -3.2917
 -3.1488 -3.0086 -2.8713 -2.7355 -2.6011 -2.2850 -2.0131 -1.7850 -1.5948
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F435W
 -7.6286 -7.4348 -7.2100 -6.8628 -6.4520 -6.0223 -5.6358 -5.3048 -4.9974 -4.7034
 -4.4233 -4.1641 -3.9269 -3.7069 -3.4992 -3.0243 -2.5560 -2.1112 -1.7477
 -7.0363 -6.6783 -6.4729 -6.3407 -6.0929 -5.7417 -5.3650 -5.0179 -4.7031 -4.4050
 -4.1228 -3.8637 -3.6295 -3.4167 -3.2197 -2.7727 -2.3643 -1.9900 -1.6742 -1.4255
 -6.6892 -6.2904 -5.9754 -5.7437 -5.6019 -5.4347 -5.1459 -4.8111 -4.4906 -4.1918
 -3.9085 -3.6480 -3.4141 -3.2044 -3.0137 -2.5956 -2.2315 -1.9046 -1.6235 -1.3984
 -1.2192
 -6.4374 -6.0478 -5.7115 -5.4217 -5.1815 -4.9950 -4.8416 -4.6286 -4.3407 -4.0482
 -3.7677 -3.5059 -3.2701 -3.0604 -2.8723 -2.4714 -2.1372 -1.8457 -1.5926 -1.3862
 -1.2211 -1.0840
 -6.2310 -5.8669 -5.5347 -5.2438 -4.9874 -4.7500 -4.5333 -4.3428 -4.1640 -3.9359
 -3.6766 -3.4208 -3.1842 -2.9723 -2.7837 -2.3906 -2.0748 -1.8075 -1.5763 -1.3847
 -1.2306 -1.1033 -0.9933 -0.8940
 -6.0616 -5.7161 -5.3994 -5.1099 -4.8521 -4.6163 -4.3886 -4.1661 -3.9588 -3.7731
 -3.5799 -3.3615 -3.1372 -2.9264 -2.7359 -2.3431 -2.0370 -1.7849 -1.5697 -1.3897
 -1.2447 -1.1256 -1.0235 -0.9322 -0.8483 -0.7710 -0.7004 -0.6362 -0.5799 -0.5391
 -5.9011 -5.5827 -5.2862 -5.0048 -4.7473 -4.5147 -4.2966 -4.0816 -3.8670 -3.6597
 -3.4649 -3.2820 -3.0963 -2.9049 -2.7183 -2.3210 -2.0174 -1.7738 -1.5693 -1.3979
 -1.2598 -1.1481 -1.0534 -0.9692 -0.8922 -0.8190 -0.7509 -0.6900 -0.6380 -0.5959
 -0.5630
 -5.7514 -5.4600 -5.1864 -4.9183 -4.6643 -4.4308 -4.2181 -4.0159 -3.8147 -3.6123
 -3.4123 -3.2210 -3.0444 -2.8770 -2.7107 -2.3205 -2.0116 -1.7711 -1.5731 -1.4075
 -1.2741 -1.1679 -1.0802 -1.0035 -0.9334 -0.8668 -0.8042 -0.7470 -0.6962 -0.6525
 -0.6163
 -5.6166 -5.3456 -5.0910 -4.8399 -4.5950 -4.3621 -4.1478 -3.9507 -3.7627 -3.5752
 -3.3856 -3.1963 -3.0153 -2.8477 -2.6915 -2.3280 -2.0160 -1.7726 -1.5776 -1.4158
 -1.2849 -1.1824 -1.1006 -1.0313 -0.9689 -0.9108 -0.8563 -0.8059 -0.7593 -0.7164
 -0.6767
 -5.5001 -5.2387 -4.9978 -4.7690 -4.5387 -4.3133 -4.0977 -3.8978 -3.7137 -3.5383
 -3.3641 -3.1877 -3.0115 -2.8425 -2.6849 -2.3353 -2.0323 -1.7835 -1.5872 -1.4271
 -1.2968 -1.1949 -1.1164 -1.0532 -0.9984 -0.9483 -0.9013 -0.8566 -0.8143 -0.7749
 -0.7387
 -5.3976 -5.1390 -4.9069 -4.6928 -4.4782 -4.2686 -4.0609 -3.8605 -3.6729 -3.4993
 -3.3347 -3.1727 -3.0096 -2.8469 -2.6899 -2.3409 -2.0461 -1.7983 -1.5985 -1.4382
 -1.3081 -1.2054 -1.1273 -1.0676 -1.0192 -0.9769 -0.9381 -0.9012 -0.8658 -0.8322
 -0.8009
 -5.3056 -5.0465 -4.8181 -4.6078 -4.4089 -4.2148 -4.0215 -3.8308 -3.6452 -3.4689
 -3.3046 -3.1494 -2.9983 -2.8478 -2.6980 -2.3505 -2.0575 -1.8125 -1.6108
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F435W
 -7.8104 -7.5015 -7.0507 -6.5594 -6.0633 -5.6259 -5.2852 -4.9834 -4.6988 -4.4333
 -4.1809 -3.9440 -3.7259 -3.5265 -3.3424 -2.9236 -2.5302 -2.1505 -1.8058
 -7.0432 -6.8620 -6.6856 -6.3318 -5.9043 -5.4692 -5.0884 -4.7684 -4.4751 -4.2040
 -3.9471 -3.7076 -3.4888 -3.2913 -3.1116 -2.7152 -2.3594 -2.0279 -1.7256 -1.4682
 -6.6977 -6.3290 -6.1218 -6.0071 -5.7450 -5.3696 -4.9812 -4.6345 -4.3318 -4.0558
 -3.7959 -3.5532 -3.3315 -3.1323 -2.9533 -2.5686 -2.2373 -1.9394 -1.6704 -1.4374
 -1.2460
 -6.5109 -6.0994 -5.7753 -5.5429 -5.4006 -5.2288 -4.9183 -4.5725 -4.2534 -3.9702
 -3.7080 -3.4621 -3.2362 -3.0331 -2.8518 -2.4708 -2.1542 -1.8788 -1.6346 -1.4211
 -1.2434 -1.0969
 -6.3821 -5.9715 -5.6194 -5.3251 -5.0846 -4.8896 -4.7338 -4.5166 -4.2230 -3.9315
