 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F814W
 -1.2878 -1.2854 -1.4701 -1.4848 -1.4174 -1.3014 -1.1542 -1.0596 -0.9746 -0.8839
 -0.7971 -0.7148 -0.6384 -0.5698 -0.5109 -0.3883 -0.3459 -0.3725 -0.3802
 -1.2924 -1.2305 -1.1820 -1.1611 -1.1690 -1.1528 -1.0904 -1.0095 -0.9288 -0.8497
 -0.7727 -0.6999 -0.6331 -0.5737 -0.5226 -0.4308 -0.3868 -0.3792 -0.3918 -0.4148
 -1.1746 -1.1191 -1.0640 -1.0160 -0.9806 -0.9702 -0.9712 -0.9460 -0.8917 -0.8242
 -0.7566 -0.6910 -0.6303 -0.5762 -0.5297 -0.4461 -0.4053 -0.3993 -0.4128 -0.4357
 -0.4641
 -1.0654 -1.0255 -0.9784 -0.9306 -0.8867 -0.8492 -0.8236 -0.8160 -0.8079 -0.7804
 -0.7343 -0.6804 -0.6268 -0.5778 -0.5353 -0.4586 -0.4203 -0.4152 -0.4298 -0.4530
 -0.4809 -0.5124
 -0.9534 -0.9322 -0.8999 -0.8608 -0.8203 -0.7820 -0.7474 -0.7180 -0.6997 -0.6875
 -0.6732 -0.6479 -0.6131 -0.5738 -0.5364 -0.4664 -0.4305 -0.4265 -0.4423 -0.4670
 -0.4954 -0.5266 -0.5605 -0.5973
 -0.8378 -0.8320 -0.8167 -0.7914 -0.7602 -0.7269 -0.6947 -0.6644 -0.6365 -0.6127
 -0.5956 -0.5825 -0.5673 -0.5477 -0.5249 -0.4681 -0.4350 -0.4318 -0.4490 -0.4767
 -0.5071 -0.5392 -0.5732 -0.6092 -0.6473 -0.6881 -0.7318 -0.7789 -0.8295 -0.8837
 -0.7213 -0.7267 -0.7254 -0.7143 -0.6958 -0.6721 -0.6459 -0.6196 -0.5942 -0.5696
 -0.5471 -0.5287 -0.5147 -0.5029 -0.4909 -0.4593 -0.4331 -0.4292 -0.4488 -0.4805
 -0.5148 -0.5493 -0.5846 -0.6210 -0.6586 -0.6967 -0.7367 -0.7805 -0.8294 -0.8836
 -0.9399
 -0.6066 -0.6198 -0.6278 -0.6283 -0.6220 -0.6101 -0.5935 -0.5742 -0.5539 -0.5334
 -0.5134 -0.4947 -0.4784 -0.4656 -0.4555 -0.4367 -0.4236 -0.4224 -0.4422 -0.4770
 -0.5163 -0.5551 -0.5933 -0.6314 -0.6698 -0.7087 -0.7478 -0.7887 -0.8333 -0.8829
 -0.9385
 -0.4964 -0.5148 -0.5284 -0.5365 -0.5399 -0.5381 -0.5322 -0.5225 -0.5098 -0.4951
 -0.4799 -0.4649 -0.4508 -0.4385 -0.4282 -0.4122 -0.4069 -0.4116 -0.4312 -0.4675
 -0.5111 -0.5553 -0.5980 -0.6394 -0.6800 -0.7202 -0.7607 -0.8017 -0.8449 -0.8906
 -0.9384
 -0.3933 -0.4149 -0.4319 -0.4448 -0.4539 -0.4597 -0.4623 -0.4617 -0.4583 -0.4517
 -0.4429 -0.4332 -0.4234 -0.4142 -0.4060 -0.3919 -0.3891 -0.3974 -0.4180 -0.4534
 -0.4988 -0.5473 -0.5952 -0.6412 -0.6855 -0.7283 -0.7705 -0.8122 -0.8542 -0.8972
 -0.9423
 -0.2993 -0.3212 -0.3398 -0.3554 -0.3684 -0.3789 -0.3872 -0.3935 -0.3979 -0.3999
 -0.3991 -0.3962 -0.3920 -0.3873 -0.3828 -0.3743 -0.3731 -0.3833 -0.4052 -0.4390
 -0.4836 -0.5338 -0.5855 -0.6364 -0.6853 -0.7320 -0.7772 -0.8210 -0.8641 -0.9071
 -0.9509
 -0.2134 -0.2267 -0.2428 -0.2602 -0.2779 -0.2945 -0.3094 -0.3219 -0.3322 -0.3406
 -0.3471 -0.3519 -0.3546 -0.3557 -0.3558 -0.3562 -0.3588 -0.3698 -0.3923
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F814W
 -1.5677 -1.5795 -1.5563 -1.4569 -1.3325 -1.2112 -1.1081 -1.0216 -0.9416 -0.8648
 -0.7917 -0.7221 -0.6565 -0.5953 -0.5397 -0.4253 -0.3635 -0.3529 -0.3618
 -1.3986 -1.3385 -1.3240 -1.3335 -1.2788 -1.1805 -1.0805 -0.9947 -0.9184 -0.8466
 -0.7784 -0.7136 -0.6526 -0.5961 -0.5451 -0.4468 -0.3907 -0.3733 -0.3824 -0.4046
 -1.2939 -1.2223 -1.1604 -1.1217 -1.1229 -1.1141 -1.0523 -0.9727 -0.8996 -0.8325
 -0.7692 -0.7089 -0.6520 -0.5995 -0.5522 -0.4617 -0.4100 -0.3931 -0.4021 -0.4241
 -0.4526
 -1.2028 -1.1414 -1.0765 -1.0149 -0.9681 -0.9467 -0.9475 -0.9291 -0.8771 -0.8172
 -0.7593 -0.7036 -0.6507 -0.6018 -0.5577 -0.4736 -0.4254 -0.4089 -0.4176 -0.4398
 -0.4681 -0.5000
 -1.1104 -1.0657 -1.0109 -0.9535 -0.9002 -0.8537 -0.8195 -0.8027 -0.7989 -0.7793
 -0.7405 -0.6936 -0.6460 -0.6008 -0.5597 -0.4813 -0.4363 -0.4203 -0.4289 -0.4520
 -0.4810 -0.5130 -0.5476 -0.5858
 -1.0146 -0.9842 -0.9450 -0.8975 -0.8481 -0.8015 -0.7591 -0.7225 -0.6962 -0.6836
 -0.6750 -0.6577 -0.6291 -0.5934 -0.5569 -0.4841 -0.4421 -0.4269 -0.4355 -0.4602
 -0.4911 -0.5243 -0.5592 -0.5962 -0.6348 -0.6758 -0.7202 -0.7689 -0.8219 -0.8771
 -0.9103 -0.8945 -0.8705 -0.8375 -0.7978 -0.7563 -0.7166 -0.6796 -0.6460 -0.6177
 -0.5971 -0.5847 -0.5741 -0.5596 -0.5397 -0.4816 -0.4429 -0.4286 -0.4372 -0.4634
 -0.4973 -0.5330 -0.5695 -0.6070 -0.6457 -0.6855 -0.7275 -0.7727 -0.8219 -0.8756
 -0.9335
 -0.8046 -0.7975 -0.7870 -0.7673 -0.7409 -0.7088 -0.6750 -0.6421 -0.6110 -0.5817
 -0.5552 -0.5331 -0.5170 -0.5059 -0.4963 -0.4680 -0.4384 -0.4256 -0.4340 -0.4610
 -0.4983 -0.5378 -0.5770 -0.6163 -0.6559 -0.6952 -0.7354 -0.7781 -0.8246 -0.8757
 -0.9321
 -0.7021 -0.6995 -0.6964 -0.6875 -0.6725 -0.6526 -0.6283 -0.6017 -0.5753 -0.5497
 -0.5253 -0.5025 -0.4824 -0.4665 -0.4551 -0.4380 -0.4254 -0.4182 -0.4270 -0.4539
 -0.4936 -0.5375 -0.5810 -0.6235 -0.6652 -0.7066 -0.7485 -0.7920 -0.8372 -0.8837
 -0.9316
 -0.6073 -0.6066 -0.6064 -0.6024 -0.5963 -0.5861 -0.5724 -0.5552 -0.5357 -0.5155
 -0.4956 -0.4764 -0.4581 -0.4417 -0.4282 -0.4095 -0.4042 -0.4057 -0.4166 -0.4426
 -0.4826 -0.5297 -0.5778 -0.6247 -0.6699 -0.7139 -0.7573 -0.8004 -0.8438 -0.8883
 -0.9348
 -0.5255 -0.5202 -0.5191 -0.5173 -0.5168 -0.5126 -0.5066 -0.4985 -0.4880 -0.4750
 -0.4609 -0.4468 -0.4328 -0.4195 -0.4074 -0.3876 -0.3830 -0.3892 -0.4040 -0.4298
 -0.4686 -0.5167 -0.5682 -0.6195 -0.6692 -0.7170 -0.7633 -0.8084 -0.8528 -0.8972
 -0.9423
 -0.4550 -0.4401 -0.4343 -0.4334 -0.4349 -0.4362 -0.4358 -0.4337 -0.4306 -0.4257
