 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -4.9701 -4.9030 -5.1216 -5.0414 -4.8164 -4.5238 -4.2071 -3.9869 -3.7890 -3.5892
 -3.4067 -3.2396 -3.0836 -2.9371 -2.7980 -2.5005 -2.2152 -1.9700 -1.8156
 -4.9733 -4.7053 -4.4953 -4.3535 -4.2696 -4.1501 -3.9596 -3.7492 -3.5531 -3.3690
 -3.1968 -3.0376 -2.8911 -2.7561 -2.6307 -2.3528 -2.1216 -1.9412 -1.8089 -1.7105
 -4.7292 -4.4616 -4.2321 -4.0410 -3.8859 -3.7783 -3.6894 -3.5553 -3.3865 -3.2116
 -3.0503 -2.9013 -2.7644 -2.6391 -2.5243 -2.2768 -2.0773 -1.9216 -1.8056 -1.7175
 -1.6477
 -4.5434 -4.2908 -4.0641 -3.8668 -3.6952 -3.5449 -3.4190 -3.3226 -3.2226 -3.0923
 -2.9464 -2.8060 -2.6773 -2.5595 -2.4518 -2.2237 -2.0457 -1.9098 -1.8066 -1.7273
 -1.6632 -1.6094
 -4.3936 -4.1595 -3.9425 -3.7482 -3.5769 -3.4236 -3.2849 -3.1606 -3.0576 -2.9620
 -2.8577 -2.7388 -2.6184 -2.5061 -2.4039 -2.1883 -2.0235 -1.9007 -1.8089 -1.7380
 -1.6795 -1.6297 -1.5863 -1.5486
 -4.2726 -4.0524 -3.8489 -3.6601 -3.4914 -3.3406 -3.2039 -3.0786 -2.9644 -2.8609
 -2.7665 -2.6735 -2.5740 -2.4716 -2.3731 -2.1654 -2.0081 -1.8932 -1.8096 -1.7467
 -1.6947 -1.6496 -1.6098 -1.5741 -1.5407 -1.5112 -1.4876 -1.4714 -1.4639 -1.4657
 -4.1785 -3.9667 -3.7730 -3.5924 -3.4260 -3.2773 -3.1435 -3.0213 -2.9094 -2.8057
 -2.7088 -2.6175 -2.5296 -2.4417 -2.3532 -2.1517 -1.9975 -1.8852 -1.8069 -1.7509
 -1.7060 -1.6669 -1.6318 -1.5998 -1.5703 -1.5412 -1.5152 -1.4955 -1.4845 -1.4837
 -1.4918
 -4.1092 -3.9015 -3.7121 -3.5375 -3.3758 -3.2277 -3.0948 -2.9751 -2.8662 -2.7654
 -2.6714 -2.5822 -2.4964 -2.4139 -2.3333 -2.1451 -1.9917 -1.8793 -1.8018 -1.7496
 -1.7112 -1.6790 -1.6500 -1.6230 -1.5977 -1.5735 -1.5489 -1.5270 -1.5115 -1.5051
 -1.5097
 -4.0629 -3.8555 -3.6665 -3.4910 -3.3337 -3.1880 -3.0547 -2.9347 -2.8273 -2.7291
 -2.6377 -2.5519 -2.4701 -2.3909 -2.3140 -2.1365 -1.9879 -1.8750 -1.7955 -1.7437
 -1.7092 -1.6834 -1.6614 -1.6409 -1.6211 -1.6016 -1.5826 -1.5646 -1.5500 -1.5390
 -1.5313
 -4.0375 -3.8278 -3.6366 -3.4623 -3.3033 -3.1583 -3.0259 -2.9045 -2.7954 -2.6978
 -2.6085 -2.5253 -2.4468 -2.3710 -2.2979 -2.1292 -1.9853 -1.8730 -1.7916 -1.7374
 -1.7032 -1.6810 -1.6651 -1.6517 -1.6387 -1.6253 -1.6116 -1.5978 -1.5844 -1.5725
 -1.5615
 -4.0281 -3.8154 -3.6215 -3.4448 -3.2838 -3.1370 -3.0034 -2.8816 -2.7703 -2.6702
 -2.5808 -2.4992 -2.4231 -2.3512 -2.2824 -2.1213 -1.9817 -1.8705 -1.7884 -1.7318
 -1.6959 -1.6742 -1.6617 -1.6541 -1.6480 -1.6417 -1.6346 -1.6265 -1.6177 -1.6090
 -1.6014
 -4.0212 -3.8100 -3.6159 -3.4377 -3.2743 -3.1247 -2.9880 -2.8634 -2.7503 -2.6481
 -2.5562 -2.4738 -2.3989 -2.3292 -2.2633 -2.1114 -1.9768 -1.8672 -1.7846
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F555W
 -5.3742 -5.2521 -5.0880 -4.8079 -4.4986 -4.2070 -3.9577 -3.7440 -3.5483 -3.3654
 -3.1957 -3.0411 -2.9005 -2.7719 -2.6529 -2.3950 -2.1627 -1.9607 -1.8114
 -4.9882 -4.7367 -4.5936 -4.5015 -4.3042 -4.0434 -3.7932 -3.5780 -3.3874 -3.2105
 -3.0472 -2.8989 -2.7651 -2.6442 -2.5341 -2.2951 -2.0946 -1.9288 -1.7995 -1.7013
 -4.7819 -4.4989 -4.2721 -4.1031 -4.0056 -3.8882 -3.6846 -3.4679 -3.2777 -3.1074
 -2.9500 -2.8068 -2.6777 -2.5614 -2.4565 -2.2336 -2.0532 -1.9077 -1.7941 -1.7065
 -1.6367
 -4.6500 -4.3659 -4.1224 -3.9117 -3.7394 -3.6127 -3.5184 -3.3861 -3.2083 -3.0405
 -2.8877 -2.7491 -2.6237 -2.5106 -2.4086 -2.1948 -2.0265 -1.8946 -1.7929 -1.7141
 -1.6503 -1.5967
 -4.5622 -4.2826 -4.0351 -3.8217 -3.6370 -3.4724 -3.3311 -3.2166 -3.1183 -2.9931
 -2.8508 -2.7142 -2.5912 -2.4807 -2.3807 -2.1716 -2.0099 -1.8863 -1.7933 -1.7222
 -1.6644 -1.6151 -1.5723 -1.5358
 -4.5152 -4.2315 -3.9827 -3.7636 -3.5740 -3.4072 -3.2554 -3.1169 -2.9968 -2.8984
 -2.8021 -2.6909 -2.5740 -2.4639 -2.3649 -2.1582 -1.9996 -1.8804 -1.7932 -1.7287
 -1.6772 -1.6330 -1.5940 -1.5591 -1.5265 -1.4979 -1.4754 -1.4605 -1.4543 -1.4569
 -4.4857 -4.2042 -3.9553 -3.7311 -3.5349 -3.3648 -3.2140 -3.0760 -2.9483 -2.8337
 -2.7330 -2.6431 -2.5516 -2.4545 -2.3578 -2.1510 -1.9930 -1.8754 -1.7911 -1.7316
 -1.6866 -1.6484 -1.6144 -1.5833 -1.5548 -1.5272 -1.5029 -1.4846 -1.4746 -1.4742
 -1.4830
 -4.4755 -4.1955 -3.9478 -3.7201 -3.5165 -3.3387 -3.1849 -3.0482 -2.9232 -2.8073
 -2.7012 -2.6048 -2.5172 -2.4339 -2.3498 -2.1484 -1.9889 -1.8709 -1.7871 -1.7302
 -1.6906 -1.6590 -1.6309 -1.6051 -1.5808 -1.5556 -1.5318 -1.5123 -1.4995 -1.4953
 -1.5008
