 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.1756 -7.9624 -8.1231 -8.0435 -7.8215 -7.4623 -6.9987 -6.7145 -6.4349 -6.1439
 -5.8676 -5.6119 -5.3739 -5.1479 -4.9281 -4.4342 -3.9209 -3.4400 -3.0932
 -8.0043 -7.6425 -7.3578 -7.1638 -7.0433 -6.8872 -6.6444 -6.3587 -6.0725 -5.7914
 -5.5223 -5.2715 -5.0395 -4.8234 -4.6191 -4.1444 -3.7093 -3.3369 -3.0484 -2.8267
 -7.6655 -7.3055 -6.9917 -6.7311 -6.5191 -6.3655 -6.2350 -6.0469 -5.8017 -5.5342
 -5.2729 -5.0265 -4.8000 -4.5921 -4.4000 -3.9719 -3.5934 -3.2653 -3.0063 -2.8066
 -2.6465
 -7.3868 -7.0570 -6.7489 -6.4768 -6.2382 -6.0244 -5.8372 -5.6842 -5.5226 -5.3152
 -5.0805 -4.8465 -4.6260 -4.4236 -4.2393 -3.8426 -3.5070 -3.2181 -2.9818 -2.7994
 -2.6529 -2.5292
 -7.1342 -6.8456 -6.5618 -6.2968 -6.0573 -5.8369 -5.6285 -5.4320 -5.2584 -5.0916
 -4.9118 -4.7108 -4.5060 -4.3108 -4.1313 -3.7535 -3.4468 -3.1855 -2.9702 -2.8014
 -2.6660 -2.5516 -2.4509 -2.3603
 -6.8996 -6.6477 -6.3982 -6.1518 -5.9205 -5.7056 -5.5012 -5.3024 -5.1104 -4.9279
 -4.7586 -4.5926 -4.4182 -4.2398 -4.0671 -3.6985 -3.4089 -3.1668 -2.9670 -2.8085
 -2.6822 -2.5763 -2.4830 -2.3983 -2.3164 -2.2391 -2.1695 -2.1099 -2.0623 -2.0277
 -6.6833 -6.4615 -6.2430 -6.0225 -5.8054 -5.6000 -5.4044 -5.2147 -5.0285 -4.8449
 -4.6682 -4.5021 -4.3438 -4.1872 -4.0307 -3.6719 -3.3889 -3.1596 -2.9692 -2.8176
 -2.6984 -2.6002 -2.5145 -2.4365 -2.3643 -2.2966 -2.2334 -2.1753 -2.1225 -2.0781
 -2.0529
 -6.4857 -6.2884 -6.0939 -5.8986 -5.7018 -5.5074 -5.3210 -5.1420 -4.9670 -4.7928
 -4.6205 -4.4538 -4.2956 -4.1460 -4.0019 -3.6652 -3.3834 -3.1597 -2.9753 -2.8271
 -2.7121 -2.6204 -2.5422 -2.4716 -2.4063 -2.3445 -2.2851 -2.2297 -2.1803 -2.1386
 -2.1054
 -6.3071 -6.1296 -5.9535 -5.7747 -5.5993 -5.4215 -5.2448 -5.0735 -4.9088 -4.7463
 -4.5839 -4.4231 -4.2676 -4.1193 -3.9786 -3.6590 -3.3849 -3.1623 -2.9820 -2.8353
