 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -5.2124 -5.1405 -5.3486 -5.2749 -5.0669 -4.7926 -4.4931 -4.2884 -4.1034 -3.9152
 -3.7403 -3.5793 -3.4300 -3.2902 -3.1580 -2.8759 -2.6040 -2.3632 -2.2163
 -5.2073 -4.9617 -4.7661 -4.6340 -4.5573 -4.4466 -4.2681 -4.0707 -3.8862 -3.7119
 -3.5477 -3.3952 -3.2546 -3.1249 -3.0044 -2.7367 -2.5134 -2.3383 -2.2090 -2.1120
 -4.9817 -4.7377 -4.5230 -4.3419 -4.1955 -4.0955 -4.0145 -3.8903 -3.7316 -3.5657
 -3.4114 -3.2682 -3.1365 -3.0156 -2.9047 -2.6650 -2.4710 -2.3192 -2.2054 -2.1185
 -2.0493
 -4.8049 -4.5780 -4.3674 -4.1801 -4.0162 -3.8735 -3.7552 -3.6659 -3.5734 -3.4510
 -3.3120 -3.1771 -3.0531 -2.9394 -2.8353 -2.6140 -2.4403 -2.3073 -2.2061 -2.1280
 -2.0645 -2.0110
 -4.6563 -4.4502 -4.2524 -4.0695 -3.9053 -3.7581 -3.6259 -3.5082 -3.4112 -3.3215
 -3.2231 -3.1099 -2.9945 -2.8865 -2.7880 -2.5792 -2.4184 -2.2983 -2.2082 -2.1383
 -2.0806 -2.0311 -1.9879 -1.9501
 -4.5305 -4.3399 -4.1587 -3.9848 -3.8246 -3.6793 -3.5476 -3.4277 -3.3190 -3.2207
 -3.1312 -3.0430 -2.9483 -2.8504 -2.7560 -2.5558 -2.4027 -2.2904 -2.2086 -2.1469
 -2.0956 -2.0510 -2.0114 -1.9757 -1.9419 -1.9115 -1.8869 -1.8696 -1.8610 -1.8618
 -4.4270 -4.2459 -4.0767 -3.9146 -3.7603 -3.6185 -3.4891 -3.3711 -3.2639 -3.1650
 -3.0727 -2.9859 -2.9023 -2.8185 -2.7340 -2.5406 -2.3915 -2.2822 -2.2058 -2.1511
 -2.1069 -2.0683 -2.0335 -2.0016 -1.9719 -1.9427 -1.9164 -1.8959 -1.8835 -1.8807
 -1.8876
 -4.3455 -4.1689 -4.0055 -3.8519 -3.7061 -3.5683 -3.4414 -3.3255 -3.2203 -3.1237
 -3.0340 -2.9492 -2.8677 -2.7892 -2.7125 -2.5324 -2.3847 -2.2758 -2.2005 -2.1497
 -2.1121 -2.0805 -2.0518 -2.0249 -1.9996 -1.9751 -1.9503 -1.9280 -1.9117 -1.9040
 -1.9066
 -4.2856 -4.1096 -3.9472 -3.7935 -3.6552 -3.5235 -3.3994 -3.2850 -3.1811 -3.0863
 -2.9990 -2.9175 -2.8398 -2.7647 -2.6916 -2.5224 -2.3798 -2.2709 -2.1939 -2.1437
 -2.1103 -2.0851 -2.0634 -2.0430 -2.0233 -2.0036 -1.9843 -1.9659 -1.9506 -1.9388
 -1.9301
 -4.2469 -4.0685 -3.9041 -3.7526 -3.6128 -3.4838 -3.3641 -3.2516 -3.1480 -3.0539
 -2.9681 -2.8888 -2.8145 -2.7429 -2.6737 -2.5136 -2.3761 -2.2681 -2.1896 -2.1374
 -2.1043 -2.0829 -2.0674 -2.0541 -2.0411 -2.0276 -2.0138 -1.9995 -1.9857 -1.9732
 -1.9617
 -4.2245 -4.0415 -3.8738 -3.7200 -3.5788 -3.4492 -3.3303 -3.2207 -3.1183 -3.0240
 -2.9384 -2.8604 -2.7882 -2.7205 -2.6558 -2.5040 -2.3713 -2.2648 -2.1859 -2.1315
 -2.0971 -2.0763 -2.0643 -2.0568 -2.0508 -2.0444 -2.0371 -2.0287 -2.0196 -2.0104
 -2.0022
 -4.1998 -4.0103 -3.8397 -3.6855 -3.5452 -3.4169 -3.2987 -3.1894 -3.0884 -2.9955
 -2.9102 -2.8323 -2.7612 -2.6956 -2.6339 -2.4918 -2.3650 -2.2607 -2.1818
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F555W
 -5.5928 -5.4877 -5.3391 -5.0764 -4.7829 -4.5051 -4.2689 -4.0686 -3.8855 -3.7134
 -3.5521 -3.4036 -3.2677 -3.1429 -3.0274 -2.7777 -2.5533 -2.3561 -2.2117
 -5.2396 -5.0097 -4.8785 -4.7948 -4.6089 -4.3603 -4.1214 -3.9174 -3.7377 -3.5704
 -3.4145 -3.2715 -3.1416 -3.0239 -2.9165 -2.6835 -2.4880 -2.3263 -2.1997 -2.1028
 -5.0476 -4.7887 -4.5760 -4.4163 -4.3254 -4.2159 -4.0226 -3.8160 -3.6351 -3.4732
 -3.3224 -3.1840 -3.0584 -2.9451 -2.8426 -2.6247 -2.4481 -2.3055 -2.1940 -2.1075
 -2.0382
 -4.9191 -4.6625 -4.4354 -4.2350 -4.0699 -3.9492 -3.8614 -3.7373 -3.5685 -3.4083
 -3.2616 -3.1274 -3.0053 -2.8951 -2.7957 -2.5868 -2.4218 -2.2923 -2.1924 -2.1146
 -2.0515 -1.9982
 -4.8256 -4.5782 -4.3513 -4.1497 -3.9720 -3.8132 -3.6780 -3.5696 -3.4775 -3.3594
 -3.2234 -3.0914 -2.9718 -2.8641 -2.7668 -2.5632 -2.4051 -2.2839 -2.1925 -2.1224
 -2.0653 -2.0164 -1.9737 -1.9370
 -4.7653 -4.5184 -4.2958 -4.0928 -3.9121 -3.7507 -3.6036 -3.4704 -3.3556 -3.2624
 -3.1712 -3.0649 -2.9520 -2.8450 -2.7489 -2.5486 -2.3941 -2.2776 -2.1920 -2.1287
 -2.0780 -2.0343 -1.9954 -1.9606 -1.9280 -1.8990 -1.8757 -1.8596 -1.8518 -1.8530
 -4.7181 -4.4761 -4.2584 -4.0561 -3.8730 -3.7101 -3.5636 -3.4295 -3.3062 -3.1962
 -3.0998 -3.0138 -2.9260 -2.8324 -2.7390 -2.5394 -2.3865 -2.2720 -2.1897 -2.1315
 -2.0873 -2.0496 -2.0158 -1.9849 -1.9563 -1.9284 -1.9036 -1.8846 -1.8735 -1.8717
 -1.8788
 -4.6882 -4.4480 -4.2348 -4.0341 -3.8494 -3.6830 -3.5353 -3.4022 -3.2805 -3.1682
 -3.0660 -2.9733 -2.8892 -2.8092 -2.7283 -2.5345 -2.3810 -2.2668 -2.1853 -2.1299
 -2.0912 -2.0602 -2.0325 -2.0068 -1.9825 -1.9573 -1.9333 -1.9133 -1.8997 -1.8941
 -1.8977
 -4.6795 -4.4352 -4.2206 -4.0219 -3.8366 -3.6669 -3.5150 -3.3799 -3.2587 -3.1480
 -3.0462 -2.9524 -2.8657 -2.7854 -2.7097 -2.5306 -2.3766 -2.2611 -2.1791 -2.1242
 -2.0888 -2.0638 -2.0430 -2.0237 -2.0049 -1.9865 -1.9687 -1.9532 -1.9401 -1.9293
 -1.9205
 -4.6950 -4.4392 -4.2196 -4.0231 -3.8379 -3.6661 -3.5089 -3.3686 -3.2445 -3.1332
 -3.0322 -2.9394 -2.8533 -2.7730 -2.6975 -2.5262 -2.3768 -2.2588 -2.1745 -2.1178
 -2.0827 -2.0611 -2.0463 -2.0339 -2.0219 -2.0096 -1.9970 -1.9843 -1.9719 -1.9610
 -1.9511
 -4.7302 -4.4604 -4.2331 -4.0340 -3.8483 -3.6756 -3.5153 -3.3687 -3.2381 -3.1228
 -3.0200 -2.9272 -2.8420 -2.7628 -2.6885 -2.5206 -2.3759 -2.2582 -2.1712 -2.1118
 -2.0750 -2.0540 -2.0427 -2.0361 -2.0310 -2.0256 -2.0196 -2.0125 -2.0048 -1.9971
 -1.9904
 -4.7788 -4.4987 -4.2612 -4.0532 -3.8662 -3.6927 -3.5306 -3.3804 -3.2430 -3.1203
 -3.0123 -2.9166 -2.8306 -2.7520 -2.6790 -2.5150 -2.3737 -2.2573 -2.1687
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F555W
 -5.7856 -5.5670 -5.2235 -4.8815 -4.5626 -4.2900 -4.0770 -3.8897 -3.7160 -3.5555
 -3.4054 -3.2667 -3.1403 -3.0255 -2.9209 -2.6955 -2.5046 -2.3387 -2.2007
 -5.3026 -5.1937 -5.0669 -4.7870 -4.4857 -4.2084 -3.9772 -3.7859 -3.6130 -3.4547
 -3.3071 -3.1713 -3.0481 -2.9371 -2.8371 -2.6260 -2.4531 -2.3072 -2.1864 -2.0900
 -5.1097 -4.8575 -4.7127 -4.6339 -4.4312 -4.1682 -3.9248 -3.7215 -3.5481 -3.3920
 -3.2471 -3.1137 -2.9925 -2.8836 -2.7859 -2.5825 -2.4200 -2.2868 -2.1785 -2.0921
 -2.0226
 -5.0233 -4.7383 -4.5059 -4.3342 -4.2345 -4.1170 -3.9067 -3.6923 -3.5101 -3.3542
 -3.2119 -3.0806 -2.9610 -2.8531 -2.7565 -2.5567 -2.4001 -2.2748 -2.1751 -2.0965
 -2.0332 -1.9801
 -4.9793 -4.6877 -4.4343 -4.2189 -4.0411 -3.9042 -3.8073 -3.6752 -3.4976 -3.3333
 -3.1922 -3.0629 -2.9445 -2.8373 -2.7411 -2.5424 -2.3887 -2.2679 -2.1741 -2.1015
 -2.0440 -1.9956 -1.9535 -1.9158
 -4.9660 -4.6692 -4.4062 -4.1769 -3.9770 -3.8048 -3.6593 -3.5413 -3.4436 -3.3219
 -3.1840 -3.0549 -2.9372 -2.8305 -2.7343 -2.5353 -2.3822 -2.2638 -2.1736 -2.1058
 -2.0537 -2.0105 -1.9725 -1.9387 -1.9076 -1.8805 -1.8590 -1.8445 -1.8378 -1.8393
 -4.9794 -4.6767 -4.4046 -4.1653 -3.9570 -3.7760 -3.6154 -3.4712 -3.3458 -3.2424
 -3.1492 -3.0470 -2.9363 -2.8295 -2.7327 -2.5325 -2.3785 -2.2607 -2.1725 -2.1079
 -2.0605 -2.0229 -1.9900 -1.9604 -1.9332 -1.9074 -1.8850 -1.8680 -1.8583 -1.8571
 -1.8649
 -5.0108 -4.7064 -4.4259 -4.1756 -3.9568 -3.7667 -3.6007 -3.4523 -3.3177 -3.1966
 -3.0911 -3.0014 -2.9163 -2.8269 -2.7349 -2.5323 -2.3766 -2.2578 -2.1699 -2.1072
 -2.0634 -2.0312 -2.0042 -1.9798 -1.9570 -1.9357 -1.9147 -1.8964 -1.8838 -1.8789
 -1.8833
 -5.0607 -4.7496 -4.4654 -4.2051 -3.9736 -3.7726 -3.5985 -3.4457 -3.3090 -3.1844
 -3.0715 -2.9713 -2.8828 -2.8025 -2.7248 -2.5331 -2.3745 -2.2538 -2.1653 -2.1029
 -2.0612 -2.0334 -2.0126 -1.9945 -1.9773 -1.9607 -1.9450 -1.9316 -1.9207 -1.9121
 -1.9055
 -5.1314 -4.8130 -4.5230 -4.2582 -4.0158 -3.8007 -3.6144 -3.4530 -3.3117 -3.1852
 -3.0703 -2.9662 -2.8723 -2.7877 -2.7105 -2.5349 -2.3765 -2.2524 -2.1616 -2.0978
 -2.0560 -2.0307 -2.0149 -2.0032 -1.9925 -1.9819 -1.9714 -1.9608 -1.9508 -1.9423
 -1.9368
 -5.2217 -4.8799 -4.5885 -4.3233 -4.0775 -3.8512 -3.6501 -3.4755 -3.3247 -3.1926
 -3.0750 -2.9688 -2.8725 -2.7850 -2.7051 -2.5319 -2.3807 -2.2533 -2.1587 -2.0925
 -2.0492 -2.0239 -2.0110 -2.0046 -2.0005 -1.9966 -1.9924 -1.9873 -1.9818 -1.9764
 -1.9720
 -5.3339 -4.9639 -4.6600 -4.3937 -4.1468 -3.9175 -3.7073 -3.5180 -3.3531 -3.2104
 -3.0860 -2.9759 -2.8770 -2.7874 -2.7056 -2.5296 -2.3822 -2.2564 -2.1577
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F555W
 -5.8116 -5.5062 -5.1259 -4.7854 -4.4763 -4.2096 -3.9978 -3.8156 -3.6494 -3.4930
 -3.3476 -3.2128 -3.0897 -2.9780 -2.8767 -2.6604 -2.4810 -2.3261 -2.1928
 -5.3945 -5.3116 -5.0520 -4.7221 -4.4177 -4.1426 -3.9182 -3.7306 -3.5634 -3.4086
 -3.2649 -3.1323 -3.0114 -2.9025 -2.8045 -2.5996 -2.4344 -2.2953 -2.1782 -2.0823
 -5.1339 -4.9258 -4.8525 -4.6781 -4.3929 -4.1203 -3.8789 -3.6810 -3.5117 -3.3582
 -3.2165 -3.0856 -2.9662 -2.8586 -2.7621 -2.5627 -2.4053 -2.2761 -2.1696 -2.0830
 -2.0132
 -5.0577 -4.7663 -4.5546 -4.4411 -4.3408 -4.1167 -3.8741 -3.6602 -3.4835 -3.3296
 -3.1897 -3.0605 -2.9421 -2.8351 -2.7391 -2.5416 -2.3883 -2.2650 -2.1657 -2.0861
 -2.0222 -1.9690
 -5.0366 -4.7238 -4.4617 -4.2541 -4.1022 -4.0046 -3.8687 -3.6668 -3.4757 -3.3156
 -3.1764 -3.0486 -2.9312 -2.8245 -2.7284 -2.5308 -2.3789 -2.2590 -2.1643 -2.0900
 -2.0314 -1.9828 -1.9409 -1.9036
 -5.0508 -4.7234 -4.4420 -4.2037 -4.0062 -3.8423 -3.7141 -3.6124 -3.4795 -3.3169
 -3.1719 -3.0449 -2.9282 -2.8217 -2.7254 -2.5264 -2.3742 -2.2557 -2.1639 -2.0935
 -2.0395 -1.9959 -1.9582 -1.9247 -1.8951 -1.8697 -1.8489 -1.8345 -1.8280 -1.8304
 -5.0962 -4.7547 -4.4560 -4.2001 -3.9828 -3.7977 -3.6377 -3.4987 -3.3847 -3.2850
 -3.1697 -3.0472 -2.9305 -2.8239 -2.7272 -2.5261 -2.3722 -2.2536 -2.1632 -2.0954
 -2.0453 -2.0066 -1.9739 -1.9447 -1.9183 -1.8947 -1.8744 -1.8584 -1.8482 -1.8475
 -1.8560
 -5.1618 -4.8140 -4.4988 -4.2248 -3.9908 -3.7919 -3.6205 -3.4692 -3.3340 -3.2152
 -3.1143 -3.0236 -2.9288 -2.8290 -2.7323 -2.5286 -2.3722 -2.2520 -2.1617 -2.0952
 -2.0478 -2.0135 -1.9864 -1.9624 -1.9405 -1.9202 -1.9006 -1.8838 -1.8725 -1.8686
 -1.8734
 -5.2448 -4.8888 -4.5647 -4.2736 -4.0212 -3.8065 -3.6235 -3.4648 -3.3237 -3.1963
