 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F438W
 -9.5348 -9.2986 -9.3820 -9.2598 -9.0778 -8.6975 -8.1333 -7.7981 -7.4791 -7.1571
 -6.8563 -6.5749 -6.3064 -6.0446 -5.7894 -5.2308 -4.6337 -4.0925 -3.7092
 -9.2745 -8.8497 -8.5227 -8.3009 -8.1604 -7.9841 -7.7128 -7.3871 -7.0595 -6.7450
 -6.4462 -6.1658 -5.9032 -5.6562 -5.4219 -4.8782 -4.3847 -3.9678 -3.6492 -3.4081
 -8.8764 -8.4500 -8.0878 -7.7914 -7.5499 -7.3720 -7.2200 -7.0064 -6.7310 -6.4329
 -6.1440 -5.8704 -5.6162 -5.3808 -5.1625 -4.6771 -4.2519 -3.8869 -3.6017 -3.3849
 -3.2129
 -8.5547 -8.1576 -7.7974 -7.4858 -7.2140 -6.9690 -6.7534 -6.5764 -6.3922 -6.1613
 -5.9034 -5.6467 -5.4027 -5.1767 -4.9701 -4.5260 -4.1529 -3.8336 -3.5742 -3.3762
 -3.2190 -3.0866
 -8.2707 -7.9143 -7.5760 -7.2685 -6.9949 -6.7436 -6.5052 -6.2813 -6.0854 -5.8991
 -5.6996 -5.4777 -5.2523 -5.0372 -4.8388 -4.4213 -4.0837 -3.7968 -3.5611 -3.3776
 -3.2321 -3.1097 -3.0018 -2.9044
 -8.0140 -7.6951 -7.3892 -7.0973 -6.8299 -6.5850 -6.3527 -6.1273 -5.9118 -5.7100
 -5.5235 -5.3397 -5.1463 -4.9491 -4.7591 -4.3557 -4.0399 -3.7758 -3.5577 -3.3850
 -3.2488 -3.1352 -3.0351 -2.9438 -2.8548 -2.7702 -2.6936 -2.6279 -2.5753 -2.5371
 -7.7839 -7.4970 -7.2214 -6.9531 -6.6966 -6.4595 -6.2371 -6.0229 -5.8142 -5.6112
 -5.4177 -5.2354 -5.0609 -4.8878 -4.7152 -4.3227 -4.0162 -3.7680 -3.5605 -3.3949
 -3.2657 -3.1600 -3.0677 -2.9835 -2.9050 -2.8315 -2.7626 -2.6984 -2.6386 -2.5870
 -2.5581
 -7.5797 -7.3198 -7.0691 -6.8249 -6.5860 -6.3562 -6.1409 -5.9380 -5.7418 -5.5487
 -5.3598 -5.1777 -5.0044 -4.8401 -4.6819 -4.3137 -4.0087 -3.7676 -3.5676 -3.4057
 -3.2804 -3.1811 -3.0966 -3.0200 -2.9487 -2.8809 -2.8156 -2.7544 -2.6990 -2.6508
 -2.6107
 -7.4006 -7.1631 -6.9325 -6.7052 -6.4860 -6.2701 -6.0609 -5.8629 -5.6762 -5.4950
 -5.3161 -5.1403 -4.9704 -4.8083 -4.6546 -4.3063 -4.0096 -3.7699 -3.5753 -3.4155
 -3.2914 -3.1960 -3.1183 -3.0499 -2.9864 -2.9260 -2.8682 -2.8131 -2.7622 -2.7155
 -2.6727
 -7.2458 -7.0266 -6.8123 -6.6025 -6.3973 -6.1962 -5.9991 -5.8067 -5.6233 -5.4495
 -5.2813 -5.1154 -4.9521 -4.7946 -4.6443 -4.3035 -4.0159 -3.7787 -3.5861 -3.4281
 -3.3032 -3.2084 -3.1347 -3.0732 -3.0180 -2.9658 -2.9158 -2.8674 -2.8210 -2.7773
 -2.7371
 -7.1110 -6.9034 -6.7011 -6.5036 -6.3108 -6.1225 -5.9383 -5.7578 -5.5805 -5.4098
 -5.2471 -5.0901 -4.9358 -4.7841 -4.6368 -4.3022 -4.0209 -3.7866 -3.5948 -3.4390
 -3.3142 -3.2184 -3.1458 -3.0888 -3.0406 -2.9968 -2.9552 -2.9149 -2.8755 -2.8377
 -2.8020
 -6.9812 -6.7669 -6.5688 -6.3829 -6.2057 -6.0340 -5.8654 -5.6983 -5.5334 -5.3719
 -5.2146 -5.0624 -4.9154 -4.7717 -4.6307 -4.3023 -4.0237 -3.7931 -3.6028
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F438W
 -9.8578 -9.6502 -9.4162 -9.0649 -8.6479 -8.1962 -7.7788 -7.4244 -7.1019 -6.8018
 -6.5200 -6.2594 -6.0180 -5.7907 -5.5738 -5.0786 -4.5875 -4.1275 -3.7564
 -9.2282 -8.8498 -8.6355 -8.4991 -8.2484 -7.8895 -7.4938 -7.1232 -6.7925 -6.4882
 -6.2046 -5.9444 -5.7061 -5.4861 -5.2802 -4.8118 -4.3876 -4.0035 -3.6821 -3.4300
 -8.8630 -8.4370 -8.1069 -7.8674 -7.7205 -7.5481 -7.2501 -6.9001 -6.5635 -6.2578
 -5.9737 -5.7136 -5.4772 -5.2616 -5.0631 -4.6264 -4.2502 -3.9168 -3.6319 -3.4041
 -3.2236
 -8.6057 -8.1834 -7.8255 -7.5220 -7.2727 -7.0790 -6.9181 -6.6959 -6.3972 -6.0978
 -5.8169 -5.5573 -5.3215 -5.1081 -4.9137 -4.4967 -4.1527 -3.8567 -3.6016 -3.3931
 -3.2266 -3.0889
 -8.4030 -8.0023 -7.6426 -7.3336 -7.0653 -6.8178 -6.5914 -6.3921 -6.2061 -5.9724
 -5.7125 -5.4596 -5.2255 -5.0124 -4.8193 -4.4124 -4.0881 -3.8175 -3.5856 -3.3926
 -3.2373 -3.1091 -2.9981 -2.8975
 -8.2451 -7.8606 -7.5115 -7.1978 -6.9238 -6.6766 -6.4387 -6.2072 -5.9931 -5.8039
 -5.6107 -5.3935 -5.1708 -4.9603 -4.7672 -4.3626 -4.0487 -3.7939 -3.5788 -3.3984
 -3.2522 -3.1321 -3.0289 -2.9363 -2.8506 -2.7713 -2.6982 -2.6314 -2.5726 -2.5304
 -8.1034 -7.7439 -7.4120 -7.1013 -6.8215 -6.5736 -6.3445 -6.1204 -5.8989 -5.6886
 -5.4942 -5.3135 -5.1286 -4.9361 -4.7468 -4.3390 -4.0279 -3.7818 -3.5778 -3.4068
 -3.2679 -3.1552 -3.0594 -2.9737 -2.8948 -2.8192 -2.7485 -2.6849 -2.6303 -2.5857
 -2.5506
 -7.9765 -7.6440 -7.3336 -7.0330 -6.7516 -6.4968 -6.2691 -6.0563 -5.8474 -5.6402
 -5.4397 -5.2509 -5.0760 -4.9078 -4.7387 -4.3379 -4.0212 -3.7780 -3.5806 -3.4161
 -3.2825 -3.1755 -3.0867 -3.0085 -2.9365 -2.8677 -2.8028 -2.7429 -2.6891 -2.6420
 -2.6021
 -7.8696 -7.5570 -7.2651 -6.9798 -6.7045 -6.4456 -6.2105 -5.9983 -5.7999 -5.6056
 -5.4129 -5.2244 -5.0451 -4.8774 -4.7189 -4.3455 -4.0251 -3.7785 -3.5840 -3.4238
 -3.2932 -3.1902 -3.1075 -3.0369 -2.9727 -2.9123 -2.8553 -2.8021 -2.7527 -2.7066
 -2.6637
 -7.7874 -7.4809 -7.2023 -6.9398 -6.6772 -6.4231 -6.1826 -5.9622 -5.7627 -5.5765
 -5.3956 -5.2164 -5.0402 -4.8711 -4.7117 -4.3533 -4.0417 -3.7887 -3.5925 -3.4340
 -3.3048 -3.2029 -3.1239 -3.0595 -3.0031 -2.9508 -2.9013 -2.8538 -2.8086 -2.7661
 -2.7272
 -7.7207 -7.4151 -7.1446 -6.8964 -6.6482 -6.4093 -6.1743 -5.9499 -5.7421 -5.5529
 -5.3768 -5.2074 -5.0403 -4.8758 -4.7167 -4.3592 -4.0561 -3.8032 -3.6027 -3.4439
 -3.3152 -3.2132 -3.1352 -3.0749 -3.0252 -2.9810 -2.9398 -2.9001 -2.8618 -2.8251
 -2.7907
 -7.6587 -7.3597 -7.0922 -6.8450 -6.6120 -6.3869 -6.1649 -5.9484 -5.7398 -5.5440
 -5.3639 -5.1966 -5.0368 -4.8805 -4.7267 -4.3698 -4.0680 -3.8174 -3.6140
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F438W
-10.0519 -9.7347 -9.2920 -8.8103 -8.2955 -7.8242 -7.4526 -7.1254 -6.8182 -6.5365
 -6.2728 -6.0291 -5.8064 -5.6019 -5.4111 -4.9720 -4.5597 -4.1654 -3.8116
 -9.2331 -9.0451 -8.8692 -8.5262 -8.1045 -7.6519 -7.2400 -6.8928 -6.5770 -6.2902
 -6.0228 -5.7772 -5.5545 -5.3524 -5.1665 -4.7519 -4.3807 -4.0389 -3.7305 -3.4698
 -8.8598 -8.4763 -8.2670 -8.1543 -7.8978 -7.5222 -7.1167 -6.7438 -6.4181 -6.1262
 -5.8563 -5.6084 -5.3840 -5.1817 -4.9978 -4.5974 -4.2533 -3.9478 -3.6750 -3.4399
 -3.2470
 -8.6625 -8.2261 -7.8921 -7.6583 -7.5161 -7.3435 -7.0279 -6.6675 -6.3273 -6.0270
 -5.7550 -5.5046 -5.2774 -5.0730 -4.8887 -4.4946 -4.1668 -3.8854 -3.6389 -3.4246
 -3.2457 -3.0983
 -8.5366 -8.0921 -7.7208 -7.4177 -7.1740 -6.9755 -6.8148 -6.5899 -6.2844 -5.9776
 -5.7024 -5.4496 -5.2188 -5.0109 -4.8240 -4.4300 -4.1110 -3.8448 -3.6168 -3.4192
 -3.2523 -3.1140 -2.9972 -2.8957
 -8.4543 -8.0140 -7.6240 -7.2938 -7.0140 -6.7711 -6.5535 -6.3565 -6.1735 -5.9426
 -5.6798 -5.4291 -5.1959 -4.9836 -4.7926 -4.3933 -4.0769 -3.8197 -3.6043 -3.4199
 -3.2635 -3.1334 -3.0238 -2.9281 -2.8426 -2.7644 -2.6911 -2.6209 -2.5579 -2.5202
 -8.4034 -7.9728 -7.5771 -7.2281 -6.9303 -6.6755 -6.4426 -6.2176 -6.0046 -5.8127
 -5.6248 -5.4148 -5.1936 -4.9815 -4.7864 -4.3777 -4.0588 -3.8057 -3.5984 -3.4238
 -3.2762 -3.1534 -3.0508 -2.9619 -2.8817 -2.8083 -2.7405 -2.6775 -2.6183 -2.5668
 -2.5389
 -8.3674 -7.9569 -7.5635 -7.2036 -6.8863 -6.6134 -6.3757 -6.1546 -5.9382 -5.7279
 -5.5320 -5.3515 -5.1729 -4.9860 -4.7972 -4.3793 -4.0534 -3.8001 -3.5970 -3.4291
 -3.2885 -3.1720 -3.0758 -2.9938 -2.9203 -2.8527 -2.7889 -2.7297 -2.6761 -2.6290
 -2.5889
 -8.3444 -7.9502 -7.5689 -7.2068 -6.8755 -6.5834 -6.3307 -6.1076 -5.8990 -5.6942
 -5.4939 -5.3037 -5.1259 -4.9594 -4.7957 -4.3936 -4.0566 -3.7989 -3.5971 -3.4332
 -3.2976 -3.1860 -3.0954 -3.0201 -2.9539 -2.8933 -2.8369 -2.7847 -2.7363 -2.6916
 -2.6501
 -8.3359 -7.9555 -7.5889 -7.2359 -6.9005 -6.5932 -6.3209 -6.0834 -5.8729 -5.6762
 -5.4843 -5.2961 -5.1144 -4.9431 -4.7835 -4.4140 -4.0775 -3.8088 -3.6037 -3.4407
 -3.3075 -3.1988 -3.1118 -3.0418 -2.9827 -2.9297 -2.8807 -2.8342 -2.7905 -2.7498
 -2.7128
 -8.3387 -7.9518 -7.6029 -7.2677 -6.9426 -6.6316 -6.3449 -6.0886 -5.8636 -5.6631
 -5.4771 -5.2974 -5.1209 -4.9491 -4.7856 -4.4230 -4.1032 -3.8282 -3.6147 -3.4494
 -3.3167 -3.2091 -3.1238 -3.0573 -3.0040 -2.9584 -2.9173 -2.8785 -2.8415 -2.8065
 -2.7739
 -8.3468 -7.9527 -7.6055 -7.2870 -6.9777 -6.6776 -6.3913 -6.1234 -5.8814 -5.6667
 -5.4749 -5.2982 -5.1291 -4.9636 -4.8018 -4.4337 -4.1219 -3.8523 -3.6310
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F438W
-10.1006 -9.6768 -9.1705 -8.6606 -8.1484 -7.6867 -7.3205 -7.0039 -6.7114 -6.4376
 -6.1826 -5.9459 -5.7294 -5.5319 -5.3496 -4.9358 -4.5527 -4.1854 -3.8422
 -9.3309 -9.1910 -8.8818 -8.4610 -8.0064 -7.5415 -7.1419 -6.8043 -6.5010 -6.2227
 -5.9636 -5.7246 -5.5073 -5.3105 -5.1309 -4.7348 -4.3829 -4.0576 -3.7591 -3.4972
 -8.8650 -8.5576 -8.4477 -8.2424 -7.8799 -7.4668 -7.0479 -6.6841 -6.3691 -6.0850
 -5.8231 -5.5814 -5.3615 -5.1633 -4.9839 -4.5964 -4.2639 -3.9671 -3.7004 -3.4644
 -3.2654
 -8.6812 -8.2508 -7.9598 -7.8098 -7.6793 -7.3829 -7.0100 -6.6328 -6.2991 -6.0059
 -5.7413 -5.4966 -5.2734 -5.0721 -4.8906 -4.5052 -4.1838 -3.9054 -3.6611 -3.4458
 -3.2615 -3.1079
 -8.5888 -8.1253 -7.7526 -7.4753 -7.2766 -7.1372 -6.9338 -6.6167 -6.2810 -5.9728
 -5.7024 -5.4549 -5.2277 -5.0221 -4.8370 -4.4483 -4.1318 -3.8649 -3.6361 -3.4368
 -3.2652 -3.1209 -2.9994 -2.8946
