 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F336W
-12.5870-11.8976-11.3944-11.0425-10.7879-10.5841-10.4169-10.2271-10.0176 -9.7790
 -9.4931 -9.0698 -8.7521 -8.4104 -8.0573 -7.0213 -5.8650 -5.1344 -4.4098
-11.5105-11.0280-10.6582-10.3899-10.1962-10.0227 -9.8433 -9.6495 -9.4359 -9.1945
 -8.9005 -8.5412 -8.1456 -7.7472 -7.3507 -6.3166 -5.3633 -4.6313 -4.1387 -3.8170
-11.1984-10.6762-10.2199 -9.8346 -9.5248 -9.2927 -9.1250 -8.9741 -8.8012 -8.5840
 -8.3220 -8.0008 -7.6194 -7.2302 -6.8496 -5.9110 -5.0272 -4.3387 -3.8813 -3.5898
 -3.4088
-10.9840-10.4350 -9.9384 -9.4972 -9.1129 -8.7862 -8.5152 -8.2983 -8.1210 -7.9409
 -7.7201 -7.4527 -7.1233 -6.7581 -6.3988 -5.5461 -4.7528 -4.1055 -3.6722 -3.4021
 -3.2374 -3.1424
-10.8095-10.2523 -9.7377 -9.2686 -8.8468 -8.4716 -8.1412 -7.8520 -7.5997 -7.3792
 -7.1697 -6.9396 -6.6687 -6.3524 -6.0243 -5.2540 -4.5474 -3.9405 -3.5148 -3.2523
 -3.0953 -3.0049 -2.9592 -2.9445
-10.6534-10.1039 -9.5879 -9.1079 -8.6670 -8.2670 -7.9053 -7.5791 -7.2852 -7.0184
 -6.7739 -6.5420 -6.3059 -6.0373 -5.7467 -5.0403 -4.4080 -3.8424 -3.4143 -3.1416
 -2.9808 -2.8887 -2.8401 -2.8216 -2.8242 -2.8390 -2.8584 -2.8763 -2.8878 -2.8896
-10.5172 -9.9782 -9.4726 -8.9955 -8.5494 -8.1374 -7.7594 -7.4132 -7.0963 -6.8062
 -6.5385 -6.2888 -6.0526 -5.8114 -5.5567 -4.9043 -4.3213 -3.7978 -3.3682 -3.0742
 -2.8951 -2.7926 -2.7369 -2.7119 -2.7082 -2.7187 -2.7371 -2.7579 -2.7768 -2.7899
 -2.7936
-10.4027 -9.8812 -9.3875 -8.9199 -8.4793 -8.0657 -7.6796 -7.3227 -6.9933 -6.6881
 -6.4064 -6.1450 -5.9008 -5.6651 -5.4284 -4.8323 -4.2730 -3.7856 -3.3643 -3.0491
 -2.8425 -2.7188 -2.6499 -2.6153 -2.6036 -2.6080 -2.6227 -2.6426 -2.6638 -2.6827
 -2.6972
-10.3250 -9.8124 -9.3288 -8.8718 -8.4402 -8.0312 -7.6451 -7.2835 -6.9463 -6.6323
 -6.3401 -6.0685 -5.8162 -5.5778 -5.3452 -4.7866 -4.2536 -3.7836 -3.3788 -3.0536
 -2.8210 -2.6701 -2.5804 -2.5318 -2.5101 -2.5067 -2.5160 -2.5307 -2.5488 -2.5701
 -2.5942
-10.2841 -9.7718 -9.3142 -8.8622 -8.4367 -8.0348 -7.6531 -7.2913 -6.9503 -6.6303
 -6.3303 -6.0496 -5.7876 -5.5427 -5.3093 -4.7655 -4.2590 -3.7991 -3.4046 -3.0791
 -2.8296 -2.6528 -2.5372 -2.4680 -2.4314 -2.4168 -2.4177 -2.4290 -2.4423 -2.4632
 -2.4898
-10.2799 -9.7594 -9.3437 -8.8852 -8.4585 -8.0581 -7.6810 -7.3224 -6.9812 -6.6578
 -6.3523 -6.0644 -5.7937 -5.5399 -5.3009 -4.7564 -4.2686 -3.8214 -3.4324 -3.1082
 -2.8513 -2.6577 -2.5194 -2.4275 -2.3717 -2.3423 -2.3320 -2.3349 -2.3469 -2.3647
 -2.3852
-10.3125 -9.7752 -9.4173 -8.9382 -8.5070 -8.1011 -7.7213 -7.3633 -7.0229 -6.6985
