 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.6448  1.6234  1.5967  1.5662  1.5355  1.5065  1.4752  1.4457  1.4218  1.4059
  1.3965  1.3972  1.3870  1.3801  1.3715  1.3323  1.2550  1.1619  1.0635
  1.6528  1.6327  1.6032  1.5653  1.5230  1.4891  1.4610  1.4346  1.4093  1.3860
  1.3677  1.3558  1.3484  1.3402  1.3286  1.2794  1.2083  1.1247  1.0371  0.9482
  1.6478  1.6168  1.5879  1.5592  1.5276  1.4906  1.4509  1.4200  1.3970  1.3772
  1.3568  1.3380  1.3244  1.3133  1.3004  1.2529  1.1838  1.1017  1.0156  0.9287
  0.8419
  1.6542  1.6174  1.5847  1.5546  1.5252  1.4946  1.4619  1.4270  1.3939  1.3688
  1.3495  1.3296  1.3108  1.2951  1.2798  1.2313  1.1643  1.0836  0.9982  0.9124
  0.8272  0.7425
  1.6737  1.6317  1.5942  1.5606  1.5295  1.4991  1.4683  1.4370  1.4054  1.3751
  1.3489  1.3269  1.3054  1.2859  1.2671  1.2155  1.1498  1.0703  0.9849  0.8991
  0.8146  0.7309  0.6480  0.5658
  1.7001  1.6549  1.6134  1.5760  1.5419  1.5096  1.4782  1.4470  1.4158  1.3854
  1.3569  1.3309  1.3063  1.2836  1.2621  1.2054  1.1398  1.0616  0.9758  0.8892
  0.8040  0.7204  0.6382  0.5568  0.4755  0.3940  0.3119  0.2289  0.1450  0.0600
  1.7233  1.6810  1.6380  1.5979  1.5609  1.5262  1.4929  1.4606  1.4285  1.3970
  1.3667  1.3383  1.3114  1.2858  1.2618  1.2009  1.1338  1.0569  0.9713  0.8832
  0.7964  0.7118  0.6291  0.5480  0.4682  0.3897  0.3112  0.2315  0.1494  0.0650
 -0.0191
  1.7411  1.7024  1.6621  1.6222  1.5835  1.5468  1.5118  1.4779  1.4444  1.4115
  1.3794  1.3484  1.3190  1.2910  1.2645  1.1999  1.1311  1.0551  0.9705  0.8816
  0.7928  0.7061  0.6220  0.5401  0.4601  0.3816  0.3046  0.2277  0.1497  0.0694
 -0.0138
  1.7430  1.7121  1.6784  1.6422  1.6049  1.5681  1.5322  1.4971  1.4624  1.4281
  1.3944  1.3614  1.3294  1.2986  1.2695  1.2005  1.1301  1.0540  0.9708  0.8822
  0.7920  0.7030  0.6164  0.5326  0.4513  0.3723  0.2949  0.2179  0.1411  0.0645
 -0.0118
  1.7289  1.7101  1.6822  1.6530  1.6206  1.5863  1.5513  1.5164  1.4814  1.4465
  1.4116  1.3770  1.3431  1.3099  1.2780  1.2036  1.1311  1.0550  0.9731  0.8858
  0.7958  0.7053  0.6165  0.5301  0.4468  0.3663  0.2880  0.2117  0.1335  0.0590
 -0.0130
  1.6990  1.6964  1.6735  1.6484  1.6240  1.5955  1.5643  1.5316  1.4980  1.4636
  1.4287  1.3934  1.3582  1.3233  1.2892  1.2087  1.1332  1.0566  0.9754  0.8896
  0.8006  0.7102  0.6201  0.5316  0.4457  0.3628  0.2828  0.2053  0.1299  0.0559
 -0.0173
  1.6531  1.6710  1.6523  1.6269  1.6109  1.5905  1.5659  1.5380  1.5079  1.4761
  1.4428  1.4083  1.3730  1.3373  1.3031  1.2158  1.1364  1.0588  0.9777
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  J   
  1.7118  1.6735  1.6307  1.5853  1.5400  1.4972  1.4571  1.4223  1.3950  1.3761
  1.3653  1.3622  1.3575  1.3526  1.3448  1.3082  1.2431  1.1607  1.0669
  1.6947  1.6614  1.6175  1.5775  1.5393  1.4996  1.4597  1.4221  1.3893  1.3628
  1.3437  1.3320  1.3251  1.3182  1.3088  1.2691  1.2069  1.1278  1.0413  0.9528
  1.6607  1.6339  1.6052  1.5714  1.5280  1.4843  1.4493  1.4185  1.3887  1.3601
  1.3353  1.3160  1.3034  1.2935  1.2823  1.2414  1.1813  1.1050  1.0204  0.9338
  0.8469
  1.6457  1.6143  1.5851  1.5564  1.5259  1.4919  1.4518  1.4112  1.3801  1.3560
  1.3330  1.3106  1.2918  1.2776  1.2636  1.2208  1.1613  1.0871  1.0038  0.9182
  0.8329  0.7479
  1.6499  1.6124  1.5789  1.5486  1.5196  1.4900  1.4588  1.4258  1.3902  1.3568
  1.3316  1.3094  1.2885  1.2700  1.2533  1.2066  1.1468  1.0738  0.9912  0.9058
  0.8209  0.7369  0.6536  0.5704
  1.6698  1.6259  1.5869  1.5526  1.5215  1.4919  1.4625  1.4326  1.4023  1.3718
  1.3416  1.3150  1.2911  1.2695  1.2496  1.1982  1.1373  1.0650  0.9828  0.8966
  0.8110  0.7270  0.6443  0.5624  0.4811  0.3997  0.3177  0.2341  0.1480  0.0628
  1.7003  1.6514  1.6071  1.5679  1.5331  1.5012  1.4709  1.4411  1.4112  1.3819
  1.3535  1.3261  1.2994  1.2748  1.2522  1.1950  1.1322  1.0601  0.9784  0.8912
  0.8041  0.7189  0.6358  0.5542  0.4738  0.3941  0.3145  0.2344  0.1527  0.0680
 -0.0162
  1.7340  1.6839  1.6363  1.5927  1.5537  1.5184  1.4855  1.4542  1.4234  1.3932
  1.3639  1.3358  1.3086  1.2824  1.2575  1.1966  1.1307  1.0583  0.9773  0.8899
  0.8009  0.7137  0.6291  0.5467  0.4662  0.3871  0.3088  0.2310  0.1528  0.0726
 -0.0109
  1.7626  1.7160  1.6688  1.6233  1.5810  1.5421  1.5062  1.4724  1.4396  1.4077
  1.3765  1.3464  1.3175  1.2898  1.2633  1.1993  1.1315  1.0580  0.9775  0.8905
  0.8003  0.7108  0.6238  0.5396  0.4579  0.3783  0.3003  0.2234  0.1469  0.0701
 -0.0088
  1.7799  1.7409  1.6985  1.6549  1.6120  1.5710  1.5323  1.4958  1.4608  1.4267
  1.3935  1.3609  1.3296  1.2995  1.2708  1.2030  1.1341  1.0599  0.9800  0.8941
  0.8042  0.7134  0.6241  0.5374  0.4537  0.3726  0.2938  0.2169  0.1413  0.0662
 -0.0098
  1.7837  1.7532  1.7190  1.6807  1.6408  1.6003  1.5607  1.5224  1.4853  1.4492
  1.4139  1.3791  1.3453  1.3126  1.2812  1.2079  1.1369  1.0623  0.9828  0.8981
  0.8092  0.7185  0.6279  0.5390  0.4527  0.3694  0.2888  0.2108  0.1348  0.0602
 -0.0136
  1.7731  1.7519  1.7258  1.6953  1.6613  1.6247  1.5867  1.5486  1.5108  1.4735
  1.4367  1.4001  1.3565  1.3237  1.2945  1.2140  1.1399  1.0652  0.9859
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  J   
  1.7610  1.7112  1.6580  1.6034  1.5495  1.4986  1.4529  1.4142  1.3839  1.3625
  1.3501  1.3442  1.3412  1.3365  1.3286  1.2933  1.2362  1.1619  1.0735
  1.7526  1.7113  1.6639  1.6124  1.5593  1.5072  1.4585  1.4151  1.3787  1.3502
  1.3304  1.3185  1.3114  1.3044  1.2951  1.2585  1.2034  1.1315  1.0481  0.9601
  1.7264  1.6952  1.6516  1.6063  1.5616  1.5151  1.4682  1.4239  1.3841  1.3503
  1.3235  1.3046  1.2925  1.2828  1.2718  1.2330  1.1781  1.1086  1.0279  0.9420
  0.8550
