 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F350LP
 -2.6972 -2.6497 -2.5993 -2.5505 -2.5012 -2.4610 -2.4854 -2.4588 -2.4220 -2.3676
 -2.2977 -2.2326 -2.1513 -2.0619 -1.9774 -1.8044 -1.6825 -1.6020 -1.5442
 -2.6446 -2.5381 -2.4676 -2.4295 -2.4167 -2.4022 -2.3775 -2.3464 -2.3116 -2.2724
 -2.2214 -2.1554 -2.0791 -2.0027 -1.9316 -1.7839 -1.6758 -1.6013 -1.5508 -1.5162
 -2.5855 -2.4931 -2.4123 -2.3466 -2.3000 -2.2758 -2.2696 -2.2591 -2.2328 -2.1931
 -2.1495 -2.0994 -2.0365 -1.9683 -1.9033 -1.7685 -1.6717 -1.6053 -1.5603 -1.5292
 -1.5073
 -2.5290 -2.4498 -2.3755 -2.3080 -2.2501 -2.2047 -2.1727 -2.1538 -2.1417 -2.1211
 -2.0861 -2.0460 -1.9975 -1.9398 -1.8813 -1.7570 -1.6684 -1.6094 -1.5698 -1.5422
 -1.5226 -1.5084
 -2.4541 -2.3929 -2.3323 -2.2727 -2.2160 -2.1651 -2.1226 -2.0888 -2.0619 -2.0400
 -2.0168 -1.9869 -1.9526 -1.9091 -1.8605 -1.7472 -1.6648 -1.6118 -1.5779 -1.5545
 -1.5376 -1.5254 -1.5164 -1.5092
 -2.3613 -2.3184 -2.2743 -2.2278 -2.1794 -2.1315 -2.0867 -2.0476 -2.0143 -1.9847
 -1.9570 -1.9292 -1.9018 -1.8695 -1.8323 -1.7367 -1.6597 -1.6107 -1.5824 -1.5640
 -1.5510 -1.5416 -1.5349 -1.5301 -1.5260 -1.5238 -1.5250 -1.5310 -1.5426 -1.5604
 -2.2581 -2.2287 -2.2004 -2.1686 -2.1325 -2.0929 -2.0521 -2.0129 -1.9776 -1.9460
 -1.9165 -1.8875 -1.8591 -1.8309 -1.8001 -1.7213 -1.6525 -1.6061 -1.5815 -1.5686
 -1.5607 -1.5554 -1.5519 -1.5497 -1.5484 -1.5468 -1.5466 -1.5503 -1.5594 -1.5752
 -1.5975
 -2.1466 -2.1302 -2.1139 -2.0950 -2.0721 -2.0441 -2.0114 -1.9768 -1.9432 -1.9117
 -1.8828 -1.8551 -1.8276 -1.8004 -1.7723 -1.7030 -1.6427 -1.5988 -1.5757 -1.5669
 -1.5645 -1.5644 -1.5654 -1.5669 -1.5687 -1.5705 -1.5714 -1.5736 -1.5798 -1.5922
 -1.6121
 -2.0354 -2.0285 -2.0204 -2.0112 -1.9992 -1.9824 -1.9603 -1.9338 -1.9051 -1.8763
 -1.8490 -1.8234 -1.7985 -1.7739 -1.7484 -1.6849 -1.6304 -1.5900 -1.5671 -1.5598
 -1.5614 -1.5669 -1.5735 -1.5800 -1.5860 -1.5914 -1.5965 -1.6028 -1.6104 -1.6193
 -1.6293
 -1.9244 -1.9236 -1.9249 -1.9223 -1.9179 -1.9106 -1.8988 -1.8820 -1.8612 -1.8379
 -1.8140 -1.7910 -1.7690 -1.7477 -1.7260 -1.6693 -1.6189 -1.5810 -1.5582 -1.5502
 -1.5531 -1.5624 -1.5742 -1.5863 -1.5977 -1.6079 -1.6170 -1.6254 -1.6375 -1.6458
 -1.6517
 -1.8138 -1.8155 -1.8274 -1.8331 -1.8329 -1.8318 -1.8280 -1.8203 -1.8084 -1.7929
 -1.7749 -1.7558 -1.7371 -1.7190 -1.7011 -1.6541 -1.6076 -1.5719 -1.5497 -1.5407
 -1.5430 -1.5532 -1.5682 -1.5853 -1.6023 -1.6180 -1.6324 -1.6453 -1.6570 -1.6683
 -1.6800
 -1.7035 -1.7042 -1.7279 -1.7446 -1.7479 -1.7507 -1.7521 -1.7512 -1.7472 -1.7399
