 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.1559 -0.1757 -0.2032 -0.2293 -0.2428 -0.2418 -0.2001 -0.2138 -0.2194 -0.2132
 -0.1947 -0.1582 -0.1366 -0.1091 -0.0854 -0.0483 -0.0724 -0.1349 -0.1974
 -0.0739 -0.0628 -0.0699 -0.0933 -0.1298 -0.1614 -0.1830 -0.1977 -0.2077 -0.2127
 -0.2077 -0.1911 -0.1672 -0.1440 -0.1257 -0.1097 -0.1287 -0.1710 -0.2222 -0.2767
 -0.0728 -0.0730 -0.0737 -0.0778 -0.0897 -0.1133 -0.1472 -0.1766 -0.1941 -0.2004
 -0.2023 -0.1977 -0.1831 -0.1649 -0.1494 -0.1345 -0.1537 -0.1958 -0.2469 -0.3009
 -0.3554
 -0.0596 -0.0680 -0.0724 -0.0752 -0.0794 -0.0881 -0.1030 -0.1256 -0.1525 -0.1738
 -0.1850 -0.1910 -0.1885 -0.1778 -0.1662 -0.1546 -0.1731 -0.2150 -0.2665 -0.3205
 -0.3749 -0.4288
 -0.0251 -0.0442 -0.0565 -0.0639 -0.0690 -0.0745 -0.0825 -0.0942 -0.1097 -0.1285
 -0.1470 -0.1616 -0.1727 -0.1760 -0.1732 -0.1677 -0.1861 -0.2281 -0.2811 -0.3361
 -0.3911 -0.4456 -0.4990 -0.5502
  0.0281 -0.0021 -0.0245 -0.0397 -0.0499 -0.0576 -0.0650 -0.0736 -0.0845 -0.0971
 -0.1109 -0.1251 -0.1401 -0.1521 -0.1603 -0.1723 -0.1924 -0.2342 -0.2895 -0.3473
 -0.4041 -0.4599 -0.5145 -0.5677 -0.6191 -0.6698 -0.7212 -0.7744 -0.8301 -0.8889
  0.0926  0.0553  0.0232 -0.0013 -0.0192 -0.0323 -0.0429 -0.0526 -0.0629 -0.0742
 -0.0862 -0.0984 -0.1113 -0.1246 -0.1365 -0.1636 -0.1916 -0.2337 -0.2908 -0.3524
 -0.4128 -0.4711 -0.5277 -0.5827 -0.6359 -0.6863 -0.7359 -0.7869 -0.8412 -0.8996
 -0.9603
  0.1665  0.1222  0.0831  0.0504  0.0239  0.0032 -0.0129 -0.0264 -0.0391 -0.0514
 -0.0641 -0.0770 -0.0898 -0.1028 -0.1153 -0.1474 -0.1833 -0.2275 -0.2855 -0.3505
 -0.4155 -0.4778 -0.5376 -0.5952 -0.6507 -0.7041 -0.7547 -0.8046 -0.8560 -0.9110
 -0.9707
  0.2391  0.1922  0.1497  0.1112  0.0776  0.0495  0.0263  0.0071 -0.0098 -0.0253
 -0.0403 -0.0550 -0.0696 -0.0841 -0.0979 -0.1320 -0.1713 -0.2183 -0.2762 -0.3431
 -0.4122 -0.4795 -0.5437 -0.6050 -0.6637 -0.7199 -0.7740 -0.8273 -0.8801 -0.9323
 -0.9840
  0.3104  0.2653  0.2183  0.1771  0.1391  0.1048  0.0748  0.0491  0.0265  0.0063
 -0.0124 -0.0301 -0.0472 -0.0641 -0.0804 -0.1182 -0.1591 -0.2073 -0.2647 -0.3309
 -0.4019 -0.4732 -0.5421 -0.6081 -0.6708 -0.7306 -0.7879 -0.8430 -0.9000 -0.9520
 -1.0005
  0.3803  0.3415  0.2889  0.2413  0.2029  0.1653  0.1303  0.0986  0.0702  0.0444
  0.0209 -0.0010 -0.0217 -0.0415 -0.0607 -0.1053 -0.1478 -0.1967 -0.2538 -0.3185
 -0.3889 -0.4617 -0.5342 -0.6046 -0.6720 -0.7361 -0.7973 -0.8559 -0.9121 -0.9666
 -1.0202
  0.4489  0.4208  0.3615  0.3021  0.2634  0.2254  0.1883  0.1527  0.1194  0.0885
  0.0598  0.0330  0.0080 -0.0157 -0.0388 -0.0933 -0.1374 -0.1865 -0.2435
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F098M
 -0.0073 -0.0362 -0.0753 -0.1185 -0.1588 -0.1921 -0.2066 -0.2319 -0.2447 -0.2432
 -0.2278 -0.1990 -0.1721 -0.1451 -0.1223 -0.0866 -0.0925 -0.1323 -0.1891
  0.0025 -0.0108 -0.0436 -0.0773 -0.1095 -0.1428 -0.1762 -0.2057 -0.2272 -0.2374
 -0.2346 -0.2193 -0.1961 -0.1729 -0.1533 -0.1262 -0.1325 -0.1676 -0.2169 -0.2703
 -0.0347 -0.0327 -0.0383 -0.0554 -0.0893 -0.1302 -0.1635 -0.1883 -0.2081 -0.2235
 -0.2306 -0.2268 -0.2118 -0.1929 -0.1762 -0.1533 -0.1596 -0.1925 -0.2409 -0.2943
 -0.3487
 -0.0579 -0.0582 -0.0594 -0.0636 -0.0736 -0.0919 -0.1220 -0.1596 -0.1903 -0.2084
 -0.2190 -0.2234 -0.2185 -0.2055 -0.1925 -0.1736 -0.1806 -0.2119 -0.2597 -0.3131
 -0.3675 -0.4215
