 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  i   
 -1.9900 -1.9336 -1.8863 -1.8607 -1.8542 -1.8471 -1.7545 -1.7140 -1.6701 -1.6160
 -1.5504 -1.4814 -1.4077 -1.3294 -1.2572 -1.1212 -1.0524 -1.0278 -1.0264
 -1.9092 -1.7936 -1.7182 -1.6789 -1.6665 -1.6535 -1.6311 -1.6035 -1.5732 -1.5395
 -1.4953 -1.4377 -1.3713 -1.3058 -1.2468 -1.1361 -1.0726 -1.0468 -1.0430 -1.0525
 -1.8458 -1.7457 -1.6630 -1.5988 -1.5552 -1.5347 -1.5326 -1.5272 -1.5077 -1.4758
 -1.4411 -1.4012 -1.3498 -1.2937 -1.2414 -1.1414 -1.0862 -1.0651 -1.0634 -1.0728
 -1.0898
 -1.7844 -1.7001 -1.6261 -1.5622 -1.5097 -1.4703 -1.4446 -1.4322 -1.4274 -1.4160
 -1.3921 -1.3641 -1.3284 -1.2838 -1.2384 -1.1477 -1.0974 -1.0802 -1.0808 -1.0907
 -1.1068 -1.1279
 -1.7054 -1.6406 -1.5816 -1.5271 -1.4774 -1.4345 -1.4001 -1.3744 -1.3561 -1.3434
 -1.3309 -1.3137 -1.2937 -1.2653 -1.2311 -1.1513 -1.1042 -1.0901 -1.0942 -1.1058
 -1.1222 -1.1426 -1.1665 -1.1933
 -1.6093 -1.5631 -1.5211 -1.4805 -1.4403 -1.4016 -1.3666 -1.3370 -1.3134 -1.2938
 -1.2766 -1.2606 -1.2465 -1.2291 -1.2075 -1.1486 -1.1056 -1.0932 -1.1014 -1.1168
 -1.1352 -1.1563 -1.1800 -1.2063 -1.2356 -1.2684 -1.3052 -1.3463 -1.3921 -1.4425
 -1.5040 -1.4710 -1.4441 -1.4181 -1.3907 -1.3613 -1.3314 -1.3031 -1.2785 -1.2578
 -1.2393 -1.2217 -1.2058 -1.1912 -1.1751 -1.1341 -1.1006 -1.0895 -1.1007 -1.1214
 -1.1440 -1.1676 -1.1925 -1.2191 -1.2473 -1.2764 -1.3082 -1.3447 -1.3875 -1.4368
 -1.4890
 -1.3917 -1.3707 -1.3547 -1.3406 -1.3260 -1.3085 -1.2876 -1.2651 -1.2434 -1.2236
 -1.2063 -1.1904 -1.1751 -1.1609 -1.1463 -1.1130 -1.0889 -1.0802 -1.0927 -1.1178
 -1.1461 -1.1743 -1.2023 -1.2307 -1.2597 -1.2894 -1.3195 -1.3520 -1.3890 -1.4322
 -1.4827
 -1.2787 -1.2673 -1.2589 -1.2532 -1.2483 -1.2415 -1.2314 -1.2178 -1.2022 -1.1862
 -1.1714 -1.1582 -1.1458 -1.1340 -1.1218 -1.0923 -1.0732 -1.0678 -1.0801 -1.1073
 -1.1407 -1.1748 -1.2078 -1.2397 -1.2711 -1.3021 -1.3335 -1.3669 -1.4025 -1.4401
 -1.4793
 -1.1650 -1.1608 -1.1610 -1.1614 -1.1629 -1.1643 -1.1637 -1.1598 -1.1529 -1.1435
 -1.1332 -1.1233 -1.1144 -1.1060 -1.0976 -1.0743 -1.0579 -1.0545 -1.0662 -1.0925
 -1.1279 -1.1667 -1.2054 -1.2424 -1.2778 -1.3118 -1.3451 -1.3780 -1.4153 -1.4498
 -1.4826
 -1.0507 -1.0512 -1.0610 -1.0691 -1.0744 -1.0810 -1.0871 -1.0915 -1.0933 -1.0924
 -1.0890 -1.0841 -1.0792 -1.0746 -1.0703 -1.0569 -1.0434 -1.0415 -1.0531 -1.0777
 -1.1124 -1.1528 -1.1956 -1.2380 -1.2785 -1.3169 -1.3536 -1.3890 -1.4234 -1.4579
 -1.4935
 -0.9357 -0.9385 -0.9589 -0.9772 -0.9858 -0.9962 -1.0068 -1.0168 -1.0256 -1.0325
 -1.0371 -1.0393 -1.0398 -1.0396 -1.0399 -1.0401 -1.0297 -1.0288 -1.0408
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  i   
 -2.0558 -1.9719 -1.9052 -1.8573 -1.8241 -1.7962 -1.7433 -1.7076 -1.6632 -1.6083
 -1.5429 -1.4717 -1.3976 -1.3253 -1.2595 -1.1305 -1.0538 -1.0195 -1.0159
 -1.9414 -1.8387 -1.7789 -1.7306 -1.6887 -1.6559 -1.6297 -1.6051 -1.5767 -1.5410
 -1.4954 -1.4387 -1.3748 -1.3118 -1.2541 -1.1407 -1.0715 -1.0411 -1.0359 -1.0445
 -1.9031 -1.7763 -1.6811 -1.6185 -1.5908 -1.5796 -1.5626 -1.5386 -1.5125 -1.4855
 -1.4539 -1.4138 -1.3627 -1.3073 -1.2551 -1.1515 -1.0875 -1.0593 -1.0555 -1.0644
 -1.0813
 -1.8830 -1.7599 -1.6595 -1.5809 -1.5235 -1.4870 -1.4732 -1.4734 -1.4665 -1.4455
 -1.4177 -1.3872 -1.3497 -1.3036 -1.2577 -1.1614 -1.1014 -1.0745 -1.0718 -1.0812
 -1.0974 -1.1188
 -1.8524 -1.7415 -1.6475 -1.5688 -1.5047 -1.4549 -1.4190 -1.3961 -1.3873 -1.3855
 -1.3754 -1.3564 -1.3300 -1.2952 -1.2554 -1.1681 -1.1113 -1.0855 -1.0841 -1.0951
 -1.1118 -1.1326 -1.1571 -1.1854
 -1.8020 -1.7071 -1.6249 -1.5537 -1.4920 -1.4394 -1.3962 -1.3625 -1.3372 -1.3198
 -1.3100 -1.3017 -1.2905 -1.2718 -1.2448 -1.1695 -1.1161 -1.0911 -1.0912 -1.1050
 -1.1238 -1.1455 -1.1698 -1.1969 -1.2267 -1.2596 -1.2963 -1.3382 -1.3870 -1.4378
 -1.7324 -1.6530 -1.5845 -1.5245 -1.4706 -1.4219 -1.3785 -1.3411 -1.3103 -1.2850
 -1.2645 -1.2485 -1.2376 -1.2272 -1.2125 -1.1627 -1.1151 -1.0909 -1.0918 -1.1090
 -1.1317 -1.1560 -1.1817 -1.2090 -1.2380 -1.2690 -1.3027 -1.3398 -1.3820 -1.4318
 -1.4842
 -1.6486 -1.5828 -1.5267 -1.4781 -1.4345 -1.3939 -1.3554 -1.3194 -1.2874 -1.2598
 -1.2361 -1.2157 -1.1991 -1.1854 -1.1732 -1.1402 -1.1070 -1.0854 -1.0864 -1.1059
 -1.1335 -1.1622 -1.1908 -1.2199 -1.2497 -1.2803 -1.3125 -1.3468 -1.3840 -1.4269
 -1.4779
 -1.5558 -1.5005 -1.4547 -1.4159 -1.3822 -1.3509 -1.3204 -1.2901 -1.2610 -1.2341
 -1.2104 -1.1896 -1.1714 -1.1556 -1.1417 -1.1122 -1.0895 -1.0749 -1.0765 -1.0969
 -1.1282 -1.1624 -1.1958 -1.2284 -1.2604 -1.2923 -1.3247 -1.3579 -1.3929 -1.4308
 -1.4743
 -1.4640 -1.4140 -1.3752 -1.3441 -1.3181 -1.2950 -1.2729 -1.2504 -1.2272 -1.2043
 -1.1827 -1.1633 -1.1463 -1.1313 -1.1177 -1.0886 -1.0694 -1.0606 -1.0639 -1.0835
 -1.1161 -1.1544 -1.1933 -1.2308 -1.2668 -1.3015 -1.3357 -1.3695 -1.4038 -1.4395
 -1.4772
 -1.3803 -1.3300 -1.2927 -1.2663 -1.2461 -1.2293 -1.2140 -1.1989 -1.1831 -1.1665
 -1.1494 -1.1331 -1.1183 -1.1054 -1.0940 -1.0688 -1.0511 -1.0451 -1.0505 -1.0693
 -1.1011 -1.1408 -1.1835 -1.2262 -1.2673 -1.3063 -1.3438 -1.3800 -1.4154 -1.4509
 -1.4873
 -1.3102 -1.2558 -1.2157 -1.1881 -1.1701 -1.1577 -1.1474 -1.1380 -1.1287 -1.1190
 -1.1083 -1.0970 -1.0884 -1.0771 -1.0706 -1.0528 -1.0346 -1.0284 -1.0363
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  i   
 -2.3202 -2.2068 -2.1146 -2.0379 -1.9706 -1.9060 -1.8383 -1.7647 -1.6897 -1.6148
 -1.5388 -1.4624 -1.3879 -1.3200 -1.2592 -1.1368 -1.0554 -1.0127 -1.0036
 -2.1862 -2.0639 -1.9663 -1.8887 -1.8258 -1.7722 -1.7217 -1.6693 -1.6158 -1.5609
 -1.5028 -1.4405 -1.3759 -1.3146 -1.2591 -1.1474 -1.0733 -1.0350 -1.0255 -1.0333
 -2.0651 -1.9365 -1.8521 -1.7857 -1.7269 -1.6776 -1.6353 -1.5950 -1.5549 -1.5143
 -1.4710 -1.4227 -1.3684 -1.3133 -1.2621 -1.1588 -1.0899 -1.0534 -1.0440 -1.0516
 -1.0684
 -2.0302 -1.8757 -1.7564 -1.6711 -1.6191 -1.5938 -1.5708 -1.5409 -1.5073 -1.4732
 -1.4386 -1.4021 -1.3596 -1.3117 -1.2649 -1.1686 -1.1039 -1.0687 -1.0593 -1.0668
 -1.0832 -1.1051
 -2.0206 -1.8633 -1.7344 -1.6331 -1.5565 -1.5039 -1.4739 -1.4605 -1.4540 -1.4369
 -1.4096 -1.3783 -1.3449 -1.3064 -1.2647 -1.1752 -1.1140 -1.0803 -1.0710 -1.0791
 -1.0960 -1.1176 -1.1430 -1.1723
 -2.0081 -1.8571 -1.7297 -1.6254 -1.5419 -1.4769 -1.4278 -1.3923 -1.3705 -1.3627
 -1.3582 -1.3455 -1.3231 -1.2937 -1.2594 -1.1775 -1.1198 -1.0875 -1.0787 -1.0877
 -1.1064 -1.1291 -1.1545 -1.1826 -1.2137 -1.2475 -1.2856 -1.3295 -1.3790 -1.4296
 -1.9798 -1.8405 -1.7204 -1.6199 -1.5365 -1.4678 -1.4120 -1.3675 -1.3328 -1.3067
 -1.2898 -1.2816 -1.2750 -1.2630 -1.2428 -1.1748 -1.1209 -1.0901 -1.0817 -1.0919
 -1.1131 -1.1382 -1.1650 -1.1935 -1.2237 -1.2561 -1.2914 -1.3300 -1.3735 -1.4239
 -1.4763
 -1.9323 -1.8068 -1.6972 -1.6041 -1.5257 -1.4591 -1.4026 -1.3546 -1.3146 -1.2817
 -1.2546 -1.2335 -1.2196 -1.2111 -1.2019 -1.1634 -1.1171 -1.0882 -1.0800 -1.0908
 -1.1145 -1.1433 -1.1730 -1.2033 -1.2342 -1.2663 -1.3001 -1.3359 -1.3746 -1.4187
 -1.4703
 -1.8686 -1.7549 -1.6565 -1.5723 -1.5011 -1.4403 -1.3875 -1.3409 -1.2999 -1.2643
 -1.2338 -1.2078 -1.1864 -1.1702 -1.1585 -1.1338 -1.1059 -1.0815 -1.0741 -1.0849
 -1.1104 -1.1431 -1.1771 -1.2108 -1.2440 -1.2772 -1.3111 -1.3459 -1.3824 -1.4225
 -1.4663
