 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F160W
  0.6270  0.6581  0.6940  0.7261  0.7568  0.7855  0.8246  0.8257  0.8148  0.7928
  0.7613  0.7619  0.7161  0.6646  0.6113  0.4692  0.3177  0.1797  0.0431
  0.6523  0.6444  0.6620  0.7024  0.7539  0.7869  0.7984  0.7964  0.7849  0.7652
  0.7366  0.7005  0.6590  0.6139  0.5664  0.4412  0.3092  0.1727  0.0350 -0.1019
  0.6399  0.6335  0.6308  0.6358  0.6506  0.6794  0.7183  0.7435  0.7461  0.7305
  0.7050  0.6720  0.6320  0.5874  0.5403  0.4177  0.2910  0.1595  0.0255 -0.1080
 -0.2401
  0.6350  0.6279  0.6204  0.6146  0.6128  0.6158  0.6240  0.6410  0.6623  0.6712
  0.6616  0.6378  0.6033  0.5609  0.5147  0.3938  0.2712  0.1457  0.0161 -0.1144
 -0.2435 -0.3709
  0.6199  0.6152  0.6084  0.6005  0.5927  0.5863  0.5818  0.5789  0.5787  0.5834
  0.5868  0.5792  0.5595  0.5282  0.4877  0.3701  0.2501  0.1301  0.0061 -0.1207
 -0.2473 -0.3722 -0.4952 -0.6164
  0.5911  0.5907  0.5870  0.5810  0.5731  0.5639  0.5545  0.5451  0.5351  0.5251
  0.5165  0.5084  0.4966  0.4766  0.4476  0.3455  0.2286  0.1124 -0.0056 -0.1276
 -0.2513 -0.3741 -0.4949 -0.6138 -0.7314 -0.8475 -0.9613 -1.0727 -1.1811 -1.2865
  0.5451  0.5515  0.5528  0.5507  0.5456  0.5378  0.5281  0.5171  0.5046  0.4903
  0.4744  0.4575  0.4401  0.4213  0.3979  0.3143  0.2066  0.0937 -0.0195 -0.1361
 -0.2558 -0.3762 -0.4952 -0.6122 -0.7271 -0.8399 -0.9508 -1.0603 -1.1685 -1.2750
 -1.3773
  0.4811  0.4952  0.5034  0.5070  0.5063  0.5022  0.4954  0.4859  0.4740  0.4602
  0.4436  0.4241  0.4024  0.3791  0.3542  0.2789  0.1824  0.0747 -0.0349 -0.1465
 -0.2616 -0.3789 -0.4959 -0.6112 -0.7243 -0.8354 -0.9445 -1.0519 -1.1577 -1.2621
 -1.3653
  0.3991  0.4213  0.4373  0.4477  0.4531  0.4542  0.4518  0.4462  0.4375  0.4260
  0.4117  0.3940  0.3728  0.3485  0.3215  0.2456  0.1564  0.0546 -0.0520 -0.1602
 -0.2708 -0.3844 -0.4991 -0.6130 -0.7249 -0.8345 -0.9421 -1.0479 -1.1519 -1.2543
 -1.3550
  0.2990  0.3298  0.3545  0.3724  0.3848  0.3922  0.3955  0.3951  0.3912  0.3840
  0.3737  0.3600  0.3425  0.3208  0.2954  0.2188  0.1330  0.0367 -0.0666 -0.1725
