 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F438W
 -8.8062 -8.3096 -8.0334 -7.9231 -7.9206 -7.9244 -7.6514 -7.4673 -7.2738 -7.0594
 -6.8157 -6.5519 -6.2970 -6.0253 -5.7528 -5.0650 -4.4225 -3.9461 -3.5211
 -8.4586 -8.0640 -7.7646 -7.5509 -7.3988 -7.2549 -7.0955 -6.9226 -6.7401 -6.5468
 -6.3278 -6.0781 -5.8115 -5.5483 -5.2951 -4.7001 -4.1831 -3.7691 -3.4622 -3.2292
 -8.1924 -7.8020 -7.4670 -7.1828 -6.9496 -6.7699 -6.6322 -6.4906 -6.3191 -6.1234
 -5.9217 -5.7065 -5.4711 -5.2354 -5.0115 -4.5024 -4.0550 -3.6892 -3.4156 -3.2077
 -3.0408
 -7.9798 -7.6074 -7.2727 -6.9712 -6.7025 -6.4678 -6.2674 -6.1003 -5.9511 -5.7856
 -5.5946 -5.3987 -5.1950 -4.9866 -4.7877 -4.3435 -3.9585 -3.6350 -3.3881 -3.2002
 -3.0485 -2.9191
 -7.7725 -7.4306 -7.1135 -6.8172 -6.5419 -6.2896 -6.0620 -5.8592 -5.6789 -5.5153
 -5.3520 -5.1763 -4.9930 -4.8041 -4.6232 -4.2270 -3.8893 -3.6008 -3.3745 -3.2020
 -3.0630 -2.9438 -2.8374 -2.7407
 -7.5609 -7.2545 -6.9650 -6.6870 -6.4204 -6.1684 -5.9335 -5.7177 -5.5217 -5.3429
 -5.1767 -5.0165 -4.8555 -4.6879 -4.5202 -4.1487 -3.8438 -3.5819 -3.3706 -3.2091
 -3.0805 -2.9707 -2.8722 -2.7817 -2.6930 -2.6084 -2.5316 -2.4656 -2.4128 -2.3744
 -7.3574 -7.0787 -6.8186 -6.5655 -6.3173 -6.0762 -5.8453 -5.6278 -5.4260 -5.2408
 -5.0699 -4.9102 -4.7576 -4.6070 -4.4571 -4.1065 -3.8176 -3.5743 -3.3729 -3.2182
 -3.0976 -2.9963 -2.9060 -2.8226 -2.7443 -2.6706 -2.6015 -2.5369 -2.4767 -2.4248
 -2.3955
 -7.1659 -6.9135 -6.6768 -6.4472 -6.2217 -5.9983 -5.7784 -5.5664 -5.3659 -5.1780
 -5.0046 -4.8442 -4.6938 -4.5499 -4.4111 -4.0868 -3.8069 -3.5749 -3.3803 -3.2280
 -3.1119 -3.0177 -2.9356 -2.8601 -2.7890 -2.7211 -2.6555 -2.5937 -2.5377 -2.4890
 -2.4484
 -6.9933 -6.7622 -6.5417 -6.3310 -6.1256 -5.9212 -5.7177 -5.5168 -5.3221 -5.1363
 -4.9620 -4.8001 -4.6498 -4.5085 -4.3746 -4.0699 -3.8023 -3.5774 -3.3890 -3.2374
 -3.1220 -3.0324 -2.9576 -2.8904 -2.8275 -2.7670 -2.7089 -2.6543 -2.6033 -2.5555
 -2.5107
 -6.8396 -6.6248 -6.4209 -6.2233 -6.0327 -5.8461 -5.6602 -5.4744 -5.2904 -5.1109
 -4.9387 -4.7764 -4.6248 -4.4839 -4.3520 -4.0578 -3.8024 -3.5831 -3.3998 -3.2496
 -3.1330 -3.0441 -2.9738 -2.9139 -2.8593 -2.8072 -2.7569 -2.7081 -2.6637 -2.6185
 -2.5754
