 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F160W
 -1.7546 -1.6538 -1.5186 -1.4579 -1.4819 -1.5095 -1.4898 -1.4520 -1.4378 -1.4532
 -1.4834 -1.5204 -1.5591 -1.6018 -1.6485 -1.7769 -1.9148 -2.0555 -2.1949
 -1.7447 -1.7111 -1.6555 -1.6077 -1.5672 -1.5311 -1.5027 -1.4857 -1.4822 -1.4917
 -1.5131 -1.5444 -1.5828 -1.6262 -1.6729 -1.7986 -1.9316 -2.0683 -2.2055 -2.3423
 -1.7298 -1.7321 -1.7235 -1.6956 -1.6431 -1.5896 -1.5549 -1.5363 -1.5291 -1.5320
 -1.5467 -1.5724 -1.6078 -1.6501 -1.6963 -1.8199 -1.9489 -2.0813 -2.2154 -2.3489
 -2.4810
 -1.7099 -1.7168 -1.7226 -1.7216 -1.7096 -1.6850 -1.6464 -1.6038 -1.5785 -1.5741
 -1.5842 -1.6044 -1.6341 -1.6735 -1.7187 -1.8408 -1.9667 -2.0945 -2.2246 -2.3552
 -2.4843 -2.6118
 -1.6991 -1.7040 -1.7114 -1.7183 -1.7211 -1.7177 -1.7072 -1.6912 -1.6690 -1.6467
 -1.6384 -1.6470 -1.6673 -1.6992 -1.7411 -1.8609 -1.9849 -2.1088 -2.2342 -2.3614
 -2.4881 -2.6131 -2.7361 -2.8572
 -1.7012 -1.7018 -1.7062 -1.7129 -1.7205 -1.7266 -1.7291 -1.7283 -1.7260 -1.7224
 -1.7167 -1.7144 -1.7222 -1.7406 -1.7708 -1.8810 -2.0031 -2.1243 -2.2452 -2.3681
 -2.4920 -2.6149 -2.7358 -2.8547 -2.9716 -3.0867 -3.2000 -3.3119 -3.4219 -3.5273
 -1.7194 -1.7143 -1.7137 -1.7167 -1.7227 -1.7308 -1.7393 -1.7468 -1.7536 -1.7607
 -1.7688 -1.7769 -1.7859 -1.7983 -1.8183 -1.9057 -2.0214 -2.1405 -2.2578 -2.3760
 -2.4963 -2.6169 -2.7360 -2.8530 -2.9680 -3.0810 -3.1922 -3.3016 -3.4095 -3.5158
 -3.6181
 -1.7568 -1.7447 -1.7379 -1.7356 -1.7371 -1.7424 -1.7506 -1.7607 -1.7719 -1.7841
 -1.7978 -1.8134 -1.8306 -1.8486 -1.8680 -1.9403 -2.0424 -2.1569 -2.2716 -2.3857
 -2.5018 -2.6195 -2.7366 -2.8520 -2.9652 -3.0763 -3.1856 -3.2930 -3.3987 -3.5030
 -3.6061
 -1.8137 -1.7949 -1.7811 -1.7725 -1.7680 -1.7680 -1.7723 -1.7804 -1.7915 -1.8050
 -1.8206 -1.8388 -1.8593 -1.8821 -1.9058 -1.9766 -2.0685 -2.1756 -2.2872 -2.3985
 -2.5106 -2.6248 -2.7398 -2.8538 -2.9657 -3.0753 -3.1830 -3.2886 -3.3925 -3.4949
 -3.5960
 -1.8888 -1.8660 -1.8448 -1.8289 -1.8176 -1.8110 -1.8094 -1.8124 -1.8198 -1.8309
 -1.8452 -1.8626 -1.8829 -1.9063 -1.9321 -2.0063 -2.0932 -2.1933 -2.3010 -2.4101
 -2.5192 -2.6295 -2.7412 -2.8531 -2.9637 -3.0720 -3.1782 -3.2821 -3.3841 -3.4844
 -3.5852
 -1.9818 -1.9535 -1.9275 -1.9048 -1.8862 -1.8727 -1.8641 -1.8605 -1.8618 -1.8678
 -1.8781 -1.8921 -1.9097 -1.9309 -1.9554 -2.0292 -2.1160 -2.2108 -2.3141 -2.4209
 -2.5283 -2.6359 -2.7443 -2.8535 -2.9622 -3.0694 -3.1744 -3.2770 -3.3774 -3.4759
 -3.5728
 -2.0927 -2.0574 -2.0240 -1.9973 -1.9728 -1.9526 -1.9371 -1.9263 -1.9204 -1.9195
 -1.9235 -1.9320 -1.9447 -1.9614 -1.9757 -2.0453 -2.1369 -2.2281 -2.3265
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F160W
 -1.6597 -1.6017 -1.5467 -1.4985 -1.4608 -1.4351 -1.4223 -1.4226 -1.4345 -1.4561
 -1.4856 -1.5213 -1.5612 -1.6045 -1.6517 -1.7776 -1.9127 -2.0531 -2.1942
 -1.7110 -1.6631 -1.6121 -1.5634 -1.5218 -1.4906 -1.4713 -1.4643 -1.4691 -1.4845
 -1.5096 -1.5429 -1.5820 -1.6252 -1.6716 -1.7967 -1.9294 -2.0659 -2.2035 -2.3404
 -1.7327 -1.7187 -1.6836 -1.6241 -1.5832 -1.5497 -1.5253 -1.5117 -1.5091 -1.5172
 -1.5358 -1.5642 -1.6007 -1.6432 -1.6895 -1.8139 -1.9446 -2.0779 -2.2123 -2.3459
 -2.4781
 -1.7273 -1.7390 -1.7270 -1.6953 -1.6538 -1.6121 -1.5781 -1.5573 -1.5502 -1.5535
 -1.5661 -1.5882 -1.6197 -1.6598 -1.7054 -1.8292 -1.9583 -2.0891 -2.2206 -2.3516
 -2.4810 -2.6087
 -1.7038 -1.7116 -1.7200 -1.7159 -1.7005 -1.6784 -1.6535 -1.6288 -1.6071 -1.5935
 -1.5987 -1.6159 -1.6420 -1.6769 -1.7203 -1.8429 -1.9711 -2.0998 -2.2285 -2.3570
 -2.4842 -2.6095 -2.7329 -2.8544
 -1.6863 -1.6929 -1.7030 -1.7141 -1.7230 -1.7263 -1.7236 -1.7154 -1.7018 -1.6805
 -1.6615 -1.6591 -1.6726 -1.6990 -1.7365 -1.8557 -1.9832 -2.1105 -2.2368 -2.3624
 -2.4873 -2.6108 -2.7321 -2.8514 -2.9687 -3.0842 -3.1978 -3.3098 -3.4198 -3.5250
 -1.6770 -1.6808 -1.6889 -1.7002 -1.7130 -1.7251 -1.7345 -1.7401 -1.7432 -1.7447
 -1.7426 -1.7362 -1.7341 -1.7434 -1.7656 -1.8689 -1.9947 -2.1212 -2.2456 -2.3684
 -2.4908 -2.6123 -2.7318 -2.8493 -2.9647 -3.0780 -3.1896 -3.2992 -3.4073 -3.5136
 -3.6157
 -1.6797 -1.6793 -1.6837 -1.6922 -1.7038 -1.7176 -1.7322 -1.7463 -1.7590 -1.7708
 -1.7821 -1.7927 -1.8006 -1.8075 -1.8189 -1.8910 -2.0069 -2.1319 -2.2550 -2.3755
 -2.4950 -2.6141 -2.7320 -2.8478 -2.9615 -3.0730 -3.1827 -3.2904 -3.3963 -3.5008
 -3.6040
 -1.6995 -1.6913 -1.6912 -1.6956 -1.7037 -1.7153 -1.7297 -1.7463 -1.7641 -1.7824
 -1.8008 -1.8196 -1.8384 -1.8562 -1.8724 -1.9296 -2.0262 -2.1448 -2.2663 -2.3853
 -2.5021 -2.6186 -2.7346 -2.8492 -2.9616 -3.0717 -3.1797 -3.2858 -3.3900 -3.4926
 -3.5938
 -1.7373 -1.7233 -1.7163 -1.7150 -1.7181 -1.7252 -1.7361 -1.7507 -1.7686 -1.7889
 -1.8108 -1.8340 -1.8580 -1.8824 -1.9065 -1.9687 -2.0524 -2.1593 -2.2765 -2.3937
 -2.5085 -2.6220 -2.7353 -2.8481 -2.9592 -3.0680 -3.1746 -3.2789 -3.3813 -3.4820
 -3.5829
 -1.7932 -1.7754 -1.7617 -1.7535 -1.7502 -1.7515 -1.7570 -1.7669 -1.7812 -1.7995
 -1.8211 -1.8452 -1.8712 -1.8985 -1.9266 -1.9986 -2.0798 -2.1774 -2.2878 -2.4022
 -2.5155 -2.6270 -2.7375 -2.8479 -2.9574 -3.0650 -3.1705 -3.2736 -3.3744 -3.4733
 -3.5705
 -1.8671 -1.8450 -1.8268 -1.8124 -1.8021 -1.7964 -1.7955 -1.7993 -1.8078 -1.8212
 -1.8390 -1.8607 -1.8855 -1.9127 -1.9327 -2.0193 -2.1084 -2.1991 -2.3002
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F160W
 -1.5712 -1.5149 -1.4645 -1.4229 -1.3940 -1.3795 -1.3802 -1.3955 -1.4211 -1.4536
 -1.4907 -1.5306 -1.5721 -1.6153 -1.6605 -1.7826 -1.9139 -2.0513 -2.1919
 -1.6287 -1.5728 -1.5203 -1.4749 -1.4405 -1.4203 -1.4151 -1.4243 -1.4443 -1.4724
 -1.5068 -1.5457 -1.5874 -1.6312 -1.6771 -1.7998 -1.9297 -2.0639 -2.2004 -2.3370
 -1.6820 -1.6324 -1.5812 -1.5342 -1.4959 -1.4695 -1.4570 -1.4585 -1.4715 -1.4936
 -1.5233 -1.5592 -1.5998 -1.6436 -1.6898 -1.8133 -1.9427 -2.0749 -2.2084 -2.3419
 -2.4742
 -1.7087 -1.6850 -1.6465 -1.5965 -1.5547 -1.5237 -1.5050 -1.4989 -1.5045 -1.5197
 -1.5432 -1.5741 -1.6115 -1.6540 -1.7000 -1.8237 -1.9531 -2.0841 -2.2156 -2.3466
 -2.4763 -2.6043
 -1.7068 -1.7083 -1.6948 -1.6700 -1.6371 -1.5989 -1.5622 -1.5439 -1.5412 -1.5500
 -1.5677 -1.5930 -1.6253 -1.6644 -1.7089 -1.8321 -1.9614 -2.0916 -2.2217 -2.3508
 -2.4785 -2.6044 -2.7281 -2.8501
 -1.6858 -1.6920 -1.6986 -1.7012 -1.6964 -1.6851 -1.6655 -1.6376 -1.6111 -1.5959
 -1.5986 -1.6162 -1.6432 -1.6772 -1.7183 -1.8393 -1.9684 -2.0982 -2.2271 -2.3546
 -2.4806 -2.6048 -2.7267 -2.8465 -2.9643 -3.0802 -3.1942 -3.3065 -3.4164 -3.5212
 -1.6677 -1.6738 -1.6832 -1.6941 -1.7037 -1.7092 -1.7101 -1.7079 -1.7033 -1.6936
 -1.6780 -1.6688 -1.6754 -1.6976 -1.7312 -1.8463 -1.9747 -2.1042 -2.2322 -2.3583
 -2.4827 -2.6052 -2.7256 -2.8437 -2.9597 -3.0736 -3.1856 -3.2956 -3.4038 -3.5100
 -3.6117
 -1.6529 -1.6573 -1.6664 -1.6791 -1.6939 -1.7088 -1.7217 -1.7319 -1.7402 -1.7475
 -1.7531 -1.7538 -1.7500 -1.7513 -1.7651 -1.8547 -1.9808 -2.1099 -2.2373 -2.3623
 -2.4842 -2.6060 -2.7249 -2.8415 -2.9558 -3.0679 -3.1782 -3.2865 -3.3928 -3.4973
 -3.6002
 -1.6446 -1.6457 -1.6524 -1.6644 -1.6801 -1.6980 -1.7168 -1.7352 -1.7525 -1.7688
 -1.7846 -1.7999 -1.8129 -1.8216 -1.8285 -1.8802 -1.9895 -2.1172 -2.2442 -2.3684
 -2.4897 -2.6091 -2.7266 -2.8421 -2.9552 -3.0659 -3.1746 -3.2813 -3.3860 -3.4889
 -3.5902
 -1.6473 -1.6440 -1.6462 -1.6560 -1.6700 -1.6874 -1.7074 -1.7290 -1.7514 -1.7741
 -1.7966 -1.8191 -1.8413 -1.8625 -1.8809 -1.9250 -2.0073 -2.1240 -2.2494 -2.3728
 -2.4930 -2.6105 -2.7262 -2.8402 -2.9521 -3.0617 -3.1689 -3.2738 -3.3768 -3.4779
 -3.5793
 -1.6651 -1.6568 -1.6550 -1.6593 -1.6695 -1.6841 -1.7023 -1.7234 -1.7468 -1.7721
 -1.7987 -1.8260 -1.8536 -1.8811 -1.9079 -1.9684 -2.0383 -2.1375 -2.2558 -2.3775
 -2.4968 -2.6130 -2.7268 -2.8391 -2.9496 -3.0581 -3.1642 -3.2679 -3.3694 -3.4688
 -3.5665
 -1.7016 -1.6876 -1.6803 -1.6791 -1.6838 -1.6936 -1.7078 -1.7257 -1.7471 -1.7715
 -1.7985 -1.8276 -1.8581 -1.8893 -1.9095 -2.0104 -2.0825 -2.1577 -2.2634
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F160W
 -1.4631 -1.4130 -1.3715 -1.3407 -1.3235 -1.3215 -1.3360 -1.3664 -1.4069 -1.4519
 -1.4981 -1.5437 -1.5886 -1.6331 -1.6781 -1.7961 -1.9204 -2.0522 -2.1895
 -1.5188 -1.4643 -1.4172 -1.3801 -1.3562 -1.3475 -1.3556 -1.3806 -1.4167 -1.4593
 -1.5049 -1.5512 -1.5972 -1.6429 -1.6890 -1.8092 -1.9350 -2.0646 -2.1981 -2.3333
 -1.5796 -1.5244 -1.4737 -1.4308 -1.3993 -1.3821 -1.3816 -1.3987 -1.4286 -1.4670
 -1.5103 -1.5561 -1.6026 -1.6492 -1.6962 -1.8183 -1.9452 -2.0742 -2.2053 -2.3374
 -2.4692
 -1.6386 -1.5872 -1.5359 -1.4895 -1.4520 -1.4268 -1.4167 -1.4240 -1.4461 -1.4784
 -1.5175 -1.5609 -1.6067 -1.6535 -1.7010 -1.8243 -1.9523 -2.0815 -2.2112 -2.3411
 -2.4704 -2.5985
 -1.6878 -1.6537 -1.6047 -1.5549 -1.5119 -1.4797 -1.4613 -1.4584 -1.4712 -1.4958
 -1.5290 -1.5682 -1.6115 -1.6573 -1.7047 -1.8283 -1.9570 -2.0866 -2.2157 -2.3442
 -2.4715 -2.5975 -2.7217 -2.8442
 -1.6817 -1.6798 -1.6668 -1.6395 -1.6005 -1.5571 -1.5225 -1.5053 -1.5057 -1.5210
 -1.5468 -1.5802 -1.6192 -1.6623 -1.7084 -1.8313 -1.9603 -2.0901 -2.2189 -2.3464
 -2.4724 -2.5968 -2.7192 -2.8396 -2.9580 -3.0745 -3.1890 -3.3016 -3.4113 -3.5157
 -1.6654 -1.6698 -1.6732 -1.6710 -1.6606 -1.6437 -1.6238 -1.6031 -1.5845 -1.5750
 -1.5804 -1.6010 -1.6324 -1.6706 -1.7136 -1.8339 -1.9626 -2.0927 -2.2214 -2.3481
 -2.4730 -2.5960 -2.7169 -2.8357 -2.9524 -3.0670 -3.1795 -3.2901 -3.3987 -3.5046
 -3.6057
 -1.6501 -1.6550 -1.6624 -1.6705 -1.6762 -1.6780 -1.6763 -1.6742 -1.6739 -1.6740
 -1.6714 -1.6681 -1.6732 -1.6925 -1.7248 -1.8370 -1.9647 -2.0947 -2.2234 -2.3496
 -2.4735 -2.5954 -2.7150 -2.8324 -2.9475 -3.0605 -3.1714 -3.2803 -3.3871 -3.4919
 -3.5959
 -1.6343 -1.6383 -1.6464 -1.6576 -1.6706 -1.6836 -1.6951 -1.7052 -1.7154 -1.7272
 -1.7401 -1.7514 -1.7577 -1.7610 -1.7701 -1.8450 -1.9681 -2.0980 -2.2267 -2.3527
 -2.4760 -2.5969 -2.7155 -2.8319 -2.9458 -3.0574 -3.1670 -3.2744 -3.3797 -3.4831
 -3.5846
 -1.6196 -1.6225 -1.6293 -1.6410 -1.6565 -1.6745 -1.6937 -1.7129 -1.7318 -1.7508
 -1.7705 -1.7910 -1.8109 -1.8278 -1.8399 -1.8783 -1.9725 -2.0995 -2.2279 -2.3537
 -2.4764 -2.5963 -2.7137 -2.8290 -2.9418 -3.0522 -3.1603 -3.2661 -3.3698 -3.4716
 -3.5716
 -1.6089 -1.6096 -1.6153 -1.6256 -1.6408 -1.6603 -1.6828 -1.7069 -1.7318 -1.7570
 -1.7824 -1.8083 -1.8343 -1.8600 -1.8840 -1.9313 -1.9962 -2.1032 -2.2294 -2.3548
 -2.4770 -2.5962 -2.7126 -2.8266 -2.9384 -3.0477 -3.1547 -3.2593 -3.3615 -3.4618
 -3.5601
 -1.6081 -1.6055 -1.6081 -1.6162 -1.6293 -1.6478 -1.6705 -1.6962 -1.7239 -1.7528
 -1.7824 -1.8126 -1.8431 -1.8737 -1.9024 -2.0040 -2.0392 -2.1091 -2.2312
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = F160W
 -1.4094 -1.3633 -1.3266 -1.3018 -1.2924 -1.2984 -1.3194 -1.3547 -1.4016 -1.4517
 -1.5018 -1.5506 -1.5978 -1.6438 -1.6894 -1.8063 -1.9284 -2.0560 -2.1900
 -1.4618 -1.4096 -1.3664 -1.3347 -1.3171 -1.3151 -1.3300 -1.3623 -1.4055 -1.4541
 -1.5044 -1.5543 -1.6028 -1.6501 -1.6969 -1.8166 -1.9402 -2.0670 -2.1980 -2.3318
 -1.5237 -1.4681 -1.4193 -1.3802 -1.3540 -1.3428 -1.3487 -1.3728 -1.4103 -1.4557
 -1.5048 -1.5550 -1.6046 -1.6531 -1.7010 -1.8230 -1.9485 -2.0756 -2.2047 -2.3355
 -2.4667
 -1.5873 -1.5325 -1.4808 -1.4362 -1.4020 -1.3811 -1.3764 -1.3902 -1.4199 -1.4599
 -1.5061 -1.5551 -1.6049 -1.6543 -1.7031 -1.8267 -1.9539 -2.0817 -2.2100 -2.3388
 -2.4674 -2.5953
 -1.6466 -1.5983 -1.5473 -1.4993 -1.4591 -1.4301 -1.4152 -1.4173 -1.4371 -1.4698
 -1.5108 -1.5569 -1.6055 -1.6548 -1.7041 -1.8287 -1.9569 -2.0856 -2.2137 -2.3413
 -2.4680 -2.5938 -2.7180 -2.8406
 -1.6755 -1.6590 -1.6245 -1.5772 -1.5292 -1.4903 -1.4653 -1.4560 -1.4641 -1.4875
 -1.5214 -1.5626 -1.6082 -1.6561 -1.7051 -1.8299 -1.9585 -2.0879 -2.2161 -2.3429
 -2.4683 -2.5924 -2.7148 -2.8354 -2.9541 -3.0708 -3.1856 -3.2983 -3.4078 -3.5117
 -1.6633 -1.6647 -1.6601 -1.6445 -1.6183 -1.5859 -1.5520 -1.5253 -1.5134 -1.5197
 -1.5417 -1.5748 -1.6151 -1.6597 -1.7071 -1.8308 -1.9594 -2.0892 -2.2176 -2.3439
 -2.4683 -2.5910 -2.7119 -2.8309 -2.9479 -3.0628 -3.1758 -3.2865 -3.3952 -3.5008
 -3.6013
 -1.6496 -1.6538 -1.6587 -1.6609 -1.6572 -1.6470 -1.6341 -1.6222 -1.6133 -1.6075
 -1.6061 -1.6144 -1.6363 -1.6702 -1.7121 -1.8321 -1.9600 -2.0899 -2.2184 -2.3445
 -2.4682 -2.5898 -2.7093 -2.8268 -2.9423 -3.0557 -3.1670 -3.2763 -3.3835 -3.4882
 -3.5903
 -1.6350 -1.6393 -1.6464 -1.6552 -1.6635 -1.6693 -1.6721 -1.6740 -1.6782 -1.6863
 -1.6964 -1.7052 -1.7113 -1.7205 -1.7395 -1.8359 -1.9619 -2.0918 -2.2206 -2.3466
 -2.4699 -2.5908 -2.7093 -2.8258 -2.9400 -3.0520 -3.1620 -3.2699 -3.3756 -3.4792
 -3.5807
 -1.6200 -1.6234 -1.6303 -1.6409 -1.6542 -1.6687 -1.6829 -1.6964 -1.7100 -1.7252
 -1.7432 -1.7631 -1.7822 -1.7974 -1.8086 -1.8566 -1.9631 -2.0917 -2.2204 -2.3463
 -2.4693 -2.5894 -2.7070 -2.8224 -2.9355 -3.0462 -3.1547 -3.2609 -3.3651 -3.4673
 -3.5676
 -1.6037 -1.6066 -1.6132 -1.6234 -1.6383 -1.6565 -1.6770 -1.6984 -1.7202 -1.7425
 -1.7658 -1.7905 -1.8163 -1.8417 -1.8646 -1.9088 -1.9780 -2.0925 -2.2202 -2.3461
 -2.4687 -2.5883 -2.7051 -2.8194 -2.9315 -3.0412 -3.1486 -3.2536 -3.3563 -3.4570
 -3.5510
 -1.5861 -1.5919 -1.5973 -1.6072 -1.6215 -1.6406 -1.6636 -1.6891 -1.7162 -1.7442
 -1.7727 -1.8018 -1.8316 -1.8617 -1.9075 -1.9925 -2.0066 -2.0942 -2.2200
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = F160W
 -1.3603 -1.3177 -1.2866 -1.2673 -1.2638 -1.2763 -1.3037 -1.3451 -1.3975 -1.4518
 -1.5055 -1.5575 -1.6073 -1.6553 -1.7022 -1.8189 -1.9383 -2.0617 -2.1917
 -1.4076 -1.3584 -1.3196 -1.2935 -1.2820 -1.2864 -1.3082 -1.3473 -1.3966 -1.4501
 -1.5043 -1.5574 -1.6086 -1.6580 -1.7061 -1.8259 -1.9477 -2.0714 -2.1992 -2.3310
 -1.4682 -1.4134 -1.3674 -1.3329 -1.3123 -1.3075 -1.3200 -1.3511 -1.3954 -1.4466
 -1.5004 -1.5542 -1.6067 -1.6575 -1.7068 -1.8294 -1.9537 -2.0786 -2.2052 -2.3343
 -2.4645
 -1.5347 -1.4778 -1.4266 -1.3847 -1.3548 -1.3393 -1.3407 -1.3611 -1.3978 -1.4446
 -1.4965 -1.5501 -1.6034 -1.6553 -1.7059 -1.8305 -1.9569 -2.0833 -2.2097 -2.3371
 -2.4648 -2.5921
 -1.6004 -1.5462 -1.4932 -1.4462 -1.4086 -1.3833 -1.3731 -1.3808 -1.4074 -1.4473
 -1.4952 -1.5470 -1.6000 -1.6526 -1.7041 -1.8304 -1.9582 -2.0859 -2.2127 -2.3391
 -2.4650 -2.5901 -2.7141 -2.8366
 -1.6565 -1.6155 -1.5655 -1.5159 -1.4719 -1.4382 -1.4178 -1.4129 -1.4269 -1.4574
 -1.4989 -1.5470 -1.5983 -1.6505 -1.7024 -1.8298 -1.9582 -2.0870 -2.2143 -2.3401
 -2.4648 -2.5882 -2.7103 -2.8309 -2.9497 -3.0667 -3.1817 -3.2947 -3.4043 -3.5081
 -1.6612 -1.6550 -1.6353 -1.6009 -1.5576 -1.5146 -1.4808 -1.4619 -1.4606 -1.4782
 -1.5104 -1.5522 -1.5997 -1.6500 -1.7014 -1.8292 -1.9579 -2.0872 -2.2149 -2.3404
