 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F140W
  1.9284  2.0569  2.0571  1.8643  1.6927  2.2588  2.4141  2.0788  1.7567  1.7578
  1.8304  1.9108  1.9693  1.9750  1.9456  1.8276
  2.1100  2.1740  2.1936  2.1195  2.0458  2.2619  2.2869  2.1297  1.9781  1.9469
  1.9516  1.9655  1.9697  1.9526  1.9167  1.8070  1.6968  1.5903  1.4632
  2.1634  2.1809  2.1952  2.1842  2.1633  2.1864  2.1550  2.1045  2.0567  2.0193
  1.9936  1.9736  1.9502  1.9215  1.8869  1.7846  1.6765  1.5685  1.4531  1.3390
  1.2308
  2.0886  2.0776  2.0619  2.0584  2.0454  2.0324  2.0184  2.0033  1.9923  1.9749
  1.9564  1.9352  1.9107  1.8818  1.8562  1.7604  1.6576  1.5493  1.4387  1.3288
  1.2193  1.1101  1.0011
  2.0791  2.0636  2.0464  2.0347  2.0213  2.0080  1.9934  1.9764  1.9562  1.9343
  1.9123  1.8904  1.8677  1.8428  1.8146  1.7313  1.6358  1.5325  1.4251  1.3170
  1.2097  1.1033  0.9977  0.8925  0.7876
  2.0459  2.0312  2.0160  2.0019  1.9894  1.9772  1.9640  1.9480  1.9284  1.9054
  1.8800  1.8544  1.8295  1.8046  1.7784  1.7030  1.6142  1.5161  1.4123  1.3064
  1.2010  1.0967  0.9936  0.8913  0.7896  0.6881
  1.9890  1.9804  1.9707  1.9600  1.9496  1.9400  1.9302  1.9181  1.9019  1.8814
  1.8569  1.8295  1.8015  1.7745  1.7476  1.6755  1.5928  1.5001  1.4003  1.2970
  1.1932  1.0903  0.9889  0.8887  0.7895  0.6910  0.5929  0.4942  0.3951  0.2985
  1.9083  1.9112  1.9105  1.9066  1.9011  1.8953  1.8896  1.8825  1.8721  1.8566
  1.8359  1.8108  1.7826  1.7531  1.7244  1.6522  1.5728  1.4846  1.3891  1.2887
  1.1863  1.0844  0.9841  0.8853  0.7880  0.6918  0.5965  0.5012  0.4053  0.3088
  0.2143
  1.8035  1.8208  1.8325  1.8391  1.8420  1.8423  1.8416  1.8400  1.8361  1.8274
  1.8130  1.7925  1.7672  1.7385  1.7084  1.6340  1.5559  1.4706  1.3784  1.2812
  1.1808  1.0796  0.9797  0.8816  0.7855  0.6908  0.5973  0.5048  0.4124  0.3193
  0.2250
  1.6858  1.7138  1.7363  1.7538  1.7680  1.7778  1.7847  1.7895  1.7921  1.7913
  1.7846  1.7709  1.7507  1.7252  1.6964  1.6191  1.5419  1.4581  1.3680  1.2732
  1.1749  1.0747  0.9748  0.8766  0.7807  0.6868  0.5945  0.5035  0.4133  0.3231
  0.2329
  1.5621  1.5957  1.6269  1.6559  1.6810  1.7021  1.7187  1.7317  1.7415  1.7479
  1.7481  1.7417  1.7291  1.7107  1.6871  1.6130  1.5307  1.4486  1.3602  1.2674
  1.1713  1.0729  0.9736  0.8752  0.7789  0.6850  0.5933  0.5034  0.4149  0.3273
  0.2388
  1.4160  1.4665  1.5100  1.5471  1.5819  1.6132  1.6405  1.6632  1.6818  1.6959
