 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -4.0199 -2.1194 -0.4516 -0.8648 -3.7265 -8.8118 -6.9813 -4.1921 -2.6166 -2.5818
 -2.4649 -2.3952 -2.9442 -3.4740 -3.4791 -2.6858
 -6.0556 -4.9620 -3.8594 -3.7036 -4.6466 -6.9261 -6.1511 -4.8950 -3.9842 -3.6427
 -3.3619 -3.2087 -3.3473 -3.4815 -3.3682 -2.6375 -2.1613 -1.8647 -1.7695
 -6.6008 -6.0484 -5.4148 -5.0231 -4.9335 -5.4470 -5.2231 -4.8473 -4.4308 -4.0528
 -3.7563 -3.5655 -3.4585 -3.3485 -3.1675 -2.5378 -2.0765 -1.7985 -1.6378 -1.4993
 -1.2875
 -5.6555 -5.3786 -5.1178 -4.8233 -4.5870 -4.3746 -4.1973 -4.0491 -3.9565 -3.8123
 -3.6483 -3.4655 -3.2777 -3.0751 -2.8770 -2.3867 -2.0212 -1.7568 -1.5622 -1.4140
 -1.2937 -1.1913 -1.1009
 -5.2590 -5.0376 -4.8188 -4.5816 -4.3577 -4.1419 -3.9439 -3.7682 -3.6132 -3.4704
 -3.3267 -3.1734 -3.0136 -2.8489 -2.6831 -2.2838 -1.9614 -1.7277 -1.5555 -1.4216
 -1.3115 -1.2165 -1.1317 -1.0550 -0.9852
 -4.8682 -4.6931 -4.5127 -4.3229 -4.1237 -3.9214 -3.7233 -3.5387 -3.3719 -3.2218
 -3.0834 -2.9493 -2.8120 -2.6734 -2.5324 -2.2007 -1.9169 -1.7067 -1.5519 -1.4306
 -1.3300 -1.2423 -1.1633 -1.0905 -1.0232 -0.9612
 -4.4830 -4.3451 -4.1995 -4.0472 -3.8851 -3.7131 -3.5355 -3.3606 -3.1960 -3.0454
 -2.9091 -2.7835 -2.6636 -2.5453 -2.4249 -2.1374 -1.8877 -1.6938 -1.5514 -1.4410
 -1.3492 -1.2687 -1.1957 -1.1278 -1.0640 -1.0042 -0.9494 -0.9000 -0.8589 -0.8353
 -4.1035 -3.9936 -3.8792 -3.7609 -3.6358 -3.5011 -3.3565 -3.2064 -3.0570 -2.9151
 -2.7842 -2.6643 -2.5540 -2.4494 -2.3467 -2.0950 -1.8708 -1.6883 -1.5520 -1.4491
 -1.3655 -1.2926 -1.2263 -1.1642 -1.1052 -1.0489 -0.9956 -0.9472 -0.9055 -0.8736
 -0.8581
 -3.7445 -3.6573 -3.5684 -3.4781 -3.3840 -3.2840 -3.1755 -3.0579 -2.9338 -2.8094
 -2.6893 -2.5771 -2.4736 -2.3775 -2.2859 -2.0653 -1.8611 -1.6890 -1.5546 -1.4543
 -1.3764 -1.3109 -1.2520 -1.1968 -1.1439 -1.0927 -1.0438 -0.9966 -0.9544 -0.9205
 -0.8973
 -3.4134 -3.3452 -3.2777 -3.2109 -3.1419 -3.0698 -2.9920 -2.9064 -2.8121 -2.7108
 -2.6074 -2.5066 -2.4107 -2.3210 -2.2366 -2.0389 -1.8520 -1.6895 -1.5582 -1.4572
 -1.3812 -1.3212 -1.2697 -1.2222 -1.1766 -1.1319 -1.0885 -1.0465 -1.0070 -0.9724
 -0.9430
 -3.1087 -3.0619 -3.0138 -2.9646 -2.9156 -2.8647 -2.8106 -2.7515 -2.6854 -2.6104
 -2.5289 -2.4443 -2.3593 -2.2764 -2.1972 -2.0139 -1.8454 -1.6909 -1.5632 -1.4618
 -1.3845 -1.3262 -1.2799 -1.2398 -1.2023 -1.1654 -1.1290 -1.0930 -1.0580 -1.0251
 -0.9940
 -2.8442 -2.8074 -2.7724 -2.7391 -2.7060 -2.6712 -2.6353 -2.5960 -2.5519 -2.4988
 -2.4380 -2.3722 -2.3034 -2.2336 -2.1642 -1.9955 -1.8363 -1.6905 -1.5658 -1.4656
 -1.3874 -1.3282 -1.2838 -1.2488 -1.2184 -1.1897 -1.1613 -1.1328 -1.1042 -1.0763
 -1.0501
 -2.6199 -2.5817 -2.5535 -2.5344 -2.5131 -2.4893 -2.4674 -2.4432 -2.4151 -2.3809
 -2.3406 -2.2947 -2.2436 -2.1926 -2.1376 -1.9839 -1.8247 -1.6883 -1.5660
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  g   
 -5.7661 -5.4374 -5.2156 -5.1097 -5.1400 -5.6258 -5.3122 -4.9831 -4.7091 -4.4867
 -4.2058 -3.9331 -3.7950 -3.6847 -3.5006 -2.8565
 -5.6371 -5.2949 -5.0371 -4.8669 -4.7960 -4.9845 -4.7915 -4.5772 -4.3725 -4.1794
 -3.9592 -3.7384 -3.5648 -3.4009 -3.2075 -2.6593 -2.2092 -1.8729 -1.6243
 -5.4943 -5.1505 -4.8716 -4.6565 -4.5103 -4.4869 -4.3594 -4.2156 -4.0583 -3.8902
 -3.7136 -3.5306 -3.3429 -3.1520 -2.9592 -2.4916 -2.1040 -1.8085 -1.5892 -1.4217
 -1.2873
 -5.3377 -5.0042 -4.7191 -4.4785 -4.2829 -4.1330 -4.0159 -3.8983 -3.7664 -3.6189
 -3.4690 -3.3096 -3.1292 -2.9380 -2.7557 -2.3534 -2.0195 -1.7598 -1.5656 -1.4157
 -1.2940 -1.1907 -1.0980
 -5.1673 -4.8560 -4.5796 -4.3329 -4.1138 -3.9228 -3.7610 -3.6253 -3.4969 -3.3657
 -3.2254 -3.0754 -2.9237 -2.7589 -2.5970 -2.2447 -1.9557 -1.7268 -1.5535 -1.4184
 -1.3074 -1.2118 -1.1270 -1.0503 -0.9805
 -4.9831 -4.7059 -4.4531 -4.2197 -4.0030 -3.8033 -3.6217 -3.4598 -3.3158 -3.1837
 -3.0519 -2.9133 -2.7745 -2.6301 -2.4833 -2.1652 -1.9094 -1.7050 -1.5488 -1.4262
 -1.3247 -1.2365 -1.1572 -1.0846 -1.0176 -0.9558
 -4.7772 -4.5387 -4.3180 -4.1086 -3.9083 -3.7164 -3.5342 -3.3638 -3.2076 -3.0647
 -2.9307 -2.8008 -2.6713 -2.5442 -2.4119 -2.1139 -1.8787 -1.6913 -1.5476 -1.4356
 -1.3429 -1.2618 -1.1886 -1.1209 -1.0575 -0.9984 -0.9441 -0.8951 -0.8545 -0.8312
 -4.5594 -4.3566 -4.1681 -3.9880 -3.8110 -3.6366 -3.4652 -3.2992 -3.1410 -2.9936
 -2.8562 -2.7268 -2.6025 -2.4835 -2.3643 -2.0874 -1.8621 -1.6845 -1.5476 -1.4431
 -1.3584 -1.2850 -1.2185 -1.1566 -1.0980 -1.0424 -0.9904 -0.9423 -0.9006 -0.8691
 -0.8540
 -4.3241 -4.1649 -4.0087 -3.8555 -3.7039 -3.5516 -3.3974 -3.2434 -3.0924 -2.9466
 -2.8087 -2.6795 -2.5577 -2.4420 -2.3301 -2.0725 -1.8564 -1.6837 -1.5480 -1.4478
 -1.3667 -1.3029 -1.2438 -1.1888 -1.1363 -1.0856 -1.0374 -0.9941 -0.9559 -0.9223
 -0.8930
 -4.1068 -3.9806 -3.8494 -3.7139 -3.5841 -3.4538 -3.3200 -3.1830 -3.0443 -2.9065
 -2.7725 -2.6449 -2.5247 -2.4116 -2.3035 -2.0588 -1.8524 -1.6848 -1.5517 -1.4500
 -1.3735 -1.3131 -1.2614 -1.2140 -1.1688 -1.1246 -1.0817 -1.0404 -1.0015 -0.9666
 -0.9386
 -3.9181 -3.8067 -3.6910 -3.5716 -3.4592 -3.3462 -3.2320 -3.1138 -2.9915 -2.8667
 -2.7415 -2.6191 -2.5017 -2.3908 -2.2860 -2.0492 -1.8510 -1.6873 -1.5565 -1.4541
 -1.3766 -1.3182 -1.2718 -1.2318 -1.1945 -1.1580 -1.1221 -1.0868 -1.0524 -1.0200
 -0.9895
 -3.7441 -3.6432 -3.5421 -3.4410 -3.3443 -3.2498 -3.1528 -3.0290 -2.9243 -2.8154
 -2.7034 -2.5906 -2.4793 -2.3721 -2.2703 -2.0405 -1.8480 -1.6888 -1.5596 -1.4577
 -1.3792 -1.3202 -1.2759 -1.2410 -1.2109 -1.1825 -1.1547 -1.1266 -1.0986 -1.0712
 -1.0455
 -3.5847 -3.4899 -3.4026 -3.3221 -3.2394 -3.1646 -3.0409 -2.9544 -2.8638 -2.7470
 -2.6505 -2.5511 -2.4502 -2.3502 -2.2564 -2.0327 -1.8434 -1.6893 -1.5610
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  g   
 -6.1749 -6.0411 -5.9942 -5.7939 -5.4157 -5.0877 -4.9910 -4.9975 -4.9092 -4.6738
 -4.3940 -4.1072 -3.8478 -3.6158 -3.3842 -2.8296
 -5.7610 -5.5086 -5.3432 -5.1430 -4.8933 -4.6784 -4.5608 -4.4851 -4.3713 -4.1936
 -3.9843 -3.7548 -3.5232 -3.3038 -3.0946 -2.6180 -2.2057 -1.8755 -1.6086
 -5.4494 -5.1181 -4.8697 -4.6604 -4.4817 -4.3310 -4.2004 -4.0771 -3.9484 -3.8056
 -3.6429 -3.4571 -3.2532 -3.0491 -2.8588 -2.4439 -2.0945 -1.8093 -1.5844 -1.4124
 -1.2864
 -5.2401 -4.8696 -4.5737 -4.3461 -4.1809 -4.0455 -3.9098 -3.7735 -3.6405 -3.5098
 -3.3698 -3.2141 -3.0378 -2.8517 -2.6768 -2.3073 -2.0066 -1.7591 -1.5657 -1.4147
 -1.2919 -1.1881 -1.0971
 -5.1331 -4.7631 -4.4552 -4.2001 -3.9909 -3.8219 -3.6890 -3.5743 -3.4476 -3.3062
 -3.1650 -3.0258 -2.8770 -2.7116 -2.5486 -2.2082 -1.9420 -1.7249 -1.5524 -1.4162
 -1.3042 -1.2081 -1.1229 -1.0460 -0.9764
 -5.0539 -4.6992 -4.3969 -4.1383 -3.9160 -3.7250 -3.5611 -3.4197 -3.2963 -3.1773
 -3.0433 -2.9000 -2.7609 -2.6158 -2.4647 -2.1421 -1.8973 -1.7023 -1.5467 -1.4228
 -1.3203 -1.2315 -1.1520 -1.0795 -1.0128 -0.9514
 -4.9675 -4.6398 -4.3541 -4.1034 -3.8816 -3.6838 -3.5070 -3.3486 -3.2057 -3.0746
 -2.9502 -2.8228 -2.6901 -2.5562 -2.4152 -2.1028 -1.8691 -1.6880 -1.5447 -1.4310
 -1.3372 -1.2558 -1.1824 -1.1148 -1.0518 -0.9930 -0.9392 -0.8907 -0.8502 -0.8271
 -4.8603 -4.5668 -4.3058 -4.0713 -3.8581 -3.6630 -3.4835 -3.3176 -3.1649 -3.0234
