 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F606W
  0.2428  2.1057  3.2203  2.0417 -1.1293 -5.4182 -4.4410 -2.6204 -1.5059 -1.3419
 -1.1622 -1.0754 -1.4555 -1.9431 -2.0858 -1.6734
 -2.7163 -1.8075 -1.0554 -1.2958 -2.4070 -4.2695 -3.8269 -2.9775 -2.3237 -2.0328
 -1.8025 -1.6849 -1.7952 -1.9665 -1.9881 -1.6325 -1.3997 -1.2654 -1.2581
 -3.8803 -3.5345 -3.1004 -2.8904 -2.9022 -3.2981 -3.1500 -2.8817 -2.5863 -2.3256
 -2.1273 -2.0079 -1.9615 -1.9371 -1.8772 -1.5863 -1.3860 -1.2615 -1.2056 -1.1615
 -1.0742
 -3.2492 -3.0753 -2.9147 -2.7421 -2.6149 -2.5041 -2.4103 -2.3328 -2.2936 -2.2202
 -2.1366 -2.0444 -1.9545 -1.8550 -1.7531 -1.5348 -1.3726 -1.2615 -1.1861 -1.1342
 -1.0961 -1.0666 -1.0423
 -2.9554 -2.8278 -2.7046 -2.5753 -2.4615 -2.3565 -2.2625 -2.1797 -2.1071 -2.0405
 -1.9730 -1.9003 -1.8261 -1.7496 -1.6711 -1.4925 -1.3591 -1.2662 -1.2006 -1.1528
 -1.1166 -1.0882 -1.0648 -1.0464 -1.0332
 -2.6739 -2.5848 -2.4946 -2.4014 -2.3073 -2.2159 -2.1299 -2.0505 -1.9783 -1.9126
 -1.8515 -1.7920 -1.7304 -1.6697 -1.6061 -1.4586 -1.3459 -1.2671 -1.2108 -1.1684
 -1.1354 -1.1090 -1.0872 -1.0690 -1.0540 -1.0432
 -2.4048 -2.3463 -2.2847 -2.2204 -2.1524 -2.0823 -2.0125 -1.9452 -1.8813 -1.8212
 -1.7650 -1.7119 -1.6605 -1.6104 -1.5581 -1.4331 -1.3330 -1.2642 -1.2167 -1.1810
 -1.1525 -1.1290 -1.1094 -1.0925 -1.0779 -1.0661 -1.0575 -1.0562 -1.0650 -1.0803
 -2.1481 -2.1123 -2.0749 -2.0361 -1.9940 -1.9480 -1.8988 -1.8485 -1.7980 -1.7481
 -1.6996 -1.6527 -1.6076 -1.5640 -1.5209 -1.4135 -1.3227 -1.2579 -1.2161 -1.1874
 -1.1649 -1.1461 -1.1299 -1.1157 -1.1029 -1.0916 -1.0814 -1.0758 -1.0786 -1.0916
 -1.1119
 -1.9161 -1.8959 -1.8762 -1.8571 -1.8361 -1.8120 -1.7842 -1.7526 -1.7180 -1.6815
 -1.6432 -1.6044 -1.5657 -1.5277 -1.4899 -1.3972 -1.3138 -1.2510 -1.2103 -1.1860
 -1.1700 -1.1574 -1.1463 -1.1362 -1.1267 -1.1178 -1.1100 -1.1029 -1.1002 -1.1059
 -1.1227
 -1.7073 -1.7012 -1.6961 -1.6919 -1.6866 -1.6796 -1.6694 -1.6554 -1.6371 -1.6144
 -1.5882 -1.5590 -1.5277 -1.4954 -1.4625 -1.3805 -1.3042 -1.2434 -1.2023 -1.1785
 -1.1667 -1.1605 -1.1560 -1.1516 -1.1470 -1.1419 -1.1369 -1.1324 -1.1296 -1.1313
 -1.1376
 -1.5220 -1.5293 -1.5359 -1.5419 -1.5480 -1.5529 -1.5559 -1.5561 -1.5525 -1.5438
 -1.5299 -1.5116 -1.4896 -1.4646 -1.4374 -1.3649 -1.2950 -1.2363 -1.1947 -1.1694
 -1.1579 -1.1555 -1.1571 -1.1595 -1.1611 -1.1614 -1.1610 -1.1600 -1.1592 -1.1596
 -1.1609
