 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F606W
  0.1265  1.9834  3.1013  1.9114 -1.2533 -5.5217 -4.5566 -2.7584 -1.6448 -1.4728
 -1.2987 -1.2166 -1.5902 -2.0738 -2.2214 -1.8130
 -2.8130 -1.9137 -1.1651 -1.4149 -2.5260 -4.3791 -3.9433 -3.1040 -2.4518 -2.1604
 -1.9330 -1.8178 -1.9265 -2.0973 -2.1221 -1.7729 -1.5459 -1.4140 -1.4091
 -3.9773 -3.6390 -3.2099 -3.0062 -3.0206 -3.4145 -3.2696 -3.0042 -2.7106 -2.4525
 -2.2558 -2.1379 -2.0927 -2.0698 -2.0121 -1.7280 -1.5330 -1.4117 -1.3579 -1.3153
 -1.2308
 -3.3664 -3.1925 -3.0331 -2.8625 -2.7369 -2.6280 -2.5355 -2.4591 -2.4212 -2.3491
 -2.2671 -2.1767 -2.0888 -1.9912 -1.8914 -1.6783 -1.5200 -1.4123 -1.3391 -1.2894
 -1.2529 -1.2250 -1.2019
 -3.0745 -2.9475 -2.8254 -2.6975 -2.5852 -2.4820 -2.3897 -2.3086 -2.2376 -2.1724
 -2.1064 -2.0354 -1.9629 -1.8882 -1.8114 -1.6372 -1.5075 -1.4174 -1.3539 -1.3079
 -1.2733 -1.2463 -1.2242 -1.2070 -1.1950
 -2.7953 -2.7071 -2.6179 -2.5257 -2.4329 -2.3431 -2.2589 -2.1814 -2.1109 -2.0467
 -1.9872 -1.9291 -1.8691 -1.8100 -1.7479 -1.6042 -1.4949 -1.4186 -1.3643 -1.3235
 -1.2920 -1.2669 -1.2464 -1.2293 -1.2154 -1.2058
 -2.5288 -2.4713 -2.4106 -2.3471 -2.2801 -2.2113 -2.1431 -2.0775 -2.0154 -1.9569
 -1.9022 -1.8505 -1.8006 -1.7519 -1.7009 -1.5793 -1.4822 -1.4159 -1.3703 -1.3362
 -1.3090 -1.2868 -1.2684 -1.2526 -1.2391 -1.2283 -1.2207 -1.2204 -1.2301 -1.2462
 -2.2750 -2.2401 -2.2035 -2.1654 -2.1240 -2.0789 -2.0308 -1.9820 -1.9331 -1.8849
 -1.8379 -1.7924 -1.7487 -1.7063 -1.6644 -1.5600 -1.4719 -1.4096 -1.3697 -1.3425
 -1.3214 -1.3037 -1.2887 -1.2755 -1.2638 -1.2534 -1.2442 -1.2396 -1.2433 -1.2570
 -1.2780
 -2.0457 -2.0262 -2.0073 -1.9888 -1.9684 -1.9449 -1.9179 -1.8873 -1.8540 -1.8189
 -1.7822 -1.7447 -1.7074 -1.6705 -1.6338 -1.5438 -1.4630 -1.4025 -1.3638 -1.3411
 -1.3263 -1.3149 -1.3049 -1.2958 -1.2873 -1.2792 -1.2724 -1.2662 -1.2643 -1.2708
 -1.2883
 -1.8391 -1.8339 -1.8295 -1.8258 -1.8210 -1.8144 -1.8048 -1.7915 -1.7740 -1.7526
 -1.7276 -1.6996 -1.6697 -1.6386 -1.6068 -1.5273 -1.4534 -1.3947 -1.3556 -1.3335
 -1.3230 -1.3179 -1.3144 -1.3110 -1.3073 -1.3031 -1.2989 -1.2953 -1.2932 -1.2956
 -1.3027
 -1.6559 -1.6641 -1.6714 -1.6779 -1.6843 -1.6896 -1.6929 -1.6935 -1.6905 -1.6826
 -1.6697 -1.6525 -1.6318 -1.6080 -1.5819 -1.5118 -1.4441 -1.3874 -1.3477 -1.3241
 -1.3140 -1.3128 -1.3155 -1.3187 -1.3212 -1.3224 -1.3227 -1.3225 -1.3224 -1.3235
 -1.3255
 -1.5052 -1.5168 -1.5302 -1.5451 -1.5600 -1.5734 -1.5860 -1.5965 -1.6043 -1.6076
 -1.6062 -1.6001 -1.5894 -1.5743 -1.5551 -1.4964 -1.4344 -1.3801 -1.3399 -1.3152
 -1.3037 -1.3028 -1.3089 -1.3179 -1.3270 -1.3347 -1.3409 -1.3457 -1.3495 -1.3531
 -1.3576
 -1.3870 -1.3921 -1.4059 -1.4274 -1.4481 -1.4658 -1.4857 -1.5033 -1.5185 -1.5299
 -1.5374 -1.5414 -1.5421 -1.5375 -1.5266 -1.4811 -1.4243 -1.3728 -1.3322
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F606W
 -3.6951 -3.3605 -3.1541 -3.0686 -3.0760 -3.3790 -3.1411 -2.9284 -2.7681 -2.6419
 -2.4715 -2.3009 -2.2269 -2.2015 -2.1362 -1.8174
 -3.6229 -3.2920 -3.0638 -2.9318 -2.8783 -2.9995 -2.8643 -2.7334 -2.6191 -2.5157
 -2.3942 -2.2715 -2.1832 -2.1128 -2.0265 -1.7550 -1.5514 -1.4129 -1.3200
 -3.5374 -3.2187 -2.9807 -2.8172 -2.7181 -2.7100 -2.6353 -2.5573 -2.4762 -2.3921
 -2.3054 -2.2162 -2.1247 -2.0309 -1.9350 -1.7030 -1.5297 -1.4095 -1.3276 -1.2713
 -1.2311
 -3.4386 -3.1406 -2.9048 -2.7248 -2.5955 -2.5105 -2.4541 -2.4000 -2.3391 -2.2713
 -2.2051 -2.1351 -2.0514 -1.9557 -1.8617 -1.6614 -1.5127 -1.4086 -1.3366 -1.2856
 -1.2481 -1.2199 -1.1969
 -3.3265 -3.0577 -2.8361 -2.6546 -2.5104 -2.4010 -2.3207 -2.2615 -2.2080 -2.1532
 -2.0932 -2.0281 -1.9634 -1.8873 -1.8066 -1.6302 -1.5004 -1.4102 -1.3469 -1.3008
 -1.2660 -1.2391 -1.2177 -1.2012 -1.1899
 -3.2011 -2.9700 -2.7746 -2.6066 -2.4628 -2.3440 -2.2500 -2.1762 -2.1159 -2.0626
 -2.0083 -1.9491 -1.8914 -1.8305 -1.7629 -1.6068 -1.4900 -1.4110 -1.3562 -1.3154
 -1.2839 -1.2589 -1.2387 -1.2223 -1.2092 -1.1999
 -3.0540 -2.8615 -2.6976 -2.5529 -2.4221 -2.3052 -2.2050 -2.1229 -2.0555 -1.9972
 -1.9426 -1.8885 -1.8334 -1.7827 -1.7256 -1.5881 -1.4804 -1.4084 -1.3614 -1.3272
 -1.3001 -1.2780 -1.2599 -1.2448 -1.2321 -1.2221 -1.2153 -1.2158 -1.2260 -1.2424
 -2.8923 -2.7337 -2.5999 -2.4814 -2.3709 -2.2663 -2.1689 -2.0834 -2.0114 -1.9502
 -1.8955 -1.8432 -1.7911 -1.7426 -1.6932 -1.5715 -1.4715 -1.4026 -1.3605 -1.3329
 -1.3119 -1.2944 -1.2797 -1.2672 -1.2562 -1.2468 -1.2397 -1.2355 -1.2389 -1.2531
 -1.2742
 -2.6154 -2.5621 -2.4866 -2.3914 -2.3024 -2.2156 -2.1296 -2.0476 -1.9742 -1.9110
 -1.8560 -1.8059 -1.7576 -1.7106 -1.6657 -1.5554 -1.4631 -1.3954 -1.3527 -1.3313
 -1.3132 -1.3053 -1.2957 -1.2872 -1.2794 -1.2721 -1.2661 -1.2643 -1.2671 -1.2741
 -1.2847
 -2.5262 -2.4222 -2.3437 -2.2882 -2.2172 -2.1480 -2.0778 -2.0065 -1.9372 -1.8738
 -1.8185 -1.7698 -1.7249 -1.6817 -1.6403 -1.5389 -1.4527 -1.3878 -1.3460 -1.3237
 -1.3134 -1.3085 -1.3053 -1.3023 -1.2992 -1.2958 -1.2924 -1.2895 -1.2882 -1.2902
 -1.2989
