 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390W
 -8.6849 -6.5543 -4.5621 -4.7818 -7.9225-13.4046-11.3060 -7.3612 -4.6138 -4.0416
 -3.8390 -3.8554 -4.7657 -5.5363 -5.7463 -4.5923
 -9.7938 -8.4849 -7.1719 -6.9030 -7.9898-10.4759 -9.6280 -7.9452 -6.5598 -5.9451
 -5.5548 -5.3860 -5.6281 -5.8043 -5.6706 -4.5435 -3.8417 -3.3979 -3.3095
 -9.9110 -9.1679 -8.3804 -7.8968 -7.8192 -8.3763 -8.1451 -7.7106 -7.2004 -6.7174
 -6.3270 -6.0721 -5.9178 -5.7310 -5.4303 -4.3999 -3.6465 -3.2315 -2.9978 -2.7781
 -2.4001
 -9.0365 -8.6033 -8.1876 -7.7632 -7.4107 -7.1059 -6.8573 -6.6573 -6.5354 -6.3585
 -6.1556 -5.9137 -5.6349 -5.3163 -5.0254 -4.1615 -3.5438 -3.1008 -2.7791 -2.5366
 -2.3484 -2.1956 -2.0669
 -8.6543 -8.2707 -7.8928 -7.5089 -7.1493 -6.8154 -6.5183 -6.2624 -6.0426 -5.8456
 -5.6508 -5.4392 -5.2050 -4.9481 -4.6800 -3.9923 -3.4185 -3.0111 -2.7226 -2.5084
 -2.3408 -2.2033 -2.0865 -1.9839 -1.8906
 -8.2755 -7.9323 -7.5885 -7.2413 -6.8932 -6.5542 -6.2348 -5.9462 -5.6921 -5.4677
 -5.2624 -5.0628 -4.8546 -4.6340 -4.4043 -3.8419 -3.3263 -2.9482 -2.6828 -2.4888
 -2.3377 -2.2134 -2.1072 -2.0134 -1.9289 -1.8509
 -7.9001 -7.5881 -7.2747 -6.9604 -6.6425 -6.3223 -6.0068 -5.7087 -5.4375 -5.1960
 -4.9806 -4.7823 -4.5912 -4.3979 -4.1983 -3.7103 -3.2672 -2.9121 -2.6597 -2.4778
 -2.3391 -2.2259 -2.1291 -2.0437 -1.9665 -1.8957 -1.8307 -1.7676 -1.7079 -1.6671
 -7.5280 -7.2381 -6.9514 -6.6679 -6.3831 -6.0950 -5.8040 -5.5179 -5.2467 -4.9995
 -4.7785 -4.5796 -4.3972 -4.2223 -4.0485 -3.6183 -3.2270 -2.8992 -2.6522 -2.4741
 -2.3418 -2.2371 -2.1489 -2.0715 -2.0017 -1.9375 -1.8784 -1.8235 -1.7720 -1.7260
 -1.6959
 -7.1674 -6.9005 -6.6373 -6.3779 -6.1221 -5.8672 -5.6101 -5.3514 -5.0966 -4.8558
 -4.6349 -4.4364 -4.2577 -4.0935 -3.9365 -3.5571 -3.2033 -2.8999 -2.6586 -2.4782
 -2.3457 -2.2451 -2.1637 -2.0939 -2.0316 -1.9746 -1.9221 -1.8726 -1.8271 -1.7874
 -1.7544
 -6.8544 -6.5920 -6.3422 -6.1040 -5.8718 -5.6448 -5.4192 -5.1929 -4.9657 -4.7418
 -4.5295 -4.3347 -4.1581 -3.9982 -3.8504 -3.5093 -3.1867 -2.9035 -2.6709 -2.4882
 -2.3509 -2.2492 -2.1714 -2.1079 -2.0530 -2.0037 -1.9585 -1.9165 -1.8774 -1.8422
 -1.8109
 -6.5763 -6.3257 -6.0870 -5.8593 -5.6444 -5.4375 -5.2369 -5.0394 -4.8422 -4.6440
 -4.4513 -4.2676 -4.0951 -3.9352 -3.7887 -3.4663 -3.1789 -2.9115 -2.6871 -2.5052
 -2.3628 -2.2556 -2.1761 -2.1155 -2.0664 -2.0241 -1.9864 -1.9518 -1.9198 -1.8901
 -1.8623
 -6.3413 -6.1016 -5.8715 -5.6504 -5.4441 -5.2494 -5.0655 -4.8886 -4.7154 -4.5412
 -4.3683 -4.2000 -4.0394 -3.8889 -3.7499 -3.4421 -3.1695 -2.9182 -2.7003 -2.5210
 -2.3771 -2.2648 -2.1804 -2.1182 -2.0715 -2.0345 -2.0035 -1.9763 -1.9515 -1.9289
 -1.9083
 -6.1492 -5.9196 -5.6957 -5.4773 -5.2709 -5.0805 -4.9086 -4.7442 -4.5867 -4.4329
 -4.2819 -4.1337 -3.9881 -3.8593 -3.7340 -3.4367 -3.1585 -2.9236 -2.7105
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F390W
 -8.8141 -8.5099 -8.3170 -8.2644 -8.3818 -8.9120 -8.5322 -8.0521 -7.6257 -7.2963
 -6.9496 -6.6308 -6.4860 -6.3354 -6.0638 -5.0770
 -8.6509 -8.3019 -8.0349 -7.8684 -7.8235 -8.0245 -7.7962 -7.5068 -7.2182 -6.9506
 -6.6643 -6.3787 -6.1488 -5.9093 -5.6146 -4.7419 -3.9872 -3.4170 -2.9935
 -8.5020 -8.1208 -7.7977 -7.5430 -7.3708 -7.3265 -7.1721 -6.9935 -6.7927 -6.5718
 -6.3323 -6.0759 -5.8039 -5.5176 -5.2181 -4.4496 -3.7747 -3.2603 -2.8864 -2.6078
 -2.3898
 -8.3674 -7.9666 -7.6054 -7.2882 -7.0237 -6.8180 -6.6599 -6.5120 -6.3492 -6.1600
 -5.9537 -5.7226 -5.4515 -5.1603 -4.8743 -4.2001 -3.6017 -3.1366 -2.8031 -2.5558
 -2.3633 -2.2067 -2.0716
 -8.2471 -7.8393 -7.4580 -7.1040 -6.7822 -6.4990 -6.2596 -6.0624 -5.8876 -5.7152
 -5.5284 -5.3187 -5.0915 -4.8374 -4.5832 -3.9934 -3.4682 -3.0459 -2.7436 -2.5220
 -2.3499 -2.2094 -2.0902 -1.9860 -1.8911
 -8.1411 -7.7389 -7.3555 -6.9904 -6.6463 -6.3281 -6.0407 -5.7885 -5.5699 -5.3775
 -5.1929 -5.0012 -4.8000 -4.5814 -4.3550 -3.8343 -3.3722 -2.9855 -2.7043 -2.5015
 -2.3455 -2.2182 -2.1100 -2.0149 -1.9294 -1.8507
 -8.0392 -7.6491 -7.2746 -6.9122 -6.5638 -6.2330 -5.9241 -5.6416 -5.3895 -5.1661
 -4.9648 -4.7762 -4.5897 -4.3986 -4.1966 -3.7212 -3.3098 -2.9526 -2.6830 -2.4907
 -2.3463 -2.2297 -2.1310 -2.0442 -1.9662 -1.8947 -1.8291 -1.7655 -1.7053 -1.6642
 -7.9522 -7.5709 -7.2064 -6.8549 -6.5124 -6.1818 -5.8663 -5.5708 -5.2988 -5.0543
 -4.8350 -4.6365 -4.4515 -4.2731 -4.0913 -3.6530 -3.2725 -2.9423 -2.6781 -2.4878
 -2.3490 -2.2405 -2.1502 -2.0715 -2.0007 -1.9360 -1.8764 -1.8210 -1.7690 -1.7227
 -1.6924
 -8.0724 -7.5755 -7.1591 -6.8155 -6.4827 -6.1595 -5.8461 -5.5471 -5.2666 -5.0079
 -4.7733 -4.5627 -4.3718 -4.1945 -4.0218 -3.6165 -3.2542 -2.9453 -2.6981 -2.4933
 -2.3577 -2.2486 -2.1649 -2.0936 -2.0304 -1.9727 -1.9197 -1.8714 -1.8273 -1.7872
 -1.7508
 -7.8903 -7.5656 -7.2002 -6.7988 -6.4706 -6.1548 -5.8483 -5.5523 -5.2690 -5.0028
 -4.7569 -4.5337 -4.3326 -4.1500 -3.9779 -3.5915 -3.2469 -2.9509 -2.7016 -2.5047
 -2.3594 -2.2531 -2.1726 -2.1076 -2.0517 -2.0016 -1.9559 -1.9135 -1.8742 -1.8383
 -1.8074
 -7.9377 -7.5990 -7.2251 -6.8201 -6.4896 -6.1748 -5.8737 -5.5826 -5.3016 -5.0327
 -4.7794 -4.5452 -4.3321 -4.1398 -3.9635 -3.5798 -3.2502 -2.9623 -2.7204 -2.5236
 -2.3724 -2.2603 -2.1779 -2.1155 -2.0653 -2.0222 -1.9839 -1.9489 -1.9166 -1.8868
 -1.8590
 -8.0939 -7.6758 -7.2871 -6.9253 -6.5833 -6.2618 -5.9542 -5.6246 -5.3470 -5.0796
 -4.8233 -4.5815 -4.3576 -4.1537 -3.9689 -3.5758 -3.2542 -2.9748 -2.7371 -2.5421
 -2.3881 -2.2703 -2.1828 -2.1186 -2.0708 -2.0329 -2.0014 -1.9736 -1.9486 -1.9258
 -1.9051
 -8.3590 -7.7960 -7.3862 -7.1143 -6.7517 -6.4157 -6.0128 -5.7178 -5.4342 -5.1307
 -4.8754 -4.6311 -4.4001 -4.1861 -3.9941 -3.5795 -3.2589 -2.9884 -2.7517
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390W
 -8.5258 -8.5273 -8.6143 -8.5376 -8.2383 -7.9387 -7.8658 -7.9334 -7.9003 -7.6654
 -7.3493 -7.0037 -6.6712 -6.3503 -6.0105 -5.1414
 -8.1555 -7.9983 -7.9204 -7.7988 -7.6048 -7.4207 -7.3270 -7.2835 -7.1912 -7.0026
 -6.7538 -6.4599 -6.1455 -5.8325 -5.5197 -4.7559 -4.0439 -3.4615 -2.9876
 -7.8968 -7.6238 -7.4213 -7.2491 -7.0983 -6.9675 -6.8506 -6.7343 -6.6011 -6.4367
 -6.2314 -5.9796 -5.6900 -5.3917 -5.1036 -4.4293 -3.8151 -3.3008 -2.9022 -2.6082
 -2.4052
 -7.7497 -7.4038 -7.1170 -6.8885 -6.7188 -6.5791 -6.4366 -6.2858 -6.1300 -5.9677
 -5.7821 -5.5628 -5.3047 -5.0279 -4.7622 -4.1616 -3.6291 -3.1745 -2.8296 -2.5742
 -2.3765 -2.2162 -2.0802
 -7.7142 -7.3383 -7.0075 -6.7170 -6.4663 -6.2555 -6.0850 -5.9380 -5.7779 -5.5956
 -5.4059 -5.2095 -4.9896 -4.7411 -4.4955 -3.9528 -3.4859 -3.0826 -2.7697 -2.5389
 -2.3613 -2.2171 -2.0952 -1.9898 -1.8946
 -7.7368 -7.3417 -6.9865 -6.6640 -6.3719 -6.1103 -5.8792 -5.6768 -5.5000 -5.3328
 -5.1482 -4.9485 -4.7472 -4.5303 -4.3039 -3.8034 -3.3842 -3.0214 -2.7315 -2.5180
 -2.3557 -2.2245 -2.1135 -2.0166 -1.9299 -1.8506
