 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F606W
 -0.0200  1.8531  2.9494  1.7658 -1.4183 -5.6568 -4.7076 -2.9062 -1.7880 -1.6111
 -1.4422 -1.3536 -1.7330 -2.2154 -2.3727 -1.9693
 -2.9487 -2.0426 -1.3065 -1.5536 -2.6762 -4.5162 -4.0863 -3.2465 -2.5934 -2.3021
 -2.0775 -1.9603 -2.0717 -2.2426 -2.2717 -1.9277 -1.7048 -1.5741 -1.5700
 -4.1110 -3.7713 -3.3476 -3.1439 -3.1636 -3.5548 -3.4107 -3.1462 -2.8534 -2.5974
 -2.4020 -2.2846 -2.2406 -2.2186 -2.1624 -1.8830 -1.6925 -1.5733 -1.5208 -1.4799
 -1.3974
 -3.5069 -3.3330 -3.1739 -3.0051 -2.8804 -2.7727 -2.6808 -2.6053 -2.5679 -2.4967
 -2.4157 -2.3264 -2.2397 -2.1434 -2.0448 -1.8352 -1.6800 -1.5745 -1.5032 -1.4550
 -1.4196 -1.3930 -1.3714
 -3.2161 -3.0895 -2.9679 -2.8411 -2.7297 -2.6276 -2.5363 -2.4562 -2.3861 -2.3219
 -2.2568 -2.1869 -2.1155 -2.0419 -1.9663 -1.7951 -1.6681 -1.5801 -1.5183 -1.4737
 -1.4403 -1.4145 -1.3936 -1.3775 -1.3666
 -2.9382 -2.8506 -2.7620 -2.6705 -2.5786 -2.4897 -2.4066 -2.3302 -2.2608 -2.1977
 -2.1391 -2.0820 -2.0230 -1.9649 -1.9039 -1.7628 -1.6559 -1.5816 -1.5289 -1.4894
 -1.4591 -1.4351 -1.4156 -1.3996 -1.3868 -1.3782
 -2.6732 -2.6163 -2.5562 -2.4933 -2.4270 -2.3590 -2.2917 -2.2273 -2.1663 -2.1088
 -2.0551 -2.0044 -1.9554 -1.9076 -1.8576 -1.7383 -1.6434 -1.5790 -1.5350 -1.5021
 -1.4760 -1.4548 -1.4374 -1.4226 -1.4101 -1.4002 -1.3936 -1.3943 -1.4049 -1.4218
 -2.4211 -2.3866 -2.3505 -2.3130 -2.2722 -2.2277 -2.1805 -2.1325 -2.0847 -2.0375
 -1.9915 -1.9470 -1.9042 -1.8626 -1.8216 -1.7193 -1.6332 -1.5727 -1.5343 -1.5084
 -1.4883 -1.4716 -1.4575 -1.4453 -1.4344 -1.4250 -1.4167 -1.4129 -1.4175 -1.4321
 -1.4538
 -2.1932 -2.1743 -2.1558 -2.1378 -2.1179 -2.0950 -2.0685 -2.0386 -2.0063 -1.9721
 -1.9363 -1.8998 -1.8633 -1.8273 -1.7913 -1.7032 -1.6243 -1.5655 -1.5283 -1.5068
 -1.4932 -1.4827 -1.4736 -1.4653 -1.4577 -1.4505 -1.4445 -1.4391 -1.4381 -1.4454
 -1.4638
 -1.9879 -1.9833 -1.9794 -1.9761 -1.9718 -1.9656 -1.9565 -1.9437 -1.9269 -1.9062
 -1.8821 -1.8551 -1.8260 -1.7957 -1.7647 -1.6868 -1.6146 -1.5575 -1.5199 -1.4991
 -1.4897 -1.4856 -1.4830 -1.4804 -1.4775 -1.4740 -1.4707 -1.4679 -1.4666 -1.4698
 -1.4777
 -1.8058 -1.8146 -1.8224 -1.8293 -1.8362 -1.8418 -1.8455 -1.8466 -1.8441 -1.8368
 -1.8246 -1.8082 -1.7882 -1.7652 -1.7398 -1.6715 -1.6053 -1.5501 -1.5118 -1.4895
 -1.4806 -1.4804 -1.4839 -1.4880 -1.4912 -1.4931 -1.4942 -1.4947 -1.4954 -1.4972
 -1.5000
 -1.6557 -1.6682 -1.6822 -1.6976 -1.7129 -1.7267 -1.7395 -1.7504 -1.7586 -1.7624
 -1.7615 -1.7560 -1.7460 -1.7316 -1.7131 -1.6560 -1.5955 -1.5427 -1.5039 -1.4804
 -1.4701 -1.4702 -1.4772 -1.4870 -1.4968 -1.5053 -1.5122 -1.5176 -1.5221 -1.5264
 -1.5315
 -1.5374 -1.5440 -1.5588 -1.5810 -1.6019 -1.6203 -1.6402 -1.6580 -1.6735 -1.6853
 -1.6932 -1.6977 -1.6989 -1.6949 -1.6845 -1.6404 -1.5852 -1.5353 -1.4962
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F606W
