 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F160W
 -1.2284 -2.6139 -4.1905 -3.9449 -1.6955  0.8675 -0.1171 -1.4918 -2.1159 -1.9916
 -1.8146 -1.6911 -1.5715 -1.4940 -1.4629 -1.5884
 -1.1237 -1.7082 -2.4520 -2.4188 -1.5474 -0.4130 -0.7780 -1.3030 -1.5802 -1.5904
 -1.5664 -1.5447 -1.5193 -1.5079 -1.5185 -1.6343 -1.7737 -1.9077 -2.0578
 -1.2115 -1.3343 -1.5540 -1.5978 -1.4743 -1.1918 -1.2267 -1.2916 -1.3561 -1.4096
 -1.4492 -1.4760 -1.4997 -1.5254 -1.5576 -1.6656 -1.7875 -1.9207 -2.0605 -2.1980
 -2.3291
 -1.4918 -1.4922 -1.4965 -1.4819 -1.4763 -1.4689 -1.4632 -1.4575 -1.4436 -1.4493
 -1.4631 -1.4849 -1.5125 -1.5466 -1.5802 -1.6823 -1.8041 -1.9352 -2.0697 -2.2019
 -2.3327 -2.4624 -2.5911
 -1.5496 -1.5474 -1.5483 -1.5428 -1.5388 -1.5332 -1.5280 -1.5248 -1.5250 -1.5291
 -1.5382 -1.5530 -1.5732 -1.5994 -1.6317 -1.7241 -1.8307 -1.9504 -2.0784 -2.2083
 -2.3370 -2.4640 -2.5892 -2.7126 -2.8343
 -1.6307 -1.6224 -1.6172 -1.6131 -1.6081 -1.6021 -1.5957 -1.5916 -1.5915 -1.5963
 -1.6055 -1.6181 -1.6349 -1.6557 -1.6817 -1.7645 -1.8602 -1.9695 -2.0898 -2.2155
 -2.3415 -2.4660 -2.5884 -2.7090 -2.8278 -2.9450
 -1.7352 -1.7172 -1.7032 -1.6928 -1.6843 -1.6756 -1.6663 -1.6579 -1.6533 -1.6541
 -1.6610 -1.6734 -1.6893 -1.7076 -1.7302 -1.8035 -1.8926 -1.9925 -2.1039 -2.2235
 -2.3462 -2.4684 -2.5887 -2.7070 -2.8234 -2.9379 -3.0507 -3.1623 -3.2722 -3.3776
 -1.8631 -1.8318 -1.8063 -1.7860 -1.7697 -1.7558 -1.7422 -1.7290 -1.7179 -1.7119
 -1.7126 -1.7202 -1.7342 -1.7527 -1.7733 -1.8397 -1.9234 -2.0178 -2.1211 -2.2335
 -2.3516 -2.4712 -2.5895 -2.7059 -2.8202 -2.9325 -3.0429 -3.1519 -3.2597 -3.3660
 -3.4684
 -2.0120 -1.9670 -1.9283 -1.8954 -1.8681 -1.8453 -1.8252 -1.8063 -1.7886 -1.7747
 -1.7667 -1.7668 -1.7747 -1.7897 -1.8098 -1.8718 -1.9510 -2.0419 -2.1404 -2.2460
 -2.3584 -2.4744 -2.5907 -2.7053 -2.8178 -2.9283 -3.0370 -3.1438 -3.2491 -3.3531
 -3.4562
 -2.1660 -2.1143 -2.0669 -2.0234 -1.9832 -1.9486 -1.9185 -1.8916 -1.8669 -1.8445
 -1.8273 -1.8179 -1.8172 -1.8255 -1.8414 -1.9017 -1.9758 -2.0639 -2.1603 -2.2620
 -2.3689 -2.4806 -2.5943 -2.7075 -2.8187 -2.9276 -3.0346 -3.1397 -3.2431 -3.3451
 -3.4459
 -2.3151 -2.2647 -2.2133 -2.1611 -2.1107 -2.0640 -2.0227 -1.9858 -1.9526 -1.9224
 -1.8969 -1.8779 -1.8669 -1.8650 -1.8727 -1.9233 -1.9982 -2.0823 -2.1766 -2.2761
 -2.3794 -2.4864 -2.5963 -2.7072 -2.8170 -2.9247 -3.0302 -3.1335 -3.2349 -3.3348
 -3.4351
 -2.4784 -2.4182 -2.3601 -2.3040 -2.2470 -2.1917 -2.1395 -2.0921 -2.0489 -2.0084
 -1.9724 -1.9432 -1.9227 -1.9124 -1.9130 -1.9510 -2.0189 -2.0994 -2.1907 -2.2886
 -2.3900 -2.4940 -2.6002 -2.7080 -2.8158 -2.9223 -3.0267 -3.1287 -3.2286 -3.3266
 -3.4230
 -2.6557 -2.5747 -2.5073 -2.4521 -2.3921 -2.3317 -2.2658 -2.2093 -2.1570 -2.1095
 -2.0667 -2.0282 -1.9937 -1.9677 -1.9624 -1.9848 -2.0379 -2.1152 -2.2026
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F160W
 -1.6138 -1.5966 -1.5466 -1.4442 -1.2937 -1.0739 -1.2214 -1.3292 -1.3733 -1.3745
 -1.3866 -1.4060 -1.4179 -1.4368 -1.4715 -1.6041
 -1.5743 -1.5674 -1.5396 -1.4773 -1.3810 -1.2403 -1.2808 -1.3174 -1.3388 -1.3507
 -1.3715 -1.3986 -1.4263 -1.4591 -1.5000 -1.6273 -1.7659 -1.9063 -2.0464
 -1.5490 -1.5488 -1.5372 -1.5054 -1.4514 -1.3716 -1.3489 -1.3402 -1.3436 -1.3572
 -1.3794 -1.4088 -1.4442 -1.4846 -1.5290 -1.6518 -1.7828 -1.9189 -2.0562 -2.1930
 -2.3284
 -1.5379 -1.5408 -1.5394 -1.5285 -1.5048 -1.4678 -1.4257 -1.3975 -1.3876 -1.3940
 -1.4103 -1.4364 -1.4715 -1.5133 -1.5585 -1.6776 -1.8020 -1.9325 -2.0661 -2.1994
 -2.3312 -2.4614 -2.5896
 -1.5410 -1.5434 -1.5462 -1.5466 -1.5413 -1.5289 -1.5112 -1.4894 -1.4709 -1.4612
 -1.4643 -1.4815 -1.5082 -1.5452 -1.5885 -1.7047 -1.8235 -1.9471 -2.0760 -2.2060
 -2.3349 -2.4620 -2.5874 -2.7110 -2.8329
 -1.5583 -1.5566 -1.5576 -1.5597 -1.5609 -1.5594 -1.5546 -1.5484 -1.5427 -1.5377
 -1.5373 -1.5452 -1.5616 -1.5872 -1.6225 -1.7323 -1.8473 -1.9641 -2.0866 -2.2128
 -2.3390 -2.4637 -2.5863 -2.7071 -2.8262 -2.9436
 -1.5932 -1.5854 -1.5818 -1.5810 -1.5822 -1.5839 -1.5850 -1.5855 -1.5872 -1.5916
