 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F125W
 -0.2344  0.1060  0.6124  0.7250  0.2953  0.0661  0.6764  1.0784  1.1132  0.9900
  0.9392  0.9102  0.7372  0.4978  0.3125  0.1976
  0.2739  0.3853  0.5893  0.6242  0.4469  0.3129  0.5233  0.6769  0.7098  0.6844
  0.6685  0.6386  0.5396  0.4085  0.3017  0.1977  0.1169  0.0306 -0.0784
  0.5412  0.5310  0.5572  0.5498  0.5070  0.4406  0.4390  0.4499  0.4625  0.4698
  0.4634  0.4362  0.3871  0.3279  0.2762  0.1825  0.0885  0.0034 -0.0904 -0.1833
 -0.2666
  0.5675  0.5431  0.5161  0.5018  0.4755  0.4491  0.4235  0.3974  0.3713  0.3463
  0.3240  0.3029  0.2798  0.2561  0.2360  0.1520  0.0688 -0.0181 -0.1069 -0.1963
 -0.2853 -0.3746 -0.4630
  0.5871  0.5592  0.5304  0.5069  0.4800  0.4526  0.4244  0.3953  0.3651  0.3347
  0.3063  0.2805  0.2559  0.2319  0.2075  0.1339  0.0502 -0.0371 -0.1254 -0.2134
 -0.3006 -0.3873 -0.4733 -0.5594 -0.6462
  0.5825  0.5562  0.5293  0.5030  0.4772  0.4507  0.4227  0.3931  0.3622  0.3304
  0.2984  0.2675  0.2390  0.2118  0.1860  0.1171  0.0353 -0.0516 -0.1398 -0.2274
 -0.3138 -0.3991 -0.4835 -0.5673 -0.6510 -0.7352
  0.5538  0.5341  0.5128  0.4901  0.4670  0.4434  0.4184  0.3908  0.3606  0.3287
  0.2958  0.2628  0.2306  0.2000  0.1715  0.1016  0.0241 -0.0616 -0.1501 -0.2383
 -0.3249 -0.4100 -0.4935 -0.5760 -0.6576 -0.7391 -0.8209 -0.9048 -0.9913 -1.0771
  0.5010  0.4929  0.4809  0.4654  0.4476  0.4285  0.4080  0.3848  0.3580  0.3278
  0.2954  0.2619  0.2283  0.1953  0.1640  0.0907  0.0151 -0.0680 -0.1561 -0.2452
 -0.3331 -0.4190 -0.5028 -0.5849 -0.6655 -0.7453 -0.8244 -0.9044 -0.9867 -1.0717
 -1.1565
  0.4196  0.4282  0.4300  0.4256  0.4168  0.4045  0.3897  0.3723  0.3510  0.3251
  0.2953  0.2627  0.2289  0.1950  0.1619  0.0845  0.0088 -0.0720 -0.1586 -0.2480
 -0.3374 -0.4250 -0.5101 -0.5929 -0.6736 -0.7527 -0.8309 -0.9084 -0.9867 -1.0671
 -1.1507
  0.3194  0.3426  0.3581  0.3667  0.3702  0.3681  0.3617  0.3512  0.3366  0.3172
  0.2923  0.2627  0.2301  0.1962  0.1624  0.0812  0.0046 -0.0750 -0.1599 -0.2486
 -0.3388 -0.4284 -0.5157 -0.6003 -0.6822 -0.7619 -0.8399 -0.9167 -0.9929 -1.0701
 -1.1485
  0.2059  0.2398  0.2681  0.2913  0.3080  0.3188  0.3232  0.3220  0.3153  0.3033
  0.2842  0.2591  0.2301  0.1987  0.1663  0.0838  0.0028 -0.0760 -0.1592 -0.2463
 -0.3359 -0.4263 -0.5157 -0.6026 -0.6866 -0.7677 -0.8464 -0.9233 -0.9988 -1.0737
 -1.1495
  0.0635  0.1198  0.1650  0.2001  0.2299  0.2536  0.2707  0.2809  0.2844  0.2799
  0.2680  0.2501  0.2271  0.2000  0.1697  0.0864  0.0024 -0.0765 -0.1583 -0.2438
 -0.3321 -0.4220 -0.5122 -0.6011 -0.6875 -0.7708 -0.8514 -0.9294 -1.0052 -1.0797
 -1.1534
 -0.1076 -0.0173  0.0488  0.0931  0.1359  0.1725  0.2034  0.2259  0.2408  0.2473
  0.2458  0.2370  0.2213  0.2001  0.1726  0.0888  0.0034 -0.0765 -0.1572
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F125W
  0.5339  0.5369  0.5310  0.5147  0.4760  0.4336  0.4507  0.4345  0.4087  0.3959
  0.4036  0.4150  0.3933  0.3466  0.3054  0.2394
  0.5163  0.5094  0.4981  0.4808  0.4496  0.4125  0.4051  0.3873  0.3668  0.3517
  0.3444  0.3384  0.3200  0.2914  0.2638  0.2031  0.1229  0.0345 -0.0577
  0.5088  0.4932  0.4766  0.4575  0.4312  0.3986  0.3755  0.3549  0.3361  0.3184
  0.3012  0.2840  0.2665  0.2482  0.2289  0.1716  0.0939  0.0071 -0.0828 -0.1742
 -0.2660
  0.5114  0.4883  0.4665  0.4448  0.4207  0.3919  0.3619  0.3373  0.3164  0.2959
  0.2740  0.2518  0.2328  0.2172  0.2007  0.1449  0.0696 -0.0158 -0.1042 -0.1933
 -0.2824 -0.3714 -0.4603
  0.5241  0.4947  0.4678  0.4427  0.4181  0.3924  0.3643  0.3345  0.3078  0.2843
  0.2628  0.2417  0.2189  0.1983  0.1792  0.1230  0.0500 -0.0342 -0.1218 -0.2095
 -0.2968 -0.3835 -0.4699 -0.5564 -0.6438
  0.5469  0.5124  0.4805  0.4512  0.4234  0.3960  0.3681  0.3392  0.3095  0.2810
  0.2554  0.2329  0.2100  0.1868  0.1649  0.1062  0.0348 -0.0482 -0.1356 -0.2230
 -0.3094 -0.3949 -0.4795 -0.5637 -0.6479 -0.7325
  0.5716  0.5351  0.4999  0.4672  0.4362  0.4062  0.3766  0.3468  0.3164  0.2862
  0.2573  0.2304  0.2056  0.1801  0.1563  0.0944  0.0237 -0.0578 -0.1453 -0.2334
 -0.3201 -0.4052 -0.4891 -0.5720 -0.6542 -0.7361 -0.8184 -0.9027 -0.9894 -1.0753
  0.5879  0.5546  0.5201  0.4858  0.4530  0.4211  0.3897  0.3583  0.3269  0.2953
  0.2641  0.2342  0.2061  0.1785  0.1521  0.0870  0.0162 -0.0638 -0.1508 -0.2399
 -0.3279 -0.4139 -0.4980 -0.5805 -0.6617 -0.7420 -0.8221 -0.9024 -0.9847 -1.0699
 -1.1547
  0.5804  0.5595  0.5329  0.5012  0.4690  0.4367  0.4047  0.3726  0.3400  0.3072
  0.2746  0.2423  0.2113  0.1815  0.1523  0.0833  0.0115 -0.0670 -0.1514 -0.2423
 -0.3300 -0.4198 -0.5052 -0.5884 -0.6696 -0.7492 -0.8278 -0.9070 -0.9871 -1.0678
 -1.1490
  0.5780  0.5568  0.5326  0.5057  0.4778  0.4479  0.4171  0.3855  0.3532  0.3201
  0.2865  0.2528  0.2196  0.1873  0.1557  0.0818  0.0086 -0.0694 -0.1538 -0.2427
 -0.3333 -0.4232 -0.5108 -0.5957 -0.6781 -0.7581 -0.8366 -0.9138 -0.9905 -1.0677
 -1.1467
  0.5262  0.5303  0.5193  0.4945  0.4743  0.4504  0.4234  0.3945  0.3640  0.3320
  0.2989  0.2649  0.2305  0.1964  0.1628  0.0836  0.0081 -0.0697 -0.1527 -0.2402
 -0.3304 -0.4212 -0.5108 -0.5981 -0.6824 -0.7639 -0.8431 -0.9203 -0.9962 -1.0715
 -1.1476
  0.4703  0.4801  0.4820  0.4768  0.4652  0.4473  0.4251  0.3946  0.3681  0.3392
  0.3082  0.2753  0.2412  0.2065  0.1717  0.0875  0.0089 -0.0694 -0.1514 -0.2375
 -0.3265 -0.4170 -0.5075 -0.5967 -0.6834 -0.7671 -0.8480 -0.9263 -1.0026 -1.0774
 -1.1514
  0.4104  0.4061  0.4209  0.4527  0.4506  0.4385  0.4111  0.3932  0.3714  0.3378
  0.3111  0.2814  0.2493  0.2155  0.1824  0.0935  0.0110 -0.0685 -0.1499
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F125W
  0.6307  0.5810  0.5027  0.4651  0.4726  0.4573  0.3885  0.3188  0.2857  0.2831
  0.2909  0.3018  0.3062  0.2991  0.2871  0.2373
  0.5721  0.5413  0.4939  0.4622  0.4462  0.4205  0.3748  0.3296  0.2992  0.2823
  0.2725  0.2676  0.2635  0.2557  0.2441  0.1965  0.1229  0.0366 -0.0528
  0.5316  0.5115  0.4837  0.4565  0.4274  0.3962  0.3643  0.3335  0.3051  0.2800
  0.2591  0.2430  0.2314  0.2213  0.2090  0.1621  0.0927  0.0091 -0.0793 -0.1701
 -0.2629
  0.5092  0.4916  0.4721  0.4480  0.4162  0.3844  0.3570  0.3305  0.3034  0.2762
  0.2507  0.2280  0.2099  0.1959  0.1818  0.1341  0.0674 -0.0138 -0.1011 -0.1900
 -0.2790 -0.3681 -0.4577
  0.5049  0.4816  0.4591  0.4367  0.4126  0.3851  0.3529  0.3206  0.2941  0.2709
  0.2473  0.2226  0.1990  0.1795  0.1625  0.1125  0.0470 -0.0321 -0.1182 -0.2057
 -0.2929 -0.3798 -0.4665 -0.5531 -0.6405
  0.5179  0.4880  0.4602  0.4343  0.4091  0.3833  0.3559  0.3265  0.2954  0.2661
  0.2419  0.2195  0.1955  0.1718  0.1508  0.0971  0.0317 -0.0459 -0.1314 -0.2186
 -0.3051 -0.3907 -0.4757 -0.5603 -0.6448 -0.7298
  0.5445  0.5081  0.4744  0.4437  0.4151  0.3874  0.3598  0.3314  0.3021  0.2726
  0.2440  0.2182  0.1944  0.1698  0.1462  0.0873  0.0211 -0.0556 -0.1407 -0.2284
 -0.3153 -0.4007 -0.4848 -0.5681 -0.6508 -0.7332 -0.8159 -0.9006 -0.9875 -1.0733
  0.5780  0.5375  0.4989  0.4633  0.4305  0.3996  0.3696  0.3400  0.3101  0.2802
  0.2509  0.2228  0.1966  0.1706  0.1455  0.0829  0.0147 -0.0614 -0.1459 -0.2344
 -0.3227 -0.4090 -0.4934 -0.5763 -0.6579 -0.7387 -0.8193 -0.9000 -0.9826 -1.0680
 -1.1528
  0.6090  0.5691  0.5287  0.4897  0.4532  0.4188  0.3860  0.3542  0.3226  0.2911
  0.2602  0.2302  0.2017  0.1743  0.1472  0.0820  0.0120 -0.0642 -0.1478 -0.2366
 -0.3264 -0.4145 -0.5003 -0.5838 -0.6654 -0.7455 -0.8247 -0.9034 -0.9824 -1.0632
 -1.1472
  0.6271  0.5930  0.5556  0.5168  0.4789  0.4422  0.4070  0.3728  0.3391  0.3056
  0.2727  0.2405  0.2095  0.1799  0.1509  0.0821  0.0108 -0.0658 -0.1486 -0.2369
 -0.3276 -0.4178 -0.5057 -0.5910 -0.6737 -0.7542 -0.8331 -0.9108 -0.9880 -1.0655
 -1.1449
  0.6254  0.6012  0.5717  0.5380  0.5022  0.4660  0.4299  0.3944  0.3592  0.3241
  0.2893  0.2549  0.2215  0.1891  0.1579  0.0843  0.0117 -0.0652 -0.1471 -0.2342
 -0.3246 -0.4158 -0.5057 -0.5932 -0.6779 -0.7598 -0.8394 -0.9171 -0.9934 -1.0691
 -1.1457
  0.6027  0.5897  0.5699  0.5451  0.5161  0.4836  0.4495  0.4147  0.3794  0.3437
  0.3079  0.2720  0.2364  0.2017  0.1679  0.0885  0.0132 -0.0639 -0.1455 -0.2313
 -0.3206 -0.4115 -0.5024 -0.5919 -0.6789 -0.7629 -0.8442 -0.9230 -0.9996 -1.0748
 -1.1492
  0.5590  0.5585  0.5485  0.5338  0.5136  0.4886  0.4598  0.4284  0.3954  0.3609
  0.3256  0.2894  0.2528  0.2163  0.1809  0.0947  0.0153 -0.0619 -0.1438
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F125W
  0.5697  0.5366  0.4996  0.4630  0.4284  0.3948  0.3638  0.3368  0.3149  0.2993
  0.2905  0.2862  0.2832  0.2780  0.2643  0.2247
  0.5843  0.5531  0.5173  0.4790  0.4396  0.4006  0.3637  0.3300  0.3008  0.2775
  0.2607  0.2496  0.2425  0.2353  0.2239  0.1837  0.1209  0.0388 -0.0514
  0.5804  0.5546  0.5224  0.4856  0.4463  0.4062  0.3668  0.3295  0.2956  0.2665
  0.2430  0.2253  0.2131  0.2030  0.1916  0.1499  0.0889  0.0112 -0.0759 -0.1664
 -0.2579
  0.5580  0.5411  0.5149  0.4828  0.4486  0.4115  0.3731  0.3353  0.2993  0.2663
  0.2374  0.2133  0.1950  0.1811  0.1674  0.1233  0.0630 -0.0117 -0.0963 -0.1845
 -0.2735 -0.3628 -0.4531
  0.5344  0.5205  0.4988  0.4705  0.4380  0.4037  0.3694  0.3362  0.3032  0.2707
  0.2399  0.2115  0.1869  0.1678  0.1513  0.1039  0.0432 -0.0299 -0.1126 -0.1994
 -0.2868 -0.3739 -0.4610 -0.5482 -0.6363
  0.5262  0.5043  0.4819  0.4557  0.4261  0.3947  0.3623  0.3302  0.2989  0.2693
  0.2417  0.2143  0.1873  0.1627  0.1423  0.0909  0.0291 -0.0436 -0.1252 -0.2114
 -0.2982 -0.3842 -0.4697 -0.5548 -0.6400 -0.7257
  0.5349  0.5067  0.4790  0.4521  0.4253  0.3977  0.3688  0.3382  0.3058  0.2723
  0.2417  0.2153  0.1896  0.1640  0.1399  0.0834  0.0198 -0.0529 -0.1341 -0.2204
 -0.3075 -0.3935 -0.4782 -0.5621 -0.6454 -0.7285 -0.8120 -0.8972 -0.9843 -1.0700
