 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F480M
  0.2956  0.1621  0.0414 -0.0119 -0.0773 -0.1441 -0.2045 -0.2641 -0.3292 -0.4099
 -0.4880 -0.5635 -0.6375 -0.7088 -0.7791 -0.9447 -1.0981 -1.2350 -1.3860
  0.2293  0.1647  0.0927  0.0102 -0.0808 -0.1608 -0.2300 -0.2968 -0.3633 -0.4396
 -0.5168 -0.5931 -0.6677 -0.7408 -0.8122 -0.9816 -1.1350 -1.2766 -1.4273 -1.5861
  0.2097  0.1514  0.0862  0.0143 -0.0642 -0.1503 -0.2368 -0.3130 -0.3843 -0.4565
 -0.5320 -0.6074 -0.6820 -0.7554 -0.8274 -0.9988 -1.1541 -1.2957 -1.4467 -1.6043
 -1.7559
  0.1815  0.1291  0.0695  0.0033 -0.0689 -0.1454 -0.2248 -0.3079 -0.3891 -0.4667
 -0.5416 -0.6153 -0.6885 -0.7613 -0.8333 -1.0068 -1.1656 -1.3124 -1.4609 -1.6174
 -1.7687 -1.9134
  0.1416  0.0977  0.0450 -0.0153 -0.0822 -0.1538 -0.2277 -0.3035 -0.3828 -0.4635
 -0.5430 -0.6191 -0.6923 -0.7638 -0.8348 -1.0089 -1.1714 -1.3216 -1.4713 -1.6269
 -1.7781 -1.9226 -2.0606 -2.1929
  0.0914  0.0544  0.0106 -0.0419 -0.1020 -0.1682 -0.2381 -0.3099 -0.3840 -0.4598
 -0.5371 -0.6143 -0.6899 -0.7632 -0.8346 -1.0079 -1.1726 -1.3263 -1.4780 -1.6334
 -1.7848 -1.9294 -2.0674 -2.1996 -2.3266 -2.4490 -2.5675 -2.6825 -2.7945 -2.9038
  0.0336  0.0010 -0.0350 -0.0794 -0.1309 -0.1899 -0.2542 -0.3217 -0.3926 -0.4647
 -0.5376 -0.6109 -0.6845 -0.7578 -0.8301 -1.0050 -1.1709 -1.3277 -1.4810 -1.6369
 -1.7892 -1.9343 -2.0726 -2.2048 -2.3315 -2.4534 -2.5710 -2.6848 -2.7953 -2.9030
 -3.0088
 -0.0289 -0.0592 -0.0912 -0.1288 -0.1722 -0.2219 -0.2784 -0.3401 -0.4066 -0.4754
 -0.5450 -0.6149 -0.6848 -0.7550 -0.8254 -0.9996 -1.1671 -1.3258 -1.4801 -1.6368
 -1.7909 -1.9373 -2.0762 -2.2088 -2.3356 -2.4572 -2.5742 -2.6871 -2.7966 -2.9032
 -3.0072
 -0.0934 -0.1227 -0.1538 -0.1907 -0.2262 -0.2683 -0.3158 -0.3691 -0.4291 -0.4934
 -0.5595 -0.6264 -0.6934 -0.7603 -0.8275 -0.9966 -1.1634 -1.3226 -1.4785 -1.6354
 -1.7917 -1.9405 -2.0809 -2.2143 -2.3416 -2.4635 -2.5807 -2.6936 -2.8027 -2.9083
 -3.0107
 -0.1572 -0.1862 -0.2179 -0.2519 -0.2880 -0.3260 -0.3662 -0.4108 -0.4612 -0.5186
 -0.5794 -0.6423 -0.7061 -0.7701 -0.8343 -0.9957 -1.1582 -1.3179 -1.4729 -1.6284
 -1.7854 -1.9369 -2.0797 -2.2145 -2.3428 -2.4653 -2.5828 -2.6957 -2.8045 -2.9096
 -3.0132
 -0.2178 -0.2505 -0.2844 -0.3193 -0.3551 -0.3916 -0.4287 -0.4668 -0.5082 -0.5561
 -0.6096 -0.6665 -0.7256 -0.7860 -0.8470 -1.0009 -1.1567 -1.3132 -1.4673 -1.6213
 -1.7767 -1.9294 -2.0751 -2.2125 -2.3424 -2.4660 -2.5842 -2.6976 -2.8065 -2.9117
 -3.0133
 -0.2742 -0.3293 -0.3736 -0.4102 -0.4423 -0.4725 -0.5027 -0.5347 -0.5698 -0.6089
 -0.6529 -0.7019 -0.7544 -0.8094 -0.8661 -1.0117 -1.1602 -1.3112 -1.4635
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F480M
  0.2224  0.1292  0.0532 -0.0087 -0.0749 -0.1430 -0.2115 -0.2804 -0.3443 -0.4224
 -0.5026 -0.5809 -0.6570 -0.7306 -0.8020 -0.9704 -1.1250 -1.2644 -1.4048
  0.2346  0.1656  0.0802 -0.0113 -0.0841 -0.1556 -0.2290 -0.3013 -0.3706 -0.4500
 -0.5311 -0.6105 -0.6877 -0.7625 -0.8350 -1.0061 -1.1608 -1.2999 -1.4337 -1.5832
  0.2278  0.1665  0.0978  0.0191 -0.0728 -0.1596 -0.2355 -0.3106 -0.3834 -0.4606
 -0.5414 -0.6213 -0.6992 -0.7750 -0.8485 -1.0223 -1.1795 -1.3197 -1.4546 -1.6023
 -1.7524
  0.2124  0.1557  0.0929  0.0234 -0.0536 -0.1389 -0.2295 -0.3131 -0.3896 -0.4642
 -0.5434 -0.6228 -0.7009 -0.7772 -0.8515 -1.0279 -1.1888 -1.3328 -1.4699 -1.6160
 -1.7650 -1.9094
  0.1891  0.1375  0.0793  0.0151 -0.0555 -0.1320 -0.2132 -0.2984 -0.3847 -0.4646
