 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.0601 -2.0398 -2.2252 -2.2190 -2.1226 -1.9663 -1.7761 -1.6533 -1.5421 -1.4246
 -1.3123 -1.2058 -1.1062 -1.0146 -0.9324 -0.7593 -0.6258 -0.5206 -0.4560
 -2.0609 -1.9605 -1.8767 -1.8267 -1.8112 -1.7684 -1.6730 -1.5587 -1.4482 -1.3409
 -1.2370 -1.1383 -1.0468 -0.9631 -0.8871 -0.7280 -0.6075 -0.5205 -0.4597 -0.4165
 -1.9247 -1.8285 -1.7333 -1.6480 -1.5798 -1.5424 -1.5188 -1.4637 -1.3776 -1.2792
 -1.1833 -1.0915 -1.0057 -0.9272 -0.8562 -0.7090 -0.5994 -0.5214 -0.4670 -0.4281
 -0.3994
 -1.8035 -1.7233 -1.6351 -1.5471 -1.4658 -1.3948 -1.3397 -1.3062 -1.2714 -1.2133
 -1.1359 -1.0535 -0.9742 -0.9006 -0.8337 -0.6954 -0.5938 -0.5234 -0.4748 -0.4400
 -0.4140 -0.3941
 -1.6841 -1.6241 -1.5512 -1.4712 -1.3914 -1.3166 -1.2492 -1.1903 -1.1460 -1.1080
 -1.0651 -1.0086 -0.9439 -0.8779 -0.8157 -0.6850 -0.5892 -0.5246 -0.4815 -0.4513
 -0.4285 -0.4108 -0.3970 -0.3865
 -1.5653 -1.5218 -1.4674 -1.4017 -1.3303 -1.2587 -1.1912 -1.1293 -1.0734 -1.0241
 -0.9818 -0.9419 -0.8972 -0.8473 -0.7955 -0.6756 -0.5842 -0.5234 -0.4849 -0.4601
 -0.4416 -0.4271 -0.4156 -0.4064 -0.3981 -0.3918 -0.3893 -0.3919 -0.4005 -0.4157
 -1.4496 -1.4178 -1.3786 -1.3286 -1.2700 -1.2068 -1.1433 -1.0829 -1.0277 -0.9766
 -0.9294 -0.8862 -0.8462 -0.8065 -0.7653 -0.6635 -0.5779 -0.5184 -0.4837 -0.4642
 -0.4511 -0.4410 -0.4330 -0.4265 -0.4211 -0.4156 -0.4119 -0.4121 -0.4180 -0.4308
 -0.4507
 -1.3395 -1.3156 -1.2862 -1.2489 -1.2039 -1.1524 -1.0971 -1.0412 -0.9882 -0.9391
 -0.8936 -0.8506 -0.8097 -0.7714 -0.7344 -0.6462 -0.5692 -0.5120 -0.4784 -0.4624
 -0.4549 -0.4504 -0.4471 -0.4444 -0.4423 -0.4403 -0.4375 -0.4364 -0.4394 -0.4488
 -0.4659
 -1.2375 -1.2184 -1.1945 -1.1641 -1.1305 -1.0906 -1.0458 -0.9976 -0.9492 -0.9028
 -0.8597 -0.8196 -0.7814 -0.7445 -0.7088 -0.6270 -0.5574 -0.5041 -0.4702 -0.4555
 -0.4521 -0.4533 -0.4558 -0.4584 -0.4606 -0.4623 -0.4639 -0.4656 -0.4695 -0.4758
 -0.4843
 -1.1461 -1.1295 -1.1085 -1.0835 -1.0550 -1.0233 -0.9884 -0.9496 -0.9085 -0.8667
 -0.8265 -0.7892 -0.7542 -0.7203 -0.6873 -0.6109 -0.5455 -0.4952 -0.4618 -0.4464
 -0.4441 -0.4492 -0.4573 -0.4658 -0.4736 -0.4803 -0.4861 -0.4912 -0.4961 -0.5017
 -0.5084
 -1.0658 -1.0484 -1.0282 -1.0055 -0.9807 -0.9538 -0.9252 -0.8948 -0.8619 -0.8268
 -0.7913 -0.7570 -0.7250 -0.6948 -0.6658 -0.5962 -0.5341 -0.4861 -0.4539 -0.4371
 -0.4342 -0.4404 -0.4520 -0.4657 -0.4795 -0.4920 -0.5032 -0.5130 -0.5217 -0.5299
 -0.5387
 -0.9903 -0.9621 -0.9389 -0.9187 -0.8996 -0.8800 -0.8586 -0.8347 -0.8086 -0.7808
 -0.7518 -0.7222 -0.6933 -0.6662 -0.6406 -0.5800 -0.5231 -0.4770 -0.4456
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  G   
 -2.3582 -2.3482 -2.2991 -2.1621 -1.9941 -1.8282 -1.6859 -1.5668 -1.4575 -1.3526
 -1.2519 -1.1562 -1.0662 -0.9822 -0.9047 -0.7405 -0.6126 -0.5144 -0.4485
 -2.1574 -2.0615 -2.0193 -2.0049 -1.9144 -1.7721 -1.6288 -1.5061 -1.3982 -1.2966
 -1.1996 -1.1077 -1.0215 -0.9419 -0.8690 -0.7162 -0.5995 -0.5135 -0.4523 -0.4086
 -2.0373 -1.9249 -1.8250 -1.7524 -1.7263 -1.6870 -1.5839 -1.4628 -1.3541 -1.2561
 -1.1630 -1.0747 -0.9920 -0.9157 -0.8461 -0.7015 -0.5927 -0.5136 -0.4582 -0.4187
 -0.3897
 -1.9394 -1.8360 -1.7301 -1.6287 -1.5449 -1.4912 -1.4631 -1.4101 -1.3186 -1.2243
 -1.1353 -1.0509 -0.9715 -0.8982 -0.8312 -0.6925 -0.5891 -0.5150 -0.4642 -0.4288
 -0.4027 -0.3828
 -1.8461 -1.7594 -1.6626 -1.5644 -1.4716 -1.3872 -1.3184 -1.2702 -1.2361 -1.1825
 -1.1093 -1.0309 -0.9555 -0.8851 -0.8206 -0.6866 -0.5871 -0.5164 -0.4694 -0.4381
 -0.4153 -0.3979 -0.3844 -0.3747
 -1.7550 -1.6822 -1.6006 -1.5113 -1.4213 -1.3355 -1.2558 -1.1845 -1.1265 -1.0852
 -1.0473 -0.9975 -0.9366 -0.8724 -0.8110 -0.6816 -0.5849 -0.5166 -0.4724 -0.4451
 -0.4265 -0.4125 -0.4015 -0.3930 -0.3858 -0.3809 -0.3797 -0.3833 -0.3925 -0.4079
 -1.6586 -1.6006 -1.5345 -1.4590 -1.3776 -1.2960 -1.2178 -1.1446 -1.0775 -1.0190
 -0.9706 -0.9311 -0.8914 -0.8459 -0.7959 -0.6757 -0.5817 -0.5148 -0.4723 -0.4484
 -0.4345 -0.4248 -0.4174 -0.4117 -0.4073 -0.4030 -0.4006 -0.4021 -0.4092 -0.4229
 -0.4428
 -1.5640 -1.5147 -1.4629 -1.4008 -1.3318 -1.2583 -1.1849 -1.1143 -1.0480 -0.9866
 -0.9314 -0.8828 -0.8408 -0.8029 -0.7646 -0.6651 -0.5765 -0.5109 -0.4690 -0.4471
 -0.4375 -0.4330 -0.4302 -0.4284 -0.4271 -0.4246 -0.4227 -0.4235 -0.4288 -0.4400
 -0.4579
 -1.4759 -1.4304 -1.3861 -1.3356 -1.2782 -1.2155 -1.1500 -1.0841 -1.0208 -0.9611
 -0.9059 -0.8556 -0.8099 -0.7687 -0.7314 -0.6453 -0.5670 -0.5044 -0.4628 -0.4414
 -0.4348 -0.4353 -0.4381 -0.4413 -0.4444 -0.4472 -0.4500 -0.4542 -0.4600 -0.4672
 -0.4757
 -1.3997 -1.3541 -1.3118 -1.2673 -1.2198 -1.1672 -1.1110 -1.0525 -0.9941 -0.9375
 -0.8843 -0.8351 -0.7899 -0.7481 -0.7096 -0.6262 -0.5549 -0.4966 -0.4557 -0.4336
 -0.4275 -0.4312 -0.4391 -0.4481 -0.4566 -0.4642 -0.4712 -0.4775 -0.4838 -0.4909
 -0.4989
 -1.3411 -1.2869 -1.2419 -1.1998 -1.1589 -1.1136 -1.0657 -1.0152 -0.9635 -0.9117
 -0.8614 -0.8143 -0.7708 -0.7306 -0.6930 -0.6105 -0.5422 -0.4875 -0.4480 -0.4251
 -0.4179 -0.4225 -0.4337 -0.4477 -0.4620 -0.4753 -0.4876 -0.4985 -0.5085 -0.5181
 -0.5282
 -1.2959 -1.2289 -1.1766 -1.1339 -1.0957 -1.0571 -1.0160 -0.9724 -0.9274 -0.8815
 -0.8358 -0.7916 -0.7501 -0.7116 -0.6760 -0.5972 -0.5307 -0.4780 -0.4399
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.5459 -2.4622 -2.2799 -2.0831 -1.8889 -1.7210 -1.5949 -1.4870 -1.3857 -1.2894
 -1.1978 -1.1107 -1.0285 -0.9513 -0.8791 -0.7233 -0.6002 -0.5061 -0.4382
 -2.2553 -2.2366 -2.1991 -2.0483 -1.8705 -1.7003 -1.5588 -1.4455 -1.3433 -1.2486
 -1.1589 -1.0740 -0.9940 -0.9194 -0.8502 -0.7029 -0.5892 -0.5037 -0.4418 -0.3974
 -2.1294 -2.0126 -1.9564 -1.9444 -1.8438 -1.6904 -1.5418 -1.4180 -1.3143 -1.2207
 -1.1332 -1.0505 -0.9727 -0.9001 -0.8331 -0.6914 -0.5835 -0.5035 -0.4461 -0.4056
 -0.3762
 -2.0544 -1.9248 -1.8078 -1.7239 -1.6914 -1.6480 -1.5333 -1.4052 -1.2948 -1.2007
 -1.1151 -1.0347 -0.9590 -0.8884 -0.8231 -0.6854 -0.5812 -0.5048 -0.4507 -0.4135
 -0.3870 -0.3671
 -1.9875 -1.8689 -1.7473 -1.6340 -1.5398 -1.4746 -1.4405 -1.3823 -1.2839 -1.1859
 -1.1011 -1.0228 -0.9492 -0.8804 -0.8168 -0.6822 -0.5806 -0.5066 -0.4550 -0.4206
 -0.3971 -0.3798 -0.3668 -0.3568
 -1.9197 -1.8165 -1.7047 -1.5916 -1.4845 -1.3897 -1.3124 -1.2570 -1.2186 -1.1629
 -1.0874 -1.0122 -0.9408 -0.8740 -0.8119 -0.6801 -0.5803 -0.5079 -0.4582 -0.4261
 -0.4059 -0.3919 -0.3814 -0.3738 -0.3680 -0.3648 -0.3652 -0.3701 -0.3801 -0.3957
 -1.8493 -1.7604 -1.6623 -1.5588 -1.4550 -1.3569 -1.2673 -1.1877 -1.1219 -1.0732
 -1.0333 -0.9862 -0.9284 -0.8666 -0.8067 -0.6777 -0.5794 -0.5080 -0.4594 -0.4292
 -0.4120 -0.4018 -0.3949 -0.3901 -0.3869 -0.3845 -0.3843 -0.3876 -0.3958 -0.4098
 -0.4303
 -1.7784 -1.6998 -1.6147 -1.5232 -1.4284 -1.3340 -1.2443 -1.1611 -1.0857 -1.0195
 -0.9645 -0.9215 -0.8833 -0.8416 -0.7944 -0.6742 -0.5773 -0.5066 -0.4584 -0.4292
 -0.4144 -0.4082 -0.4056 -0.4047 -0.4047 -0.4054 -0.4060 -0.4084 -0.4146 -0.4265
 -0.4450
 -1.7118 -1.6366 -1.5610 -1.4807 -1.3961 -1.3099 -1.2247 -1.1432 -1.0671 -0.9971
 -0.9343 -0.8800 -0.8345 -0.7956 -0.7592 -0.6635 -0.5725 -0.5025 -0.4546 -0.4257
 -0.4124 -0.4097 -0.4119 -0.4158 -0.4200 -0.4243 -0.4290 -0.4351 -0.4428 -0.4519
 -0.4623
 -1.6558 -1.5798 -1.5066 -1.4347 -1.3596 -1.2822 -1.2043 -1.1276 -1.0540 -0.9847
 -0.9206 -0.8626 -0.8114 -0.7667 -0.7275 -0.6432 -0.5645 -0.4977 -0.4496 -0.4202
 -0.4068 -0.4060 -0.4123 -0.4213 -0.4307 -0.4397 -0.4485 -0.4567 -0.4651 -0.4743
 -0.4856
 -1.6175 -1.5281 -1.4550 -1.3868 -1.3188 -1.2492 -1.1787 -1.1083 -1.0394 -0.9730
 -0.9102 -0.8521 -0.7992 -0.7519 -0.7097 -0.6229 -0.5516 -0.4901 -0.4433 -0.4132
 -0.3990 -0.3984 -0.4071 -0.4206 -0.4353 -0.4497 -0.4634 -0.4761 -0.4880 -0.4997
 -0.5118
 -1.5989 -1.4937 -1.4117 -1.3421 -1.2766 -1.2125 -1.1485 -1.0841 -1.0207 -0.9586
 -0.8989 -0.8424 -0.7898 -0.7419 -0.6986 -0.6086 -0.5383 -0.4806 -0.4358
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  G   
 -2.5984 -2.4463 -2.2354 -2.0353 -1.8450 -1.6790 -1.5533 -1.4496 -1.3546 -1.2611
 -1.1731 -1.0895 -1.0105 -0.9364 -0.8671 -0.7153 -0.5943 -0.5011 -0.4320
 -2.3364 -2.3359 -2.2084 -2.0183 -1.8342 -1.6628 -1.5256 -1.4154 -1.3181 -1.2258
 -1.1393 -1.0574 -0.9803 -0.9080 -0.8408 -0.6962 -0.5835 -0.4980 -0.4355 -0.3905
 -2.1637 -2.0733 -2.0684 -1.9920 -1.8287 -1.6635 -1.5139 -1.3939 -1.2936 -1.2021
 -1.1173 -1.0373 -0.9619 -0.8914 -0.8259 -0.6859 -0.5781 -0.4975 -0.4392 -0.3976
 -0.3679
 -2.0954 -1.9562 -1.8507 -1.8101 -1.7810 -1.6609 -1.5161 -1.3847 -1.2779 -1.1855
 -1.1021 -1.0239 -0.9504 -0.8815 -0.8175 -0.6808 -0.5761 -0.4987 -0.4432 -0.4045
 -0.3775 -0.3575
 -2.0431 -1.9071 -1.7751 -1.6649 -1.5907 -1.5578 -1.4995 -1.3862 -1.2712 -1.1742
 -1.0907 -1.0142 -0.9424 -0.8751 -0.8125 -0.6785 -0.5759 -0.5005 -0.4472 -0.4107
 -0.3863 -0.3689 -0.3559 -0.3462
 -1.9913 -1.8679 -1.7403 -1.6171 -1.5089 -1.4210 -1.3600 -1.3207 -1.2593 -1.1683
 -1.0817 -1.0061 -0.9358 -0.8701 -0.8088 -0.6772 -0.5761 -0.5021 -0.4503 -0.4157
 -0.3938 -0.3793 -0.3690 -0.3616 -0.3569 -0.3550 -0.3561 -0.3613 -0.3716 -0.3877
 -1.9367 -1.8268 -1.7105 -1.5924 -1.4791 -1.3765 -1.2871 -1.2132 -1.1589 -1.1168
 -1.0629 -0.9964 -0.9291 -0.8652 -0.8053 -0.6759 -0.5760 -0.5028 -0.4518 -0.4187
 -0.3991 -0.3879 -0.3809 -0.3764 -0.3738 -0.3731 -0.3746 -0.3788 -0.3868 -0.4013
 -0.4221
 -1.8806 -1.7813 -1.6770 -1.5689 -1.4608 -1.3574 -1.2620 -1.1766 -1.1019 -1.0391
 -0.9903 -0.9495 -0.9054 -0.8544 -0.7999 -0.6740 -0.5751 -0.5022 -0.4517 -0.4193
 -0.4013 -0.3932 -0.3902 -0.3895 -0.3901 -0.3917 -0.3936 -0.3973 -0.4047 -0.4174
 -0.4362
 -1.8280 -1.7323 -1.6373 -1.5395 -1.4401 -1.3420 -1.2481 -1.1605 -1.0808 -1.0092
 -0.9466 -0.8941 -0.8514 -0.8137 -0.7748 -0.6684 -0.5719 -0.4994 -0.4489 -0.4168
 -0.3999 -0.3944 -0.3955 -0.3993 -0.4041 -0.4093 -0.4151 -0.4214 -0.4290 -0.4395
 -0.4531
 -1.7843 -1.6874 -1.5968 -1.5069 -1.4162 -1.3255 -1.2368 -1.1517 -1.0719 -0.9983
 -0.9314 -0.8719 -0.8204 -0.7766 -0.7387 -0.6523 -0.5674 -0.4961 -0.4452 -0.4125
 -0.3955 -0.3913 -0.3957 -0.4042 -0.4139 -0.4236 -0.4333 -0.4427 -0.4523 -0.4629
 -0.4755
