 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F277W
  1.0270  0.9705  0.9928  1.0044  0.9653  0.9141  0.8583  0.8032  0.7349  0.6657
  0.5936  0.5188  0.4423  0.3678  0.2937  0.1177 -0.0477 -0.2119 -0.3976
  0.9471  0.9385  0.9217  0.8989  0.8787  0.8603  0.8222  0.7682  0.7064  0.6395
  0.5686  0.4951  0.4209  0.3471  0.2744  0.0990 -0.0692 -0.2370 -0.4006 -0.5577
  0.8873  0.8817  0.8638  0.8390  0.8103  0.7804  0.7572  0.7266  0.6781  0.6171
  0.5502  0.4789  0.4057  0.3324  0.2600  0.0848 -0.0829 -0.2496 -0.4125 -0.5687
 -0.7184
  0.8180  0.8199  0.8066  0.7825  0.7523  0.7187  0.6835  0.6518  0.6221  0.5817
  0.5269  0.4622  0.3923  0.3205  0.2487  0.0739 -0.0937 -0.2595 -0.4216 -0.5773
 -0.7262 -0.8693
  0.7319  0.7476  0.7437  0.7256  0.6980  0.6650  0.6290  0.5912  0.5539  0.5173
  0.4791  0.4312  0.3729  0.3071  0.2378  0.0647 -0.1025 -0.2669 -0.4280 -0.5838
 -0.7323 -0.8746 -1.0114 -1.1436
  0.6305  0.6583  0.6689  0.6614  0.6409  0.6119  0.5780  0.5415  0.5024  0.4612
  0.4200  0.3785  0.3325  0.2796  0.2202  0.0554 -0.1102 -0.2726 -0.4321 -0.5879
 -0.7368 -0.8789 -1.0151 -1.1463 -1.2734 -1.3966 -1.5163 -1.6325 -1.7454 -1.8552
  0.5182  0.5544  0.5790  0.5839  0.5745  0.5534  0.5246  0.4913  0.4549  0.4160
  0.3742  0.3305  0.2857  0.2387  0.1875  0.0415 -0.1184 -0.2775 -0.4348 -0.5898
 -0.7394 -0.8819 -1.0180 -1.1486 -1.2745 -1.3963 -1.5143 -1.6292 -1.7411 -1.8503
 -1.9565
  0.3992  0.4409  0.4735  0.4902  0.4935  0.4838  0.4635  0.4361  0.4038  0.3686
  0.3305  0.2896  0.2460  0.2000  0.1518  0.0188 -0.1299 -0.2841 -0.4377 -0.5902
 -0.7396 -0.8832 -1.0199 -1.1506 -1.2760 -1.3969 -1.5139 -1.6274 -1.7379 -1.8457
 -1.9510
  0.2778  0.3226  0.3582  0.3804  0.3958  0.3983  0.3892  0.3706  0.3449  0.3147
  0.2812  0.2448  0.2056  0.1632  0.1177 -0.0075 -0.1470 -0.2943 -0.4439 -0.5928
 -0.7405 -0.8846 -1.0226 -1.1542 -1.2800 -1.4008 -1.5174 -1.6302 -1.7397 -1.8462
 -1.9498
  0.1582  0.2046  0.2407  0.2674  0.2857  0.2964  0.2992  0.2917  0.2755  0.2525
  0.2249  0.1937  0.1597  0.1225  0.0819 -0.0327 -0.1637 -0.3047 -0.4494 -0.5942
 -0.7384 -0.8810 -1.0196 -1.1526 -1.2793 -1.4005 -1.5171 -1.6294 -1.7381 -1.8434
 -1.9479
  0.0448  0.0867  0.1208  0.1478  0.1683  0.1830  0.1924  0.1960  0.1908  0.1776
  0.1579  0.1334  0.1053  0.0742  0.0401 -0.0610 -0.1824 -0.3158 -0.4554 -0.5969
 -0.7377 -0.8774 -1.0149 -1.1485 -1.2766 -1.3990 -1.5162 -1.6287 -1.7372 -1.8422
 -1.9439
 -0.0587 -0.0470 -0.0260 -0.0001  0.0268  0.0513  0.0707  0.0831  0.0882  0.0861
  0.0769  0.0611  0.0404  0.0160 -0.0117 -0.0961 -0.2043 -0.3292 -0.4629
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F277W
  1.0416  1.0237  1.0173  0.9945  0.9533  0.9028  0.8449  0.7809  0.7139  0.6447
  0.5742  0.5023  0.4293  0.3563  0.2838  0.1085 -0.0569 -0.2160 -0.3845
  1.0115  1.0001  0.9786  0.9609  0.9348  0.8858  0.8264  0.7624  0.6957  0.6266
  0.5560  0.4837  0.4103  0.3370  0.2643  0.0892 -0.0755 -0.2356 -0.3971 -0.5542
  0.9685  0.9575  0.9362  0.9090  0.8801  0.8553  0.8095  0.7481  0.6823  0.6145
  0.5445  0.4726  0.3993  0.3257  0.2527  0.0766 -0.0889 -0.2486 -0.4089 -0.5648
 -0.7146
  0.9167  0.9105  0.8902  0.8596  0.8243  0.7892  0.7573  0.7223  0.6675  0.6034
  0.5358  0.4653  0.3928  0.3194  0.2462  0.0689 -0.0981 -0.2583 -0.4177 -0.5730
 -0.7220 -0.8652
  0.8539  0.8561  0.8417  0.8153  0.7810  0.7410  0.6975  0.6568  0.6214  0.5791
  0.5227  0.4574  0.3876  0.3154  0.2426  0.0646 -0.1040 -0.2650 -0.4238 -0.5789
 -0.7276 -0.8701 -1.0071 -1.1397
  0.7768  0.7899  0.7857  0.7662  0.7361  0.6989  0.6564  0.6104  0.5637  0.5207
  0.4803  0.4333  0.3757  0.3096  0.2392  0.0620 -0.1075 -0.2694 -0.4277 -0.5827
 -0.7316 -0.8739 -1.0103 -1.1418 -1.2691 -1.3925 -1.5123 -1.6290 -1.7425 -1.8524
  0.6854  0.7097  0.7172  0.7085  0.6862  0.6543  0.6161  0.5730  0.5262  0.4774
  0.4293  0.3837  0.3376  0.2859  0.2272  0.0593 -0.1099 -0.2722 -0.4298 -0.5843
 -0.7337 -0.8765 -1.0128 -1.1437 -1.2699 -1.3921 -1.5107 -1.6260 -1.7381 -1.8473
 -1.9538
  0.5848  0.6149  0.6337  0.6374  0.6261  0.6028  0.5706  0.5326  0.4901  0.4441
  0.3953  0.3452  0.2954  0.2462  0.1953  0.0503 -0.1128 -0.2744 -0.4310 -0.5843
 -0.7337 -0.8773 -1.0142 -1.1452 -1.2709 -1.3922 -1.5096 -1.6236 -1.7346 -1.8427
 -1.9483
  0.4780  0.5108  0.5366  0.5512  0.5519  0.5394  0.5159  0.4844  0.4474  0.4063
  0.3618  0.3141  0.2639  0.2126  0.1611  0.0269 -0.1223 -0.2795 -0.4345 -0.5859
 -0.7344 -0.8786 -1.0167 -1.1485 -1.2746 -1.3957 -1.5128 -1.6262 -1.7363 -1.8430
 -1.9468
  0.3685  0.4027  0.4312  0.4512  0.4625  0.4616  0.4491  0.4267  0.3967  0.3615
  0.3225  0.2800  0.2342  0.1854  0.1346  0.0032 -0.1366 -0.2851 -0.4365 -0.5853
 -0.7315 -0.8748 -1.0136 -1.1466 -1.2736 -1.3951 -1.5120 -1.6248 -1.7339 -1.8397
 -1.9446
  0.2637  0.2919  0.3189  0.3418  0.3606  0.3690  0.3672  0.3554  0.3345  0.3066
  0.2736  0.2369  0.1969  0.1537  0.1073 -0.0188 -0.1531 -0.2944 -0.4403 -0.5861
 -0.7295 -0.8706 -1.0087 -1.1425 -1.2707 -1.3933 -1.5108 -1.6238 -1.7327 -1.8380
 -1.9402
  0.1661  0.1782  0.1996  0.2240  0.2468  0.2634  0.2707  0.2688  0.2580  0.2392
  0.2138  0.1833  0.1493  0.1122  0.0720 -0.0423 -0.1703 -0.3057 -0.4459
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F277W
  1.0301  1.0256  1.0047  0.9698  0.9318  0.8855  0.8262  0.7614  0.6944  0.6254
  0.5557  0.4855  0.4148  0.3436  0.2727  0.0993 -0.0653 -0.2214 -0.3774
  1.0413  1.0198  1.0061  0.9734  0.9245  0.8705  0.8112  0.7461  0.6788  0.6095
  0.5394  0.4685  0.3970  0.3251  0.2534  0.0792 -0.0847 -0.2391 -0.3930 -0.5488
  1.0204  1.0029  0.9785  0.9558  0.9222  0.8658  0.8026  0.7370  0.6696  0.6007
  0.5308  0.4599  0.3881  0.3158  0.2436  0.0678 -0.0972 -0.2520 -0.4049 -0.5590
 -0.7089
  0.9881  0.9728  0.9450  0.9128  0.8811  0.8512  0.7983  0.7321  0.6637  0.5954
  0.5261  0.4558  0.3844  0.3122  0.2397  0.0624 -0.1046 -0.2611 -0.4138 -0.5667
 -0.7156 -0.8591
  0.9446  0.9365  0.9116  0.8761  0.8357  0.7952  0.7590  0.7190  0.6589  0.5911
