 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F444W
 -4.0290 -4.1761 -4.2688 -4.3069 -4.3657 -4.4346 -4.5060 -4.5733 -4.6485 -4.7300
 -4.8104 -4.8889 -4.9664 -5.0420 -5.1169 -5.2966 -5.4663 -5.6184 -5.7814
 -4.1101 -4.1759 -4.2473 -4.3261 -4.4097 -4.4806 -4.5453 -4.6135 -4.6852 -4.7631
 -4.8418 -4.9200 -4.9973 -5.0733 -5.1481 -5.3285 -5.4976 -5.6569 -5.8144 -5.9729
 -4.1438 -4.2044 -4.2711 -4.3425 -4.4179 -4.4985 -4.5772 -4.6464 -4.7152 -4.7874
 -4.8632 -4.9398 -5.0162 -5.0919 -5.1666 -5.3468 -5.5157 -5.6745 -5.8324 -5.9900
 -6.1414
 -4.1827 -4.2377 -4.2992 -4.3664 -4.4379 -4.5119 -4.5876 -4.6653 -4.7398 -4.8112
 -4.8827 -4.9555 -5.0294 -5.1038 -5.1778 -5.3579 -5.5278 -5.6883 -5.8455 -6.0025
 -6.1535 -6.2979
 -4.2311 -4.2774 -4.3324 -4.3941 -4.4613 -4.5320 -4.6042 -4.6771 -4.7522 -4.8275
 -4.9006 -4.9717 -5.0422 -5.1134 -5.1854 -5.3641 -5.5348 -5.6968 -5.8549 -6.0115
 -6.1624 -6.3066 -6.4446 -6.5769
 -4.2882 -4.3274 -4.3733 -4.4279 -4.4889 -4.5549 -4.6239 -4.6941 -4.7656 -4.8380
 -4.9108 -4.9831 -5.0539 -5.1237 -5.1932 -5.3678 -5.5382 -5.7014 -5.8606 -6.0176
 -6.1688 -6.3131 -6.4509 -6.5830 -6.7100 -6.8327 -6.9514 -7.0667 -7.1790 -7.2886
 -4.3517 -4.3862 -4.4239 -4.4706 -4.5239 -4.5835 -4.6474 -4.7139 -4.7828 -4.8524
 -4.9222 -4.9920 -5.0617 -5.1312 -5.2001 -5.3710 -5.5394 -5.7026 -5.8626 -6.0206
 -6.1729 -6.3178 -6.4557 -6.5877 -6.7144 -6.8364 -6.9542 -7.0683 -7.1791 -7.2871
 -7.3931
 -4.4191 -4.4509 -4.4844 -4.5240 -4.5692 -4.6205 -4.6775 -4.7386 -4.8035 -4.8702
 -4.9376 -5.0048 -5.0716 -5.1387 -5.2059 -5.3739 -5.5400 -5.7020 -5.8613 -6.0200
 -6.1743 -6.3205 -6.4591 -6.5914 -6.7180 -6.8396 -6.9567 -7.0699 -7.1798 -7.2866
 -7.3908
