 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F277W
  0.9656  0.9113  0.9379  0.9518  0.9136  0.8622  0.8063  0.7516  0.6833  0.6141
  0.5425  0.4683  0.3924  0.3178  0.2444  0.0706 -0.0954 -0.2517 -0.4429
  0.8868  0.8804  0.8657  0.8447  0.8261  0.8087  0.7710  0.7172  0.6555  0.5887
  0.5181  0.4449  0.3711  0.2978  0.2255  0.0518 -0.1142 -0.2809 -0.4444 -0.6016
  0.8259  0.8227  0.8070  0.7841  0.7569  0.7285  0.7065  0.6764  0.6280  0.5671
  0.5004  0.4294  0.3565  0.2836  0.2116  0.0379 -0.1279 -0.2935 -0.4562 -0.6123
 -0.7621
  0.7553  0.7599  0.7489  0.7268  0.6983  0.6662  0.6322  0.6016  0.5727  0.5325
  0.4779  0.4133  0.3437  0.2722  0.2008  0.0273 -0.1387 -0.3035 -0.4652 -0.6208
 -0.7696 -0.9127
  0.6675  0.6865  0.6850  0.6691  0.6432  0.6118  0.5772  0.5405  0.5041  0.4683
  0.4306  0.3830  0.3250  0.2594  0.1905  0.0184 -0.1474 -0.3110 -0.4716 -0.6271
 -0.7757 -0.9179 -1.0547 -1.1869
  0.5640  0.5955  0.6090  0.6038  0.5852  0.5579  0.5255  0.4903  0.4523  0.4120
  0.3715  0.3306  0.2851  0.2325  0.1734  0.0095 -0.1552 -0.3167 -0.4757 -0.6313
 -0.7801 -0.9221 -1.0582 -1.1894 -1.3165 -1.4399 -1.5596 -1.6759 -1.7889 -1.8987
  0.4495  0.4895  0.5174  0.5250  0.5178  0.4985  0.4712  0.4393  0.4042  0.3663
  0.3255  0.2825  0.2383  0.1918  0.1411 -0.0042 -0.1634 -0.3217 -0.4786 -0.6333
 -0.7826 -0.9251 -1.0610 -1.1916 -1.3174 -1.4391 -1.5572 -1.6722 -1.7842 -1.8935
 -1.9997
  0.3282  0.3738  0.4097  0.4295  0.4354  0.4278  0.4091  0.3831  0.3522  0.3182
  0.2813  0.2414  0.1985  0.1531  0.1054 -0.0268 -0.1748 -0.3285 -0.4816 -0.6337
 -0.7829 -0.9263 -1.0629 -1.1934 -1.3188 -1.4397 -1.5567 -1.6703 -1.7808 -1.8886
 -1.9940
  0.2048  0.2533  0.2922  0.3174  0.3358  0.3407  0.3336  0.3167  0.2924  0.2634
  0.2312  0.1959  0.1577  0.1161  0.0713 -0.0531 -0.1921 -0.3389 -0.4881 -0.6366
 -0.7839 -0.9277 -1.0656 -1.1971 -1.3228 -1.4435 -1.5600 -1.6728 -1.7823 -1.8888
 -1.9925
  0.0836  0.1334  0.1727  0.2024  0.2235  0.2368  0.2420  0.2364  0.2218  0.2002
  0.1738  0.1439  0.1110  0.0747  0.0349 -0.0784 -0.2088 -0.3494 -0.4937 -0.6381
 -0.7820 -0.9243 -1.0627 -1.1954 -1.3221 -1.4432 -1.5597 -1.6719 -1.7805 -1.8859
 -1.9903
 -0.0310  0.0140  0.0509  0.0807  0.1039  0.1211  0.1330  0.1389  0.1356  0.1241
  0.1057  0.0824  0.0556  0.0256 -0.0075 -0.1068 -0.2275 -0.3606 -0.4998 -0.6410
 -0.7815 -0.9209 -1.0581 -1.1914 -1.3194 -1.4416 -1.5587 -1.6712 -1.7796 -1.8845
 -1.9862
 -0.1358 -0.1219 -0.0985 -0.0699 -0.0403 -0.0131  0.0089  0.0238  0.0311  0.0310
  0.0234  0.0089 -0.0106 -0.0338 -0.0603 -0.1423 -0.2495 -0.3739 -0.5074
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F277W
  0.9870  0.9711  0.9658  0.9429  0.9012  0.8501  0.7921  0.7281  0.6614  0.5923
  0.5221  0.4505  0.3779  0.3053  0.2333  0.0595 -0.1051 -0.2598 -0.4286
  0.9545  0.9451  0.9252  0.9087  0.8830  0.8341  0.7746  0.7106  0.6440  0.5750
  0.5045  0.4324  0.3595  0.2865  0.2143  0.0404 -0.1224 -0.2801 -0.4410 -0.5981
  0.9097  0.9009  0.8815  0.8556  0.8280  0.8042  0.7585  0.6973  0.6315  0.5637
  0.4938  0.4221  0.3491  0.2759  0.2033  0.0283 -0.1354 -0.2931 -0.4526 -0.6084
 -0.7583
  0.8564  0.8525  0.8343  0.8054  0.7714  0.7375  0.7068  0.6723  0.6176  0.5536
  0.4859  0.4156  0.3433  0.2702  0.1974  0.0211 -0.1443 -0.3028 -0.4613 -0.6164
 -0.7654 -0.9086
  0.7919  0.7968  0.7847  0.7603  0.7276  0.6889  0.6464  0.6066  0.5720  0.5301
  0.4737  0.4085  0.3388  0.2668  0.1943  0.0173 -0.1499 -0.3095 -0.4675 -0.6223
 -0.7709 -0.9134 -1.0504 -1.1830
  0.7128  0.7292  0.7275  0.7101  0.6819  0.6463  0.6050  0.5599  0.5139  0.4717
  0.4317  0.3850  0.3276  0.2617  0.1916  0.0152 -0.1532 -0.3139 -0.4714 -0.6260
 -0.7748 -0.9170 -1.0534 -1.1849 -1.3122 -1.4356 -1.5556 -1.6724 -1.7860 -1.8960
  0.6195  0.6473  0.6577  0.6513  0.6309  0.6008  0.5640  0.5222  0.4764  0.4282
  0.3806  0.3355  0.2899  0.2386  0.1802  0.0130 -0.1554 -0.3167 -0.4736 -0.6277
 -0.7769 -0.9196 -1.0558 -1.1867 -1.3129 -1.4351 -1.5538 -1.6691 -1.7813 -1.8905
 -1.9970
  0.5167  0.5505  0.5726  0.5789  0.5698  0.5483  0.5176  0.4811  0.4398  0.3948
  0.3466  0.2970  0.2477  0.1990  0.1486  0.0044 -0.1581 -0.3189 -0.4749 -0.6278
 -0.7770 -0.9204 -1.0572 -1.1881 -1.3138 -1.4351 -1.5525 -1.6666 -1.7775 -1.8856
 -1.9912
  0.4078  0.4442  0.4735  0.4911  0.4943  0.4838  0.4620  0.4320  0.3963  0.3565
  0.3129  0.2658  0.2162  0.1654  0.1144 -0.0189 -0.1673 -0.3240 -0.4785 -0.6296
 -0.7777 -0.9217 -1.0597 -1.1914 -1.3173 -1.4384 -1.5554 -1.6688 -1.7788 -1.8856
 -1.9895
  0.2967  0.3342  0.3661  0.3890  0.4032  0.4047  0.3941  0.3733  0.3447  0.3107
  0.2729  0.2314  0.1864  0.1382  0.0879 -0.0426 -0.1816 -0.3297 -0.4806 -0.6291
 -0.7750 -0.9180 -1.0566 -1.1895 -1.3163 -1.4378 -1.5546 -1.6673 -1.7764 -1.8822
 -1.9871
  0.1908  0.2218  0.2518  0.2775  0.2993  0.3103  0.3107  0.3007  0.2814  0.2548
  0.2231  0.1875  0.1485  0.1061  0.0604 -0.0646 -0.1982 -0.3390 -0.4845 -0.6300
 -0.7731 -0.9140 -1.0518 -1.1854 -1.3135 -1.4360 -1.5534 -1.6663 -1.7751 -1.8804
 -1.9825
  0.0928  0.1068  0.1307  0.1578  0.1833  0.2026  0.2124  0.2126  0.2036  0.1863
  0.1621  0.1329  0.1000  0.0639  0.0245 -0.0882 -0.2155 -0.3504 -0.4903
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F277W
  0.9821  0.9780  0.9558  0.9191  0.8793  0.8319  0.7723  0.7075  0.6408  0.5720
  0.5025  0.4326  0.3622  0.2915  0.2210  0.0488 -0.1144 -0.2682 -0.4219
  0.9889  0.9691  0.9561  0.9226  0.8728  0.8181  0.7584  0.6933  0.6261  0.5569
  0.4869  0.4163  0.3450  0.2735  0.2022  0.0292 -0.1333 -0.2855 -0.4373 -0.5927
  0.9655  0.9495  0.9261  0.9045  0.8709  0.8143  0.7510  0.6854  0.6179  0.5491
  0.4792  0.4084  0.3369  0.2649  0.1931  0.0183 -0.1454 -0.2982 -0.4491 -0.6026
 -0.7525
  0.9311  0.9177  0.8913  0.8601  0.8295  0.8003  0.7476  0.6814  0.6132  0.5448
  0.4755  0.4052  0.3339  0.2620  0.1899  0.0135 -0.1523 -0.3070 -0.4580 -0.6102
 -0.7590 -0.9026
  0.8856  0.8798  0.8568  0.8228  0.7834  0.7437  0.7086  0.6692  0.6093  0.5415
  0.4732  0.4038  0.3334  0.2620  0.1900  0.0126 -0.1553 -0.3124 -0.4642 -0.6157
 -0.7639 -0.9066 -1.0440 -1.1770
  0.8279  0.8316  0.8173  0.7882  0.7489  0.7039  0.6571  0.6125  0.5728  0.5275
  0.4680  0.4020  0.3333  0.2630  0.1917  0.0141 -0.1555 -0.3150 -0.4680 -0.6192
 -0.7671 -0.9096 -1.0463 -1.1782 -1.3060 -1.4301 -1.5506 -1.6679 -1.7818 -1.8916
  0.7567  0.7709  0.7676  0.7475  0.7147  0.6729  0.6252  0.5741  0.5230  0.4755
  0.4318  0.3839  0.3268  0.2620  0.1931  0.0167 -0.1540 -0.3154 -0.4698 -0.6210
 -0.7688 -0.9113 -1.0479 -1.1793 -1.3060 -1.4288 -1.5480 -1.6639 -1.7766 -1.8862
 -1.9925
  0.6743  0.6964  0.7046  0.6962  0.6728  0.6381  0.5953  0.5468  0.4943  0.4405
  0.3880  0.3386  0.2913  0.2411  0.1846  0.0190 -0.1517 -0.3144 -0.4699 -0.6210
 -0.7687 -0.9117 -1.0487 -1.1799 -1.3061 -1.4281 -1.5463 -1.6610 -1.7724 -1.8809
 -1.9866
  0.5837  0.6107  0.6277  0.6309  0.6192  0.5940  0.5587  0.5160  0.4677  0.4156
  0.3614  0.3068  0.2537  0.2025  0.1519  0.0112 -0.1520 -0.3151 -0.4713 -0.6222
 -0.7695 -0.9128 -1.0507 -1.1826 -1.3090 -1.4307 -1.5483 -1.6623 -1.7728 -1.8803
 -1.9847
  0.4885  0.5178  0.5391  0.5518  0.5515  0.5380  0.5126  0.4779  0.4362  0.3894
  0.3388  0.2854  0.2309  0.1763  0.1226 -0.0108 -0.1563 -0.3139 -0.4696 -0.6200
 -0.7662 -0.9090 -1.0474 -1.1803 -1.3075 -1.4294 -1.5468 -1.6602 -1.7699 -1.8764
 -1.9799
  0.3943  0.4186  0.4427  0.4609  0.4698  0.4673  0.4530  0.4282  0.3948  0.3549
  0.3102  0.2616  0.2101  0.1567  0.1022 -0.0337 -0.1712 -0.3172 -0.4689 -0.6181
 -0.7630 -0.9044 -1.0424 -1.1760 -1.3043 -1.4271 -1.5450 -1.6585 -1.7679 -1.8739
 -1.9767
  0.3043  0.3217  0.3433  0.3631  0.3769  0.3827  0.3788  0.3645  0.3407  0.3092
  0.2716  0.2292  0.1832  0.1341  0.0826 -0.0519 -0.1877 -0.3268 -0.4711
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F277W
  0.9698  0.9616  0.9366  0.9016  0.8648  0.8205  0.7630  0.6983  0.6310  0.5624
  0.4930  0.4236  0.3539  0.2841  0.2144  0.0436 -0.1189 -0.2725 -0.4214
  0.9865  0.9720  0.9510  0.9096  0.8595  0.8080  0.7493  0.6846  0.6170  0.5480
  0.4782  0.4080  0.3374  0.2667  0.1961  0.0238 -0.1385 -0.2902 -0.4372 -0.5893
  0.9790  0.9609  0.9389  0.9150  0.8646  0.8043  0.7424  0.6774  0.6098  0.5411
  0.4714  0.4010  0.3302  0.2590  0.1877  0.0136 -0.1502 -0.3023 -0.4490 -0.5993
 -0.7488
  0.9548  0.9364  0.9085  0.8804  0.8550  0.8067  0.7419  0.6744  0.6064  0.5379
  0.4687  0.3986  0.3280  0.2568  0.1854  0.0097 -0.1562 -0.3103 -0.4578 -0.6068
 -0.7549 -0.8986
  0.9197  0.9076  0.8790  0.8421  0.8052  0.7722  0.7350  0.6748  0.6055  0.5365
  0.4677  0.3983  0.3283  0.2576  0.1864  0.0099 -0.1581 -0.3148 -0.4638 -0.6122
 -0.7595 -0.9022 -1.0399 -1.1732
  0.8726  0.8697  0.8485  0.8130  0.7697  0.7244  0.6816  0.6430  0.5978  0.5351
  0.4670  0.3986  0.3294  0.2595  0.1889  0.0124 -0.1572 -0.3164 -0.4674 -0.6158
 -0.7624 -0.9048 -1.0417 -1.1738 -1.3018 -1.4261 -1.5472 -1.6648 -1.7787 -1.8886
  0.8128  0.8197  0.8090  0.7818  0.7420  0.6949  0.6445  0.5941  0.5468  0.5033
  0.4548  0.3952  0.3295  0.2613  0.1918  0.0163 -0.1545 -0.3158 -0.4688 -0.6176
 -0.7640 -0.9061 -1.0428 -1.1744 -1.3014 -1.4245 -1.5441 -1.6604 -1.7735 -1.8832
 -1.9874
  0.7413  0.7566  0.7571  0.7409  0.7101  0.6682  0.6194  0.5666  0.5121  0.4589
  0.4090  0.3617  0.3119  0.2554  0.1920  0.0203 -0.1507 -0.3136 -0.4683 -0.6178
 -0.7640 -0.9062 -1.0431 -1.1746 -1.3011 -1.4234 -1.5420 -1.6571 -1.7690 -1.8777
 -1.9835
  0.6612  0.6823  0.6919  0.6871  0.6673  0.6345  0.5919  0.5427  0.4892  0.4334
  0.3775  0.3232  0.2714  0.2215  0.1699  0.0200 -0.1489 -0.3128 -0.4689 -0.6189
 -0.7649 -0.9073 -1.0448 -1.1768 -1.3035 -1.4255 -1.5435 -1.6578 -1.7688 -1.8766
 -1.9814
  0.5758  0.5986  0.6146  0.6197  0.6115  0.5900  0.5568  0.5148  0.4664  0.4136
  0.3582  0.3017  0.2457  0.1911  0.1381  0.0043 -0.1471 -0.3092 -0.4658 -0.6161
 -0.7617 -0.9037 -1.0415 -1.1743 -1.3016 -1.4238 -1.5416 -1.6554 -1.7655 -1.8725
 -1.9763
  0.4889  0.5103  0.5291  0.5405  0.5418  0.5314  0.5093  0.4768  0.4360  0.3892
  0.3381  0.2840  0.2282  0.1721  0.1163 -0.0195 -0.1582 -0.3082 -0.4630 -0.6130
 -0.7580 -0.8991 -1.0366 -1.1699 -1.2982 -1.4212 -1.5394 -1.6532 -1.7631 -1.8695
 -1.9726
  0.4039  0.4209  0.4389  0.4537  0.4609  0.4592  0.4473  0.4254  0.3941  0.3553
  0.3107  0.2617  0.2097  0.1555  0.1002 -0.0384 -0.1750 -0.3155 -0.4623
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F277W
  0.9490  0.9371  0.9145  0.8833  0.8475  0.8063  0.7516  0.6891  0.6221  0.5535
  0.4841  0.4148  0.3456  0.2765  0.2076  0.0385 -0.1233 -0.2769 -0.4228
  0.9735  0.9641  0.9345  0.8929  0.8450  0.7954  0.7385  0.6751  0.6085  0.5395
  0.4699  0.3999  0.3299  0.2598  0.1898  0.0186 -0.1435 -0.2949 -0.4391 -0.5861
  0.9837  0.9629  0.9469  0.9067  0.8522  0.7930  0.7325  0.6685  0.6016  0.5332
  0.4637  0.3937  0.3234  0.2529  0.1823  0.0091 -0.1546 -0.3068 -0.4507 -0.5963
 -0.7444
  0.9687  0.9473  0.9221  0.9001  0.8603  0.7988  0.7326  0.6663  0.5989  0.5307
  0.4617  0.3920  0.3219  0.2514  0.1807  0.0061 -0.1598 -0.3139 -0.4590 -0.6039
 -0.7504 -0.8940
  0.9439  0.9257  0.8933  0.8589  0.8291  0.7963  0.7376  0.6684  0.5989  0.5301
  0.4615  0.3923  0.3227  0.2526  0.1822  0.0071 -0.1608 -0.3174 -0.4645 -0.6093
 -0.7547 -0.8972 -1.0350 -1.1684
  0.9078  0.8977  0.8697  0.8293  0.7860  0.7461  0.7104  0.6662  0.6016  0.5312
  0.4621  0.3935  0.3246  0.2551  0.1853  0.0104 -0.1590 -0.3180 -0.4675 -0.6129
 -0.7575 -0.8993 -1.0363 -1.1687 -1.2972 -1.4220 -1.5432 -1.6611 -1.7754 -1.8851
  0.8595  0.8589  0.8403  0.8054  0.7602  0.7109  0.6623  0.6173  0.5752  0.5260
