 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F250M
 -2.3702 -2.4032 -2.3527 -2.3199 -2.3500 -2.3938 -2.4495 -2.5010 -2.5665 -2.6287
 -2.6920 -2.7593 -2.8295 -2.8992 -2.9671 -3.1245 -3.2571 -3.3655 -3.6260
 -2.4415 -2.4255 -2.4222 -2.4278 -2.4331 -2.4424 -2.4754 -2.5261 -2.5842 -2.6456
 -2.7101 -2.7774 -2.8460 -2.9142 -2.9810 -3.1378 -3.2835 -3.4423 -3.6048 -3.7618
 -2.5087 -2.4870 -2.4833 -2.4898 -2.5029 -2.5191 -2.5317 -2.5571 -2.6022 -2.6591
 -2.7205 -2.7863 -2.8542 -2.9225 -2.9897 -3.1488 -3.2970 -3.4540 -3.6151 -3.7709
 -3.9207
 -2.5903 -2.5566 -2.5460 -2.5507 -2.5642 -2.5833 -2.6063 -2.6272 -2.6490 -2.6845
 -2.7351 -2.7953 -2.8606 -2.9279 -2.9951 -3.1566 -3.3080 -3.4645 -3.6232 -3.7781
 -3.9267 -4.0699
 -2.6967 -2.6417 -2.6173 -2.6139 -2.6239 -2.6414 -2.6634 -2.6893 -2.7159 -2.7434
 -2.7748 -2.8182 -2.8727 -2.9349 -3.0003 -3.1627 -3.3171 -3.4726 -3.6292 -3.7835
 -3.9315 -4.0735 -4.2105 -4.3431
 -2.8246 -2.7519 -2.7057 -2.6872 -2.6881 -2.7007 -2.7199 -2.7427 -2.7694 -2.8001
 -2.8323 -2.8664 -2.9071 -2.9562 -3.0124 -3.1690 -3.3251 -3.4794 -3.6337 -3.7873
 -3.9350 -4.0765 -4.2124 -4.3436 -4.4712 -4.5953 -4.7160 -4.8332 -4.9470 -5.0574
 -2.9668 -2.8826 -2.8168 -2.7794 -2.7644 -2.7670 -2.7805 -2.7996 -2.8223 -2.8486
 -2.8796 -2.9148 -2.9527 -2.9944 -3.0415 -3.1803 -3.3333 -3.4855 -3.6378 -3.7896
 -3.9372 -4.0787 -4.2140 -4.3442 -4.4700 -4.5920 -4.7107 -4.8263 -4.9393 -5.0496
 -5.1564
 -3.1157 -3.0254 -2.9492 -2.8954 -2.8616 -2.8480 -2.8505 -2.8631 -2.8815 -2.9032
 -2.9285 -2.9585 -2.9937 -3.0333 -3.0766 -3.2016 -3.3447 -3.4936 -3.6425 -3.7912
 -3.9378 -4.0797 -4.2152 -4.3450 -4.4699 -4.5906 -4.7077 -4.8215 -4.9326 -5.0411
 -5.1474
 -3.2642 -3.1717 -3.0929 -3.0335 -2.9823 -2.9509 -2.9374 -2.9385 -2.9496 -2.9663
 -2.9866 -3.0103 -3.0384 -3.0722 -3.1115 -3.2278 -3.3621 -3.5051 -3.6507 -3.7957
 -3.9399 -4.0814 -4.2178 -4.3482 -4.4730 -4.5930 -4.7091 -4.8216 -4.9311 -5.0379
 -5.1422
 -3.4047 -3.3132 -3.2360 -3.1717 -3.1191 -3.0772 -3.0466 -3.0320 -3.0308 -3.0393
 -3.0536 -3.0718 -3.0933 -3.1200 -3.1520 -3.2534 -3.3792 -3.5165 -3.6578 -3.7991
 -3.9397 -4.0790 -4.2153 -4.3466 -4.4721 -4.5922 -4.7078 -4.8194 -4.9275 -5.0326
 -5.1370
 -3.5329 -3.4505 -3.3786 -3.3164 -3.2628 -3.2171 -3.1787 -3.1485 -3.1318 -3.1274
 -3.1326 -3.1439 -3.1592 -3.1780 -3.2007 -3.2831 -3.3980 -3.5283 -3.6650 -3.8035
 -3.9409 -4.0772 -4.2117 -4.3431 -4.4696 -4.5907 -4.7068 -4.8182 -4.9258 -5.0299
 -5.1310
 -3.6544 -3.6134 -3.5599 -3.4997 -3.4383 -3.3802 -3.3293 -3.2881 -3.2573 -3.2373
 -3.2282 -3.2292 -3.2367 -3.2486 -3.2640 -3.3230 -3.4200 -3.5416 -3.6731
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F250M
 -2.3138 -2.3169 -2.3153 -2.3351 -2.3753 -2.4238 -2.4780 -2.5381 -2.6010 -2.6653
 -2.7295 -2.7944 -2.8606 -2.9274 -2.9938 -3.1526 -3.2935 -3.4139 -3.5941
 -2.3518 -2.3459 -2.3551 -2.3630 -2.3843 -2.4292 -2.4847 -2.5454 -2.6093 -2.6745
 -2.7398 -2.8058 -2.8729 -2.9405 -3.0075 -3.1669 -3.3092 -3.4462 -3.6018 -3.7585
 -2.4054 -2.3936 -2.3986 -2.4139 -2.4312 -2.4481 -2.4900 -2.5482 -2.6117 -2.6767
 -2.7423 -2.8087 -2.8762 -2.9444 -3.0121 -3.1740 -3.3198 -3.4589 -3.6121 -3.7671
 -3.9171
 -2.4698 -2.4492 -2.4486 -2.4637 -2.4868 -2.5109 -2.5327 -2.5626 -2.6153 -2.6773
 -2.7418 -2.8076 -2.8748 -2.9431 -3.0114 -3.1759 -3.3262 -3.4685 -3.6201 -3.7739
 -3.9225 -4.0659
 -2.5478 -2.5146 -2.5048 -2.5119 -2.5303 -2.5580 -2.5923 -2.6249 -2.6529 -2.6912
 -2.7450 -2.8069 -2.8723 -2.9398 -3.0080 -3.1746 -3.3293 -3.4754 -3.6261 -3.7788
 -3.9268 -4.0691 -4.2062 -4.3392
 -2.6468 -2.5950 -2.5711 -2.5688 -2.5807 -2.6027 -2.6330 -2.6704 -2.7102 -2.7458
 -2.7798 -2.8221 -2.8760 -2.9383 -3.0047 -3.1718 -3.3300 -3.4799 -3.6303 -3.7822
 -3.9298 -4.0715 -4.2076 -4.3392 -4.4670 -4.5912 -4.7120 -4.8297 -4.9442 -5.0547
 -2.7624 -2.6946 -2.6531 -2.6363 -2.6387 -2.6538 -2.6775 -2.7085 -2.7463 -2.7880
 -2.8294 -2.8681 -2.9081 -2.9551 -3.0102 -3.1696 -3.3299 -3.4828 -3.6332 -3.7840
 -3.9316 -4.0732 -4.2088 -4.3394 -4.4655 -4.5880 -4.7073 -4.8234 -4.9364 -5.0465
 -5.1537
 -2.8903 -2.8146 -2.7561 -2.7211 -2.7087 -2.7136 -2.7302 -2.7543 -2.7848 -2.8211
 -2.8622 -2.9058 -2.9492 -2.9923 -3.0382 -3.1746 -3.3306 -3.4850 -3.6356 -3.7849
