 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F356W
  0.8354  0.7014  0.6635  0.6458  0.5946  0.5259  0.4492  0.3762  0.2932  0.2116
  0.1311  0.0514 -0.0279 -0.1062 -0.1840 -0.3738 -0.5581 -0.7251 -0.8937
  0.7418  0.6873  0.6299  0.5683  0.5074  0.4580  0.4019  0.3335  0.2576  0.1788
  0.0998  0.0211 -0.0570 -0.1344 -0.2111 -0.3985 -0.5793 -0.7527 -0.9185 -1.0769
  0.6957  0.6426  0.5854  0.5249  0.4624  0.3978  0.3396  0.2855  0.2218  0.1499
  0.0745 -0.0021 -0.0789 -0.1553 -0.2311 -0.4164 -0.5954 -0.7681 -0.9334 -1.0912
 -1.2420
  0.6478  0.5977  0.5429  0.4839  0.4214  0.3572  0.2926  0.2296  0.1716  0.1123
  0.0467 -0.0240 -0.0975 -0.1719 -0.2465 -0.4298 -0.6073 -0.7792 -0.9445 -1.1021
 -1.2523 -1.3961
  0.5924  0.5499  0.4993  0.4437  0.3839  0.3209  0.2563  0.1920  0.1279  0.0658
  0.0066 -0.0543 -0.1194 -0.1885 -0.2601 -0.4400 -0.6157 -0.7869 -0.9522 -1.1100
 -1.2601 -1.4034 -1.5408 -1.6731
  0.5294  0.4939  0.4512  0.4006  0.3452  0.2858  0.2235  0.1599  0.0959  0.0321
 -0.0303 -0.0908 -0.1509 -0.2128 -0.2774 -0.4491 -0.6219 -0.7914 -0.9564 -1.1153
 -1.2659 -1.4092 -1.5461 -1.6777 -1.8047 -1.9276 -2.0468 -2.1627 -2.2755 -2.3855
  0.4604  0.4300  0.3956  0.3515  0.3019  0.2475  0.1894  0.1288  0.0665  0.0038
 -0.0586 -0.1199 -0.1803 -0.2404 -0.3013 -0.4607 -0.6276 -0.7935 -0.9576 -1.1174
 -1.2694 -1.4134 -1.5504 -1.6816 -1.8077 -1.9294 -2.0472 -2.1615 -2.2729 -2.3816
 -2.4879
  0.3871  0.3602  0.3306  0.2937  0.2510  0.2029  0.1503  0.0944  0.0358 -0.0245
 -0.0853 -0.1458 -0.2054 -0.2648 -0.3242 -0.4763 -0.6350 -0.7962 -0.9570 -1.1163
 -1.2700 -1.4156 -1.5535 -1.6849 -1.8108 -1.9318 -2.0485 -2.1616 -2.2715 -2.3787
 -2.4835
  0.3111  0.2866  0.2589  0.2249  0.1896  0.1485  0.1025  0.0524 -0.0011 -0.0572
 -0.1150 -0.1736 -0.2318 -0.2897 -0.3475 -0.4942 -0.6464 -0.8020 -0.9589 -1.1157
 -1.2699 -1.4177 -1.5574 -1.6899 -1.8162 -1.9373 -2.0538 -2.1663 -2.2753 -2.3812
 -2.4840
  0.2342  0.2111  0.1841  0.1538  0.1204  0.0844  0.0455  0.0023 -0.0448 -0.0952
 -0.1482 -0.2031 -0.2590 -0.3148 -0.3707 -0.5117 -0.6571 -0.8073 -0.9595 -1.1122
 -1.2644 -1.4130 -1.5550 -1.6895 -1.8170 -1.9386 -2.0553 -2.1675 -2.2759 -2.3807
 -2.4843
  0.1584  0.1332  0.1057  0.0761  0.0447  0.0117 -0.0227 -0.0590 -0.0991 -0.1427
 -0.1896 -0.2392 -0.2907 -0.3436 -0.3971 -0.5322 -0.6705 -0.8142 -0.9615 -1.1103
 -1.2591 -1.4062 -1.5493 -1.6860 -1.8156 -1.9387 -2.0562 -2.1688 -2.2772 -2.3818
 -2.4831
  0.0871  0.0448  0.0101 -0.0197 -0.0469 -0.0737 -0.1017 -0.1322 -0.1655 -0.2020
 -0.2417 -0.2847 -0.3304 -0.3782 -0.4278 -0.5558 -0.6877 -0.8241 -0.9658
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F356W
  0.8208  0.7626  0.7255  0.6818  0.6216  0.5508  0.4718  0.3883  0.3038  0.2196
  0.1371  0.0560 -0.0238 -0.1025 -0.1802 -0.3699 -0.5535 -0.7267 -0.8945
  0.7897  0.7400  0.6837  0.6304  0.5837  0.5189  0.4428  0.3609  0.2766  0.1921
  0.1090  0.0275 -0.0525 -0.1311 -0.2084 -0.3960 -0.5763 -0.7495 -0.9152 -1.0735
  0.7534  0.7014  0.6468  0.5898  0.5276  0.4740  0.4129  0.3379  0.2564  0.1729
  0.0899  0.0082 -0.0719 -0.1506 -0.2279 -0.4148 -0.5935 -0.7651 -0.9299 -1.0875
 -1.2383
  0.7155  0.6637  0.6079  0.5490  0.4876  0.4241  0.3611  0.3027  0.2343  0.1563
  0.0754 -0.0055 -0.0853 -0.1638 -0.2410 -0.4278 -0.6059 -0.7765 -0.9407 -1.0979
 -1.2482 -1.3921
