 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F444W
 -4.0360 -4.1838 -4.2748 -4.3118 -4.3704 -4.4393 -4.5114 -4.5792 -4.6547 -4.7364
 -4.8165 -4.8955 -4.9729 -5.0491 -5.1246 -5.3044 -5.4774 -5.6270 -5.7924
 -4.1183 -4.1841 -4.2554 -4.3338 -4.4169 -4.4871 -4.5514 -4.6196 -4.6916 -4.7695
 -4.8482 -4.9266 -5.0039 -5.0802 -5.1551 -5.3362 -5.5062 -5.6665 -5.8246 -5.9830
 -4.1529 -4.2135 -4.2802 -4.3515 -4.4266 -4.5068 -4.5848 -4.6535 -4.7221 -4.7943
 -4.8701 -4.9467 -5.0232 -5.0990 -5.1738 -5.3545 -5.5243 -5.6840 -5.8424 -6.0001
 -6.1514
 -4.1924 -4.2474 -4.3090 -4.3762 -4.4475 -4.5214 -4.5967 -4.6740 -4.7480 -4.8190
 -4.8901 -4.9629 -5.0368 -5.1112 -5.1853 -5.3658 -5.5363 -5.6976 -5.8554 -6.0125
 -6.1635 -6.3079
 -4.2413 -4.2876 -4.3427 -4.4045 -4.4715 -4.5421 -4.6142 -4.6869 -4.7617 -4.8365
 -4.9091 -4.9798 -5.0502 -5.1213 -5.1933 -5.3723 -5.5435 -5.7062 -5.8647 -6.0214
 -6.1724 -6.3166 -6.4545 -6.5869
 -4.2987 -4.3380 -4.3840 -4.4387 -4.4997 -4.5656 -4.6345 -4.7046 -4.7758 -4.8479
 -4.9204 -4.9923 -5.0628 -5.1323 -5.2016 -5.3762 -5.5470 -5.7108 -5.8704 -6.0275
 -6.1787 -6.3230 -6.4608 -6.5929 -6.7200 -6.8426 -6.9614 -7.0767 -7.1890 -7.2986
 -4.3625 -4.3971 -4.4349 -4.4816 -4.5350 -4.5946 -4.6584 -4.7248 -4.7936 -4.8630
 -4.9326 -5.0021 -5.0715 -5.1406 -5.2093 -5.3799 -5.5484 -5.7119 -5.8723 -6.0305
 -6.1828 -6.3277 -6.4656 -6.5976 -6.7242 -6.8461 -6.9639 -7.0781 -7.1890 -7.2971
 -7.4031
 -4.4302 -4.4621 -4.4957 -4.5353 -4.5806 -4.6320 -4.6890 -4.7500 -4.8147 -4.8813
 -4.9484 -5.0154 -5.0820 -5.1488 -5.2158 -5.3833 -5.5492 -5.7114 -5.8710 -6.0298
 -6.1841 -6.3304 -6.4690 -6.6012 -6.7278 -6.8494 -6.9665 -7.0798 -7.1896 -7.2965
 -7.4008
 -4.4995 -4.5301 -4.5626 -4.6007 -4.6381 -4.6817 -4.7307 -4.7845 -4.8433 -4.9055
 -4.9693 -5.0339 -5.0982 -5.1623 -5.2265 -5.3888 -5.5517 -5.7118 -5.8702 -6.0284
 -6.1845 -6.3332 -6.4734 -6.6065 -6.7335 -6.8553 -6.9724 -7.0853 -7.1946 -7.3006
 -7.4034
 -4.5680 -4.5981 -4.6309 -4.6660 -4.7032 -4.7422 -4.7835 -4.8294 -4.8800 -4.9359
 -4.9947 -5.0554 -5.1169 -5.1785 -5.2401 -5.3953 -5.5529 -5.7108 -5.8666 -6.0223
 -6.1781 -6.3291 -6.4719 -6.6066 -6.7346 -6.8568 -6.9741 -7.0868 -7.1957 -7.3009
 -7.4050
 -4.6336 -4.6670 -4.7015 -4.7370 -4.7734 -4.8106 -4.8484 -4.8873 -4.9297 -4.9772
 -5.0292 -5.0843 -5.1413 -5.1997 -5.2585 -5.4066 -5.5573 -5.7105 -5.8635 -6.0167
 -6.1703 -6.3215 -6.4668 -6.6042 -6.7339 -6.8573 -6.9753 -7.0884 -7.1973 -7.3023
 -7.4040
 -4.6950 -4.7488 -4.7926 -4.8294 -4.8621 -4.8931 -4.9243 -4.9573 -4.9931 -5.0324
 -5.0758 -5.1234 -5.1742 -5.2273 -5.2821 -5.4226 -5.5661 -5.7130 -5.8626
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F444W
 -4.0680 -4.1529 -4.2178 -4.2768 -4.3461 -4.4212 -4.4994 -4.5785 -4.6552 -4.7371
 -4.8193 -4.9000 -4.9790 -5.0562 -5.1319 -5.3138 -5.4866 -5.6443 -5.8012
 -4.0830 -4.1506 -4.2300 -4.3112 -4.3762 -4.4476 -4.5253 -4.6048 -4.6835 -4.7660
 -4.8488 -4.9302 -5.0098 -5.0875 -5.1634 -5.3455 -5.5159 -5.6750 -5.8269 -5.9803
 -4.1083 -4.1718 -4.2407 -4.3154 -4.3993 -4.4758 -4.5469 -4.6233 -4.7018 -4.7828
 -4.8652 -4.9467 -5.0267 -5.1049 -5.1813 -5.3641 -5.5345 -5.6932 -5.8450 -5.9977
 -6.1479
 -4.1380 -4.1975 -4.2628 -4.3323 -4.4065 -4.4862 -4.5687 -4.6439 -4.7177 -4.7948
 -4.8752 -4.9559 -5.0357 -5.1140 -5.1906 -5.3744 -5.5460 -5.7057 -5.8582 -6.0102
 -6.1598 -6.3040
 -4.1729 -4.2273 -4.2883 -4.3545 -4.4251 -4.4993 -4.5764 -4.6556 -4.7348 -4.8096
 -4.8851 -4.9626 -5.0408 -5.1185 -5.1950 -5.3793 -5.5523 -5.7139 -5.8676 -6.0192
 -6.1683 -6.3123 -6.4503 -6.5833
 -4.2155 -4.2630 -4.3182 -4.3797 -4.4462 -4.5169 -4.5904 -4.6656 -4.7420 -4.8197
 -4.8968 -4.9721 -5.0469 -5.1218 -5.1970 -5.3807 -5.5547 -5.7182 -5.8735 -6.0253
 -6.1743 -6.3183 -6.4562 -6.5885 -6.7159 -6.8390 -6.9582 -7.0740 -7.1866 -7.2961
 -4.2659 -4.3070 -4.3550 -4.4101 -4.4713 -4.5375 -4.6074 -4.6798 -4.7533 -4.8275
 -4.9027 -4.9786 -5.0535 -5.1271 -5.1998 -5.3803 -5.5545 -5.7193 -5.8762 -6.0287
 -6.1781 -6.3225 -6.4606 -6.5928 -6.7197 -6.8420 -6.9602 -7.0748 -7.1862 -7.2947
 -7.4006
 -4.3228 -4.3607 -4.4009 -4.4484 -4.5029 -4.5632 -4.6284 -4.6968 -4.7675 -4.8391
 -4.9112 -4.9842 -5.0574 -5.1303 -5.2025 -5.3798 -5.5527 -5.7181 -5.8760 -6.0293
 -6.1796 -6.3249 -6.4636 -6.5961 -6.7229 -6.8448 -6.9624 -7.0761 -7.1864 -7.2937
 -7.3982
 -4.3837 -4.4207 -4.4566 -4.4969 -4.5439 -4.5973 -4.6564 -4.7198 -4.7865 -4.8552
 -4.9247 -4.9949 -5.0653 -5.1357 -5.2062 -5.3810 -5.5522 -5.7175 -5.8757 -6.0294
 -6.1807 -6.3277 -6.4677 -6.6010 -6.7282 -6.8503 -6.9678 -7.0813 -7.1911 -7.2975
 -7.4006
 -4.4454 -4.4829 -4.5180 -4.5546 -4.5944 -4.6403 -4.6919 -4.7487 -4.8100 -4.8744
 -4.9407 -5.0079 -5.0756 -5.1434 -5.2111 -5.3808 -5.5493 -5.7134 -5.8714 -6.0245
 -6.1756 -6.3241 -6.4661 -6.6008 -6.7290 -6.8514 -6.9691 -7.0823 -7.1916 -7.2973
 -7.4020
 -4.5039 -4.5465 -4.5839 -4.6193 -4.6543 -4.6939 -4.7384 -4.7877 -4.8419 -4.9007
 -4.9625 -5.0260 -5.0906 -5.1557 -5.2208 -5.3840 -5.5478 -5.7096 -5.8668 -6.0190
 -6.1688 -6.3174 -6.4613 -6.5983 -6.7281 -6.8517 -6.9700 -7.0835 -7.1928 -7.2983
 -7.4004
 -4.5593 -4.6115 -4.6543 -4.6904 -4.7235 -4.7573 -4.7955 -4.8382 -4.8849 -4.9364
 -4.9923 -5.0510 -5.1116 -5.1733 -5.2355 -5.3919 -5.5495 -5.7073 -5.8627
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F444W
 -4.0839 -4.1335 -4.1887 -4.2562 -4.3285 -4.4058 -4.4890 -4.5717 -4.6504 -4.7326
 -4.8164 -4.8986 -4.9790 -5.0574 -5.1339 -5.3176 -5.4910 -5.6536 -5.8068
 -4.0632 -4.1437 -4.2107 -4.2731 -4.3485 -4.4288 -4.5120 -4.5960 -4.6767 -4.7608
 -4.8453 -4.9285 -5.0099 -5.0892 -5.1665 -5.3509 -5.5233 -5.6833 -5.8334 -5.9799
 -4.0778 -4.1415 -4.2164 -4.2976 -4.3647 -4.4420 -4.5253 -4.6098 -4.6925 -4.7756
 -4.8601 -4.9437 -5.0256 -5.1057 -5.1836 -5.3694 -5.5422 -5.7019 -5.8516 -5.9979
 -6.1439
 -4.0997 -4.1610 -4.2276 -4.3002 -4.3824 -4.4605 -4.5358 -4.6179 -4.7016 -4.7835
 -4.8673 -4.9508 -5.0329 -5.1133 -5.1917 -5.3788 -5.5527 -5.7136 -5.8643 -6.0107
 -6.1558 -6.2987
 -4.1250 -4.1840 -4.2479 -4.3166 -4.3901 -4.4688 -4.5521 -4.6304 -4.7086 -4.7893
 -4.8709 -4.9536 -5.0354 -5.1158 -5.1945 -5.3826 -5.5579 -5.7206 -5.8729 -6.0196
 -6.1642 -6.3065 -6.4444 -6.5774
 -4.1553 -4.2100 -4.2710 -4.3366 -4.4068 -4.4810 -4.5585 -4.6388 -4.7202 -4.7984
 -4.8754 -4.9552 -5.0358 -5.1158 -5.1944 -5.3830 -5.5595 -5.7241 -5.8783 -6.0258
 -6.1702 -6.3121 -6.4497 -6.5822 -6.7101 -6.8338 -6.9536 -7.0698 -7.1826 -7.2920
 -4.1923 -4.2412 -4.2973 -4.3592 -4.4257 -4.4966 -4.5709 -4.6474 -4.7253 -4.8044
 -4.8831 -4.9607 -5.0379 -5.1154 -5.1930 -5.3813 -5.5587 -5.7249 -5.8809 -6.0295
 -6.1741 -6.3159 -6.4535 -6.5859 -6.7131 -6.8360 -6.9551 -7.0703 -7.1820 -7.2904
 -7.3964
 -4.2363 -4.2795 -4.3292 -4.3858 -4.4481 -4.5150 -4.5857 -4.6591 -4.7343 -4.8104
 -4.8867 -4.9638 -5.0412 -5.1176 -5.1930 -5.3785 -5.5562 -5.7236 -5.8811 -6.0309
 -6.1760 -6.3180 -6.4560 -6.5885 -6.7157 -6.8381 -6.9563 -7.0708 -7.1817 -7.2894
 -7.3940
 -4.2854 -4.3256 -4.3694 -4.4195 -4.4761 -4.5384 -4.6050 -4.6748 -4.7470 -4.8205
 -4.8946 -4.9691 -5.0442 -5.1195 -5.1944 -5.3776 -5.5547 -5.7228 -5.8816 -6.0325
 -6.1783 -6.3209 -6.4596 -6.5928 -6.7204 -6.8429 -6.9610 -7.0751 -7.1855 -7.2925
 -7.3962
 -4.3368 -4.3757 -4.4167 -4.4605 -4.5106 -4.5667 -4.6280 -4.6932 -4.7616 -4.8319
 -4.9034 -4.9754 -5.0480 -5.1209 -5.1937 -5.3740 -5.5495 -5.7180 -5.8775 -6.0290
 -6.1752 -6.3183 -6.4580 -6.5922 -6.7206 -6.8435 -6.9617 -7.0755 -7.1855 -7.2919
 -7.3950
 -4.3872 -4.4312 -4.4703 -4.5101 -4.5538 -4.6032 -4.6582 -4.7178 -4.7813 -4.8477
 -4.9159 -4.9853 -5.0552 -5.1256 -5.1962 -5.3713 -5.5442 -5.7120 -5.8722 -6.0242
 -6.1702 -6.3133 -6.4539 -6.5897 -6.7194 -6.8432 -6.9620 -7.0761 -7.1860 -7.2923
 -7.3950
 -4.4354 -4.4848 -4.5268 -4.5653 -4.6053 -4.6489 -4.6971 -4.7504 -4.8080 -4.8694
 -4.9336 -4.9996 -5.0666 -5.1343 -5.2023 -5.3720 -5.5402 -5.7059 -5.8659
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F444W
 -4.0858 -4.1281 -4.1846 -4.2513 -4.3222 -4.3991 -4.4823 -4.5660 -4.6460 -4.7284
 -4.8128 -4.8957 -4.9767 -5.0558 -5.1329 -5.3174 -5.4914 -5.6552 -5.8084
 -4.0676 -4.1418 -4.1952 -4.2638 -4.3414 -4.4215 -4.5055 -4.5904 -4.6720 -4.7566
 -4.8417 -4.9255 -5.0076 -5.0877 -5.1657 -5.3516 -5.5252 -5.6865 -5.8367 -5.9814
 -4.0675 -4.1332 -4.2147 -4.2783 -4.3511 -4.4336 -4.5183 -4.6039 -4.6877 -4.7711
 -4.8563 -4.9404 -5.0230 -5.1038 -5.1825 -5.3700 -5.5442 -5.7053 -5.8550 -5.9994
 -6.1426
 -4.0865 -4.1470 -4.2141 -4.2921 -4.3698 -4.4423 -4.5250 -4.6109 -4.6960 -4.7786
 -4.8631 -4.9471 -5.0298 -5.1109 -5.1901 -5.3790 -5.5545 -5.7166 -5.8673 -6.0121
 -6.1547 -6.2957
 -4.1085 -4.1681 -4.2322 -4.3016 -4.3769 -4.4591 -4.5370 -4.6159 -4.6999 -4.7833
 -4.8659 -4.9494 -5.0319 -5.1130 -5.1925 -5.3824 -5.5592 -5.7230 -5.8755 -6.0209
 -6.1632 -6.3035 -6.4408 -6.5738
 -4.1338 -4.1910 -4.2534 -4.3199 -4.3912 -4.4668 -4.5463 -4.6285 -4.7077 -4.7871
 -4.8677 -4.9497 -5.0316 -5.1125 -5.1919 -5.3824 -5.5604 -5.7259 -5.8804 -6.0269
 -6.1691 -6.3090 -6.4459 -6.5782 -6.7060 -6.8298 -6.9502 -7.0670 -7.1801 -7.2895
 -4.1643 -4.2172 -4.2765 -4.3405 -4.4087 -4.4811 -4.5568 -4.6347 -4.7146 -4.7952
 -4.8737 -4.9514 -5.0309 -5.1107 -5.1898 -5.3803 -5.5593 -5.7264 -5.8827 -6.0305
 -6.1730 -6.3127 -6.4493 -6.5815 -6.7089 -6.8320 -6.9513 -7.0670 -7.1792 -7.2878
 -7.3914
 -4.2011 -4.2487 -4.3031 -4.3634 -4.4284 -4.4975 -4.5699 -4.6450 -4.7218 -4.7994
 -4.8776 -4.9557 -5.0335 -5.1108 -5.1878 -5.3772 -5.5566 -5.7249 -5.8829 -6.0319
 -6.1751 -6.3148 -6.4514 -6.5837 -6.7110 -6.8337 -6.9524 -7.0674 -7.1787 -7.2866
 -7.3912
