 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.2829 -2.2609 -2.4450 -2.4415 -2.3503 -2.2033 -2.0285 -1.9102 -1.8089 -1.7002
 -1.5964 -1.4968 -1.4041 -1.3195 -1.2468 -1.0966 -1.0360 -1.0381 -1.0213
 -2.2719 -2.1811 -2.1077 -2.0668 -2.0588 -2.0249 -1.9412 -1.8397 -1.7409 -1.6447
 -1.5513 -1.4627 -1.3813 -1.3088 -1.2458 -1.1288 -1.0626 -1.0357 -1.0324 -1.0425
 -2.1330 -2.0495 -1.9689 -1.8976 -1.8418 -1.8150 -1.8019 -1.7606 -1.6893 -1.6051
 -1.5220 -1.4419 -1.3676 -1.3014 -1.2440 -1.1375 -1.0769 -1.0533 -1.0518 -1.0620
 -1.0797
 -2.0088 -1.9424 -1.8710 -1.8000 -1.7346 -1.6779 -1.6360 -1.6150 -1.5939 -1.5520
 -1.4911 -1.4232 -1.3569 -1.2965 -1.2439 -1.1456 -1.0890 -1.0676 -1.0680 -1.0788
 -1.0957 -1.1177
 -1.8854 -1.8392 -1.7839 -1.7228 -1.6611 -1.6031 -1.5509 -1.5063 -1.4748 -1.4504
 -1.4237 -1.3855 -1.3382 -1.2880 -1.2409 -1.1505 -1.0970 -1.0777 -1.0801 -1.0927
 -1.1101 -1.1315 -1.1566 -1.1857
 -1.7621 -1.7312 -1.6941 -1.6480 -1.5967 -1.5438 -1.4935 -1.4471 -1.4052 -1.3688
 -1.3402 -1.3160 -1.2898 -1.2595 -1.2269 -1.1501 -1.1000 -1.0820 -1.0863 -1.1024
 -1.1221 -1.1442 -1.1691 -1.1967 -1.2274 -1.2617 -1.3000 -1.3425 -1.3893 -1.4405
 -1.6425 -1.6213 -1.5983 -1.5664 -1.5287 -1.4863 -1.4421 -1.3991 -1.3591 -1.3218
 -1.2878 -1.2588 -1.2348 -1.2134 -1.1921 -1.1398 -1.0970 -1.0785 -1.0856 -1.1060
 -1.1299 -1.1548 -1.1809 -1.2086 -1.2382 -1.2688 -1.3020 -1.3399 -1.3840 -1.4344
 -1.4873
 -1.5304 -1.5143 -1.4985 -1.4777 -1.4520 -1.4222 -1.3883 -1.3521 -1.3165 -1.2827
 -1.2512 -1.2222 -1.1964 -1.1747 -1.1560 -1.1171 -1.0867 -1.0711 -1.0784 -1.1022
 -1.1315 -1.1609 -1.1901 -1.2196 -1.2498 -1.2808 -1.3124 -1.3464 -1.3848 -1.4293
 -1.4808
 -1.4293 -1.4150 -1.4012 -1.3856 -1.3684 -1.3484 -1.3255 -1.2994 -1.2711 -1.2424
 -1.2151 -1.1899 -1.1667 -1.1459 -1.1275 -1.0923 -1.0698 -1.0597 -1.0668 -1.0922
 -1.1260 -1.1611 -1.1951 -1.2281 -1.2606 -1.2929 -1.3256 -1.3592 -1.3956 -1.4349
 -1.4769
 -1.3429 -1.3282 -1.3136 -1.2990 -1.2845 -1.2701 -1.2553 -1.2385 -1.2197 -1.1984
 -1.1767 -1.1561 -1.1371 -1.1196 -1.1036 -1.0715 -1.0520 -1.0455 -1.0533 -1.0777
 -1.1133 -1.1530 -1.1926 -1.2306 -1.2670 -1.3021 -1.3366 -1.3708 -1.4054 -1.4414
 -1.4795
 -1.2732 -1.2535 -1.2358 -1.2199 -1.2056 -1.1929 -1.1816 -1.1712 -1.1602 -1.1476
 -1.1331 -1.1181 -1.1038 -1.0906 -1.0787 -1.0530 -1.0356 -1.0312 -1.0404 -1.0630
 -1.0978 -1.1392 -1.1829 -1.2262 -1.2676 -1.3070 -1.3448 -1.3812 -1.4169 -1.4527
 -1.4895
