 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -3.0723 -3.0622 -3.2469 -3.2506 -3.1697 -3.0317 -2.8607 -2.7514 -2.6533 -2.5485
 -2.4488 -2.3543 -2.2659 -2.1861 -2.1147 -1.9665 -1.8688 -1.8165 -1.7820
 -3.0776 -2.9965 -2.9297 -2.8931 -2.8882 -2.8572 -2.7765 -2.6772 -2.5805 -2.4866
 -2.3956 -2.3094 -2.2296 -2.1574 -2.0928 -1.9636 -1.8760 -1.8224 -1.7920 -1.7758
 -2.9536 -2.8771 -2.8004 -2.7317 -2.6778 -2.6521 -2.6392 -2.5971 -2.5251 -2.4408
 -2.3582 -2.2788 -2.2049 -2.1378 -2.0780 -1.9590 -1.8791 -1.8316 -1.8055 -1.7918
 -1.7858
 -2.8411 -2.7802 -2.7106 -2.6400 -2.5745 -2.5177 -2.4753 -2.4531 -2.4299 -2.3853
 -2.3219 -2.2527 -2.1854 -2.1233 -2.0676 -1.9565 -1.8823 -1.8397 -1.8176 -1.8064
 -1.8018 -1.8017
 -2.7279 -2.6866 -2.6319 -2.5695 -2.5059 -2.4461 -2.3924 -2.3463 -2.3135 -2.2869
 -2.2566 -2.2139 -2.1625 -2.1087 -2.0578 -1.9540 -1.8840 -1.8452 -1.8269 -1.8192
 -1.8168 -1.8179 -1.8220 -1.8288
 -2.6130 -2.5879 -2.5513 -2.5029 -2.4480 -2.3917 -2.3385 -2.2897 -2.2460 -2.2082
 -2.1772 -2.1492 -2.1174 -2.0806 -2.0415 -1.9493 -1.8830 -1.8468 -1.8318 -1.8287
 -1.8296 -1.8332 -1.8388 -1.8461 -1.8544 -1.8647 -1.8784 -1.8963 -1.9193 -1.9477
 -2.4990 -2.4856 -2.4639 -2.4309 -2.3889 -2.3414 -2.2925 -2.2456 -2.2028 -2.1633
 -2.1273 -2.0953 -2.0667 -2.0392 -2.0105 -1.9387 -1.8786 -1.8426 -1.8309 -1.8327
 -1.8386 -1.8459 -1.8543 -1.8635 -1.8736 -1.8833 -1.8944 -1.9094 -1.9300 -1.9571
 -1.9891
 -2.3882 -2.3830 -2.3713 -2.3509 -2.3224 -2.2869 -2.2465 -2.2046 -2.1644 -2.1272
 -2.0928 -2.0608 -2.0309 -2.0038 -1.9784 -1.9196 -1.8696 -1.8360 -1.8249 -1.8301
 -1.8416 -1.8541 -1.8666 -1.8790 -1.8915 -1.9039 -1.9154 -1.9284 -1.9453 -1.9681
 -1.9982
 -2.2834 -2.2835 -2.2778 -2.2648 -2.2476 -2.2236 -2.1941 -2.1606 -2.1256 -2.0915
 -2.0599 -2.0306 -2.0031 -1.9771 -1.9524 -1.8986 -1.8560 -1.8269 -1.8153 -1.8218
 -1.8376 -1.8560 -1.8740 -1.8911 -1.9073 -1.9226 -1.9376 -1.9526 -1.9695 -1.9887
 -2.0098
 -2.1869 -2.1902 -2.1880 -2.1809 -2.1693 -2.1538 -2.1343 -2.1103 -2.0834 -2.0546
 -2.0264 -2.0003 -1.9760 -1.9528 -1.9306 -1.8810 -1.8418 -1.8159 -1.8049 -1.8104
 -1.8277 -1.8503 -1.8739 -1.8966 -1.9178 -1.9374 -1.9559 -1.9734 -1.9906 -2.0084
 -2.0272
 -2.0999 -2.1033 -2.1027 -2.0986 -2.0912 -2.0809 -2.0680 -2.0525 -2.0339 -2.0127
 -1.9899 -1.9674 -1.9464 -1.9269 -1.9084 -1.8650 -1.8286 -1.8047 -1.7948 -1.7989
 -1.8154 -1.8393 -1.8668 -1.8948 -1.9217 -1.9466 -1.9698 -1.9912 -2.0114 -2.0311
 -2.0511
 -2.0186 -2.0128 -2.0099 -2.0084 -2.0067 -2.0036 -1.9979 -1.9892 -1.9776 -1.9638
 -1.9480 -1.9309 -1.9138 -1.8976 -1.8826 -1.8479 -1.8162 -1.7938 -1.7846
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  G   
 -3.3615 -3.3633 -3.3277 -3.2095 -3.0620 -2.9157 -2.7904 -2.6857 -2.5899 -2.4980
 -2.4102 -2.3267 -2.2481 -2.1749 -2.1077 -1.9672 -1.8675 -1.8059 -1.7709
 -3.1795 -3.1018 -3.0729 -3.0697 -2.9955 -2.8725 -2.7476 -2.6406 -2.5468 -2.4587
 -2.3749 -2.2955 -2.2210 -2.1523 -2.0896 -1.9617 -1.8715 -1.8147 -1.7828 -1.7661
 -3.0693 -2.9769 -2.8948 -2.8374 -2.8232 -2.7969 -2.7113 -2.6076 -2.5141 -2.4298
 -2.3502 -2.2747 -2.2040 -2.1388 -2.0796 -1.9596 -1.8758 -1.8233 -1.7948 -1.7806
 -1.7745
 -2.9770 -2.8940 -2.8069 -2.7229 -2.6549 -2.6148 -2.5988 -2.5601 -2.4851 -2.4056
 -2.3303 -2.2590 -2.1919 -2.1299 -2.0736 -1.9597 -1.8805 -1.8309 -1.8051 -1.7935
 -1.7891 -1.7893
 -2.8861 -2.8200 -2.7425 -2.6621 -2.5860 -2.5172 -2.4627 -2.4274 -2.4058 -2.3665
 -2.3080 -2.2435 -2.1808 -2.1221 -2.0685 -1.9598 -1.8840 -1.8367 -1.8131 -1.8042
 -1.8022 -1.8040 -1.8087 -1.8168
 -2.7943 -2.7429 -2.6812 -2.6102 -2.5372 -2.4674 -2.4027 -2.3455 -2.3006 -2.2714
 -2.2459 -2.2100 -2.1632 -2.1117 -2.0618 -1.9581 -1.8853 -1.8396 -1.8177 -1.8119
 -1.8133 -1.8177 -1.8241 -1.8323 -1.8414 -1.8526 -1.8673 -1.8866 -1.9110 -1.9401
 -2.6953 -2.6592 -2.6135 -2.5570 -2.4932 -2.4279 -2.3649 -2.3061 -2.2525 -2.2066
 -2.1701 -2.1424 -2.1153 -2.0831 -2.0462 -1.9536 -1.8837 -1.8391 -1.8182 -1.8152
 -1.8207 -1.8289 -1.8382 -1.8484 -1.8596 -1.8708 -1.8837 -1.9000 -1.9214 -1.9487
 -1.9816
 -2.5961 -2.5693 -2.5381 -2.4957 -2.4452 -2.3887 -2.3310 -2.2750 -2.2224 -2.1740
