 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F560W
  0.1238 -0.0290 -0.1654 -0.2239 -0.2895 -0.3638 -0.4460 -0.5239 -0.6095 -0.6966
 -0.7801 -0.8615 -0.9409 -1.0187 -1.0940 -1.2720 -1.4429 -1.6057 -1.7779
  0.0307 -0.0443 -0.1267 -0.2181 -0.3168 -0.4061 -0.4847 -0.5633 -0.6449 -0.7294
 -0.8130 -0.8950 -0.9751 -1.0531 -1.1292 -1.3108 -1.4813 -1.6455 -1.8092 -1.9690
 -0.0026 -0.0711 -0.1471 -0.2288 -0.3155 -0.4089 -0.5037 -0.5900 -0.6715 -0.7521
 -0.8338 -0.9150 -0.9949 -1.0732 -1.1497 -1.3322 -1.5026 -1.6659 -1.8290 -1.9885
 -2.1406
 -0.0420 -0.1034 -0.1732 -0.2494 -0.3304 -0.4147 -0.5020 -0.5929 -0.6830 -0.7686
 -0.8498 -0.9290 -1.0074 -1.0851 -1.1615 -1.3451 -1.5170 -1.6817 -1.8431 -2.0023
 -2.1544 -2.2994
 -0.0932 -0.1429 -0.2049 -0.2748 -0.3505 -0.4302 -0.5120 -0.5952 -0.6814 -0.7689
 -0.8551 -0.9376 -1.0165 -1.0931 -1.1686 -1.3523 -1.5258 -1.6914 -1.8530 -2.0120
 -2.1642 -2.3091 -2.4475 -2.5799
 -0.1551 -0.1949 -0.2450 -0.3066 -0.3757 -0.4499 -0.5275 -0.6066 -0.6870 -0.7689
 -0.8518 -0.9349 -1.0165 -1.0956 -1.1723 -1.3556 -1.5301 -1.6970 -1.8594 -2.0186
 -2.1711 -2.3162 -2.4546 -2.5870 -2.7140 -2.8365 -2.9549 -3.0699 -3.1819 -3.2913
 -0.2248 -0.2576 -0.2963 -0.3481 -0.4084 -0.4757 -0.5477 -0.6225 -0.6992 -0.7769
 -0.8551 -0.9336 -1.0125 -1.0912 -1.1688 -1.3554 -1.5308 -1.6985 -1.8622 -2.0223
 -2.1756 -2.3212 -2.4599 -2.5924 -2.7193 -2.8412 -2.9588 -3.0726 -3.1831 -3.2908
 -3.3966
 -0.2992 -0.3275 -0.3597 -0.4017 -0.4520 -0.5102 -0.5749 -0.6440 -0.7162 -0.7901
 -0.8648 -0.9396 -1.0143 -1.0894 -1.1646 -1.3503 -1.5279 -1.6967 -1.8611 -2.0227
 -2.1776 -2.3243 -2.4636 -2.5964 -2.7235 -2.8453 -2.9623 -3.0753 -3.1847 -3.2912
 -3.3951
 -0.3752 -0.4008 -0.4307 -0.4689 -0.5091 -0.5576 -0.6133 -0.6749 -0.7411 -0.8102
 -0.8810 -0.9526 -1.0242 -1.0956 -1.1673 -1.3473 -1.5241 -1.6936 -1.8588 -2.0218
 -2.1793 -2.3280 -2.4684 -2.6020 -2.7296 -2.8517 -2.9690 -3.0818 -3.1908 -3.2964
 -3.3987
 -0.4498 -0.4738 -0.5031 -0.5371 -0.5753 -0.6172 -0.6632 -0.7156 -0.7737 -0.8364
 -0.9019 -0.9692 -1.0374 -1.1058 -1.1742 -1.3461 -1.5184 -1.6873 -1.8515 -2.0141
 -2.1736 -2.3252 -2.4677 -2.6025 -2.7309 -2.8536 -2.9713 -3.0842 -3.1930 -3.2980
 -3.4015
 -0.5201 -0.5474 -0.5781 -0.6117 -0.6478 -0.6863 -0.7268 -0.7700 -0.8188 -0.8730
 -0.9317 -0.9933 -1.0568 -1.1215 -1.1866 -1.3506 -1.5160 -1.6816 -1.8445 -2.0053
 -2.1645 -2.3185 -2.4641 -2.6011 -2.7307 -2.8544 -2.9728 -3.0863 -3.1954 -3.3005
 -3.4020
 -0.5844 -0.6368 -0.6780 -0.7119 -0.7422 -0.7719 -0.8036 -0.8391 -0.8789 -0.9235
 -0.9730 -1.0272 -1.0845 -1.1439 -1.2048 -1.3604 -1.5185 -1.6784 -1.8388
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F560W
  0.0804 -0.0228 -0.1096 -0.1825 -0.2615 -0.3455 -0.4325 -0.5207 -0.6077 -0.6967
 -0.7837 -0.8678 -0.9492 -1.0281 -1.1046 -1.2859 -1.4566 -1.6174 -1.7789
  0.0663 -0.0149 -0.1102 -0.2106 -0.2929 -0.3738 -0.4594 -0.5476 -0.6360 -0.7261
 -0.8143 -0.8999 -0.9827 -1.0628 -1.1403 -1.3236 -1.4931 -1.6524 -1.8088 -1.9658
  0.0411 -0.0329 -0.1137 -0.2022 -0.3016 -0.3965 -0.4804 -0.5651 -0.6523 -0.7414
 -0.8299 -0.9161 -0.9998 -1.0809 -1.1593 -1.3447 -1.5151 -1.6740 -1.8295 -1.9856
 -2.1371
  0.0116 -0.0570 -0.1323 -0.2125 -0.2984 -0.3911 -0.4886 -0.5800 -0.6651 -0.7508
 -0.8379 -0.9240 -1.0079 -1.0895 -1.1687 -1.3559 -1.5285 -1.6887 -1.8441 -1.9993
 -2.1506 -2.2955
 -0.0236 -0.0857 -0.1555 -0.2312 -0.3117 -0.3959 -0.4838 -0.5754 -0.6688 -0.7580
 -0.8440 -0.9283 -1.0115 -1.0929 -1.1723 -1.3611 -1.5359 -1.6983 -1.8542 -2.0088
 -2.1599 -2.3048 -2.4433 -2.5765
 -0.0687 -0.1208 -0.1838 -0.2539 -0.3294 -0.4090 -0.4915 -0.5762 -0.6629 -0.7521
 -0.8420 -0.9294 -1.0132 -1.0941 -1.1731 -1.3624 -1.5391 -1.7038 -1.8609 -2.0153
 -2.1664 -2.3115 -2.4500 -2.5827 -2.7102 -2.8332 -2.9521 -3.0675 -3.1797 -3.2889
 -0.1221 -0.1653 -0.2193 -0.2822 -0.3519 -0.4265 -0.5046 -0.5851 -0.6671 -0.7503
 -0.8351 -0.9213 -1.0069 -1.0904 -1.1712 -1.3615 -1.5392 -1.7060 -1.8645 -2.0192
 -2.1705 -2.3161 -2.4550 -2.5877 -2.7148 -2.8370 -2.9551 -3.0694 -3.1805 -3.2887
 -3.3942
 -0.1831 -0.2212 -0.2650 -0.3186 -0.3808 -0.4493 -0.5224 -0.5985 -0.6767 -0.7560
 -0.8362 -0.9175 -0.9992 -1.0811 -1.1623 -1.3573 -1.5371 -1.7053 -1.8652 -2.0205
 -2.1725 -2.3189 -2.4583 -2.5914 -2.7187 -2.8408 -2.9582 -3.0717 -3.1816 -3.2885
 -3.3926
 -0.2495 -0.2847 -0.3220 -0.3663 -0.4195 -0.4805 -0.5474 -0.6185 -0.6924 -0.7680
 -0.8447 -0.9223 -1.0002 -1.0781 -1.1562 -1.3496 -1.5337 -1.7043 -1.8654 -2.0216
 -2.1746 -2.3223 -2.4628 -2.5967 -2.7245 -2.8469 -2.9645 -3.0779 -3.1875 -3.2935
 -3.3961
 -0.3178 -0.3517 -0.3863 -0.4248 -0.4686 -0.5205 -0.5794 -0.6439 -0.7125 -0.7837
 -0.8565 -0.9304 -1.0049 -1.0796 -1.1542 -1.3407 -1.5238 -1.6973 -1.8601 -2.0167
 -2.1705 -2.3199 -2.4619 -2.5969 -2.7255 -2.8484 -2.9664 -3.0798 -3.1890 -3.2946
 -3.3987
 -0.3828 -0.4213 -0.4568 -0.4920 -0.5286 -0.5722 -0.6224 -0.6788 -0.7405 -0.8062
 -0.8744 -0.9443 -1.0152 -1.0866 -1.1582 -1.3370 -1.5151 -1.6883 -1.8529 -2.0098
 -2.1636 -2.3143 -2.4585 -2.5952 -2.7250 -2.8489 -2.9676 -3.0815 -3.1910 -3.2966
 -3.3985
 -0.4427 -0.4935 -0.5334 -0.5673 -0.5998 -0.6354 -0.6772 -0.7252 -0.7789 -0.8374
 -0.8999 -0.9650 -1.0317 -1.0994 -1.1677 -1.3390 -1.5105 -1.6803 -1.8448
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F560W
  0.0764  0.0011 -0.0715 -0.1548 -0.2416 -0.3307 -0.4225 -0.5135 -0.6019 -0.6923
 -0.7818 -0.8682 -0.9515 -1.0319 -1.1097 -1.2938 -1.4651 -1.6254 -1.7799
  0.0905 -0.0107 -0.1014 -0.1776 -0.2637 -0.3542 -0.4465 -0.5388 -0.6290 -0.7211
 -0.8118 -0.8999 -0.9849 -1.0670 -1.1462 -1.3329 -1.5043 -1.6622 -1.8128 -1.9632
  0.0736 -0.0052 -0.0975 -0.1991 -0.2827 -0.3685 -0.4594 -0.5516 -0.6428 -0.7343
 -0.8254 -0.9142 -1.0003 -1.0836 -1.1640 -1.3532 -1.5263 -1.6847 -1.8345 -1.9838
 -2.1326
  0.0503 -0.0234 -0.1025 -0.1895 -0.2881 -0.3840 -0.4702 -0.5588 -0.6496 -0.7397
 -0.8304 -0.9195 -1.0061 -1.0901 -1.1714 -1.3628 -1.5381 -1.6985 -1.8492 -1.9980
 -2.1459 -2.2902
  0.0243 -0.0457 -0.1204 -0.2001 -0.2851 -0.3769 -0.4746 -0.5675 -0.6547 -0.7425
 -0.8314 -0.9201 -1.0068 -1.0912 -1.1730 -1.3662 -1.5436 -1.7066 -1.8591 -2.0078
 -2.1551 -2.2991 -2.4375 -2.5706
 -0.0066 -0.0710 -0.1420 -0.2175 -0.2971 -0.3809 -0.4687 -0.5605 -0.6548 -0.7456
 -0.8324 -0.9191 -1.0051 -1.0894 -1.1715 -1.3659 -1.5452 -1.7107 -1.8654 -2.0144
 -2.1614 -2.3053 -2.4437 -2.5765 -2.7045 -2.8281 -2.9476 -3.0635 -3.1759 -3.2851
 -0.0450 -0.1017 -0.1668 -0.2382 -0.3137 -0.3929 -0.4755 -0.5605 -0.6478 -0.7372
 -0.8275 -0.9167 -1.0031 -1.0868 -1.1685 -1.3635 -1.5443 -1.7120 -1.8688 -2.0187
 -2.1655 -2.3094 -2.4481 -2.5809 -2.7084 -2.8314 -2.9503 -3.0652 -3.1765 -3.2845
 -3.3902
 -0.0915 -0.1403 -0.1974 -0.2628 -0.3339 -0.4091 -0.4873 -0.5681 -0.6509 -0.7349
 -0.8199 -0.9065 -0.9938 -1.0799 -1.1636 -1.3600 -1.5419 -1.7113 -1.8700 -2.0210
 -2.1679 -2.3118 -2.4509 -2.5841 -2.7116 -2.8342 -2.9524 -3.0666 -3.1772 -3.2845
 -3.3887
 -0.1444 -0.1877 -0.2369 -0.2945 -0.3596 -0.4303 -0.5045 -0.5814 -0.6604 -0.7408
 -0.8219 -0.9040 -0.9870 -1.0705 -1.1537 -1.3553 -1.5404 -1.7112 -1.8715 -2.0237
 -2.1709 -2.3152 -2.4549 -2.5888 -2.7169 -2.8397 -2.9579 -3.0720 -3.1822 -3.2888
 -3.3920
 -0.2013 -0.2406 -0.2847 -0.3340 -0.3913 -0.4556 -0.5249 -0.5975 -0.6725 -0.7492
 -0.8270 -0.9056 -0.9848 -1.0646 -1.1443 -1.3422 -1.5322 -1.7066 -1.8683 -2.0214
 -2.1690 -2.3134 -2.4538 -2.5886 -2.7174 -2.8407 -2.9593 -3.0732 -3.1832 -3.2894
 -3.3922
 -0.2582 -0.3003 -0.3402 -0.3831 -0.4322 -0.4887 -0.5515 -0.6190 -0.6897 -0.7625
 -0.8367 -0.9120 -0.9879 -1.0645 -1.1411 -1.3316 -1.5193 -1.6982 -1.8630 -2.0172
 -2.1650 -2.3096 -2.4508 -2.5867 -2.7166 -2.8408 -2.9600 -3.0744 -3.1845 -3.2908
 -3.3934
 -0.3125 -0.3593 -0.3999 -0.4395 -0.4829 -0.5316 -0.5865 -0.6475 -0.7129 -0.7813
 -0.8517 -0.9234 -0.9960 -1.0693 -1.1430 -1.3266 -1.5085 -1.6863 -1.8547
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F560W
  0.0892  0.0197 -0.0591 -0.1461 -0.2347 -0.3246 -0.4167 -0.5084 -0.5975 -0.6884
 -0.7788 -0.8662 -0.9504 -1.0317 -1.1102 -1.2955 -1.4674 -1.6280 -1.7804
  0.0911 -0.0094 -0.0816 -0.1638 -0.2547 -0.3472 -0.4408 -0.5338 -0.6246 -0.7173
 -0.8089 -0.8978 -0.9838 -1.0669 -1.1470 -1.3354 -1.5084 -1.6672 -1.8160 -1.9631
  0.0865  0.0021 -0.1006 -0.1844 -0.2673 -0.3590 -0.4527 -0.5463 -0.6383 -0.7301
 -0.8220 -0.9117 -0.9987 -1.0829 -1.1643 -1.3555 -1.5304 -1.6899 -1.8383 -1.9843
 -2.1304
  0.0649 -0.0100 -0.0918 -0.1874 -0.2849 -0.3696 -0.4592 -0.5518 -0.6442 -0.7350
 -0.8264 -0.9163 -1.0037 -1.0886 -1.1709 -1.3644 -1.5415 -1.7030 -1.8529 -1.9987
 -2.1440 -2.2870
  0.0417 -0.0309 -0.1068 -0.1882 -0.2774 -0.3756 -0.4692 -0.5566 -0.6464 -0.7366
 -0.8266 -0.9161 -1.0037 -1.0889 -1.1716 -1.3670 -1.5461 -1.7102 -1.8624 -2.0086
 -2.1533 -2.2959 -2.4340 -2.5671
  0.0156 -0.0533 -0.1268 -0.2036 -0.2848 -0.3711 -0.4629 -0.5587 -0.6506 -0.7380
 -0.8255 -0.9138 -1.0011 -1.0864 -1.1693 -1.3659 -1.5470 -1.7135 -1.8682 -2.0153
 -2.1597 -2.3019 -2.4399 -2.5727 -2.7005 -2.8241 -2.9443 -3.0608 -3.1736 -3.2828
 -0.0161 -0.0790 -0.1486 -0.2225 -0.2997 -0.3806 -0.4649 -0.5524 -0.6430 -0.7352
 -0.8250 -0.9119 -0.9979 -1.0827 -1.1656 -1.3629 -1.5455 -1.7142 -1.8711 -2.0196
 -2.1640 -2.3059 -2.4439 -2.5767 -2.7043 -2.8273 -2.9464 -3.0619 -3.1739 -3.2821
 -3.3854
 -0.0549 -0.1104 -0.1738 -0.2437 -0.3176 -0.3947 -0.4746 -0.5572 -0.6419 -0.7281
 -0.8157 -0.9043 -0.9923 -1.0782 -1.1613 -1.3590 -1.5426 -1.7130 -1.8720 -2.0219
 -2.1665 -2.3082 -2.4464 -2.5795 -2.7072 -2.8299 -2.9485 -3.0632 -3.1743 -3.2819
 -3.3861
 -0.0999 -0.1494 -0.2058 -0.2696 -0.3394 -0.4131 -0.4896 -0.5683 -0.6491 -0.7313
 -0.8143 -0.8981 -0.9833 -1.0689 -1.1537 -1.3560 -1.5410 -1.7128 -1.8734 -2.0248
 -2.1699 -2.3117 -2.4501 -2.5838 -2.7120 -2.8350 -2.9536 -3.0679 -3.1785 -3.2856
 -3.3893
 -0.1494 -0.1949 -0.2446 -0.3011 -0.3646 -0.4337 -0.5065 -0.5817 -0.6587 -0.7373
 -0.8169 -0.8972 -0.9781 -1.0597 -1.1416 -1.3439 -1.5349 -1.7086 -1.8705 -2.0230
 -2.1687 -2.3105 -2.4491 -2.5834 -2.7122 -2.8358 -2.9546 -3.0689 -3.1792 -3.2860
 -3.3891
 -0.2009 -0.2455 -0.2906 -0.3405 -0.3969 -0.4598 -0.5277 -0.5990 -0.6726 -0.7476
