 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F210M
 -2.0161 -1.9345 -1.8070 -1.7749 -1.8067 -1.8442 -1.8894 -1.9308 -1.9870 -2.0441
 -2.1043 -2.1694 -2.2391 -2.3121 -2.3877 -2.5730 -2.7548 -2.9080 -3.0746
 -2.0284 -2.0027 -1.9804 -1.9511 -1.9116 -1.8993 -1.9237 -1.9662 -2.0175 -2.0742
 -2.1352 -2.2000 -2.2677 -2.3373 -2.4078 -2.5837 -2.7553 -2.9215 -3.0822 -3.2376
 -2.1139 -2.0846 -2.0698 -2.0590 -2.0469 -2.0237 -2.0004 -2.0085 -2.0461 -2.0994
 -2.1580 -2.2212 -2.2877 -2.3563 -2.4258 -2.5990 -2.7677 -2.9314 -3.0902 -3.2435
 -3.3917
 -2.2082 -2.1669 -2.1470 -2.1395 -2.1365 -2.1348 -2.1305 -2.1166 -2.1142 -2.1391
 -2.1858 -2.2440 -2.3078 -2.3748 -2.4432 -2.6141 -2.7800 -2.9410 -3.0974 -3.2491
 -3.3954 -3.5368
 -2.3237 -2.2608 -2.2280 -2.2142 -2.2115 -2.2136 -2.2177 -2.2237 -2.2262 -2.2313
 -2.2478 -2.2836 -2.3347 -2.3957 -2.4614 -2.6293 -2.7927 -2.9504 -3.1041 -3.2543
 -3.3992 -3.5390 -3.6741 -3.8052
 -2.4588 -2.3770 -2.3228 -2.2958 -2.2858 -2.2859 -2.2908 -2.2981 -2.3098 -2.3253
 -2.3406 -2.3598 -2.3907 -2.4343 -2.4878 -2.6453 -2.8060 -2.9605 -3.1109 -3.2589
 -3.4028 -3.5416 -3.6753 -3.8046 -3.9306 -4.0534 -4.1730 -4.2891 -4.4019 -4.5113
 -2.6077 -2.5122 -2.4366 -2.3926 -2.3692 -2.3613 -2.3627 -2.3687 -2.3781 -2.3925
 -2.4124 -2.4357 -2.4621 -2.4944 -2.5352 -2.6672 -2.8205 -2.9720 -3.1187 -3.2634
 -3.4059 -3.5440 -3.6770 -3.8052 -3.9291 -4.0493 -4.1664 -4.2807 -4.3927 -4.5022
 -4.6079
 -2.7647 -2.6599 -2.5715 -2.5097 -2.4694 -2.4480 -2.4406 -2.4420 -2.4486 -2.4587
 -2.4738 -2.4945 -2.5209 -2.5522 -2.5881 -2.7009 -2.8388 -2.9849 -3.1281 -3.2688
 -3.4086 -3.5458 -3.6785 -3.8062 -3.9293 -4.0483 -4.1637 -4.2761 -4.3859 -4.4935
 -4.5991
 -2.9240 -2.8133 -2.7195 -2.6478 -2.5900 -2.5523 -2.5317 -2.5239 -2.5247 -2.5307
 -2.5405 -2.5547 -2.5748 -2.6016 -2.6347 -2.7382 -2.8637 -3.0010 -3.1408 -3.2779
 -3.4142 -3.5496 -3.6819 -3.8098 -3.9328 -4.0513 -4.1659 -4.2771 -4.3855 -4.4912
 -4.5945
 -3.0797 -2.9657 -2.8703 -2.7915 -2.7278 -2.6778 -2.6413 -2.6202 -2.6111 -2.6104
 -2.6149 -2.6234 -2.6359 -2.6552 -2.6813 -2.7714 -2.8877 -3.0174 -3.1520 -3.2859
 -3.4185 -3.5506 -3.6815 -3.8092 -3.9324 -4.0510 -4.1653 -4.2757 -4.3827 -4.4868
 -4.5903
 -3.2277 -3.1185 -3.0243 -2.9438 -2.8757 -2.8188 -2.7721 -2.7360 -2.7135 -2.7021
 -2.6991 -2.7015 -2.7078 -2.7180 -2.7334 -2.8045 -2.9114 -3.0334 -3.1627 -3.2941
 -3.4240 -3.5530 -3.6811 -3.8077 -3.9311 -4.0502 -4.1648 -4.2751 -4.3817 -4.4850
 -4.5855
 -3.3698 -3.2973 -3.2174 -3.1353 -3.0562 -2.9843 -2.9229 -2.8741 -2.8375 -2.8121
 -2.7970 -2.7908 -2.7903 -2.7936 -2.8008 -2.8455 -2.9357 -3.0502 -3.1740
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F210M
 -1.8159 -1.7678 -1.7486 -1.7721 -1.8133 -1.8586 -1.9063 -1.9582 -2.0131 -2.0705
 -2.1296 -2.1908 -2.2544 -2.3203 -2.3883 -2.5634 -2.7402 -2.9059 -3.0709
 -1.9086 -1.8912 -1.8610 -1.8252 -1.8370 -1.8776 -1.9257 -1.9767 -2.0311 -2.0885
 -2.1478 -2.2092 -2.2727 -2.3384 -2.4058 -2.5784 -2.7502 -2.9172 -3.0784 -3.2341
 -1.9834 -1.9700 -1.9645 -1.9549 -1.9252 -1.9121 -1.9439 -1.9930 -2.0464 -2.1031
 -2.1623 -2.2237 -2.2874 -2.3530 -2.4202 -2.5914 -2.7613 -2.9264 -3.0858 -3.2394
 -3.3878
 -2.0606 -2.0380 -2.0332 -2.0392 -2.0435 -2.0347 -2.0147 -2.0214 -2.0629 -2.1171
 -2.1753 -2.2362 -2.2996 -2.3651 -2.4321 -2.6025 -2.7709 -2.9343 -3.0922 -3.2444
 -3.3910 -3.5327
 -2.1491 -2.1112 -2.0972 -2.0981 -2.1062 -2.1188 -2.1292 -2.1301 -2.1251 -2.1458
 -2.1920 -2.2494 -2.3114 -2.3761 -2.4427 -2.6122 -2.7795 -2.9413 -3.0978 -3.2488
 -3.3942 -3.5344 -3.6698 -3.8014
 -2.2557 -2.1981 -2.1689 -2.1604 -2.1649 -2.1767 -2.1939 -2.2144 -2.2318 -2.2399
 -2.2519 -2.2820 -2.3300 -2.3892 -2.4536 -2.6213 -2.7875 -2.9480 -3.1027 -3.2526
 -3.3972 -3.5364 -3.6704 -3.8002 -3.9263 -4.0490 -4.1685 -4.2852 -4.3989 -4.5086
 -2.3793 -2.3034 -2.2558 -2.2325 -2.2275 -2.2343 -2.2481 -2.2674 -2.2917 -2.3183
 -2.3423 -2.3620 -2.3871 -2.4250 -2.4749 -2.6312 -2.7955 -2.9547 -3.1077 -3.2558
 -3.3995 -3.5383 -3.6716 -3.8002 -3.9246 -4.0455 -4.1633 -4.2780 -4.3898 -4.4988
 -4.6051
 -2.5158 -2.4283 -2.3621 -2.3210 -2.3017 -2.2986 -2.3065 -2.3210 -2.3410 -2.3666
 -2.3973 -2.4295 -2.4597 -2.4896 -2.5252 -2.6495 -2.8048 -2.9618 -3.1132 -3.2592
 -3.4013 -3.5395 -3.6727 -3.8007 -3.9242 -4.0437 -4.1596 -4.2724 -4.3826 -4.4905
 -4.5963
 -2.6597 -2.5650 -2.4862 -2.4284 -2.3926 -2.3760 -2.3741 -2.3821 -2.3965 -2.4162
 -2.4418 -2.4736 -2.5091 -2.5453 -2.5815 -2.6868 -2.8220 -2.9724 -3.1216 -3.2656
 -3.4055 -3.5426 -3.6756 -3.8039 -3.9272 -4.0462 -4.1613 -4.2731 -4.3820 -4.4881
 -4.5915
 -2.8036 -2.7053 -2.6211 -2.5547 -2.5031 -2.4708 -2.4555 -2.4536 -2.4611 -2.4746
 -2.4933 -2.5177 -2.5483 -2.5838 -2.6223 -2.7256 -2.8465 -2.9844 -3.1288 -3.2704
 -3.4079 -3.5426 -3.6746 -3.8029 -3.9266 -4.0455 -4.1602 -4.2711 -4.3786 -4.4832
 -4.5871
 -2.9364 -2.8476 -2.7650 -2.6935 -2.6303 -2.5843 -2.5547 -2.5399 -2.5374 -2.5438
 -2.5560 -2.5732 -2.5955 -2.6236 -2.6574 -2.7583 -2.8729 -3.0008 -3.1377 -3.2761
 -3.4113 -3.5435 -3.6735 -3.8010 -3.9249 -4.0444 -4.1594 -4.2702 -4.3772 -4.4810
 -4.5818
 -3.0590 -2.9917 -2.9180 -2.8430 -2.7732 -2.7150 -2.6720 -2.6439 -2.6292 -2.6255
 -2.6302 -2.6409 -2.6560 -2.6756 -2.7006 -2.7876 -2.8975 -3.0186 -3.1483
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F210M
 -1.6879 -1.6896 -1.7319 -1.7844 -1.8323 -1.8794 -1.9305 -1.9839 -2.0389 -2.0961
 -2.1546 -2.2139 -2.2741 -2.3356 -2.3985 -2.5626 -2.7320 -2.9009 -3.0652
 -1.8112 -1.7741 -1.7571 -1.7953 -1.8467 -1.8971 -1.9469 -1.9997 -2.0544 -2.1116
 -2.1702 -2.2297 -2.2902 -2.3519 -2.4150 -2.5781 -2.7452 -2.9110 -3.0725 -3.2287
 -1.8794 -1.8840 -1.8680 -1.8347 -1.8563 -1.9061 -1.9586 -2.0110 -2.0653 -2.1222
 -2.1808 -2.2407 -2.3015 -2.3636 -2.4269 -2.5899 -2.7557 -2.9196 -3.0791 -3.2332
 -3.3821
