 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  G   
 -1.5431 -1.4712 -1.3914 -1.3162 -1.2533 -1.2120 -1.2665 -1.2324 -1.1874 -1.1236
 -1.0442 -0.9746 -0.8813 -0.7827 -0.6877 -0.4895 -0.3392 -0.2347 -0.1527
 -1.4813 -1.3550 -1.2688 -1.2187 -1.1964 -1.1731 -1.1397 -1.1001 -1.0570 -1.0096
 -0.9500 -0.8748 -0.7889 -0.7029 -0.6222 -0.4507 -0.3195 -0.2237 -0.1553 -0.1056
 -1.4102 -1.2984 -1.2013 -1.1222 -1.0645 -1.0315 -1.0178 -0.9996 -0.9650 -0.9166
 -0.8643 -0.8055 -0.7334 -0.6559 -0.5821 -0.4260 -0.3085 -0.2232 -0.1619 -0.1170
 -0.0827
 -1.3454 -1.2477 -1.1574 -1.0763 -1.0066 -0.9512 -0.9103 -0.8836 -0.8640 -0.8351
 -0.7911 -0.7419 -0.6844 -0.6178 -0.5508 -0.4069 -0.3001 -0.2241 -0.1698 -0.1294
 -0.0982 -0.0732
 -1.2636 -1.1851 -1.1093 -1.0363 -0.9678 -0.9064 -0.8544 -0.8119 -0.7770 -0.7471
 -0.7157 -0.6769 -0.6335 -0.5809 -0.5237 -0.3917 -0.2927 -0.2245 -0.1770 -0.1416
 -0.1139 -0.0915 -0.0728 -0.0561
 -1.1649 -1.1057 -1.0473 -0.9881 -0.9280 -0.8694 -0.8149 -0.7668 -0.7250 -0.6873
 -0.6515 -0.6157 -0.5798 -0.5387 -0.4927 -0.3780 -0.2854 -0.2222 -0.1811 -0.1516
 -0.1283 -0.1093 -0.0932 -0.0793 -0.0659 -0.0544 -0.0468 -0.0444 -0.0484 -0.0595
 -1.0570 -1.0120 -0.9701 -0.9261 -0.8788 -0.8288 -0.7781 -0.7297 -0.6857 -0.6460
 -0.6084 -0.5715 -0.5352 -0.4989 -0.4600 -0.3619 -0.2772 -0.2172 -0.1803 -0.1567
 -0.1391 -0.1246 -0.1123 -0.1014 -0.0914 -0.0813 -0.0728 -0.0682 -0.0693 -0.0774
 -0.0936
 -0.9418 -0.9105 -0.8811 -0.8505 -0.8167 -0.7785 -0.7361 -0.6923 -0.6498 -0.6100
 -0.5731 -0.5376 -0.5024 -0.4676 -0.4318 -0.3443 -0.2678 -0.2102 -0.1751 -0.1556
 -0.1438 -0.1351 -0.1277 -0.1211 -0.1146 -0.1083 -0.1011 -0.0954 -0.0939 -0.0988
 -0.1116
 -0.8278 -0.8067 -0.7858 -0.7651 -0.7425 -0.7157 -0.6841 -0.6484 -0.6109 -0.5736
 -0.5383 -0.5049 -0.4725 -0.4404 -0.4075 -0.3266 -0.2563 -0.2022 -0.1672 -0.1492
 -0.1416 -0.1388 -0.1375 -0.1362 -0.1346 -0.1323 -0.1297 -0.1284 -0.1286 -0.1302
 -0.1331
 -0.7149 -0.7006 -0.6896 -0.6755 -0.6605 -0.6434 -0.6221 -0.5962 -0.5667 -0.5350
 -0.5029 -0.4721 -0.4426 -0.4139 -0.3850 -0.3114 -0.2457 -0.1942 -0.1595 -0.1408
 -0.1344 -0.1354 -0.1396 -0.1446 -0.1488 -0.1518 -0.1538 -0.1551 -0.1600 -0.1612
 -0.1603
 -0.6032 -0.5922 -0.5925 -0.5863 -0.5755 -0.5644 -0.5512 -0.5345 -0.5139 -0.4900
 -0.4638 -0.4369 -0.4106 -0.3852 -0.3602 -0.2965 -0.2350 -0.1859 -0.1519 -0.1324
 -0.1253 -0.1273 -0.1350 -0.1452 -0.1555 -0.1647 -0.1725 -0.1787 -0.1838 -0.1884
 -0.1936
 -0.4927 -0.4815 -0.4945 -0.4984 -0.4910 -0.4836 -0.4755 -0.4655 -0.4528 -0.4371
 -0.4184 -0.3975 -0.3756 -0.3539 -0.3331 -0.2819 -0.2242 -0.1773 -0.1444
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  G   
 -1.6433 -1.5623 -1.4860 -1.4165 -1.3531 -1.2981 -1.2762 -1.2246 -1.1645 -1.0936
 -1.0113 -0.9272 -0.8333 -0.7413 -0.6551 -0.4723 -0.3306 -0.2263 -0.1485
 -1.5349 -1.4304 -1.3611 -1.2981 -1.2381 -1.1856 -1.1397 -1.0961 -1.0493 -0.9955
 -0.9311 -0.8546 -0.7699 -0.6859 -0.6074 -0.4414 -0.3141 -0.2195 -0.1510 -0.1000
 -1.4879 -1.3516 -1.2405 -1.1599 -1.1148 -1.0861 -1.0503 -1.0065 -0.9605 -0.9137
 -0.8620 -0.8012 -0.7281 -0.6505 -0.5767 -0.4213 -0.3042 -0.2184 -0.1567 -0.1112
 -0.0766
 -1.4603 -1.3239 -1.2041 -1.1044 -1.0267 -0.9714 -0.9406 -0.9241 -0.8978 -0.8551
 -0.8055 -0.7532 -0.6933 -0.6243 -0.5562 -0.4079 -0.2981 -0.2192 -0.1634 -0.1225
 -0.0910 -0.0658
 -1.4248 -1.2992 -1.1851 -1.0845 -0.9987 -0.9284 -0.8736 -0.8329 -0.8070 -0.7866
 -0.7542 -0.7106 -0.6600 -0.6013 -0.5386 -0.3986 -0.2940 -0.2200 -0.1696 -0.1334
 -0.1055 -0.0830 -0.0644 -0.0489
 -1.3709 -1.2620 -1.1603 -1.0675 -0.9837 -0.9096 -0.8460 -0.7931 -0.7494 -0.7138
 -0.6849 -0.6548 -0.6186 -0.5735 -0.5209 -0.3909 -0.2901 -0.2194 -0.1732 -0.1421
 -0.1187 -0.0997 -0.0838 -0.0703 -0.0586 -0.0489 -0.0419 -0.0388 -0.0425 -0.0538
 -1.2978 -1.2067 -1.1209 -1.0403 -0.9646 -0.8938 -0.8287 -0.7707 -0.7202 -0.6758
 -0.6362 -0.6003 -0.5678 -0.5332 -0.4925 -0.3815 -0.2853 -0.2166 -0.1730 -0.1466
 -0.1284 -0.1141 -0.1020 -0.0915 -0.0821 -0.0737 -0.0671 -0.0629 -0.0630 -0.0714
 -0.0879
 -1.2100 -1.1356 -1.0653 -0.9985 -0.9339 -0.8710 -0.8101 -0.7522 -0.6990 -0.6511
 -0.6076 -0.5673 -0.5302 -0.4948 -0.4594 -0.3654 -0.2784 -0.2116 -0.1691 -0.1456
 -0.1327 -0.1239 -0.1167 -0.1104 -0.1045 -0.0988 -0.0939 -0.0902 -0.0884 -0.0925
 -0.1058
 -1.1132 -1.0525 -0.9955 -0.9414 -0.8887 -0.8359 -0.7825 -0.7292 -0.6774 -0.6287
 -0.5840 -0.5427 -0.5039 -0.4672 -0.4315 -0.3452 -0.2671 -0.2044 -0.1623 -0.1398
 -0.1305 -0.1272 -0.1259 -0.1250 -0.1237 -0.1220 -0.1202 -0.1186 -0.1180 -0.1198
 -0.1271
 -1.0159 -0.9655 -0.9188 -0.8750 -0.8325 -0.7897 -0.7453 -0.6991 -0.6522 -0.6059
 -0.5617 -0.5206 -0.4824 -0.4463 -0.4114 -0.3281 -0.2552 -0.1965 -0.1550 -0.1319
 -0.1235 -0.1238 -0.1279 -0.1330 -0.1375 -0.1411 -0.1438 -0.1458 -0.1477 -0.1503
 -0.1538
 -0.9219 -0.8788 -0.8386 -0.8023 -0.7677 -0.7333 -0.6974 -0.6593 -0.6192 -0.5780
 -0.5368 -0.4971 -0.4599 -0.4253 -0.3923 -0.3136 -0.2437 -0.1879 -0.1476 -0.1236
