 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F335M
  0.4756  0.4085  0.3482  0.2883  0.2469  0.2271  0.2739  0.2928  0.3032  0.2946
  0.2626  0.2064  0.1407  0.0667 -0.0094 -0.1984 -0.3804 -0.5470 -0.7143
  0.5947  0.5217  0.4495  0.3781  0.3138  0.2662  0.2366  0.2230  0.2205  0.2215
  0.2092  0.1709  0.1097  0.0388 -0.0348 -0.2191 -0.3992 -0.5723 -0.7377 -0.8958
  0.6085  0.5424  0.4760  0.4104  0.3477  0.2898  0.2399  0.2039  0.1792  0.1615
  0.1493  0.1277  0.0806  0.0155 -0.0554 -0.2363 -0.4146 -0.5872 -0.7523 -0.9097
 -1.0602
  0.6071  0.5467  0.4852  0.4232  0.3623  0.3047  0.2531  0.2074  0.1678  0.1345
  0.1034  0.0790  0.0451 -0.0092 -0.0749 -0.2505 -0.4262 -0.5981 -0.7633 -0.9205
 -1.0703 -1.2139
  0.5873  0.5345  0.4795  0.4225  0.3644  0.3070  0.2526  0.2033  0.1588  0.1171
  0.0772  0.0391  0.0046 -0.0411 -0.0978 -0.2638 -0.4353 -0.6054 -0.7710 -0.9286
 -1.0783 -1.2212 -1.3582 -1.4902
  0.5471  0.5035  0.4569  0.4071  0.3543  0.2997  0.2453  0.1930  0.1440  0.0982
  0.0539  0.0092 -0.0310 -0.0757 -0.1277 -0.2790 -0.4438 -0.6102 -0.7753 -0.9340
 -1.0843 -1.2271 -1.3637 -1.4948 -1.6213 -1.7437 -1.8625 -1.9780 -2.0905 -2.2003
  0.4889  0.4526  0.4154  0.3745  0.3293  0.2804  0.2292  0.1776  0.1267  0.0777
  0.0304 -0.0165 -0.0618 -0.1070 -0.1571 -0.2984 -0.4540 -0.6144 -0.7767 -0.9361
 -1.0879 -1.2316 -1.3682 -1.4990 -1.6246 -1.7457 -1.8630 -1.9769 -2.0878 -2.1961
 -2.3021
  0.4134  0.3844  0.3550  0.3231  0.2870  0.2459  0.2009  0.1533  0.1041  0.0550
  0.0062 -0.0421 -0.0897 -0.1361 -0.1849 -0.3190 -0.4664 -0.6201 -0.7771 -0.9351
 -1.0884 -1.2338 -1.3714 -1.5025 -1.6279 -1.7485 -1.8648 -1.9773 -2.0867 -2.1933
 -2.2976
  0.3263  0.3024  0.2779  0.2529  0.2256  0.1935  0.1566  0.1155  0.0713  0.0250
 -0.0223 -0.0702 -0.1181 -0.1655 -0.2135 -0.3416 -0.4813 -0.6294 -0.7811 -0.9351
 -1.0882 -1.2357 -1.3753 -1.5075 -1.6335 -1.7542 -1.8703 -1.9825 -2.0911 -2.1963
 -2.2984
  0.2276  0.2066  0.1908  0.1697  0.1483  0.1245  0.0963  0.0634  0.0264 -0.0140
 -0.0570 -0.1018 -0.1479 -0.1946 -0.2417 -0.3647 -0.4962 -0.6374 -0.7841 -0.9333
 -1.0832 -1.2309 -1.3726 -1.5069 -1.6343 -1.7556 -1.8720 -1.9839 -2.0940 -2.1984
 -2.2991
  0.1173  0.0970  0.0937  0.0799  0.0590  0.0398  0.0191 -0.0053 -0.0340 -0.0667
 -0.1028 -0.1421 -0.1838 -0.2273 -0.2721 -0.3901 -0.5144 -0.6476 -0.7885 -0.9332
 -1.0792 -1.2245 -1.3667 -1.5031 -1.6326 -1.7555 -1.8729 -1.9852 -2.0932 -2.1975
 -2.2982
 -0.0047 -0.0264 -0.0134 -0.0153 -0.0360 -0.0544 -0.0715 -0.0896 -0.1105 -0.1348
 -0.1627 -0.1943 -0.2293 -0.2672 -0.3047 -0.4178 -0.5359 -0.6600 -0.7943
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F335M
  0.4711  0.4140  0.3662  0.3257  0.2993  0.2859  0.2978  0.3016  0.3018  0.2899
  0.2576  0.2026  0.1355  0.0626 -0.0118 -0.1968 -0.3775 -0.5485 -0.7158
  0.5368  0.4568  0.3789  0.3137  0.2644  0.2325  0.2179  0.2169  0.2211  0.2214
  0.2068  0.1674  0.1062  0.0355 -0.0374 -0.2198 -0.3981 -0.5704 -0.7356 -0.8937
  0.5745  0.5018  0.4279  0.3553  0.2864  0.2291  0.1896  0.1666  0.1570  0.1558
  0.1513  0.1300  0.0812  0.0149 -0.0567 -0.2377 -0.4146 -0.5856 -0.7501 -0.9073
 -1.0578
  0.5951  0.5273  0.4585  0.3901  0.3245  0.2649  0.2119  0.1684  0.1376  0.1155
  0.1011  0.0858  0.0537 -0.0034 -0.0708 -0.2509 -0.4267 -0.5969 -0.7610 -0.9178
 -1.0676 -1.2112
  0.6022  0.5390  0.4748  0.4102  0.3463  0.2859  0.2318  0.1855  0.1442  0.1075
  0.0750  0.0484  0.0201 -0.0246 -0.0862 -0.2607 -0.4352 -0.6046 -0.7686 -0.9257
 -1.0753 -1.2182 -1.3553 -1.4875
  0.5945  0.5373  0.4787  0.4188  0.3581  0.2979  0.2409  0.1895  0.1446  0.1037
  0.0632  0.0236 -0.0110 -0.0519 -0.1046 -0.2691 -0.4413 -0.6093 -0.7731 -0.9309
 -1.0810 -1.2239 -1.3605 -1.4918 -1.6183 -1.7408 -1.8600 -1.9759 -2.0887 -2.1982
  0.5688  0.5195  0.4681  0.4144  0.3587  0.3017  0.2447  0.1898  0.1390  0.0930
  0.0497  0.0057 -0.0366 -0.0796 -0.1297 -0.2793 -0.4464 -0.6122 -0.7747 -0.9330
 -1.0844 -1.2281 -1.3648 -1.4957 -1.6215 -1.7429 -1.8605 -1.9747 -2.0858 -2.1943
 -2.3003
  0.5244  0.4829  0.4397  0.3941  0.3453  0.2936  0.2399  0.1856  0.1323  0.0815
  0.0338 -0.0125 -0.0576 -0.1039 -0.1538 -0.2955 -0.4529 -0.6148 -0.7747 -0.9323
 -1.0850 -1.2302 -1.3678 -1.4990 -1.6246 -1.7453 -1.8620 -1.9749 -2.0845 -2.1913
 -2.2958
  0.4633  0.4278  0.3925  0.3551  0.3144  0.2698  0.2219  0.1714  0.1194  0.0675
  0.0167 -0.0326 -0.0805 -0.1277 -0.1771 -0.3146 -0.4646 -0.6207 -0.7771 -0.9322
 -1.0850 -1.2321 -1.3715 -1.5038 -1.6299 -1.7508 -1.8672 -1.9794 -2.0881 -2.1935
 -2.2964
  0.3925  0.3596  0.3291  0.2987  0.2660  0.2295  0.1889  0.1448  0.0974  0.0480
 -0.0023 -0.0525 -0.1020 -0.1507 -0.1998 -0.3323 -0.4759 -0.6260 -0.7781 -0.9295
 -1.0800 -1.2275 -1.3689 -1.5031 -1.6305 -1.7520 -1.8686 -1.9807 -2.0889 -2.1935
 -2.2969
  0.3170  0.2839  0.2543  0.2274  0.2007  0.1717  0.1388  0.1020  0.0613  0.0173
 -0.0293 -0.0774 -0.1263 -0.1753 -0.2243 -0.3521 -0.4893 -0.6333 -0.7807 -0.9284
 -1.0755 -1.2211 -1.3631 -1.4994 -1.6288 -1.7518 -1.8693 -1.9819 -2.0902 -2.1947
 -2.2957
  0.2427  0.2058  0.1741  0.1469  0.1224  0.0983  0.0720  0.0424  0.0090 -0.0280
 -0.0684 -0.1117 -0.1560 -0.2029 -0.2506 -0.3740 -0.5048 -0.6426 -0.7849
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F335M
  0.4856  0.4393  0.4041  0.3801  0.3665  0.3586  0.3515  0.3417  0.3275  0.3033
  0.2621  0.2030  0.1337  0.0611 -0.0120 -0.1936 -0.3724 -0.5457 -0.7131
  0.4825  0.4180  0.3651  0.3246  0.2968  0.2796  0.2688  0.2608  0.2533  0.2413
  0.2159  0.1691  0.1049  0.0337 -0.0389 -0.2192 -0.3957 -0.5671 -0.7320 -0.8900
  0.5335  0.4548  0.3778  0.3117  0.2610  0.2261  0.2048  0.1923  0.1848  0.1785
  0.1660  0.1358  0.0821  0.0142 -0.0577 -0.2376 -0.4131 -0.5828 -0.7465 -0.9035
 -1.0539
  0.5729  0.5008  0.4267  0.3538  0.2851  0.2246  0.1799  0.1510  0.1333  0.1223
  0.1127  0.0959  0.0584 -0.0015 -0.0711 -0.2505 -0.4257 -0.5945 -0.7573 -0.9137
 -1.0634 -1.2070
  0.5943  0.5269  0.4576  0.3878  0.3205  0.2583  0.2032  0.1566  0.1196  0.0930
  0.0730  0.0539  0.0279 -0.0183 -0.0821 -0.2592 -0.4341 -0.6026 -0.7650 -0.9211
 -1.0706 -1.2137 -1.3509 -1.4833
  0.6044  0.5407  0.4753  0.4090  0.3431  0.2799  0.2227  0.1737  0.1313  0.0920
  0.0572  0.0272 -0.0027 -0.0407 -0.0946 -0.2652 -0.4395 -0.6077 -0.7699 -0.9261
 -1.0759 -1.2189 -1.3557 -1.4872 -1.6140 -1.7370 -1.8566 -1.9728 -2.0858 -2.1955
  0.6048  0.5448  0.4835  0.4210  0.3580  0.2956  0.2359  0.1816  0.1341  0.0924
  0.0523  0.0123 -0.0253 -0.0648 -0.1125 -0.2703 -0.4427 -0.6104 -0.7722 -0.9286
 -1.0791 -1.2226 -1.3595 -1.4907 -1.6167 -1.7385 -1.8566 -1.9713 -2.0827 -2.1913
 -2.2972
  0.5928  0.5381  0.4817  0.4238  0.3648  0.3052  0.2458  0.1886  0.1353  0.0873
  0.0435  0.0005 -0.0428 -0.0865 -0.1344 -0.2779 -0.4450 -0.6114 -0.7725 -0.9286
 -1.0798 -1.2245 -1.3621 -1.4935 -1.6194 -1.7405 -1.8576 -1.9710 -2.0810 -2.1881
 -2.2927
  0.5641  0.5165  0.4663  0.4142  0.3605  0.3051  0.2487  0.1920  0.1363  0.0832
  0.0336 -0.0133 -0.0592 -0.1056 -0.1549 -0.2943 -0.4506 -0.6142 -0.7740 -0.9292
 -1.0804 -1.2264 -1.3656 -1.4980 -1.6244 -1.7456 -1.8623 -1.9751 -2.0842 -2.1902
 -2.2933
  0.5196  0.4780  0.4348  0.3899  0.3427  0.2934  0.2419  0.1885  0.1340  0.0796
  0.0264 -0.0248 -0.0740 -0.1225 -0.1720 -0.3092 -0.4587 -0.6153 -0.7726 -0.9260
 -1.0759 -1.2223 -1.3631 -1.4971 -1.6246 -1.7464 -1.8634 -1.9759 -2.0845 -2.1896
 -2.2936
  0.4628  0.4243  0.3867  0.3484  0.3082  0.2657  0.2206  0.1727  0.1223  0.0700
  0.0169 -0.0361 -0.0881 -0.1388 -0.1895 -0.3235 -0.4686 -0.6194 -0.7724 -0.9233
 -1.0711 -1.2162 -1.3576 -1.4934 -1.6228 -1.7459 -1.8637 -1.9767 -2.0854 -2.1904
 -2.2919
  0.3984  0.3606  0.3253  0.2917  0.2573  0.2213  0.1828  0.1415  0.0969  0.0495
