 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -1.0969 -0.2369  0.2234  0.2833 -0.1546 -0.8158 -1.6950 -1.5688 -1.4484 -1.3227
 -1.1934 -1.1133 -0.9665 -0.8247 -0.6922 -0.4378 -0.2455 -0.1185 -0.0343
 -2.4013 -2.0591 -1.8138 -1.6557 -1.5560 -1.4679 -1.3770 -1.2874 -1.2013 -1.1165
 -1.0235 -0.9176 -0.8036 -0.6924 -0.5898 -0.3757 -0.2190 -0.1131 -0.0438  0.0018
 -2.2094 -1.8909 -1.6455 -1.4603 -1.3269 -1.2397 -1.1844 -1.1279 -1.0557 -0.9731
 -0.8919 -0.8086 -0.7153 -0.6189 -0.5285 -0.3415 -0.2068 -0.1157 -0.0550 -0.0139
  0.0145
 -2.0640 -1.7818 -1.5553 -1.3724 -1.2270 -1.1155 -1.0328 -0.9731 -0.9246 -0.8671
 -0.7953 -0.7225 -0.6467 -0.5654 -0.4857 -0.3181 -0.1988 -0.1195 -0.0666 -0.0295
 -0.0031  0.0158
 -1.9246 -1.6822 -1.4821 -1.3132 -1.1697 -1.0507 -0.9554 -0.8798 -0.8180 -0.7646
 -0.7108 -0.6505 -0.5885 -0.5209 -0.4524 -0.3014 -0.1920 -0.1217 -0.0763 -0.0440
 -0.0202 -0.0028  0.0099  0.0200
 -1.7821 -1.5763 -1.4048 -1.2557 -1.1232 -1.0061 -0.9058 -0.8230 -0.7545 -0.6949
 -0.6398 -0.5860 -0.5339 -0.4787 -0.4207 -0.2870 -0.1850 -0.1199 -0.0813 -0.0551
 -0.0354 -0.0205 -0.0095 -0.0016  0.0039  0.0058  0.0027 -0.0064 -0.0224 -0.0456
 -1.6423 -1.4642 -1.3181 -1.1900 -1.0730 -0.9648 -0.8664 -0.7804 -0.7080 -0.6464
 -0.5910 -0.5383 -0.4879 -0.4391 -0.3893 -0.2716 -0.1768 -0.1141 -0.0797 -0.0601
 -0.0462 -0.0355 -0.0275 -0.0218 -0.0177 -0.0137 -0.0125 -0.0171 -0.0301 -0.0521
 -0.0795
 -1.5072 -1.3521 -1.2251 -1.1146 -1.0136 -0.9180 -0.8268 -0.7428 -0.6688 -0.6052
 -0.5503 -0.5002 -0.4523 -0.4065 -0.3611 -0.2548 -0.1677 -0.1061 -0.0726 -0.0574
 -0.0500 -0.0453 -0.0420 -0.0398 -0.0385 -0.0379 -0.0368 -0.0382 -0.0451 -0.0604
 -0.0856
