 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -7.8631 -7.2940 -6.8489 -6.5402 -6.3735 -6.3181 -6.4927 -6.4218 -6.3431 -6.2442
 -6.1215 -5.9657 -5.8026 -5.6137 -5.4070 -4.7676 -3.9185 -3.3967 -2.7348
 -7.0921 -6.8324 -6.6450 -6.5227 -6.4462 -6.3770 -6.3006 -6.2174 -6.1270 -6.0242
 -5.8931 -5.7212 -5.5132 -5.2838 -5.0365 -4.3038 -3.5551 -2.9426 -2.5170 -2.2304
 -6.9307 -6.6810 -6.4749 -6.3080 -6.1780 -6.0853 -6.0227 -5.9603 -5.8773 -5.7658
 -5.6292 -5.4546 -5.2304 -4.9800 -4.7172 -4.0085 -3.2853 -2.7048 -2.3121 -2.0553
 -1.8906
 -6.8034 -6.5708 -6.3664 -6.1842 -6.0204 -5.8745 -5.7473 -5.6416 -5.5509 -5.4491
 -5.3136 -5.1440 -4.9265 -4.6699 -4.4031 -3.7270 -3.0621 -2.5126 -2.1435 -1.9088
 -1.7613 -1.6724
 -6.6743 -6.4675 -6.2759 -6.0921 -5.9126 -5.7373 -5.5682 -5.4077 -5.2578 -5.1190
 -4.9797 -4.8186 -4.6232 -4.3862 -4.1302 -3.4987 -2.8956 -2.3753 -2.0139 -1.7894
 -1.6515 -1.5692 -1.5250 -1.5071
 -6.5352 -6.3578 -6.1871 -6.0131 -5.8312 -5.6428 -5.4509 -5.2596 -5.0729 -4.8921
 -4.7180 -4.5463 -4.3666 -4.1573 -3.9238 -3.3330 -2.7855 -2.2943 -1.9289 -1.6978
 -1.5598 -1.4786 -1.4343 -1.4161 -1.4161 -1.4269 -1.4421 -1.4565 -1.4661 -1.4681
 -6.3884 -6.2394 -6.0939 -5.9385 -5.7664 -5.5779 -5.3776 -5.1711 -4.9640 -4.7605
 -4.5625 -4.3708 -4.1840 -3.9903 -3.7817 -3.2298 -2.7208 -2.2603 -1.8891 -1.6391
 -1.4873 -1.3997 -1.3517 -1.3301 -1.3272 -1.3367 -1.3532 -1.3720 -1.3895 -1.4024
 -1.4078
 -6.2351 -6.1149 -5.9956 -5.8635 -5.7106 -5.5340 -5.3367 -5.1269 -4.9114 -4.6949
 -4.4830 -4.2778 -4.0801 -3.8854 -3.6879 -3.1784 -2.6879 -2.2555 -1.8861 -1.6151
 -1.4394 -1.3350 -1.2776 -1.2498 -1.2421 -1.2485 -1.2638 -1.2837 -1.3047 -1.3237
 -1.3389
 -6.0697 -5.9875 -5.8920 -5.7847 -5.6555 -5.4985 -5.3149 -5.1111 -4.8953 -4.6745
 -4.4542 -4.2390 -4.0316 -3.8308 -3.6326 -3.1487 -2.6784 -2.2597 -1.9006 -1.6169
 -1.4168 -1.2886 -1.2142 -1.1760 -1.1615 -1.1629 -1.1755 -1.1926 -1.2124 -1.2347
 -1.2592
 -5.8922 -5.8572 -5.7885 -5.7040 -5.5996 -5.4681 -5.3066 -5.1184 -4.9108 -4.6921
 -4.4691 -4.2474 -4.0312 -3.8226 -3.6201 -3.1415 -2.6905 -2.2786 -1.9261 -1.6385
 -1.4208 -1.2685 -1.1710 -1.1153 -1.0888 -1.0818 -1.0885 -1.1042 -1.1217 -1.1450
 -1.1729
 -5.7027 -5.7240 -5.6851 -5.6202 -5.5377 -5.4312 -5.2956 -5.1300 -4.9386 -4.7288
 -4.5084 -4.2844 -4.0619 -3.8450 -3.6352 -3.1482 -2.7075 -2.3040 -1.9541 -1.6648
 -1.4380 -1.2687 -1.1497 -1.0731 -1.0297 -1.0104 -1.0081 -1.0176 -1.0349 -1.0571
 -1.0812
 -5.5010 -5.5879 -5.5818 -5.5328 -5.4699 -5.3856 -5.2743 -5.1338 -4.9642 -4.7702
 -4.5586 -4.3369 -4.1118 -3.8887 -3.6779 -3.1688 -2.7294 -2.3359 -1.9846
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  u   
 -7.8161 -7.4422 -7.1389 -6.9040 -6.7314 -6.6075 -6.5702 -6.4574 -6.3403 -6.2126
 -6.0661 -5.8931 -5.7034 -5.5004 -5.2880 -4.6882 -3.9659 -3.3915 -2.8061
 -7.3085 -7.0434 -6.8504 -6.6841 -6.5364 -6.4088 -6.2969 -6.1930 -6.0869 -5.9680
 -5.8239 -5.6428 -5.4284 -5.1973 -4.9573 -4.3147 -3.6289 -3.0218 -2.5778 -2.2712
 -7.1155 -6.7942 -6.5413 -6.3547 -6.2312 -6.1391 -6.0437 -5.9377 -5.8233 -5.6981
 -5.5500 -5.3637 -5.1336 -4.8807 -4.6238 -3.9788 -3.3423 -2.7838 -2.3741 -2.1030
 -1.9289
 -7.0130 -6.6786 -6.3991 -6.1704 -5.9869 -5.8424 -5.7366 -5.6532 -5.5533 -5.4185
 -5.2580 -5.0711 -4.8434 -4.5837 -4.3219 -3.6924 -3.1069 -2.5936 -2.2095 -1.9577
 -1.7993 -1.7030
 -6.9445 -6.6161 -6.3304 -6.0836 -5.8699 -5.6841 -5.5215 -5.3784 -5.2563 -5.1393
 -4.9904 -4.8060 -4.5904 -4.3427 -4.0832 -3.4772 -2.9344 -2.4565 -2.0856 -1.8409
 -1.6896 -1.5989 -1.5483 -1.5247
 -6.8782 -6.5716 -6.2949 -6.0451 -5.8171 -5.6073 -5.4134 -5.2329 -5.0626 -4.9023
 -4.7511 -4.5900 -4.3998 -4.1727 -3.9256 -3.3379 -2.8254 -2.3732 -2.0052 -1.7529
 -1.5987 -1.5075 -1.4565 -1.4329 -1.4279 -1.4343 -1.4460 -1.4578 -1.4662 -1.4660
 -6.7947 -6.5221 -6.2695 -6.0310 -5.8022 -5.5815 -5.3692 -5.1657 -4.9703 -4.7815
 -4.5987 -4.4224 -4.2494 -4.0571 -3.8373 -3.2667 -2.7706 -2.3356 -1.9675 -1.6972
 -1.5274 -1.4283 -1.3730 -1.3461 -1.3389 -1.3450 -1.3589 -1.3752 -1.3899 -1.4010
 -1.4050
 -6.6853 -6.4534 -6.2361 -6.0230 -5.8077 -5.5889 -5.3692 -5.1519 -4.9401 -4.7343
 -4.5339 -4.3393 -4.1529 -3.9676 -3.7744 -3.2499 -2.7564 -2.3319 -1.9644 -1.6756
 -1.4809 -1.3638 -1.2984 -1.2653 -1.2534 -1.2564 -1.2693 -1.2872 -1.3058 -1.3228
 -1.3367
 -6.5493 -6.3582 -6.1794 -6.0013 -5.8135 -5.6106 -5.3949 -5.1731 -4.9513 -4.7334
 -4.5209 -4.3144 -4.1146 -3.9204 -3.7284 -3.2451 -2.7657 -2.3442 -1.9800 -1.6788
 -1.4596 -1.3178 -1.2349 -1.1910 -1.1724 -1.1707 -1.1807 -1.1978 -1.2183 -1.2387
 -1.2574
 -6.3996 -6.2457 -6.1031 -5.9620 -5.8094 -5.6356 -5.4383 -5.2232 -4.9993 -4.7743
 -4.5527 -4.3366 -4.1266 -3.9227 -3.7241 -3.2505 -2.7937 -2.3725 -2.0099 -1.7039
 -1.4660 -1.2989 -1.1920 -1.1303 -1.0996 -1.0897 -1.0939 -1.1076 -1.1270 -1.1489
 -1.1717
 -6.2478 -6.1215 -6.0082 -5.8993 -5.7819 -5.6436 -5.4768 -5.2822 -5.0672 -4.8419
 -4.6147 -4.3904 -4.1715 -3.9585 -3.7517 -3.2672 -2.8237 -2.4093 -2.0438 -1.7353
 -1.4870 -1.3011 -1.1715 -1.0882 -1.0404 -1.0180 -1.0135 -1.0210 -1.0368 -1.0575
 -1.0804
 -6.1002 -5.9974 -5.9046 -5.8190 -5.7304 -5.6258 -5.4942 -5.3307 -5.1379 -4.9235
 -4.6975 -4.4685 -4.2293 -4.0059 -3.8112 -3.2952 -2.8557 -2.4546 -2.0817
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  u   
 -7.7913 -7.5718 -7.3825 -7.2134 -7.0545 -6.8963 -6.7306 -6.5548 -6.3800 -6.2089
 -6.0345 -5.8487 -5.6484 -5.4427 -5.2321 -4.6694 -4.0421 -3.4518 -2.9180
 -7.4919 -7.2397 -7.0233 -6.8392 -6.6800 -6.5359 -6.3959 -6.2514 -6.1036 -5.9496
 -5.7803 -5.5852 -5.3640 -5.1315 -4.8960 -4.2994 -3.6943 -3.1289 -2.6750 -2.3534
 -7.1949 -6.9167 -6.7080 -6.5294 -6.3662 -6.2207 -6.0871 -5.9550 -5.8178 -5.6707
 -5.5048 -5.3079 -5.0756 -4.8256 -4.5749 -3.9701 -3.3996 -2.8872 -2.4740 -2.1801
 -1.9882
 -7.0836 -6.7288 -6.4417 -6.2176 -6.0522 -5.9321 -5.8151 -5.6853 -5.5459 -5.3965
 -5.2315 -5.0416 -4.8151 -4.5617 -4.3058 -3.7070 -3.1694 -2.6973 -2.3143 -2.0379
 -1.8589 -1.7488
 -7.0788 -6.6870 -6.3542 -6.0797 -5.8560 -5.6783 -5.5405 -5.4277 -5.3180 -5.1764
 -5.0072 -4.8191 -4.6073 -4.3645 -4.1102 -3.5197 -3.0060 -2.5600 -2.1948 -1.9256
 -1.7502 -1.6439 -1.5834 -1.5522
 -7.1273 -6.7164 -6.3591 -6.0549 -5.7978 -5.5805 -5.3948 -5.2334 -5.0929 -4.9705
 -4.8372 -4.6660 -4.4626 -4.2357 -3.9908 -3.4053 -2.9046 -2.4732 -2.1146 -1.8424
 -1.6616 -1.5524 -1.4906 -1.4596 -1.4482 -1.4486 -1.4549 -1.4625 -1.4668 -1.4629
 -7.1872 -6.7787 -6.4121 -6.0916 -5.8126 -5.5681 -5.3525 -5.1600 -4.9846 -4.8216
 -4.6707 -4.5266 -4.3636 -4.1628 -3.9331 -3.3540 -2.8556 -2.4304 -2.0717 -1.7893
 -1.5939 -1.4744 -1.4066 -1.3719 -1.3586 -1.3592 -1.3681 -1.3800 -1.3911 -1.3988
 -1.3997
 -7.2093 -6.8304 -6.4787 -6.1593 -5.8711 -5.6103 -5.3733 -5.1561 -4.9558 -4.7685
 -4.5900 -4.4197 -4.2587 -4.0929 -3.9018 -3.3533 -2.8490 -2.4232 -2.0613 -1.7666
 -1.5503 -1.4122 -1.3325 -1.2905 -1.2725 -1.2704 -1.2787 -1.2924 -1.3077 -1.3217
 -1.3328
 -7.1581 -6.8276 -6.5149 -6.2211 -5.9440 -5.6814 -5.4326 -5.1980 -4.9773 -4.7695
 -4.5720 -4.3829 -4.2014 -4.0267 -3.8517 -3.3701 -2.8709 -2.4388 -2.0727 -1.7674
 -1.5308 -1.3686 -1.2703 -1.2164 -1.1911 -1.1842 -1.1899 -1.2033 -1.2205 -1.2379
 -1.2547
 -7.0432 -6.7669 -6.5041 -6.2538 -6.0094 -5.7655 -5.5208 -5.2788 -5.0440 -4.8192
 -4.6048 -4.4000 -4.2031 -4.0134 -3.8290 -3.3802 -2.9158 -2.4791 -2.1068 -1.7929
