 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F115W
  1.4585  1.4402  1.4170  1.3868  1.3571  1.3310  1.3044  1.2750  1.2532  1.2409
  1.2382  1.2460  1.2459  1.2492  1.2510  1.2378  1.1776  1.0909  1.0021
  1.4830  1.4690  1.4430  1.4063  1.3619  1.3247  1.2952  1.2694  1.2460  1.2257
  1.2125  1.2082  1.2096  1.2108  1.2082  1.1787  1.1235  1.0525  0.9763  0.8985
  1.4781  1.4530  1.4296  1.4054  1.3771  1.3412  1.2999  1.2657  1.2412  1.2231
  1.2064  1.1932  1.1875  1.1850  1.1806  1.1522  1.0983  1.0285  0.9533  0.8770
  0.8008
  1.4849  1.4537  1.4266  1.4020  1.3777  1.3514  1.3217  1.2880  1.2537  1.2267
  1.2074  1.1898  1.1764  1.1683  1.1610  1.1308  1.0787  1.0098  0.9349  0.8593
  0.7842  0.7097
  1.5075  1.4697  1.4372  1.4089  1.3833  1.3583  1.3324  1.3050  1.2763  1.2473
  1.2210  1.1990  1.1789  1.1631  1.1504  1.1160  1.0647  0.9966  0.9211  0.8451
  0.7701  0.6962  0.6232  0.5515
  1.5399  1.4974  1.4596  1.4266  1.3975  1.3706  1.3446  1.3185  1.2918  1.2652
  1.2396  1.2154  1.1918  1.1708  1.1523  1.1081  1.0562  0.9890  0.9124  0.8347
  0.7586  0.6842  0.6113  0.5394  0.4683  0.3972  0.3255  0.2526  0.1779  0.1013
  1.5724  1.5312  1.4903  1.4531  1.4200  1.3899  1.3617  1.3345  1.3076  1.2808
  1.2548  1.2301  1.2061  1.1829  1.1613  1.1088  1.0530  0.9864  0.9092  0.8291
  0.7507  0.6746  0.6006  0.5284  0.4577  0.3889  0.3204  0.2505  0.1777  0.1018
  0.0253
  1.6027  1.5637  1.5237  1.4852  1.4488  1.4153  1.3844  1.3550  1.3263  1.2984
  1.2710  1.2445  1.2191  1.1945  1.1713  1.1145  1.0546  0.9878  0.9108  0.8289
  0.7474  0.6686  0.5925  0.5187  0.4472  0.3774  0.3096  0.2421  0.1733  0.1016
  0.0262
  1.6200  1.5875  1.5529  1.5165  1.4798  1.4446  1.4111  1.3793  1.3485  1.3185
  1.2893  1.2608  1.2331  1.2064  1.1811  1.1210  1.0587  0.9908  0.9147  0.8322
  0.7482  0.6659  0.5866  0.5104  0.4368  0.3658  0.2965  0.2278  0.1594  0.0914
  0.0238
  1.6244  1.6026  1.5723  1.5418  1.5086  1.4741  1.4399  1.4065  1.3739  1.3419
  1.3107  1.2800  1.2502  1.2211  1.1932  1.1284  1.0643  0.9957  0.9206  0.8392
  0.7545  0.6698  0.5872  0.5076  0.4312  0.3579  0.2871  0.2184  0.1475  0.0811
  0.0179
  1.6158  1.6090  1.5819  1.5537  1.5280  1.4981  1.4659  1.4330  1.3999  1.3668
  1.3340  1.3014  1.2694  1.2382  1.2078  1.1366  1.0701  1.0009  0.9263  0.8463
  0.7625  0.6772  0.5924  0.5096  0.4299  0.3534  0.2800  0.2093  0.1410  0.0742
  0.0083
  1.5941  1.6067  1.5817  1.5505  1.5327  1.5101  1.4835  1.4540  1.4227  1.3902
  1.3572  1.3236  1.2901  1.2569  1.2249  1.1456  1.0761  1.0064  0.9318
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F115W
  1.5495  1.5106  1.4667  1.4184  1.3705  1.3261  1.2857  1.2501  1.2240  1.2086
  1.2038  1.2083  1.2129  1.2174  1.2191  1.2061  1.1602  1.0902  1.0075
  1.5373  1.5057  1.4610  1.4188  1.3786  1.3374  1.2960  1.2574  1.2249  1.2006
  1.1860  1.1812  1.1827  1.1847  1.1841  1.1653  1.1208  1.0554  0.9807  0.9035
  1.5003  1.4782  1.4532  1.4213  1.3775  1.3309  1.2925  1.2601  1.2304  1.2031
