 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.7287  0.7329  0.7423  0.7504  0.7610  0.7733  0.8172  0.8162  0.8055  0.7841
  0.7528  0.7285  0.6832  0.6344  0.5831  0.4539  0.3188  0.1845  0.0529
  0.7278  0.7097  0.7102  0.7274  0.7548  0.7730  0.7789  0.7762  0.7665  0.7498
  0.7234  0.6872  0.6442  0.5981  0.5505  0.4274  0.2997  0.1692  0.0397 -0.0873
  0.6954  0.6858  0.6764  0.6712  0.6746  0.6906  0.7146  0.7290  0.7274  0.7124
  0.6896  0.6584  0.6183  0.5731  0.5259  0.4052  0.2814  0.1542  0.0270 -0.0976
 -0.2191
  0.6676  0.6619  0.6532  0.6437  0.6362  0.6338  0.6380  0.6494  0.6620  0.6631
  0.6493  0.6250  0.5909  0.5486  0.5027  0.3837  0.2633  0.1402  0.0156 -0.1071
 -0.2266 -0.3430
  0.6298  0.6304  0.6263  0.6188  0.6094  0.6006  0.5947  0.5922  0.5922  0.5934
  0.5902  0.5766  0.5533  0.5199  0.4788  0.3633  0.2455  0.1266  0.0053 -0.1156
 -0.2337 -0.3485 -0.4602 -0.5690
  0.5809  0.5883  0.5908  0.5883  0.5817  0.5724  0.5626  0.5542  0.5471  0.5401
  0.5317  0.5201  0.5034  0.4788  0.4465  0.3430  0.2283  0.1127 -0.0046 -0.1231
 -0.2401 -0.3540 -0.4644 -0.5719 -0.6771 -0.7803 -0.8815 -0.9810 -1.0789 -1.1752
  0.5224  0.5354  0.5447  0.5488  0.5474  0.5413  0.5321  0.5218  0.5115  0.5012
  0.4897  0.4752  0.4573  0.4355  0.4084  0.3191  0.2114  0.0992 -0.0144 -0.1299
 -0.2455 -0.3588 -0.4688 -0.5754 -0.6790 -0.7796 -0.8781 -0.9753 -1.0722 -1.1686
 -1.2625
  0.4547  0.4728  0.4877  0.4985  0.5036  0.5029  0.4976  0.4886  0.4777  0.4663
  0.4540  0.4396  0.4216  0.3998  0.3739  0.2929  0.1939  0.0861 -0.0243 -0.1365
 -0.2499 -0.3625 -0.4724 -0.5789 -0.6820 -0.7821 -0.8793 -0.9745 -1.0685 -1.1622
 -1.2560
  0.3799  0.4022  0.4212  0.4372  0.4488  0.4547  0.4550  0.4503  0.4417  0.4308
  0.4186  0.4050  0.3890  0.3693  0.3450  0.2681  0.1753  0.0722 -0.0353 -0.1447
 -0.2555 -0.3669 -0.4768 -0.5837 -0.6871 -0.7871 -0.8842 -0.9791 -1.0721 -1.1633
 -1.2527
  0.2979  0.3236  0.3468  0.3667  0.3832  0.3954  0.4022  0.4035  0.3997  0.3919
  0.3814  0.3691  0.3550  0.3383  0.3178  0.2469  0.1590  0.0606 -0.0439 -0.1509
 -0.2591 -0.3682 -0.4771 -0.5843 -0.6883 -0.7887 -0.8859 -0.9801 -1.0745 -1.1642
 -1.2506
  0.2088  0.2370  0.2645  0.2890  0.3085  0.3252  0.3379  0.3458  0.3483  0.3459
  0.3395  0.3299  0.3181  0.3041  0.2874  0.2270  0.1434  0.0496 -0.0517 -0.1565
 -0.2629 -0.3698 -0.4769 -0.5833 -0.6876 -0.7889 -0.8868 -0.9814 -1.0731 -1.1622
 -1.2493
  0.1126  0.1424  0.1743  0.2046  0.2263  0.2460  0.2629  0.2763  0.2854  0.2897
  0.2893  0.2847  0.2766  0.2658  0.2538  0.2084  0.1285  0.0392 -0.0587
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F150W2
  0.7670  0.7747  0.7854  0.7953  0.8047  0.8121  0.8263  0.8212  0.8079  0.7853
  0.7533  0.7186  0.6742  0.6268  0.5776  0.4517  0.3211  0.1890  0.0565
  0.7321  0.7359  0.7538  0.7670  0.7746  0.7800  0.7827  0.7809  0.7720  0.7546
  0.7274  0.6905  0.6469  0.6001  0.5518  0.4281  0.3013  0.1720  0.0428 -0.0841
  0.7181  0.7027  0.6931  0.6950  0.7142  0.7365  0.7463  0.7450  0.7366  0.7221
  0.6999  0.6680  0.6268  0.5805  0.5322  0.4090  0.2842  0.1576  0.0306 -0.0940
 -0.2156
  0.7089  0.6926  0.6758  0.6623  0.6556  0.6581  0.6739  0.6947  0.7017  0.6919
  0.6716  0.6438  0.6073  0.5630  0.5155  0.3923  0.2689  0.1448  0.0200 -0.1029
 -0.2226 -0.3392
  0.6930  0.6805  0.6651  0.6490  0.6345  0.6238  0.6186  0.6197  0.6291  0.6387
  0.6344  0.6154  0.5852  0.5455  0.4995  0.3776  0.2551  0.1332  0.0107 -0.1107
 -0.2292 -0.3442 -0.4562 -0.5654
  0.6662  0.6600  0.6494  0.6358  0.6206  0.6057  0.5927  0.5827  0.5754  0.5711
  0.5703  0.5648  0.5484  0.5202  0.4818  0.3643  0.2428  0.1224  0.0023 -0.1174
 -0.2350 -0.3492 -0.4600 -0.5678 -0.6730 -0.7758 -0.8770 -0.9770 -1.0765 -1.1728
  0.6280  0.6286  0.6243  0.6159  0.6040  0.5897  0.5744  0.5596  0.5461  0.5332
  0.5203  0.5084  0.4958  0.4775  0.4500  0.3501  0.2315  0.1126 -0.0054 -0.1232
