 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F410M
 -3.9163 -3.9958 -4.0633 -4.1249 -4.1747 -4.2158 -4.2383 -4.2827 -4.3361 -4.3995
 -4.4725 -4.5400 -4.6264 -4.7065 -4.7837 -4.9720 -5.1607 -5.3309 -5.4984
 -3.8751 -3.9561 -4.0354 -4.1131 -4.1856 -4.2471 -4.3008 -4.3514 -4.4026 -4.4571
 -4.5185 -4.5875 -4.6613 -4.7370 -4.8132 -5.0021 -5.1853 -5.3603 -5.5272 -5.6862
 -3.8966 -3.9732 -4.0496 -4.1245 -4.1967 -4.2668 -4.3342 -4.3939 -4.4486 -4.5026
 -4.5583 -4.6194 -4.6876 -4.7604 -4.8347 -5.0205 -5.2022 -5.3769 -5.5438 -5.7025
 -5.8539
 -3.9305 -4.0001 -4.0714 -4.1433 -4.2144 -4.2835 -4.3500 -4.4152 -4.4788 -4.5385
 -4.5964 -4.6536 -4.7145 -4.7817 -4.8528 -5.0346 -5.2144 -5.3890 -5.5560 -5.7147
 -5.8657 -6.0100
 -3.9792 -4.0396 -4.1031 -4.1693 -4.2370 -4.3047 -4.3710 -4.4354 -4.4986 -4.5617
 -4.6239 -4.6846 -4.7440 -4.8060 -4.8715 -5.0461 -5.2227 -5.3968 -5.5645 -5.7235
 -5.8746 -6.0186 -6.1564 -6.2888
 -4.0437 -4.0941 -4.1478 -4.2055 -4.2669 -4.3306 -4.3950 -4.4587 -4.5214 -4.5832
 -4.6450 -4.7072 -4.7682 -4.8296 -4.8926 -5.0577 -5.2290 -5.4007 -5.5693 -5.7295
 -5.8810 -6.0250 -6.1626 -6.2946 -6.4216 -6.5442 -6.6629 -6.7782 -6.8905 -7.0001
 -4.1192 -4.1635 -4.2073 -4.2549 -4.3074 -4.3645 -4.4243 -4.4853 -4.5465 -4.6073
 -4.6677 -4.7283 -4.7889 -4.8495 -4.9112 -5.0706 -5.2353 -5.4025 -5.5701 -5.7322
 -5.8851 -6.0297 -6.1674 -6.2992 -6.4256 -6.5474 -6.6652 -6.7793 -6.8902 -6.9983
 -7.1044
 -4.2042 -4.2434 -4.2808 -4.3192 -4.3616 -4.4097 -4.4622 -4.5180 -4.5758 -4.6342
 -4.6929 -4.7519 -4.8108 -4.8696 -4.9293 -5.0830 -5.2424 -5.4042 -5.5682 -5.7309
 -5.8863 -6.0325 -6.1708 -6.3028 -6.4291 -6.5505 -6.6675 -6.7807 -6.8905 -6.9974
 -7.1017
