 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F210M
  0.7308  0.7164  0.7178  0.7288  0.7553  0.7904  0.8960  0.9135  0.9110  0.8861
  0.8406  0.7789  0.7114  0.6374  0.5607  0.3774  0.2057  0.0449 -0.1153
  0.7739  0.7381  0.7272  0.7386  0.7717  0.8037  0.8264  0.8398  0.8426  0.8321
  0.8018  0.7509  0.6865  0.6169  0.5464  0.3722  0.2020  0.0364 -0.1241 -0.2794
  0.7186  0.7097  0.6960  0.6854  0.6885  0.7122  0.7501  0.7778  0.7854  0.7751
  0.7530  0.7156  0.6597  0.5937  0.5250  0.3544  0.1886  0.0260 -0.1325 -0.2856
 -0.4336
  0.6504  0.6586  0.6556  0.6467  0.6388  0.6396  0.6537  0.6786  0.7034  0.7107
  0.6965  0.6690  0.6259  0.5675  0.5023  0.3358  0.1741  0.0158 -0.1402 -0.2916
 -0.4377 -0.5790
  0.5466  0.5779  0.5928  0.5954  0.5910  0.5858  0.5859  0.5943  0.6068  0.6176
  0.6184  0.6031  0.5748  0.5309  0.4750  0.3159  0.1581  0.0048 -0.1475 -0.2972
 -0.4419 -0.5815 -0.7164 -0.8474
  0.4063  0.4630  0.5014  0.5225  0.5301  0.5294  0.5265  0.5264  0.5307  0.5352
  0.5344  0.5249  0.5064  0.4752  0.4323  0.2932  0.1406 -0.0081 -0.1554 -0.3023
 -0.4459 -0.5844 -0.7179 -0.8470 -0.9727 -1.0953 -1.2145 -1.3305 -1.4431 -1.5525
  0.2408  0.3147  0.3779  0.4221  0.4481  0.4596  0.4622  0.4614  0.4613  0.4628
  0.4625  0.4549  0.4388  0.4143  0.3799  0.2622  0.1209 -0.0229 -0.1649 -0.3075
 -0.4493 -0.5872 -0.7199 -0.8479 -0.9716 -1.0916 -1.2084 -1.3225 -1.4342 -1.5434
 -1.6490
  0.0531  0.1427  0.2236  0.2905  0.3391  0.3689  0.3843  0.3900  0.3908  0.3911
  0.3911  0.3880  0.3777  0.3584  0.3294  0.2265  0.0980 -0.0394 -0.1765 -0.3140
 -0.4525 -0.5892 -0.7217 -0.8492 -0.9720 -1.0907 -1.2059 -1.3180 -1.4276 -1.5349
 -1.6403
 -0.1395 -0.0419  0.0479  0.1306  0.2005  0.2520  0.2855  0.3043  0.3128  0.3159
