 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F140M
  1.3138  1.3511  1.3880  1.4202  1.4580  1.5027  1.6132  1.6486  1.6726  1.6839
  1.6837  1.6812  1.6644  1.6408  1.6124  1.5224  1.4006  1.2848  1.1676
  1.5408  1.5584  1.5691  1.5736  1.5813  1.6000  1.6199  1.6366  1.6490  1.6555
  1.6524  1.6400  1.6207  1.5960  1.5671  1.4793  1.3765  1.2658  1.1521  1.0372
  1.5920  1.5999  1.6056  1.6096  1.6111  1.6092  1.6103  1.6204  1.6292  1.6309
  1.6267  1.6146  1.5943  1.5688  1.5396  1.4541  1.3550  1.2475  1.1367  1.0252
  0.9135
  1.6387  1.6387  1.6373  1.6343  1.6299  1.6237  1.6154  1.6065  1.6026  1.6033
  1.6001  1.5909  1.5725  1.5465  1.5167  1.4317  1.3356  1.2314  1.1232  1.0142
  0.9055  0.7968
  1.6838  1.6765  1.6686  1.6596  1.6489  1.6364  1.6223  1.6065  1.5903  1.5766
  1.5673  1.5585  1.5458  1.5250  1.4971  1.4124  1.3182  1.2170  1.1113  1.0043
  0.8977  0.7916  0.6860  0.5807
  1.7228  1.7100  1.6969  1.6833  1.6684  1.6513  1.6323  1.6116  1.5894  1.5671
  1.5466  1.5290  1.5137  1.4957  1.4728  1.3951  1.3026  1.2040  1.1009  0.9956
  0.8903  0.7859  0.6824  0.5797  0.4768  0.3738  0.2713  0.1696  0.0690 -0.0303
  1.7461  1.7334  1.7176  1.7011  1.6837  1.6645  1.6431  1.6195  1.5939  1.5671
  1.5403  1.5147  1.4914  1.4694  1.4462  1.3758  1.2882  1.1921  1.0916  0.9882
  0.8839  0.7804  0.6782  0.5772  0.4773  0.3784  0.2799  0.1811  0.0817 -0.0179
 -0.1146
  1.7516  1.7400  1.7252  1.7087  1.6905  1.6709  1.6495  1.6256  1.5991  1.5707
  1.5409  1.5109  1.4818  1.4540  1.4268  1.3559  1.2734  1.1809  1.0830  0.9818
  0.8788  0.7758  0.6741  0.5740  0.4755  0.3783  0.2822  0.1866  0.0909 -0.0052
 -0.1021
  1.7314  1.7251  1.7149  1.7012  1.6847  1.6666  1.6466  1.6245  1.5996  1.5721
  1.5423  1.5108  1.4788  1.4471  1.4161  1.3393  1.2584  1.1691  1.0737  0.9745
  0.8733  0.7710  0.6693  0.5692  0.4712  0.3750  0.2802  0.1861  0.0926 -0.0002
 -0.0924
  1.6855  1.6887  1.6840  1.6759  1.6639  1.6490  1.6320  1.6130  1.5915  1.5671
  1.5398  1.5099  1.4779  1.4448  1.4115  1.3287  1.2465  1.1593  1.0662  0.9691
  0.8698  0.7690  0.6679  0.5678  0.4696  0.3737  0.2798  0.1875  0.0941  0.0037
 -0.0846
  1.6139  1.6308  1.6325  1.6315  1.6251  1.6157  1.6032  1.5884  1.5713  1.5515
  1.5288  1.5027  1.4736  1.4419  1.4085  1.3226  1.2368  1.1507  1.0594  0.9640
  0.8662  0.7671  0.6673  0.5676  0.4692  0.3730  0.2790  0.1873  0.0975  0.0090
 -0.0785
  1.5167  1.5514  1.5604  1.5678  1.5680  1.5650  1.5585  1.5490  1.5372  1.5229
  1.5058  1.4854  1.4614  1.4338  1.4071  1.3210  1.2293  1.1433  1.0533
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F140M
  1.3262  1.3763  1.4256  1.4711  1.5152  1.5572  1.6154  1.6422  1.6587  1.6649
  1.6619  1.6541  1.6385  1.6172  1.5912  1.5092  1.4034  1.2911  1.1722
  1.4481  1.4634  1.4743  1.4967  1.5253  1.5559  1.5859  1.6117  1.6292  1.6368
  1.6344  1.6234  1.6060  1.5836  1.5569  1.4756  1.3777  1.2691  1.1558  1.0409
  1.5060  1.5231  1.5344  1.5412  1.5430  1.5532  1.5725  1.5909  1.6048  1.6128
  1.6121  1.6019  1.5838  1.5602  1.5327  1.4515  1.3564  1.2512  1.1410  1.0294
  0.9174
  1.5522  1.5643  1.5714  1.5753  1.5770  1.5767  1.5736  1.5764  1.5868  1.5932
  1.5928  1.5844  1.5672  1.5429  1.5146  1.4322  1.3385  1.2360  1.1282  1.0191
  0.9100  0.8011
  1.5987  1.6040  1.6054  1.6037  1.5997  1.5940  1.5871  1.5788  1.5704  1.5684
  1.5695  1.5655  1.5525  1.5298  1.5010  1.4173  1.3238  1.2232  1.1174  1.0100
  0.9029  0.7964  0.6903  0.5845
  1.6502  1.6471  1.6418  1.6344  1.6245  1.6126  1.5993  1.5849  1.5697  1.5546
  1.5428  1.5359  1.5283  1.5132  1.4891  1.4059  1.3121  1.2125  1.1084  1.0022
  0.8962  0.7912  0.6873  0.5840  0.4813  0.3788  0.2764  0.1739  0.0713 -0.0280
  1.7038  1.6929  1.6806  1.6672  1.6523  1.6353  1.6164  1.5959  1.5746  1.5531
  1.5323  1.5138  1.4993  1.4856  1.4674  1.3957  1.3025  1.2036  1.1009  0.9959
  0.8905  0.7863  0.6835  0.5820  0.4816  0.3819  0.2825  0.1834  0.0842 -0.0155
 -0.1123
  1.7508  1.7353  1.7178  1.6994  1.6802  1.6593  1.6364  1.6118  1.5856  1.5588
  1.5323  1.5067  1.4835  1.4625  1.4423  1.3795  1.2934  1.1959  1.0944  0.9907
  0.8862  0.7823  0.6799  0.5793  0.4803  0.3826  0.2857  0.1894  0.0934 -0.0028
 -0.0998
  1.7807  1.7656  1.7468  1.7259  1.7038  1.6804  1.6554  1.6284  1.5994  1.5690
  1.5382  1.5078  1.4787  1.4514  1.4256  1.3601  1.2805  1.1871  1.0873  0.9850
  0.8816  0.7781  0.6756  0.5750  0.4764  0.3797  0.2843  0.1902  0.0967  0.0036
 -0.0900
  1.7859  1.7753  1.7596  1.7402  1.7184  1.6946  1.6691  1.6417  1.6121  1.5807
  1.5479  1.5144  1.4814  1.4494  1.4188  1.3453  1.2675  1.1786  1.0816  0.9811
  0.8791  0.7767  0.6747  0.5739  0.4752  0.3788  0.2843  0.1916  0.1001  0.0095
 -0.0821
  1.7656  1.7609  1.7515  1.7368  1.7184  1.6968  1.6730  1.6471  1.6188  1.5884
  1.5559  1.5218  1.4870  1.4523  1.4183  1.3368  1.2560  1.1696  1.0757  0.9771
  0.8767  0.7756  0.6745  0.5741  0.4751  0.3784  0.2839  0.1917  0.1013  0.0124
 -0.0756
  1.7235  1.7242  1.7203  1.7122  1.6997  1.6831  1.6631  1.6405  1.6153  1.5876
  1.5576  1.5253  1.4796  1.4470  1.4241  1.3346  1.2460  1.1601  1.0696
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F140M
  1.3640  1.4237  1.4815  1.5350  1.5819  1.6195  1.6458  1.6598  1.6638  1.6601
  1.6506  1.6370  1.6202  1.5992  1.5741  1.4970  1.4024  1.2951  1.1776
  1.3851  1.4268  1.4707  1.5148  1.5559  1.5906  1.6162  1.6315  1.6375  1.6355
  1.6267  1.6124  1.5941  1.5719  1.5460  1.4686  1.3769  1.2729  1.1611  1.0463
  1.4593  1.4787  1.4913  1.5114  1.5383  1.5656  1.5894  1.6062  1.6148  1.6155
  1.6087  1.5951  1.5761  1.5529  1.5261  1.4473  1.3565  1.2555  1.1471  1.0357
  0.9234
  1.5105  1.5306  1.5434  1.5506  1.5538  1.5573  1.5706  1.5854  1.5951  1.5979
  1.5937  1.5821  1.5637  1.5399  1.5123  1.4319  1.3408  1.2414  1.1355  1.0264
  0.9169  0.8074
  1.5482  1.5651  1.5741  1.5779  1.5794  1.5777  1.5728  1.5702  1.5741  1.5799
  1.5792  1.5706  1.5545  1.5312  1.5032  1.4211  1.3292  1.2304  1.1259  1.0185
  0.9108  0.8035  0.6968  0.5902
  1.5859  1.5977  1.6023  1.6016  1.5973  1.5910  1.5833  1.5746  1.5647  1.5564
  1.5549  1.5530  1.5432  1.5240  1.4971  1.4139  1.3208  1.2220  1.1184  1.0120
  0.9052  0.7994  0.6946  0.5906  0.4871  0.3840  0.2810  0.1778  0.0750 -0.0242
  1.6318  1.6358  1.6345  1.6287  1.6195  1.6078  1.5945  1.5802  1.5650  1.5495
  1.5347  1.5242  1.5177  1.5075  1.4885  1.4092  1.3151  1.2158  1.1127  1.0071
  0.9007  0.7954  0.6918  0.5894  0.4882  0.3876  0.2875  0.1878  0.0880 -0.0118
 -0.1085
  1.6881  1.6825  1.6734  1.6614  1.6469  1.6303  1.6118  1.5921  1.5714  1.5502
