 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F322W2
 -3.4919 -3.5459 -3.5942 -3.6396 -3.6800 -3.7069 -3.6613 -3.6448 -3.6293 -3.6266
 -3.6434 -3.6905 -3.7366 -3.8013 -3.8720 -4.0525 -4.2237 -4.4059 -4.5767
 -3.3913 -3.4516 -3.5117 -3.5715 -3.6241 -3.6622 -3.6860 -3.6967 -3.6967 -3.6890
 -3.6880 -3.7098 -3.7594 -3.8244 -3.8943 -4.0711 -4.2465 -4.4180 -4.5827 -4.7404
 -3.3878 -3.4387 -3.4914 -3.5448 -3.5965 -3.6441 -3.6839 -3.7118 -3.7306 -3.7428
 -3.7456 -3.7524 -3.7868 -3.8456 -3.9131 -4.0878 -4.2611 -4.4319 -4.5961 -4.7530
 -4.9032
 -3.4028 -3.4454 -3.4907 -3.5382 -3.5864 -3.6328 -3.6744 -3.7102 -3.7398 -3.7645
 -3.7880 -3.8011 -3.8223 -3.8693 -3.9315 -4.1018 -4.2728 -4.4422 -4.6063 -4.7629
 -4.9123 -5.0556
 -3.4392 -3.4718 -3.5081 -3.5482 -3.5913 -3.6357 -3.6785 -3.7171 -3.7510 -3.7820
 -3.8118 -3.8403 -3.8631 -3.9013 -3.9540 -4.1152 -4.2827 -4.4497 -4.6136 -4.7703
 -4.9195 -5.0621 -5.1990 -5.3311
 -3.4977 -3.5195 -3.5451 -3.5756 -3.6112 -3.6507 -3.6919 -3.7322 -3.7697 -3.8040
 -3.8374 -3.8719 -3.9009 -3.9374 -3.9847 -4.1308 -4.2925 -4.4556 -4.6181 -4.7752
 -4.9248 -5.0673 -5.2037 -5.3348 -5.4616 -5.5845 -5.7038 -5.8197 -5.9324 -6.0421
 -3.5735 -3.5885 -3.6031 -3.6224 -3.6481 -3.6799 -3.7161 -3.7544 -3.7930 -3.8300
 -3.8656 -3.9016 -3.9361 -3.9722 -4.0167 -4.1514 -4.3039 -4.4614 -4.6205 -4.7775
 -4.9280 -5.0711 -5.2074 -5.3381 -5.4639 -5.5854 -5.7031 -5.8174 -5.9289 -6.0377
 -6.1438
 -3.6652 -3.6739 -3.6814 -3.6905 -3.7047 -3.7264 -3.7544 -3.7874 -3.8234 -3.8602
 -3.8968 -3.9333 -3.9697 -4.0061 -4.0482 -4.1739 -4.3179 -4.4689 -4.6228 -4.7775
 -4.9285 -5.0729 -5.2100 -5.3409 -5.4663 -5.5870 -5.7036 -5.8167 -5.9266 -6.0339
 -6.1388
 -3.7653 -3.7713 -3.7756 -3.7784 -3.7828 -3.7932 -3.8109 -3.8354 -3.8653 -3.8985
 -3.9335 -3.9693 -4.0054 -4.0417 -4.0812 -4.1985 -4.3343 -4.4798 -4.6286 -4.7792
 -4.9291 -5.0747 -5.2134 -5.3453 -5.4711 -5.5918 -5.7081 -5.8206 -5.9298 -6.0356
 -6.1385
 -3.8739 -3.8807 -3.8785 -3.8791 -3.8786 -3.8798 -3.8867 -3.9008 -3.9215 -3.9478
 -3.9779 -4.0106 -4.0447 -4.0797 -4.1165 -4.2240 -4.3502 -4.4890 -4.6332 -4.7793
 -4.9259 -5.0707 -5.2107 -5.3442 -5.4712 -5.5924 -5.7088 -5.8208 -5.9314 -6.0363
 -6.1377
 -3.9908 -4.0021 -3.9901 -3.9849 -3.9856 -3.9834 -3.9823 -3.9861 -3.9963 -4.0129
 -4.0349 -4.0615 -4.0911 -4.1229 -4.1565 -4.2533 -4.3692 -4.4997 -4.6387 -4.7808
 -4.9237 -5.0660 -5.2056 -5.3404 -5.4691 -5.5916 -5.7088 -5.8211 -5.9293 -6.0338
 -6.1351
 -4.1162 -4.1355 -4.1104 -4.0941 -4.0968 -4.0959 -4.0924 -4.0896 -4.0905 -4.0966
 -4.1085 -4.1259 -4.1481 -4.1741 -4.2012 -4.2864 -4.3913 -4.5119 -4.6451
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F322W2
 -3.4911 -3.5358 -3.5730 -3.6035 -3.6274 -3.6431 -3.6325 -3.6303 -3.6281 -3.6320
 -3.6500 -3.6916 -3.7450 -3.8109 -3.8809 -4.0577 -4.2284 -4.4007 -4.5670
 -3.4319 -3.4994 -3.5646 -3.6182 -3.6591 -3.6866 -3.7005 -3.7025 -3.6981 -3.6932
 -3.6965 -3.7204 -3.7696 -3.8337 -3.9029 -4.0781 -4.2486 -4.4164 -4.5806 -4.7384
 -3.3994 -3.4603 -3.5230 -3.5849 -3.6436 -3.6915 -3.7251 -3.7456 -3.7541 -3.7524
 -3.7490 -3.7567 -3.7921 -3.8511 -3.9190 -4.0937 -4.2638 -4.4306 -4.5939 -4.7506
 -4.9008
 -3.3866 -3.4412 -3.4982 -3.5560 -3.6120 -3.6630 -3.7082 -3.7442 -3.7695 -3.7874
 -3.7958 -3.8006 -3.8194 -3.8676 -3.9301 -4.1051 -4.2752 -4.4412 -4.6039 -4.7602
 -4.9096 -5.0530
 -3.3918 -3.4394 -3.4898 -3.5421 -3.5951 -3.6460 -3.6919 -3.7309 -3.7648 -3.7934
 -3.8185 -3.8363 -3.8535 -3.8886 -3.9447 -4.1136 -4.2835 -4.4488 -4.6110 -4.7673
 -4.9165 -5.0592 -5.1962 -5.3285
 -3.4159 -3.4550 -3.4975 -3.5430 -3.5907 -3.6393 -3.6863 -3.7290 -3.7659 -3.7988
 -3.8304 -3.8607 -3.8844 -3.9161 -3.9630 -4.1212 -4.2896 -4.4541 -4.6155 -4.7720
 -4.9215 -5.0641 -5.2006 -5.3319 -5.4587 -5.5815 -5.7011 -5.8174 -5.9305 -6.0401
 -3.4606 -3.4899 -3.5228 -3.5597 -3.6002 -3.6437 -3.6886 -3.7329 -3.7740 -3.8109
 -3.8455 -3.8806 -3.9126 -3.9458 -3.9893 -4.1312 -4.2951 -4.4579 -4.6177 -4.7742
 -4.9245 -5.0676 -5.2041 -5.3349 -5.4609 -5.5826 -5.7006 -5.8153 -5.9269 -6.0358
 -6.1420
 -3.5238 -3.5451 -3.5683 -3.5948 -3.6261 -3.6621 -3.7019 -3.7438 -3.7859 -3.8262
 -3.8640 -3.9010 -3.9366 -3.9740 -4.0168 -4.1489 -4.3023 -4.4615 -4.6190 -4.7741
 -4.9250 -5.0693 -5.2064 -5.3374 -5.4630 -5.5840 -5.7010 -5.8144 -5.9246 -6.0320
 -6.1370
 -3.6015 -3.6177 -3.6332 -3.6501 -3.6713 -3.6980 -3.7301 -3.7665 -3.8059 -3.8463
 -3.8860 -3.9250 -3.9629 -4.0012 -4.0436 -4.1705 -4.3155 -4.4688 -4.6228 -4.7753
 -4.9256 -5.0710 -5.2097 -5.3416 -5.4675 -5.5884 -5.7050 -5.8177 -5.9269 -6.0330
 -6.1365
 -3.6860 -3.7015 -3.7132 -3.7236 -3.7358 -3.7526 -3.7753 -3.8036 -3.8370 -3.8738
 -3.9124 -3.9512 -3.9900 -4.0290 -4.0700 -4.1907 -4.3287 -4.4756 -4.6253 -4.7743
 -4.9220 -5.0671 -5.2069 -5.3404 -5.4674 -5.5888 -5.7054 -5.8177 -5.9263 -6.0314
 -6.1356
 -3.7733 -3.7902 -3.8031 -3.8112 -3.8180 -3.8265 -3.8399 -3.8590 -3.8841 -3.9142
 -3.9482 -3.9846 -4.0224 -4.0608 -4.1003 -4.2129 -4.3435 -4.4841 -4.6292 -4.7747
 -4.9192 -5.0621 -5.2018 -5.3366 -5.4653 -5.5879 -5.7053 -5.8179 -5.9263 -6.0311
 -6.1326
 -3.8583 -3.8803 -3.8961 -3.9063 -3.9123 -3.9167 -3.9230 -3.9336 -3.9498 -3.9713
 -3.9980 -4.0290 -4.0599 -4.0964 -4.1345 -4.2371 -4.3599 -4.4943 -4.6345
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F322W2
 -3.4733 -3.5095 -3.5369 -3.5556 -3.5665 -3.5735 -3.5805 -3.5901 -3.6023 -3.6193
 -3.6476 -3.6933 -3.7534 -3.8207 -3.8901 -4.0637 -4.2329 -4.3982 -4.5599
 -3.4775 -3.5294 -3.5711 -3.6029 -3.6255 -3.6401 -3.6498 -3.6584 -3.6662 -3.6747
 -3.6904 -3.7238 -3.7777 -3.8432 -3.9123 -4.0857 -4.2537 -4.4160 -4.5773 -4.7347
 -3.4310 -3.4969 -3.5610 -3.6153 -3.6571 -3.6866 -3.7053 -3.7173 -3.7253 -3.7304
 -3.7369 -3.7554 -3.7975 -3.8586 -3.9267 -4.1006 -4.2689 -4.4307 -4.5906 -4.7468
 -4.8970
 -3.3947 -3.4549 -3.5177 -3.5799 -3.6386 -3.6901 -3.7283 -3.7538 -3.7701 -3.7800
 -3.7860 -3.7943 -3.8200 -3.8714 -3.9366 -4.1102 -4.2794 -4.4416 -4.6006 -4.7560
 -4.9054 -5.0489
 -3.3777 -3.4325 -3.4906 -3.5505 -3.6089 -3.6632 -3.7116 -3.7520 -3.7831 -3.8054
 -3.8214 -3.8344 -3.8507 -3.8870 -3.9450 -4.1160 -4.2861 -4.4491 -4.6078 -4.7628
 -4.9118 -5.0546 -5.1919 -5.3244
 -3.3761 -3.4255 -3.4785 -3.5340 -3.5904 -3.6453 -3.6956 -3.7389 -3.7759 -3.8086
 -3.8359 -3.8585 -3.8802 -3.9094 -3.9563 -4.1196 -4.2898 -4.4537 -4.6124 -4.7673
 -4.9164 -5.0591 -5.1958 -5.3274 -5.4545 -5.5779 -5.6978 -5.8144 -5.9277 -6.0373
 -3.3893 -3.4325 -3.4794 -3.5294 -3.5815 -3.6342 -3.6856 -3.7328 -3.7742 -3.8100
 -3.8434 -3.8748 -3.9027 -3.9332 -3.9739 -4.1231 -4.2919 -4.4561 -4.6148 -4.7695
 -4.9191 -5.0622 -5.1988 -5.3299 -5.4562 -5.5783 -5.6968 -5.8119 -5.9239 -6.0328
 -6.1389
