 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Vtycho
 -4.8033 -4.2570 -3.9725 -3.9477 -4.1873 -4.5103 -4.7544 -4.6023 -4.4520 -4.2918
 -4.1210 -3.9788 -3.7953 -3.6130 -3.4446 -3.0727 -2.7567 -2.5248 -2.3442
 -5.4494 -5.1059 -4.8548 -4.6869 -4.5751 -4.4705 -4.3568 -4.2383 -4.1186 -3.9960
 -3.8595 -3.7049 -3.5409 -3.3822 -3.2348 -2.9145 -2.6610 -2.4708 -2.3335 -2.2317
 -5.2252 -4.9014 -4.6441 -4.4415 -4.2862 -4.1747 -4.0943 -4.0084 -3.9006 -3.7779
 -3.6546 -3.5259 -3.3845 -3.2426 -3.1112 -2.8335 -2.6157 -2.4512 -2.3304 -2.2390
 -2.1667
 -5.0480 -4.7559 -4.5143 -4.3127 -4.1440 -4.0043 -3.8898 -3.7974 -3.7153 -3.6195
 -3.5049 -3.3885 -3.2676 -3.1419 -3.0225 -2.7729 -2.5823 -2.4390 -2.3323 -2.2498
 -2.1832 -2.1274
 -4.8793 -4.6235 -4.4057 -4.2171 -4.0519 -3.9071 -3.7807 -3.6699 -3.5716 -3.4814
 -3.3890 -3.2873 -3.1818 -3.0704 -2.9616 -2.7309 -2.5579 -2.4303 -2.3358 -2.2618
 -2.2009 -2.1490 -2.1035 -2.0615
 -4.7119 -4.4905 -4.2991 -4.1288 -3.9750 -3.8354 -3.7085 -3.5935 -3.4887 -3.3914
 -3.2986 -3.2068 -3.1153 -3.0191 -2.9211 -2.7037 -2.5407 -2.4225 -2.3376 -2.2720
 -2.2174 -2.1703 -2.1284 -2.0906 -2.0548 -2.0227 -1.9965 -1.9780 -1.9684 -1.9685
 -4.5538 -4.3577 -4.1900 -4.0391 -3.9000 -3.7704 -3.6495 -3.5368 -3.4320 -3.3342
 -3.2412 -3.1512 -3.0638 -2.9773 -2.8903 -2.6885 -2.5298 -2.4155 -2.3359 -2.2775
 -2.2301 -2.1888 -2.1518 -2.1178 -2.0861 -2.0549 -2.0266 -2.0046 -1.9912 -1.9880
 -1.9944
 -4.4077 -4.2317 -4.0811 -3.9463 -3.8220 -3.7045 -3.5923 -3.4859 -3.3853 -3.2897
 -3.1991 -3.1122 -3.0279 -2.9458 -2.8650 -2.6781 -2.5248 -2.4105 -2.3316 -2.2772
 -2.2363 -2.2018 -2.1709 -2.1421 -2.1148 -2.0885 -2.0618 -2.0378 -2.0201 -2.0115
 -2.0138
 -4.2768 -4.1167 -3.9756 -3.8517 -3.7391 -3.6327 -3.5306 -3.4322 -3.3379 -3.2473
 -3.1606 -3.0773 -2.9972 -2.9193 -2.8429 -2.6663 -2.5197 -2.4070 -2.3264 -2.2723
 -2.2351 -2.2070 -2.1830 -2.1608 -2.1392 -2.1179 -2.0970 -2.0784 -2.0625 -2.0489
 -2.0375
 -4.1611 -4.0127 -3.8825 -3.7631 -3.6567 -3.5591 -3.4661 -3.3761 -3.2891 -3.2050
 -3.1238 -3.0453 -2.9694 -2.8961 -2.8246 -2.6569 -2.5156 -2.4048 -2.3233 -2.2671
 -2.2299 -2.2053 -2.1873 -2.1721 -2.1575 -2.1425 -2.1271 -2.1115 -2.1010 -2.0866
 -2.0696
 -4.0606 -3.9197 -3.8018 -3.6839 -3.5784 -3.4841 -3.3974 -3.3150 -3.2352 -3.1579
 -3.0830 -3.0103 -2.9397 -2.8711 -2.8044 -2.6471 -2.5103 -2.4015 -2.3201 -2.2623
 -2.2237 -2.1993 -2.1845 -2.1750 -2.1673 -2.1594 -2.1508 -2.1411 -2.1307 -2.1203
 -2.1111
 -3.9753 -3.8377 -3.7335 -3.6146 -3.5075 -3.4124 -3.3274 -3.2494 -3.1757 -3.1049
 -3.0362 -2.9698 -2.9052 -2.8423 -2.7823 -2.6369 -2.5038 -2.3971 -2.3168
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =Vtycho
 -6.1156 -5.5547 -5.1421 -4.8721 -4.7408 -4.6804 -4.6297 -4.4713 -4.3136 -4.1504
 -3.9785 -3.8130 -3.6358 -3.4685 -3.3162 -2.9887 -2.7176 -2.5065 -2.3407
 -5.8076 -5.4018 -5.1092 -4.8622 -4.6481 -4.4674 -4.3131 -4.1750 -4.0428 -3.9084
 -3.7656 -3.6115 -3.4524 -3.3011 -3.1631 -2.8739 -2.6441 -2.4636 -2.3281 -2.2245
 -5.4971 -5.0667 -4.7433 -4.5090 -4.3514 -4.2289 -4.1025 -3.9726 -3.8472 -3.7266
 -3.6047 -3.4749 -3.3339 -3.1936 -3.0649 -2.8010 -2.5993 -2.4426 -2.3236 -2.2324
 -2.1598
 -5.3300 -4.9153 -4.5928 -4.3439 -4.1533 -4.0090 -3.9058 -3.8232 -3.7254 -3.6090
 -3.4904 -3.3740 -3.2522 -3.1240 -3.0037 -2.7532 -2.5690 -2.4296 -2.3239 -2.2418
 -2.1751 -2.1191
 -5.2126 -4.8248 -4.5168 -4.2715 -4.0747 -3.9161 -3.7869 -3.6808 -3.5953 -3.5148
 -3.4160 -3.3061 -3.1940 -3.0785 -2.9642 -2.7240 -2.5494 -2.4211 -2.3259 -2.2521
 -2.1913 -2.1395 -2.0941 -2.0540
 -5.1071 -4.7514 -4.4636 -4.2291 -4.0350 -3.8724 -3.7347 -3.6165 -3.5125 -3.4198
 -3.3353 -3.2471 -3.1507 -3.0465 -2.9402 -2.7074 -2.5370 -2.4147 -2.3268 -2.2607
 -2.2065 -2.1595 -2.1180 -2.0805 -2.0465 -2.0159 -1.9899 -1.9703 -1.9616 -1.9623
 -5.0042 -4.6798 -4.4142 -4.1933 -4.0062 -3.8453 -3.7052 -3.5821 -3.4720 -3.3714
 -3.2775 -3.1888 -3.1037 -3.0153 -2.9212 -2.6989 -2.5295 -2.4091 -2.3250 -2.2651
 -2.2178 -2.1769 -2.1403 -2.1068 -2.0757 -2.0468 -2.0211 -1.9992 -1.9840 -1.9812
 -1.9878
 -4.9067 -4.6096 -4.3641 -4.1569 -3.9783 -3.8218 -3.6830 -3.5584 -3.4459 -3.3429
 -3.2463 -3.1546 -3.0677 -2.9834 -2.8994 -2.6948 -2.5262 -2.4046 -2.3211 -2.2644
 -2.2232 -2.1891 -2.1586 -2.1303 -2.1035 -2.0780 -2.0542 -2.0328 -2.0145 -2.0045
 -2.0073
 -4.8174 -4.5420 -4.3117 -4.1162 -3.9462 -3.7952 -3.6591 -3.5355 -3.4228 -3.3191
 -3.2227 -3.1314 -3.0441 -2.9601 -2.8786 -2.6870 -2.5243 -2.4011 -2.3157 -2.2592
 -2.2216 -2.1937 -2.1701 -2.1483 -2.1273 -2.1065 -2.0865 -2.0674 -2.0503 -2.0368
 -2.0307
 -4.7483 -4.4896 -4.2686 -4.0796 -3.9152 -3.7687 -3.6357 -3.5139 -3.4019 -3.2987
 -3.2030 -3.1133 -3.0279 -2.9457 -2.8661 -2.6811 -2.5238 -2.4009 -2.3127 -2.2537
 -2.2161 -2.1917 -2.1741 -2.1593 -2.1451 -2.1306 -2.1160 -2.1012 -2.0869 -2.0742
 -2.0623
 -4.6963 -4.4512 -4.2353 -4.0488 -3.8860 -3.7417 -3.6108 -3.4906 -3.3797 -3.2772
 -3.1823 -3.0940 -3.0109 -2.9315 -2.8549 -2.6759 -2.5223 -2.4005 -2.3105 -2.2488
 -2.2094 -2.1854 -2.1711 -2.1620 -2.1547 -2.1473 -2.1393 -2.1304 -2.1209 -2.1115
 -2.1032
 -4.6572 -4.4238 -4.2146 -4.0278 -3.8631 -3.7174 -3.5865 -3.4668 -3.3564 -3.2544
 -3.1599 -3.0726 -2.9897 -2.9127 -2.8450 -2.6714 -2.5198 -2.3999 -2.3091
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =Vtycho
 -7.2227 -6.6814 -6.2136 -5.8101 -5.4604 -5.1472 -4.8541 -4.5736 -4.3196 -4.0935
 -3.8871 -3.6950 -3.5165 -3.3566 -3.2139 -2.9167 -2.6789 -2.4864 -2.3326
 -6.7802 -6.2439 -5.7775 -5.3819 -5.0491 -4.7659 -4.5162 -4.2868 -4.0798 -3.8927
 -3.7176 -3.5482 -3.3850 -3.2348 -3.1003 -2.8268 -2.6176 -2.4506 -2.3190 -2.2173
 -6.2404 -5.7533 -5.3767 -5.0529 -4.7620 -4.5078 -4.2857 -4.0876 -3.9098 -3.7487
 -3.5982 -3.4504 -3.3021 -3.1599 -3.0308 -2.7701 -2.5778 -2.4291 -2.3128 -2.2219
 -2.1491
 -5.9370 -5.4099 -4.9997 -4.6877 -4.4567 -4.2828 -4.1187 -3.9525 -3.7930 -3.6461
 -3.5105 -3.3808 -3.2494 -3.1166 -2.9920 -2.7377 -2.5541 -2.4166 -2.3113 -2.2291
 -2.1625 -2.1065
 -5.7924 -5.2581 -4.8371 -4.5108 -4.2576 -4.0645 -3.9199 -3.8062 -3.7023 -3.5818
 -3.4540 -3.3309 -3.2121 -3.0914 -2.9723 -2.7215 -2.5412 -2.4100 -2.3121 -2.2371
 -2.1765 -2.1250 -2.0801 -2.0406
 -5.7176 -5.1900 -4.7699 -4.4411 -4.1836 -3.9801 -3.8172 -3.6846 -3.5770 -3.4902
