 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1130W
 -1.4043 -1.5177 -1.6257 -1.7323 -1.8345 -1.9239 -1.9874 -2.0392 -2.0879 -2.1414
 -2.1997 -2.2673 -2.3338 -2.4075 -2.4813 -2.6680 -2.8497 -3.0363 -3.2082
 -1.3484 -1.4627 -1.5763 -1.6891 -1.7998 -1.9040 -1.9993 -2.0837 -2.1554 -2.2127
 -2.2627 -2.3147 -2.3773 -2.4488 -2.5235 -2.7120 -2.8979 -3.0770 -3.2471 -3.4083
 -1.3440 -1.4560 -1.5649 -1.6711 -1.7758 -1.8796 -1.9825 -2.0806 -2.1707 -2.2494
 -2.3095 -2.3573 -2.4113 -2.4791 -2.5528 -2.7395 -2.9230 -3.1014 -3.2719 -3.4338
 -3.5872
 -1.3449 -1.4536 -1.5593 -1.6619 -1.7619 -1.8599 -1.9561 -2.0514 -2.1460 -2.2374
 -2.3221 -2.3850 -2.4383 -2.5016 -2.5731 -2.7588 -2.9408 -3.1182 -3.2886 -3.4507
 -3.6045 -3.7506
 -1.3532 -1.4565 -1.5584 -1.6579 -1.7551 -1.8499 -1.9425 -2.0329 -2.1218 -2.2104
 -2.2988 -2.3811 -2.4455 -2.5146 -2.5874 -2.7718 -2.9532 -3.1296 -3.2998 -3.4621
 -3.6160 -3.7623 -3.9018 -4.0351
 -1.3731 -1.4679 -1.5636 -1.6589 -1.7530 -1.8454 -1.9358 -2.0241 -2.1103 -2.1948
 -2.2786 -2.3628 -2.4342 -2.5070 -2.5861 -2.7796 -2.9613 -3.1370 -3.3071 -3.4695
 -3.6237 -3.7702 -3.9098 -4.0433 -4.1711 -4.2940 -4.4128 -4.5282 -4.6409 -4.7512
 -1.4072 -1.4920 -1.5786 -1.6671 -1.7564 -1.8456 -1.9337 -2.0201 -2.1049 -2.1878
 -2.2692 -2.3498 -2.4247 -2.4955 -2.5742 -2.7760 -2.9644 -3.1410 -3.3112 -3.4740
 -3.6287 -3.7755 -3.9154 -4.0491 -4.1769 -4.2996 -4.4178 -4.5323 -4.6435 -4.7520
 -4.8588
 -1.4560 -1.5306 -1.6071 -1.6863 -1.7682 -1.8521 -1.9365 -2.0205 -2.1036 -2.1852
 -2.2653 -2.3443 -2.4201 -2.4904 -2.5653 -2.7643 -2.9584 -3.1403 -3.3123 -3.4760
 -3.6314 -3.7788 -3.9192 -4.0532 -4.1813 -4.3040 -4.4218 -4.5356 -4.6458 -4.7532
 -4.8581
 -1.5182 -1.5840 -1.6517 -1.7210 -1.7934 -1.8695 -1.9481 -2.0280 -2.1082 -2.1879
 -2.2665 -2.3442 -2.4198 -2.4916 -2.5640 -2.7562 -2.9495 -3.1351 -3.3118 -3.4781
 -3.6348 -3.7832 -3.9243 -4.0589 -4.1876 -4.3106 -4.4287 -4.5426 -4.6527 -4.7591
 -4.8622
 -1.5938 -1.6522 -1.7080 -1.7690 -1.8321 -1.8987 -1.9691 -2.0427 -2.1181 -2.1943
 -2.2704 -2.3460 -2.4206 -2.4934 -2.5648 -2.7497 -2.9382 -3.1235 -3.3025 -3.4732
 -3.6326 -3.7823 -3.9243 -4.0596 -4.1889 -4.3126 -4.4311 -4.5449 -4.6571 -4.7631
 -4.8652
 -1.6828 -1.7352 -1.7760 -1.8272 -1.8854 -1.9433 -2.0045 -2.0695 -2.1380 -2.2088
 -2.2808 -2.3533 -2.4257 -2.4976 -2.5684 -2.7478 -2.9300 -3.1123 -3.2912 -3.4642
 -3.6274 -3.7796 -3.9229 -4.0591 -4.1892 -4.3136 -4.4329 -4.5473 -4.6571 -4.7630
 -4.8657
 -1.7852 -1.8330 -1.8557 -1.8951 -1.9491 -2.0017 -2.0552 -2.1113 -2.1711 -2.2343
 -2.3002 -2.3679 -2.4367 -2.5058 -2.5748 -2.7505 -2.9249 -3.1015 -3.2779
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3959 -1.5034 -1.6036 -1.6980 -1.7859 -1.8669 -1.9392 -2.0087 -2.0755 -2.1395
 -2.2020 -2.2683 -2.3376 -2.4122 -2.4874 -2.6741 -2.8546 -3.0347 -3.2080
 -1.3748 -1.4954 -1.6133 -1.7243 -1.8272 -1.9216 -2.0068 -2.0822 -2.1498 -2.2108
 -2.2664 -2.3220 -2.3855 -2.4569 -2.5315 -2.7175 -2.8983 -3.0755 -3.2453 -3.4063
 -1.3629 -1.4788 -1.5930 -1.7057 -1.8173 -1.9247 -2.0244 -2.1144 -2.1931 -2.2588
 -2.3144 -2.3637 -2.4188 -2.4861 -2.5598 -2.7460 -2.9259 -3.1010 -3.2703 -3.4318
 -3.5851
 -1.3561 -1.4690 -1.5791 -1.6867 -1.7924 -1.8962 -1.9987 -2.0987 -2.1924 -2.2764
 -2.3443 -2.3980 -2.4467 -2.5075 -2.5773 -2.7646 -2.9448 -3.1185 -3.2870 -3.4485
 -3.6022 -3.7483
 -1.3534 -1.4639 -1.5711 -1.6752 -1.7768 -1.8761 -1.9729 -2.0672 -2.1606 -2.2526
 -2.3397 -2.4109 -2.4677 -2.5255 -2.5928 -2.7768 -2.9574 -3.1304 -3.2981 -3.4595
 -3.6134 -3.7597 -3.8993 -4.0329
 -1.3554 -1.4628 -1.5673 -1.6688 -1.7675 -1.8639 -1.9577 -2.0487 -2.1370 -2.2235
 -2.3101 -2.3944 -2.4639 -2.5306 -2.6022 -2.7847 -2.9655 -3.1384 -3.3053 -3.4666
 -3.6207 -3.7674 -3.9071 -4.0408 -4.1688 -4.2921 -4.4116 -4.5275 -4.6399 -4.7498
 -1.3653 -1.4672 -1.5678 -1.6664 -1.7625 -1.8564 -1.9481 -2.0375 -2.1243 -2.2082
 -2.2902 -2.3718 -2.4465 -2.5167 -2.5937 -2.7891 -2.9702 -3.1432 -3.3097 -3.4709
 -3.6254 -3.7725 -3.9126 -4.0464 -4.1745 -4.2974 -4.4161 -4.5310 -4.6424 -4.7508
 -4.8576
 -1.3868 -1.4805 -1.5750 -1.6689 -1.7616 -1.8529 -1.9426 -2.0304 -2.1162 -2.1995
 -2.2803 -2.3593 -2.4325 -2.5039 -2.5789 -2.7812 -2.9713 -3.1454 -3.3118 -3.4729
 -3.6279 -3.7756 -3.9162 -4.0504 -4.1787 -4.3016 -4.4199 -4.5340 -4.6446 -4.7521
 -4.8568
