 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
 -1.4959 -1.4641 -1.4099 -1.3869 -1.4077 -1.4297 -1.4228 -1.4030 -1.3976 -1.4139
 -1.4433 -1.4812 -1.5217 -1.5640 -1.6091 -1.7294 -1.8568 -1.9864 -2.1136
 -1.5044 -1.5054 -1.4938 -1.4825 -1.4719 -1.4607 -1.4510 -1.4457 -1.4473 -1.4572
 -1.4766 -1.5064 -1.5448 -1.5882 -1.6338 -1.7526 -1.8764 -2.0033 -2.1293 -2.2533
 -1.5111 -1.5285 -1.5410 -1.5424 -1.5276 -1.5085 -1.4966 -1.4918 -1.4922 -1.4978
 -1.5114 -1.5348 -1.5689 -1.6110 -1.6563 -1.7739 -1.8948 -2.0187 -2.1429 -2.2648
 -2.3838
 -1.5160 -1.5334 -1.5515 -1.5666 -1.5748 -1.5731 -1.5596 -1.5413 -1.5323 -1.5357
 -1.5477 -1.5664 -1.5940 -1.6324 -1.6766 -1.7933 -1.9120 -2.0326 -2.1545 -2.2746
 -2.3917 -2.5057
 -1.5293 -1.5423 -1.5583 -1.5751 -1.5903 -1.6009 -1.6050 -1.6027 -1.5947 -1.5868
 -1.5889 -1.6026 -1.6239 -1.6552 -1.6960 -1.8108 -1.9280 -2.0457 -2.1648 -2.2833
 -2.3990 -2.5116 -2.6211 -2.7279
 -1.5553 -1.5615 -1.5720 -1.5854 -1.6003 -1.6148 -1.6268 -1.6346 -1.6392 -1.6419
 -1.6443 -1.6508 -1.6654 -1.6876 -1.7198 -1.8270 -1.9427 -2.0581 -2.1743 -2.2908
 -2.4056 -2.5173 -2.6257 -2.7312 -2.8340 -2.9345 -3.0332 -3.1314 -3.2292 -3.3240
 -1.5944 -1.5938 -1.5973 -1.6046 -1.6152 -1.6283 -1.6423 -1.6552 -1.6661 -1.6756
 -1.6855 -1.6970 -1.7114 -1.7294 -1.7542 -1.8454 -1.9563 -2.0698 -2.1832 -2.2974
 -2.4110 -2.5224 -2.6303 -2.7350 -2.8367 -2.9358 -3.0329 -3.1282 -3.2230 -3.3179
 -3.4106
 -1.6450 -1.6385 -1.6354 -1.6359 -1.6403 -1.6487 -1.6603 -1.6737 -1.6874 -1.7007
 -1.7138 -1.7286 -1.7462 -1.7666 -1.7897 -1.8692 -1.9708 -2.0807 -2.1917 -2.3033
 -2.4152 -2.5261 -2.6341 -2.7388 -2.8400 -2.9383 -3.0342 -3.1279 -3.2202 -3.3119
 -3.4045
 -1.7038 -1.6932 -1.6851 -1.6795 -1.6774 -1.6796 -1.6862 -1.6966 -1.7097 -1.7242
 -1.7391 -1.7550 -1.7730 -1.7944 -1.8184 -1.8941 -1.9881 -2.0929 -2.2012 -2.3104
 -2.4203 -2.5303 -2.6385 -2.7437 -2.8453 -2.9436 -3.0391 -3.1319 -3.2228 -3.3123
 -3.4016
 -1.7706 -1.7567 -1.7445 -1.7341 -1.7262 -1.7221 -1.7226 -1.7278 -1.7374 -1.7501
 -1.7649 -1.7809 -1.7984 -1.8184 -1.8414 -1.9148 -2.0037 -2.1035 -2.2086 -2.3156
 -2.4232 -2.5312 -2.6387 -2.7443 -2.8467 -2.9455 -3.0412 -3.1338 -3.2239 -3.3121
 -3.4001
 -1.8456 -1.8278 -1.8120 -1.7979 -1.7857 -1.7763 -1.7708 -1.7698 -1.7739 -1.7825
 -1.7947 -1.8095 -1.8260 -1.8443 -1.8650 -1.9325 -2.0185 -2.1136 -2.2156 -2.3204
 -2.4261 -2.5322 -2.6381 -2.7432 -2.8461 -2.9459 -3.0424 -3.1355 -3.2258 -3.3135
 -3.3993
 -1.9288 -1.9065 -1.8869 -1.8702 -1.8544 -1.8409 -1.8305 -1.8237 -1.8216 -1.8244
 -1.8317 -1.8430 -1.8573 -1.8737 -1.8892 -1.9472 -2.0325 -2.1232 -2.2222
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.4280 -1.4162 -1.4031 -1.3903 -1.3800 -1.3742 -1.3742 -1.3812 -1.3954 -1.4168
 -1.4459 -1.4821 -1.5233 -1.5673 -1.6142 -1.7327 -1.8561 -1.9836 -2.1122
 -1.4620 -1.4569 -1.4486 -1.4388 -1.4296 -1.4229 -1.4207 -1.4238 -1.4331 -1.4491
 -1.4729 -1.5054 -1.5452 -1.5892 -1.6352 -1.7540 -1.8761 -2.0009 -2.1266 -2.2506
 -1.4838 -1.4961 -1.4962 -1.4824 -1.4756 -1.4700 -1.4669 -1.4675 -1.4729 -1.4838
 -1.5016 -1.5283 -1.5643 -1.6072 -1.6532 -1.7722 -1.8933 -2.0159 -2.1392 -2.2609
 -2.3799
 -1.4925 -1.5168 -1.5283 -1.5289 -1.5230 -1.5150 -1.5083 -1.5060 -1.5101 -1.5190
 -1.5330 -1.5536 -1.5834 -1.6230 -1.6682 -1.7873 -1.9077 -2.0286 -2.1500 -2.2701
 -2.3873 -2.5015
 -1.4911 -1.5118 -1.5337 -1.5483 -1.5556 -1.5578 -1.5568 -1.5542 -1.5513 -1.5514
 -1.5625 -1.5807 -1.6054 -1.6389 -1.6815 -1.7997 -1.9199 -2.0395 -2.1592 -2.2780
 -2.3940 -2.5069 -2.6167 -2.7239
 -1.4952 -1.5129 -1.5340 -1.5564 -1.5778 -1.5955 -1.6080 -1.6145 -1.6151 -1.6097
 -1.6059 -1.6135 -1.6314 -1.6585 -1.6953 -1.8103 -1.9301 -2.0489 -2.1671 -2.2846
 -2.3999 -2.5121 -2.6208 -2.7267 -2.8299 -2.9309 -3.0302 -3.1287 -3.2265 -3.3212
 -1.5101 -1.5220 -1.5389 -1.5589 -1.5803 -1.6014 -1.6204 -1.6356 -1.6471 -1.6558
 -1.6619 -1.6661 -1.6745 -1.6911 -1.7174 -1.8203 -1.9389 -2.0570 -2.1739 -2.2900
 -2.4047 -2.5166 -2.6250 -2.7301 -2.8322 -2.9318 -3.0293 -3.1250 -3.2202 -3.3152
 -3.4077
 -1.5369 -1.5430 -1.5539 -1.5688 -1.5866 -1.6061 -1.6263 -1.6456 -1.6631 -1.6785
 -1.6928 -1.7070 -1.7209 -1.7356 -1.7545 -1.8355 -1.9472 -2.0642 -2.1799 -2.2945
 -2.4081 -2.5198 -2.6283 -2.7334 -2.8351 -2.9338 -3.0302 -3.1244 -3.2171 -3.3092
 -3.4018
 -1.5759 -1.5751 -1.5804 -1.5896 -1.6020 -1.6174 -1.6350 -1.6540 -1.6736 -1.6929
 -1.7114 -1.7303 -1.7500 -1.7708 -1.7919 -1.8615 -1.9600 -2.0726 -2.1869 -2.3001
 -2.4123 -2.5235 -2.6323 -2.7380 -2.8400 -2.9387 -3.0347 -3.1281 -3.2194 -3.3093
 -3.3989
 -1.6245 -1.6187 -1.6184 -1.6218 -1.6286 -1.6385 -1.6514 -1.6673 -1.6855 -1.7052
 -1.7257 -1.7467 -1.7686 -1.7921 -1.8170 -1.8872 -1.9761 -2.0809 -2.1921 -2.3035
 -2.4140 -2.5238 -2.6322 -2.7382 -2.8410 -2.9403 -3.0364 -3.1296 -3.2202 -3.3089
 -3.3973
 -1.6798 -1.6708 -1.6659 -1.6645 -1.6660 -1.6705 -1.6782 -1.6892 -1.7038 -1.7213
 -1.7411 -1.7624 -1.7849 -1.8088 -1.8346 -1.9075 -1.9930 -2.0911 -2.1977 -2.3068
 -2.4157 -2.5239 -2.6311 -2.7369 -2.8402 -2.9404 -3.0374 -3.1310 -3.2217 -3.3100
 -3.3962
 -1.7414 -1.7299 -1.7214 -1.7158 -1.7129 -1.7128 -1.7155 -1.7215 -1.7313 -1.7448
 -1.7616 -1.7812 -1.8029 -1.8262 -1.8447 -1.9224 -2.0107 -2.1032 -2.2037
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F150W2
 -1.3632 -1.3506 -1.3379 -1.3265 -1.3193 -1.3189 -1.3277 -1.3465 -1.3732 -1.4059
 -1.4439 -1.4857 -1.5293 -1.5740 -1.6194 -1.7365 -1.8573 -1.9814 -2.1080
 -1.3982 -1.3888 -1.3782 -1.3680 -1.3606 -1.3590 -1.3652 -1.3804 -1.4026 -1.4307
 -1.4646 -1.5040 -1.5473 -1.5924 -1.6386 -1.7566 -1.8767 -1.9987 -2.1222 -2.2455
 -1.4293 -1.4246 -1.4174 -1.4095 -1.4033 -1.4007 -1.4043 -1.4156 -1.4333 -1.4566
 -1.4855 -1.5205 -1.5614 -1.6062 -1.6527 -1.7719 -1.8922 -2.0129 -2.1342 -2.2551
 -2.3741
 -1.4526 -1.4596 -1.4579 -1.4502 -1.4444 -1.4420 -1.4441 -1.4521 -1.4659 -1.4848
 -1.5086 -1.5383 -1.5746 -1.6172 -1.6634 -1.7832 -1.9040 -2.0242 -2.1441 -2.2634
 -2.3807 -2.4952
 -1.4634 -1.4813 -1.4925 -1.4976 -1.4975 -1.4925 -1.4860 -1.4880 -1.4979 -1.5136
 -1.5340 -1.5591 -1.5898 -1.6278 -1.6720 -1.7917 -1.9129 -2.0330 -2.1522 -2.2703
 -2.3865 -2.4998 -2.6100 -2.7178
 -1.4612 -1.4817 -1.5030 -1.5227 -1.5384 -1.5494 -1.5535 -1.5504 -1.5464 -1.5481
 -1.5600 -1.5809 -1.6079 -1.6406 -1.6805 -1.7981 -1.9196 -2.0397 -2.1584 -2.2759
