 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F430M
 -4.1812 -4.2717 -4.3524 -4.4077 -4.4359 -4.4518 -4.4721 -4.5036 -4.5493 -4.6106
 -4.6775 -4.7504 -4.8242 -4.8969 -4.9706 -5.1553 -5.3328 -5.5013 -5.6606
 -4.1473 -4.2334 -4.3160 -4.3887 -4.4508 -4.5028 -4.5469 -4.5867 -4.6267 -4.6701
 -4.7201 -4.7799 -4.8488 -4.9222 -4.9965 -5.1801 -5.3563 -5.5236 -5.6858 -5.8439
 -4.1291 -4.2106 -4.2920 -4.3717 -4.4491 -4.5194 -4.5795 -4.6304 -4.6747 -4.7153
 -4.7589 -4.8101 -4.8723 -4.9431 -5.0166 -5.1990 -5.3745 -5.5413 -5.7048 -5.8633
 -6.0147
 -4.1266 -4.2033 -4.2804 -4.3567 -4.4308 -4.5016 -4.5699 -4.6347 -4.6933 -4.7462
 -4.7939 -4.8410 -4.8947 -4.9596 -5.0309 -5.2120 -5.3874 -5.5544 -5.7177 -5.8758
 -6.0269 -6.1714
 -4.1406 -4.2108 -4.2823 -4.3543 -4.4257 -4.4952 -4.5617 -4.6252 -4.6877 -4.7499
 -4.8099 -4.8664 -4.9190 -4.9766 -5.0432 -5.2209 -5.3958 -5.5635 -5.7269 -5.8850
 -6.0360 -6.1802 -6.3181 -6.4505
 -4.1740 -4.2354 -4.2991 -4.3647 -4.4314 -4.4985 -4.5644 -4.6281 -4.6895 -4.7502
 -4.8122 -4.8752 -4.9360 -4.9939 -5.0566 -5.2275 -5.4007 -5.5686 -5.7325 -5.8913
 -6.0427 -6.1869 -6.3246 -6.4566 -6.5835 -6.7060 -6.8248 -6.9401 -7.0522 -7.1617
 -4.2282 -4.2800 -4.3338 -4.3905 -4.4500 -4.5119 -4.5749 -4.6378 -4.6996 -4.7601
 -4.8202 -4.8817 -4.9449 -5.0056 -5.0678 -5.2340 -5.4037 -5.5704 -5.7343 -5.8943
 -6.0469 -6.1917 -6.3296 -6.4615 -6.5880 -6.7098 -6.8275 -6.9415 -7.0523 -7.1602
 -7.2660
 -4.2994 -4.3443 -4.3886 -4.4347 -4.4847 -4.5385 -4.5957 -4.6549 -4.7150 -4.7751
 -4.8347 -4.8944 -4.9553 -5.0166 -5.0772 -5.2401 -5.4063 -5.5705 -5.7329 -5.8936
 -6.0483 -6.1945 -6.3330 -6.4652 -6.5917 -6.7132 -6.8303 -6.9436 -7.0532 -7.1598
 -7.2638
 -4.3801 -4.4232 -4.4620 -4.4989 -4.5384 -4.5823 -4.6309 -4.6836 -4.7393 -4.7967
 -4.8549 -4.9134 -4.9724 -5.0320 -5.0908 -5.2479 -5.4104 -5.5724 -5.7324 -5.8921
 -6.0486 -6.1973 -6.3374 -6.4704 -6.5974 -6.7189 -6.8359 -6.9487 -7.0579 -7.1637
 -7.2665
 -4.4609 -4.5064 -4.5452 -4.5781 -4.6090 -4.6431 -4.6816 -4.7252 -4.7735 -4.8254
 -4.8798 -4.9358 -4.9925 -5.0499 -5.1074 -5.2568 -5.4134 -5.5719 -5.7293 -5.8861
 -6.0421 -6.1930 -6.3358 -6.4704 -6.5983 -6.7204 -6.8375 -6.9501 -7.0587 -7.1639
 -7.2680
 -4.5397 -4.5892 -4.6305 -4.6652 -4.6943 -4.7207 -4.7500 -4.7838 -4.8227 -4.8664
 -4.9142 -4.9653 -5.0185 -5.0729 -5.1281 -5.2703 -5.4196 -5.5730 -5.7272 -5.8809
 -6.0343 -6.1853 -6.3304 -6.4678 -6.5975 -6.7207 -6.8385 -6.9514 -7.0600 -7.1648
 -7.2664
 -4.6165 -4.6716 -4.7144 -4.7538 -4.7848 -4.8104 -4.8342 -4.8594 -4.8888 -4.9230
 -4.9619 -5.0054 -5.0526 -5.1025 -5.1529 -5.2884 -5.4290 -5.5757 -5.7261
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F430M
 -4.1602 -4.2191 -4.2732 -4.3236 -4.3730 -4.4236 -4.4770 -4.5334 -4.5899 -4.6461
 -4.7041 -4.7662 -4.8331 -4.9041 -4.9811 -5.1618 -5.3369 -5.5049 -5.6643
 -4.1797 -4.2513 -4.3153 -4.3733 -4.4270 -4.4786 -4.5305 -4.5831 -4.6351 -4.6866
 -4.7398 -4.7980 -4.8633 -4.9342 -5.0070 -5.1879 -5.3620 -5.5282 -5.6871 -5.8440
 -4.1578 -4.2378 -4.3134 -4.3941 -4.4595 -4.5175 -4.5705 -4.6214 -4.6711 -4.7196
 -4.7688 -4.8222 -4.8836 -4.9531 -5.0260 -5.2071 -5.3811 -5.5465 -5.7051 -5.8611
 -6.0119
 -4.1275 -4.2097 -4.2917 -4.3729 -4.4509 -4.5236 -4.5890 -4.6466 -4.6989 -4.7480
 -4.7959 -4.8453 -4.9007 -4.9662 -5.0381 -5.2194 -5.3942 -5.5598 -5.7183 -5.8737
 -6.0241 -6.1685
