 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F770W
  3.5344  3.4296  3.3305  3.2517  3.1955  3.1535  3.1198  3.0880  3.0504  2.9993
  2.9540  2.9107  2.8539  2.7944  2.7261  2.5423  2.3549  2.1750  2.0057
  3.5672  3.4694  3.3717  3.2787  3.1926  3.1148  3.0472  2.9904  2.9430  2.9045
  2.8755  2.8524  2.8191  2.7629  2.6936  2.5095  2.3251  2.1466  1.9771  1.8165
  3.5886  3.4962  3.4018  3.3052  3.2078  3.1139  3.0276  2.9523  2.8906  2.8460
  2.8156  2.7982  2.7802  2.7341  2.6674  2.4841  2.3017  2.1246  1.9552  1.7942
  1.6414
  3.5986  3.5100  3.4208  3.3312  3.2411  3.1508  3.0610  2.9737  2.8932  2.8238
  2.7743  2.7481  2.7372  2.7080  2.6475  2.4661  2.2847  2.1090  1.9399  1.7789
  1.6259  1.4802
  3.5996  3.5138  3.4285  3.3441  3.2606  3.1776  3.0952  3.0142  2.9345  2.8567
  2.7839  2.7265  2.6990  2.6791  2.6294  2.4536  2.2729  2.0980  1.9293  1.7682
  1.6151  1.4694  1.3305  1.1975
  3.5922  3.5097  3.4278  3.3472  3.2684  3.1910  3.1144  3.0389  2.9650  2.8929
  2.8218  2.7514  2.6955  2.6648  2.6158  2.4450  2.2654  2.0909  1.9223  1.7610
  1.6077  1.4617  1.3228  1.1898  1.0625  0.9400  0.8213  0.7063  0.5947  0.4853
  3.5736  3.4966  3.4193  3.3429  3.2679  3.1946  3.1226  3.0513  2.9808  2.9120
  2.8449  2.7787  2.7123  2.6680  2.6198  2.4420  2.2618  2.0873  1.9185  1.7566
  1.6027  1.4564  1.3171  1.1840  1.0568  0.9346  0.8168  0.7029  0.5924  0.4848
  0.3789
  3.5409  3.4704  3.3998  3.3297  3.2599  3.1909  3.1227  3.0552  2.9879  2.9211
  2.8554  2.7912  2.7275  2.6701  2.6256  2.4487  2.2643  2.0880  1.9181  1.7549
