 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F070W
 -1.8571 -1.7459 -1.6826 -1.5853 -1.4458 -1.3245 -1.2631 -1.2378 -1.2023 -1.1399
 -1.0631 -0.9753 -0.8865 -0.8051 -0.7296 -0.5746 -0.4726 -0.4150 -0.3799
 -1.7513 -1.5797 -1.4544 -1.3507 -1.2661 -1.2011 -1.1512 -1.1099 -1.0701 -1.0275
 -0.9786 -0.9201 -0.8514 -0.7788 -0.7104 -0.5723 -0.4820 -0.4320 -0.4062 -0.3988
 -1.6816 -1.4807 -1.3214 -1.2064 -1.1357 -1.0890 -1.0470 -1.0075 -0.9726 -0.9415
 -0.9081 -0.8689 -0.8184 -0.7575 -0.6967 -0.5726 -0.4913 -0.4471 -0.4274 -0.4219
 -0.4255
 -1.6480 -1.4489 -1.2836 -1.1524 -1.0546 -0.9882 -0.9505 -0.9306 -0.9098 -0.8819
 -0.8516 -0.8217 -0.7875 -0.7412 -0.6885 -0.5755 -0.5005 -0.4603 -0.4435 -0.4393
 -0.4429 -0.4522
 -1.6133 -1.4274 -1.2697 -1.1391 -1.0342 -0.9539 -0.8968 -0.8590 -0.8366 -0.8218
 -0.8027 -0.7776 -0.7524 -0.7210 -0.6791 -0.5774 -0.5071 -0.4698 -0.4562 -0.4543
 -0.4588 -0.4680 -0.4812 -0.4981
 -1.5585 -1.3923 -1.2501 -1.1294 -1.0278 -0.9438 -0.8774 -0.8279 -0.7922 -0.7661
 -0.7462 -0.7273 -0.7072 -0.6871 -0.6593 -0.5751 -0.5094 -0.4739 -0.4635 -0.4654
 -0.4723 -0.4828 -0.4963 -0.5126 -0.5315 -0.5533 -0.5785 -0.6102 -0.6495 -0.6916
 -1.4795 -1.3343 -1.2107 -1.1057 -1.0149 -0.9359 -0.8680 -0.8117 -0.7679 -0.7343
 -0.7073 -0.6838 -0.6620 -0.6443 -0.6250 -0.5633 -0.5063 -0.4722 -0.4638 -0.4702
 -0.4817 -0.4951 -0.5105 -0.5275 -0.5462 -0.5668 -0.5900 -0.6161 -0.6487 -0.6898
 -0.7344
 -1.3827 -1.2558 -1.1495 -1.0608 -0.9848 -0.9169 -0.8548 -0.7987 -0.7503 -0.7114
 -0.6801 -0.6537 -0.6299 -0.6083 -0.5906 -0.5406 -0.4959 -0.4653 -0.4576 -0.4674
 -0.4843 -0.5027 -0.5215 -0.5409 -0.5610 -0.5819 -0.6042 -0.6286 -0.6561 -0.6894
 -0.7323
 -1.2717 -1.1628 -1.0712 -0.9961 -0.9339 -0.8791 -0.8278 -0.7784 -0.7319 -0.6905
 -0.6560 -0.6278 -0.6035 -0.5813 -0.5625 -0.5164 -0.4791 -0.4541 -0.4469 -0.4581
 -0.4794 -0.5037 -0.5278 -0.5512 -0.5743 -0.5971 -0.6203 -0.6442 -0.6698 -0.6985
 -0.7331
 -1.1548 -1.0629 -0.9848 -0.9203 -0.8684 -0.8249 -0.7852 -0.7461 -0.7067 -0.6682
 -0.6329 -0.6030 -0.5783 -0.5571 -0.5385 -0.4960 -0.4618 -0.4408 -0.4345 -0.4448
 -0.4677 -0.4963 -0.5261 -0.5551 -0.5826 -0.6090 -0.6347 -0.6600 -0.6857 -0.7126
 -0.7412
 -1.0342 -0.9579 -0.8923 -0.8377 -0.7937 -0.7581 -0.7276 -0.6986 -0.6691 -0.6381
 -0.6067 -0.5772 -0.5519 -0.5312 -0.5139 -0.4775 -0.4459 -0.4271 -0.4222 -0.4314
 -0.4532 -0.4833 -0.5171 -0.5515 -0.5846 -0.6158 -0.6455 -0.6739 -0.7015 -0.7290
 -0.7574
 -0.9098 -0.8478 -0.7978 -0.7515 -0.7144 -0.6847 -0.6603 -0.6389 -0.6181 -0.5963
 -0.5727 -0.5481 -0.5243 -0.5037 -0.4887 -0.4609 -0.4314 -0.4130 -0.4100
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F070W
 -2.2271 -2.0864 -1.9518 -1.8236 -1.7044 -1.5905 -1.4773 -1.3625 -1.2515 -1.1506
