 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F250M
  0.3871  0.3428  0.3195  0.3261  0.3531  0.3912  0.4426  0.4987  0.5391  0.5490
  0.5472  0.5254  0.4818  0.4336  0.3749  0.2215  0.0699 -0.0950 -0.2557
  0.4648  0.4256  0.3893  0.3628  0.3486  0.3488  0.3630  0.3882  0.4192  0.4513
  0.4791  0.4919  0.4741  0.4257  0.3647  0.2070  0.0536 -0.1092 -0.2708 -0.4277
  0.5074  0.4764  0.4386  0.3989  0.3643  0.3418  0.3317  0.3348  0.3517  0.3819
  0.4158  0.4452  0.4497  0.4124  0.3541  0.1949  0.0397 -0.1211 -0.2825 -0.4382
 -0.5880
  0.5149  0.4952  0.4674  0.4344  0.4002  0.3702  0.3487  0.3385  0.3366  0.3408
  0.3573  0.3853  0.4086  0.3937  0.3431  0.1852  0.0282 -0.1307 -0.2909 -0.4457
 -0.5942 -0.7373
  0.4871  0.4818  0.4666  0.4444  0.4176  0.3902  0.3663  0.3501  0.3418  0.3392
  0.3373  0.3395  0.3566  0.3613  0.3268  0.1764  0.0182 -0.1388 -0.2973 -0.4514
 -0.5992 -0.7412 -0.8780 -1.0105
  0.4220  0.4340  0.4350  0.4268  0.4114  0.3913  0.3697  0.3509  0.3382  0.3308
  0.3256  0.3185  0.3153  0.3200  0.2983  0.1660  0.0089 -0.1465 -0.3022 -0.4555
 -0.6031 -0.7444 -0.8802 -1.0112 -1.1381 -1.2615 -1.3819 -1.4993 -1.6135 -1.7237
  0.3219  0.3502  0.3695  0.3789  0.3786  0.3702  0.3559  0.3393  0.3240  0.3128
  0.3046  0.2954  0.2820  0.2781  0.2623  0.1489 -0.0012 -0.1544 -0.3068 -0.4582
 -0.6055 -0.7469 -0.8821 -1.0121 -1.1377 -1.2594 -1.3779 -1.4933 -1.6060 -1.7160
 -1.8227
  0.1958  0.2342  0.2688  0.2972  0.3153  0.3230  0.3209  0.3120  0.2994  0.2865
  0.2757  0.2655  0.2522  0.2374  0.2244  0.1232 -0.0149 -0.1635 -0.3122 -0.4602
 -0.6064 -0.7480 -0.8835 -1.0131 -1.1378 -1.2583 -1.3752 -1.4888 -1.5996 -1.7078
 -1.8139
