 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F300M
 -3.5322 -3.5973 -3.6552 -3.6818 -3.6723 -3.6365 -3.5799 -3.5086 -3.4410 -3.4021
 -3.3766 -3.3855 -3.4294 -3.4806 -3.5451 -3.7251 -3.9043 -4.0770 -4.2426
 -3.4467 -3.4984 -3.5543 -3.6051 -3.6452 -3.6688 -3.6705 -3.6477 -3.6040 -3.5464
 -3.4870 -3.4475 -3.4526 -3.5000 -3.5655 -3.7443 -3.9225 -4.0944 -4.2588 -4.4162
 -3.3893 -3.4307 -3.4808 -3.5381 -3.5981 -3.6507 -3.6871 -3.7005 -3.6862 -3.6418
 -3.5817 -3.5220 -3.4960 -3.5264 -3.5863 -3.7609 -3.9373 -4.1083 -4.2721 -4.4286
 -4.5784
 -3.3600 -3.3942 -3.4347 -3.4808 -3.5310 -3.5822 -3.6297 -3.6670 -3.6876 -3.6883
 -3.6607 -3.6090 -3.5596 -3.5598 -3.6075 -3.7749 -3.9487 -4.1187 -4.2824 -4.4385
 -4.5875 -4.7305
 -3.3506 -3.3800 -3.4135 -3.4508 -3.4918 -3.5347 -3.5769 -3.6135 -3.6421 -3.6615
 -3.6717 -3.6654 -3.6311 -3.6082 -3.6346 -3.7876 -3.9580 -4.1261 -4.2897 -4.4461
 -4.5949 -4.7372 -4.8737 -5.0053
 -3.3563 -3.3817 -3.4099 -3.4406 -3.4740 -3.5100 -3.5475 -3.5833 -3.6134 -3.6363
 -3.6542 -3.6699 -3.6728 -3.6575 -3.6721 -3.8016 -3.9664 -4.1316 -4.2941 -4.4511
 -4.6005 -4.7427 -4.8787 -5.0094 -5.1355 -5.2576 -5.3763 -5.4919 -5.6044 -5.7138
 -3.3787 -3.3988 -3.4213 -3.4459 -3.4729 -3.5025 -3.5349 -3.5685 -3.6008 -3.6286
 -3.6512 -3.6714 -3.6924 -3.6950 -3.7076 -3.8215 -3.9757 -4.1365 -4.2963 -4.4532
 -4.6038 -4.7468 -4.8830 -5.0133 -5.1387 -5.2596 -5.3768 -5.4906 -5.6015 -5.7097
 -5.8154
 -3.4208 -3.4351 -3.4508 -3.4679 -3.4879 -3.5107 -3.5371 -3.5666 -3.5978 -3.6287
 -3.6569 -3.6820 -3.7067 -3.7274 -3.7397 -3.8461 -3.9885 -4.1427 -4.2982 -4.4529
 -4.6040 -4.7486 -4.8858 -5.0166 -5.1418 -5.2622 -5.3784 -5.4910 -5.6003 -5.7068
 -5.8112
 -3.4811 -3.4914 -3.5015 -3.5109 -3.5224 -3.5370 -3.5562 -3.5797 -3.6071 -3.6371
 -3.6675 -3.6972 -3.7258 -3.7532 -3.7719 -3.8718 -4.0058 -4.1531 -4.3036 -4.4545
 -4.6043 -4.7499 -4.8889 -5.0210 -5.1469 -5.2676 -5.3837 -5.4957 -5.6041 -5.7093
 -5.8120
 -3.5530 -3.5629 -3.5705 -3.5746 -3.5783 -3.5849 -3.5951 -3.6107 -3.6316 -3.6569
 -3.6856 -3.7159 -3.7469 -3.7774 -3.8046 -3.8970 -4.0222 -4.1626 -4.3082 -4.4547
 -4.6010 -4.7456 -4.8857 -5.0194 -5.1467 -5.2681 -5.3847 -5.4968 -5.6048 -5.7093
 -5.8125
 -3.6349 -3.6454 -3.6519 -3.6552 -3.6557 -3.6550 -3.6572 -3.6640 -3.6762 -3.6941
 -3.7170 -3.7441 -3.7737 -3.8046 -3.8356 -3.9246 -4.0412 -4.1736 -4.3139 -4.4564
 -4.5990 -4.7408 -4.8802 -5.0151 -5.1439 -5.2667 -5.3841 -5.4968 -5.6053 -5.7099
 -5.8110
 -3.7268 -3.7389 -3.7420 -3.7475 -3.7471 -3.7441 -3.7409 -3.7398 -3.7436 -3.7526
 -3.7672 -3.7873 -3.8119 -3.8400 -3.8649 -3.9546 -4.0628 -4.1861 -4.3207
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F300M
 -3.5366 -3.5514 -3.5598 -3.5602 -3.5493 -3.5301 -3.5067 -3.4819 -3.4540 -3.4203
 -3.3924 -3.3886 -3.4193 -3.4760 -3.5471 -3.7236 -3.9013 -4.0743 -4.2397
 -3.5239 -3.5536 -3.5778 -3.5955 -3.6047 -3.6033 -3.5923 -3.5759 -3.5509 -3.5136
 -3.4716 -3.4444 -3.4552 -3.5036 -3.5686 -3.7449 -3.9208 -4.0919 -4.2561 -4.4134
 -3.4602 -3.4967 -3.5374 -3.5925 -3.6285 -3.6514 -3.6588 -3.6532 -3.6365 -3.6045
 -3.5591 -3.5136 -3.4966 -3.5286 -3.5884 -3.7620 -3.9365 -4.1061 -4.2694 -4.4257
 -4.5756
 -3.3940 -3.4293 -3.4763 -3.5323 -3.5894 -3.6400 -3.6777 -3.6979 -3.6989 -3.6814
 -3.6462 -3.5974 -3.5550 -3.5584 -3.6065 -3.7749 -3.9484 -4.1169 -4.2796 -4.4354
 -4.5844 -4.7274
 -3.3671 -3.3953 -3.4326 -3.4806 -3.5341 -3.5872 -3.6352 -3.6742 -3.7008 -3.7117
 -3.7022 -3.6731 -3.6311 -3.6032 -3.6285 -3.7849 -3.9569 -4.1246 -4.2869 -4.4427
 -4.5914 -4.7338 -4.8705 -5.0024
 -3.3606 -3.3837 -3.4140 -3.4518 -3.4957 -3.5431 -3.5896 -3.6308 -3.6632 -3.6868
 -3.7013 -3.7042 -3.6874 -3.6622 -3.6621 -3.7939 -3.9630 -4.1297 -4.2914 -4.4476
 -4.5967 -4.7390 -4.8752 -5.0061 -5.1325 -5.2549 -5.3740 -5.4898 -5.6024 -5.7116
 -3.3622 -3.3846 -3.4111 -3.4429 -3.4796 -3.5200 -3.5623 -3.6030 -3.6380 -3.6643
 -3.6834 -3.6989 -3.7086 -3.7023 -3.7013 -3.8051 -3.9681 -4.1330 -4.2937 -4.4498
 -4.5999 -4.7429 -4.8792 -5.0097 -5.1353 -5.2565 -5.3741 -5.4883 -5.5994 -5.7076
 -5.8132
 -3.3742 -3.3933 -3.4173 -3.4451 -3.4763 -3.5105 -3.5474 -3.5852 -3.6217 -3.6533
 -3.6777 -3.6971 -3.7156 -3.7276 -3.7324 -3.8244 -3.9739 -4.1358 -4.2947 -4.4497
 -4.6003 -4.7446 -4.8818 -5.0127 -5.1381 -5.2587 -5.3754 -5.4883 -5.5979 -5.7047
 -5.8090
