 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  v   
 -8.9736 -8.8630 -8.8216 -8.7268 -8.5465 -8.3646 -8.2697 -8.2296 -8.1428 -7.9529
 -7.6960 -7.3887 -7.0539 -6.7153 -6.3737 -5.5096 -4.6745 -3.9937 -3.4401
 -8.7124 -8.4617 -8.2740 -8.1120 -7.9676 -7.8402 -7.7246 -7.6077 -7.4716 -7.3013
 -7.0854 -6.8188 -6.5090 -6.1851 -5.8681 -5.1050 -4.3885 -3.7922 -3.3311 -2.9901
 -8.5640 -8.2205 -7.9314 -7.6995 -7.5275 -7.3870 -7.2435 -7.0889 -6.9260 -6.7542
 -6.5556 -6.3204 -6.0430 -5.7424 -5.4497 -4.7729 -4.1569 -3.6342 -3.2399 -2.9465
 -2.7197
 -8.5284 -8.1394 -7.7938 -7.4893 -7.2262 -7.0050 -6.8264 -6.6732 -6.5060 -6.3116
 -6.1066 -5.8935 -5.6559 -5.3872 -5.1185 -4.5133 -3.9797 -3.5197 -3.1665 -2.9048
 -2.7033 -2.5409
 -8.5624 -8.1412 -7.7607 -7.4161 -7.1052 -6.8274 -6.5820 -6.3667 -6.1783 -6.0000
 -5.8013 -5.5835 -5.3639 -5.1286 -4.8822 -4.3293 -3.8559 -3.4445 -3.1204 -2.8813
 -2.6991 -2.5528 -2.4308 -2.3262
 -8.6565 -8.2104 -7.8016 -7.4268 -7.0841 -6.7712 -6.4866 -6.2292 -5.9967 -5.7855
 -5.5891 -5.3920 -5.1850 -4.9698 -4.7392 -4.2151 -3.7808 -3.4040 -3.0974 -2.8707
 -2.7021 -2.5688 -2.4582 -2.3639 -2.2815 -2.2083 -2.1426 -2.0818 -2.0258 -1.9812
 -8.7996 -8.3367 -7.9062 -7.5061 -7.1361 -6.7960 -6.4838 -6.1969 -5.9345 -5.6946
 -5.4739 -5.2683 -5.0708 -4.8772 -4.6703 -4.1628 -3.7463 -3.3918 -3.0948 -2.8706
 -2.7080 -2.5842 -2.4839 -2.3989 -2.3253 -2.2603 -2.2024 -2.1498 -2.1031 -2.0636
 -2.0325
 -8.9854 -8.5078 -8.0615 -7.6424 -7.2495 -6.8850 -6.5482 -6.2377 -5.9514 -5.6882
 -5.4459 -5.2225 -5.0155 -4.8213 -4.6306 -4.1560 -3.7421 -3.3997 -3.1085 -2.8805
