 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F560W
 -5.3448 -5.4432 -5.5352 -5.6040 -5.6450 -5.6678 -5.6863 -5.7109 -5.7503 -5.8080
 -5.8673 -5.9312 -6.0001 -6.0676 -6.1392 -6.3179 -6.4901 -6.6581 -6.8156
 -5.3052 -5.3959 -5.4862 -5.5701 -5.6450 -5.7097 -5.7640 -5.8093 -5.8496 -5.8877
 -5.9262 -5.9702 -6.0261 -6.0938 -6.1663 -6.3464 -6.5179 -6.6839 -6.8462 -7.0052
 -5.2810 -5.3654 -5.4520 -5.5401 -5.6285 -5.7125 -5.7872 -5.8501 -5.9009 -5.9401
 -5.9744 -6.0088 -6.0532 -6.1155 -6.1867 -6.3673 -6.5392 -6.7043 -6.8687 -7.0283
 -7.1804
 -5.2722 -5.3517 -5.4326 -5.5140 -5.5955 -5.6762 -5.7559 -5.8333 -5.9042 -5.9652
 -6.0119 -6.0470 -6.0814 -6.1327 -6.2004 -6.3806 -6.5540 -6.7193 -6.8830 -7.0424
 -7.1944 -7.3394
 -5.2775 -5.3518 -5.4274 -5.5033 -5.5792 -5.6545 -5.7283 -5.8003 -5.8716 -5.9424
 -6.0099 -6.0675 -6.1087 -6.1513 -6.2117 -6.3886 -6.5635 -6.7300 -6.8933 -7.0524
 -7.2045 -7.3494 -7.4877 -7.6203
 -5.2983 -5.3659 -5.4351 -5.5053 -5.5759 -5.6465 -5.7166 -5.7854 -5.8525 -5.9185
 -5.9855 -6.0534 -6.1136 -6.1620 -6.2210 -6.3933 -6.5684 -6.7364 -6.9001 -7.0594
 -7.2117 -7.3568 -7.4951 -7.6274 -7.7543 -7.8765 -7.9949 -8.1096 -8.2211 -8.3303
 -5.3367 -5.3962 -5.4573 -5.5200 -5.5843 -5.6496 -5.7157 -5.7818 -5.8472 -5.9113
 -5.9747 -6.0391 -6.1051 -6.1608 -6.2199 -6.3948 -6.5697 -6.7386 -6.9032 -7.0635
 -7.2165 -7.3620 -7.5006 -7.6330 -7.7597 -7.8814 -7.9989 -8.1125 -8.2226 -8.3299
 -8.4355
 -5.3920 -5.4448 -5.4973 -5.5505 -5.6063 -5.6645 -5.7250 -5.7870 -5.8499 -5.9129
 -5.9752 -6.0374 -6.1003 -6.1614 -6.2176 -6.3911 -6.5673 -6.7370 -6.9022 -7.0641
 -7.2188 -7.3653 -7.5045 -7.6373 -7.7642 -7.8858 -8.0028 -8.1156 -8.2248 -8.3307
 -8.4342
 -5.4593 -5.5092 -5.5560 -5.6002 -5.6460 -5.6946 -5.7472 -5.8032 -5.8618 -5.9222
 -5.9832 -6.0444 -6.1058 -6.1668 -6.2228 -6.3894 -6.5640 -6.7344 -6.8999 -7.0632
 -7.2206 -7.3692 -7.5095 -7.6430 -7.7705 -7.8924 -8.0095 -8.1222 -8.2308 -8.3360
 -8.4382
 -5.5301 -5.5806 -5.6264 -5.6660 -5.7031 -5.7420 -5.7843 -5.8315 -5.8832 -5.9384
 -5.9961 -6.0553 -6.1151 -6.1749 -6.2327 -6.3898 -6.5590 -6.7278 -6.8927 -7.0554
 -7.2149 -7.3664 -7.5089 -7.6436 -7.7719 -7.8945 -8.0120 -8.1248 -8.2333 -8.3380
 -8.4415
 -5.6023 -5.6554 -5.7020 -5.7423 -5.7769 -5.8078 -5.8406 -5.8774 -5.9195 -5.9668
 -6.0183 -6.0732 -6.1301 -6.1880 -6.2458 -6.3960 -6.5576 -6.7226 -6.8858 -7.0467
 -7.2057 -7.3596 -7.5052 -7.6422 -7.7718 -7.8953 -8.0136 -8.1270 -8.2359 -8.3407
 -8.4420
 -5.6760 -5.7336 -5.7795 -5.8234 -5.8587 -5.8880 -5.9148 -5.9424 -5.9743 -6.0115
 -6.0542 -6.1019 -6.1534 -6.2076 -6.2621 -6.4080 -6.5598 -6.7188 -6.8792
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F560W
 -5.3328 -5.3968 -5.4541 -5.5053 -5.5514 -5.5970 -5.6464 -5.7022 -5.7613 -5.8192
 -5.8771 -5.9385 -6.0058 -6.0778 -6.1576 -6.3343 -6.5005 -6.6625 -6.8217
 -5.3477 -5.4244 -5.4936 -5.5561 -5.6130 -5.6654 -5.7166 -5.7704 -5.8250 -5.8771
 -5.9273 -5.9799 -6.0406 -6.1102 -6.1832 -6.3624 -6.5303 -6.6907 -6.8485 -7.0062
 -5.3202 -5.4026 -5.4833 -5.5706 -5.6437 -5.7084 -5.7659 -5.8199 -5.8726 -5.9222
 -5.9679 -6.0128 -6.0644 -6.1293 -6.2013 -6.3820 -6.5521 -6.7124 -6.8694 -7.0262
 -7.1777
 -5.2852 -5.3671 -5.4524 -5.5399 -5.6262 -5.7080 -5.7827 -5.8486 -5.9065 -5.9580
 -6.0040 -6.0452 -6.0873 -6.1429 -6.2119 -6.3931 -6.5659 -6.7276 -6.8844 -7.0403
 -7.1916 -7.3365
